Vor 70 Jahren war er noch jung.                                        |70 лет назад он ещё был молодым.                                          
Da hinten kommt er ja!                                                 |А вот и он!                                                               
Und dort sind meine beiden Kinder.                                     |А вот там двое моих детей.                                                
Und wo ist der Speisewagen? – Am Anfang.                               |А где вагон-ресторан? – В голове поезда.                                  
Hast du denn Skier dabei?                                              |А лыжи-то у тебя с собой есть?                                            
Hast du denn Skischuhe dabei?                                          |А лыжные ботинки-то у тебя с собой есть?                                  
Und sie schrieb eine Karte.                                            |А она писала открытку.                                                    
Und sie las ein Buch.                                                  |А она читала книгу.                                                       
Jetzt hör auf zu weinen.                                               |А теперь перестань плакать.                                               
Nein, absolut nicht.                                                   |Абсолютно нет.                                                            
Asien ist viel größer als Australien.                                  |Азия намного больше Австралии.                                            
Englisch ist leicht zu erlernen.                                       |Английский язык легко выучить.                                            
Englisch ist schwer zu lernen.                                         |Английский язык трудно выучить.                                           
Die Orange ist orange.                                                 |Апельсин - оранжевый.                                                     
Der Schmetterling ist schön.                                           |Бабочка красивая.                                                         
Oma gießt die Blumen.                                                  |Бабушка поливает цветы.                                                   
Basel liegt in der Schweiz.                                            |Базель находится в Швейцарии.                                             
Die Batterie ist leer.                                                 |Батарейка села.                                                           
Es gibt keinen Rauch ohne Feuer.                                       |Без огня не бывает дыма.                                                  
eine weiße Tasche                                                      |Белая сумка                                                               
Pass auf dich auf!                                                     |Береги себя!                                                              
Pass gut auf dich auf.                                                 |Береги себя.                                                              
Nimm dir, was du willst.                                               |Берите все, что хотите.                                                   
Berlin liegt in Deutschland.                                           |Берлин находится в Германии.                                              
Einen Fahrschein? – Nein, ich habe keinen.                             |Билет? – Нет, у меня его нет.                                             
Gibt es noch Karten fürs Kino?                                         |Билеты в кино ещё есть?                                                   
Gibt es noch Karten fürs Theater?                                      |Билеты в театр ещё есть?                                                  
Gibt es noch Karten für das Fußballspiel?                              |Билеты на футбол ещё есть?                                                
Die Zwillinge sehen sich genau ähnlich.                                |Близнецы выглядят точно так же.                                           
Die Schmerzen waren schrecklich.                                       |Боль была ужасной.                                                        
Die Schmerzen werden immer schlimmer.                                  |Боль усиливается.                                                         
Mach nicht noch einmal den gleichen Fehler.                            |Больше не делай ту же ошибку.                                             
Eine Mehrheit stimmte gegen den Entwurf.                               |Большинство проголосовало против законопроекта.                           
Danke vielmals.                                                        |Большое спасибо.                                                          
groß und klein                                                         |Большой / -ая и маленький / -ая                                           
Eine große oder eine kleine?                                           |Большую или маленькую?                                                    
Ich fürchte, es wird regnen.                                           |Боюсь, пойдет дождь.                                                      
Ich fürchte, dass wir ein Taxi nehmen müssen.                          |Боюсь, что нам придётся взять такси.                                      
