catch;ловить
clap;хлопать
dance;танцевать
hop;прыгать
jump;прыгать
run;бегать
skip;прыгать на скакалке
touch;потрогать, прикоснуться
walk;ходить
wave;махать рукой
blow;дуть
dig;копать
follow;следовать
hide;прятаться
hug;обнимать
laugh;смеяться
look;смотреть
shout;кричать
smell;запах
taste;вкус
argue;спорить
crawl;ползать
dream;сон
leave;покидать
pat;похлопывать
pull;тянуть
say sorry;извиняться
scream;кричать
turn around;повернуться
wait;ждать
whisper;шептать
yawn;зевать
Anubis;Анубис
Bastet;Бастет
Ra;Ра
Thoth;Тот
cobra;кобра
hieroglyphs;иероглифы
pyramids;пирамиды
tomb;гробница
beak;клюв
claws;когти
feathers;перья
fins;плавники
fur;мех
shell;раковина
tail;хвост
wing;крыло
fang;клык
hoof;копыто
horn;рог
jaws;челюсти
paws;лапы
scales;чешуя
snout;пятачок
whiskers;усы
dove;голубь
duck;утка
eagle;орёл
emu;эму
flamingo;фламинго
owl;сова
parrot;попугай
robin;малиновка
turkey;индюк
vulture;гриф
balloons;воздушные шары
birthday cake;торт на день рождения
candles;свечи
make a wish;загадать желание
party;вечеринка
party hats;праздничные шляпы
present;подарок
streamers;серпантин
ant;муравей
bee;пчела
beetle;жук
butterfly;бабочка
caterpillar;гусеница
cockroach;таракан
dragonfly;стрекоза
fly;муха
grasshopper;кузнечик
ladybird;божья коровка
mosquito;комар
spider;паук
clean the car;мыть машину
cook;готовить
make the bed;заправлять кровать
sweep the floor;подметать пол
tidy;убираться
walk the dog;выгуливать собаку
do the laundry;стирать
do the washing up;мыть посуду
dry the dishes;вытирать тарелки
dust;убирать пыль
iron;гладить
lay the table;накрыть на стол
mop the floor;мыть пол
vacuum;пылесосить
acrobat;акробат
clown;клоун
juggler;жонглёр
magician;фокусник
ringmaster;инспектор манежа
strongman;силач
tightrope walker;канатоходец
trapeze artist;артист на трапеции
be quiet;быть тихим
colour;раскрашивать
help;помогать
listen;слушать
play;играть
point;указывать
sing;петь
sit down;сесть
stand up;встать
trace;проводить по следу
circle;круг
cut;резать
draw a line;провести линию
number;число
say;сказать
tick;поставить галочку
underline;подчеркнуть
write;писать
bag;сумка
belt;ремень
cap;кепка
glasses;очки
gloves;перчатки
hat;шляпа
headscarf;косынка
scarf;шарф
sunglasses;солнцезащитные очки
watch;часы
coat;пальто
dress;платье
jacket;куртка
jeans;джинсы
jumper;джемпер
sandals;сандалии
shirt;рубашка
shoes;обувь
skirt;юбка
socks;носки
t-shirt;футболка
trousers;брюки
blouse;блузка
boots;сапоги
cardigan;кардиган
flip flops;шлепанцы
pyjamas;пижама
shorts;шорты
slippers;тапочки
tie;галстук
tights;колготки
trainers;кроссовки
underpants;трусы
vest;жилет
black;чёрный
blue;синий
brown;коричневый
green;зелёный
grey;серый
orange;оранжевый
pink;розовый
purple;фиолетовый
red;красный
white;белый
yellow;желтый
clean my teeth;чищу зубы
do homework;делать домашнюю работу
get dressed;одеваться
get up;вставать
go home;идти домой
go to bed;ложиться спать
go to school;идти в школу
have a shower;принимать душ
have breakfast;завтракать
have dinner;ужинать
have lunch;обедать
wake up;проснуться
beautiful;красивая
clean;чистая
dirty;грязный
fat;толстый
old;старый
short;короткий
tall;высокий
thin;худая
ugly;уродливый
young;молодая
big;большой
far;далеко
fast;быстрый
long;длинный
near;рядом
slow;медленная
small;маленький
strong;сильный
weak;слабый
Baryonyx;Барионикс
Brachiosaurus;Брахиозавр
Diplodocus;Диплодок
Giganotosaurus;Гиганотозавр
Iguanodon;Игуанодон
Stegosaurus;Стегозавр
Triceratops;Трицератопс
Troodon;Троодон
Tyrannosaurus rex;Тираннозавр Рекс
Velociraptor;Велоцираптор
cross the road;перейти дорогу
follow the signs;следовать указателям
go along the road;идти вдоль дороги
go over the bridge;пройти по мосту
go past;пройти мимо
go round the roundabout;проехать по кольцу
go straight on;идти прямо
go through the tunnel;пройти через туннель
read the map;читать карту
stop;остановиться
turn left;повернуть налево
turn right;повернуть направо
Easter bunnies;пасхальные кролики
Easter eggs;пасхальные яйца
basket;корзина
chicks;цыплята
chocolates;шоколадные конфеты
hot cross buns;сдобные булочки
lamb;барашек
nest;гнездо
angry;сердитый
bored;скучающая
happy;счастливый
hungry;голодный
sad;грустная
thirsty;жаждущая, хочет пить
tired;усталый
worried;обеспокоенный
confused;растерянная
embarrassed;смущенная
excited;воодушевленный
scared;испуганная
shocked;шокирована
surprised;удивлённый
alternative energy;альтернативная энергия
chemical waste;химические отходы
deforestation;вырубка лесов
global warming;глобальное потепление
littering;замусоривание
melting ice caps;таяние ледяных шапок
polluted rivers;загрязнённые реки
pollution;загрязнение
recycling;переработка
batteries;батарейки
brush;щётка
bucket;ведро
camera;камера
comb;расчёска
lightbulb;лампочка
soap;мыло
tin;металлическая банка
toothbrush;зубная щётка
toothpaste;зубная паста
torch;фонарик
towel;полотенце
cork;пробка
hammer;молоток
map;карта
pin;булавка
rope;верёвка
saw;пила
screw;винт
shopping bag;сумка для покупок
shopping trolley;тележка для покупок
tissue;салфетка
umbrella;зонт
book;книга
box;коробка
cage;клетка
calendar;календарь
comic;комикс
flag;флаг
keyrings;брелоки
ladder;лестница
rubbish bin;мусорный бак
sack;мешок
telephone;телефон
tent;палатка
castle;замок
crown;корона
gold;золото
jewels;драгоценности
king;король
knight;рыцарь
prince;принц
princess;принцесса
queen;королева
sword;меч
throne;трон
tower;башня
baby;ребёнок
brother;брат
family;семья
father;отец
grandfather;дедушка
grandmother;бабушка
mother;мать
sister;сестра
cake;торт
chicken;курица
chips;картошка фри
fish;рыба
hamburger;гамбургер
noodles;лапша
pasta;макароны
pie;пирог
pizza;пицца
sandwich;сэндвич
sausage;колбаса
toast;тост
biscuits;печенье
bread;хлеб
cheese;сыр
chocolate;шоколад
crisps;чипсы
eggs;яйца
ice cream;мороженое
meat;мясо
nuts;орехи
rice;рис
sweets;сладости
yogurt;йогурт
do crafts;делать поделки
go fishing;ходить на рыбалку
go hiking;ходить в походы
paint a picture;рисовать картину
play board games;играть в настольные игры
play cards;играть в карты
play dress up;играть в одевалки
read a book;читать книгу
ride a bike;кататься на велосипеде
watch T.V.;смотреть телевизор
climb trees;лазить по деревьям
go rollerblading;кататься на роликах
go skateboarding;кататься на скейтборде
have a party;устраивать вечеринку
knit;вязать
listen to music;слушать музыку
play an instrument;играть на инструменте
play on the computer;играть на компьютере
sew;шить
write emails;писать письма
armchair;кресло
bath;ванна
bed;кровать
bookcase;книжный шкаф
chair;стул
cupboard;шкаф
fridge;холодильник
oven;духовка
shower;душ
sofa;диван
table;стол
wardrobe;шкаф
bat;ракетка для тенниса
black cat;чёрная кошка
pumpkin;тыква
skeleton;скелет
witch;ведьма
cauldron;котел
ghost;привидение
haunted house;дом с привидениями
monster;монстр
mummy;мумия
wizard;волшебник
a cut;порез
broken leg;сломанная нога
cold;холодно
cough;кашель
I am dizzy;У меня кружится голова
earache;боль в ухе
fever;лихорадка
headache;головная боль
sneeze;чихание
sore throat;боль в горле
toothache;зубная боль
tummyache;боль в животе
go camping;пойти в поход
