catch;ловить;<img src="catch.jpg">;Actions 1;Действия 1
clap;хлопать;<img src="clap.jpg">;Actions 1;Действия 1
dance;танцевать;<img src="dance.jpg">;Actions 1;Действия 1
hop;прыгать;<img src="hop.jpg">;Actions 1;Действия 1
jump;прыгать;<img src="jump.jpg">;Actions 1;Действия 1
run;бегать;<img src="run.jpg">;Actions 1;Действия 1
skip;прыгать;<img src="skip.jpg">;Actions 1;Действия 1
touch;прикоснуться;<img src="touch.jpg">;Actions 1;Действия 1
walk;ходить;<img src="walk.jpg">;Actions 1;Действия 1
wave;волна;<img src="wave.jpg">;Actions 1;Действия 1
blow;удар;<img src="blow.jpg">;Actions 2;Действия 2
dig;копать;<img src="dig.jpg">;Actions 2;Действия 2
follow;следовать;<img src="follow.jpg">;Actions 2;Действия 2
hide;прятаться;<img src="hide.jpg">;Actions 2;Действия 2
hug;обнимать;<img src="hug.jpg">;Actions 2;Действия 2
laugh;смеяться;<img src="laugh.jpg">;Actions 2;Действия 2
look;смотреть;<img src="look.jpg">;Actions 2;Действия 2
shout;кричать;<img src="shout.jpg">;Actions 2;Действия 2
smell;запах;<img src="smell.jpg">;Actions 2;Действия 2
taste;вкус;<img src="taste.jpg">;Actions 2;Действия 2
argue;спорить;<img src="argue.jpg">;Actions 3;Действия 3
crawl;ползать;<img src="crawl.jpg">;Actions 3;Действия 3
dream;мечтать;<img src="dream.jpg">;Actions 3;Действия 3
leave;оставить;<img src="leave.jpg">;Actions 3;Действия 3
pat;похлопывать;<img src="pat.jpg">;Actions 3;Действия 3
pull;тянуть;<img src="pull.jpg">;Actions 3;Действия 3
say sorry;извиниться;<img src="say_sorry.jpg">;Actions 3;Действия 3
scream;кричать;<img src="scream.jpg">;Actions 3;Действия 3
turn around;отвернуться;<img src="turn_around.jpg">;Actions 3;Действия 3
wait;ждать;<img src="wait.jpg">;Actions 3;Действия 3
whisper;шептать;<img src="whisper.jpg">;Actions 3;Действия 3
yawn;зевать;<img src="yawn.jpg">;Actions 3;Действия 3
Anubis;Анубис;<img src="Anubis.jpg">;Ancient Egypt;Древний Египет
Bastet;Бастет;<img src="Bastet.jpg">;Ancient Egypt;Древний Египет
Ra;Ра;<img src="Ra.jpg">;Ancient Egypt;Древний Египет
Thoth;Тот;<img src="Thoth.jpg">;Ancient Egypt;Древний Египет
cobra;кобра;<img src="cobra.jpg">;Ancient Egypt;Древний Египет
hieroglyphs;иероглифы;<img src="hieroglyphs.jpg">;Ancient Egypt;Древний Египет
pyramids;пирамиды;<img src="pyramids.jpg">;Ancient Egypt;Древний Египет
tomb;гробница;<img src="tomb.jpg">;Ancient Egypt;Древний Египет
beak;клюв;<img src="beak.jpg">;Animal body parts 1;Части тела животных 1
claws;когти;<img src="claws.jpg">;Animal body parts 1;Части тела животных 1
feathers;перья;<img src="feathers.jpg">;Animal body parts 1;Части тела животных 1
fins;плавники;<img src="fins.jpg">;Animal body parts 1;Части тела животных 1
fur;мех;<img src="fur.jpg">;Animal body parts 1;Части тела животных 1
shell;раковина;<img src="shell.jpg">;Animal body parts 1;Части тела животных 1
tail;хвост;<img src="tail.jpg">;Animal body parts 1;Части тела животных 1
wing;крыло;<img src="wing.jpg">;Animal body parts 1;Части тела животных 1
fang;клык;<img src="fang.jpg">;Animal body parts 2;Части тела животных 2
hoof;копыто;<img src="hoof.jpg">;Animal body parts 2;Части тела животных 2
horn;рог;<img src="horn.jpg">;Animal body parts 2;Части тела животных 2
jaws;челюсти;<img src="jaws.jpg">;Animal body parts 2;Части тела животных 2
paws;лапы;<img src="paws.jpg">;Animal body parts 2;Части тела животных 2
scales;чешуя;<img src="scales.jpg">;Animal body parts 2;Части тела животных 2
snout;морда;<img src="snout.jpg">;Animal body parts 2;Части тела животных 2
whiskers;усы;<img src="whiskers.jpg">;Animal body parts 2;Части тела животных 2
dove;голубь;<img src="dove.jpg">;Birds;Птицы
duck;утка;<img src="duck.jpg">;Birds;Птицы
eagle;орёл;<img src="eagle.jpg">;Birds;Птицы
emu;эму;<img src="emu.jpg">;Birds;Птицы
flamingo;фламинго;<img src="flamingo.jpg">;Birds;Птицы
owl;сова;<img src="owl.jpg">;Birds;Птицы
parrot;попугай;<img src="parrot.jpg">;Birds;Птицы
robin;малиновка;<img src="robin.jpg">;Birds;Птицы
turkey;индюк;<img src="turkey.jpg">;Birds;Птицы
vulture;гриф;<img src="vulture.jpg">;Birds;Птицы
balloons;воздушные шары;<img src="balloons.jpg">;Birthdays;Дни рождения
birthday cake;праздничный торт;<img src="birthday_cake.jpg">;Birthdays;Дни рождения
