global                                                   |всемирный, мировой                                                                                                                                                  | ~ search of a file — глобальный поиск файла (поиск среди всех файлов)
detail                                                   |подробность, деталь                                                                                                                                                 | 
newspaper                                                |газета                                                                                                                                                              | 
reform                                                   |реформа, преобразование, перестройка, реорганизация                                                                                                                 | 
assume                                                   |допускать, предполагать, брать (на себя)                                                                                                                            | to ~ responsibility — взять на себя ответственность to ~ a right to oneself — присвоить себе право let us ~ that this is true — допустим, что это правда he is not such a fool as you ~ed him to be — он не такой дурак, каким вы его считаете
tie                                                      |галстук, связывать, скреплять                                                                                                                                       | "to loosen one's ~ — ослабить узел галстука to cut/sever ~s with smb. — разорвать отношения с кем-л. ~ your horse to a tree and come in for a drink — Привяжи лошадь к дереву и заходи промочить горло Unfortunately I am ~ed to time — К сожалению, я ограниченa временем"
gather                                                   |собирать(ся)                                                                                                                                                        | 
rate                                                     |норма, расценка, ставка, тариф, такса, скорость, темп, класс, оценивать                                                                                             | crime ~ - уровень преступности to fix / set a ~ — устанавливать процент at a great ~ — огромными темпами to ~ high — высоко оценивать to ~ low — невысоко оценивать
publish                                                  |придавать огласке, оглашать, издавать, публиковать                                                                                                                  | 
island                                                   |остров                                                                                                                                                              | 
cool                                                     |прохладный                                                                                                                                                          | 
relation                                                 |отношение, зависимость, касательство, связь                                                                                                                         | causal ~ — причинная связь to establish ~ — установить связь, отношение
paint                                                    |краска, красить                                                                                                                                                     | 
chief                                                    |руководитель, глава, главный                                                                                                                                        | 
describe                                                 |описывать                                                                                                                                                           | 
critical                                                 |важный, критический, неодобрительный                                                                                                                                | ~ test — решающее испытание a component ~ to the operation of a machine — деталь, необходимая для работы механизма
attempt                                                  |попытка, покушение, пытаться                                                                                                                                        | to make an ~ — сделать попытку ~ upon the life of smb — покушение на чью-л. жизнь to ~ flying /to fly/ — попробовать летать I will ~ a reply to your question — попытаюсь ответить на ваш вопрос
dad, daddy                                               |папа                                                                                                                                                                | 
teacher                                                  |учитель                                                                                                                                                             | 
version                                                  |версия, интерпретация                                                                                                                                               | 
wild                                                     |дикий, бешеный                                                                                                                                                      | 
anybody                                                  |кто-нибудь (в вопр.), никто (в отриц.), любой (в утверд.)                                                                                                           | "Is there ~ here? — Есть здесь кто-нибудь? He hasn't seen ~ there — Он там никого не видел ~ can do it — Всякий может сделать это"
bone                                                     |кость, останки                                                                                                                                                      | 
safety                                                   |безопасность                                                                                                                                                        | with ~ — безопасно, без риска in ~ — в безопасности ~ first! — Соблюдайте осторожность!
effective                                                |действенный, результативный, эффективный                                                                                                                            | the first ~ shot — первый результативный выстрел ~ cure for headache — эффективное лекарство от головной боли
spread (spread, spread)                                  |распространять(ся), расстилать(ся)                                                                                                                                  | 
model                                                    |модель, образец                                                                                                                                                     | 
mark                                                     |знак, оценка, балл, ставить знак, отметку                                                                                                                           | 
pattern                                                  |образец, модель, шаблон                                                                                                                                             | set a ~ — подавать пример intricate ~ — сложный, замысловатый узор behaviour ~ — модель поведения Mary has always ~ed herself on her mother — Мэри всегда следовала примеру своей матери
somewhere                                                |где-нибудь, куда-нибудь                                                                                                                                             | 
fit                                                      |годный, годиться, соответствовать                                                                                                                                   | to be a bad [a good, an excellent] ~ — плохо [хорошо, превосходно] сидеть (о платье) the food was not ~ to eat — пища оказалась несъедобной he is ~ for nothing — он ни на что не способен to keep ~ — поддерживать форму to ~ the case — соответствовать случаю
research                                                 |исследование                                                                                                                                                        | 
income                                                   |доход, приход, прибыль, заработок                                                                                                                                   | annual ~ — годовой заработок gross ~ — валовый доход monthly ~ — месячный заработок net ~ — чистый доход
firm                                                     |фирма, твердый, крепкий, стойкий, решительный                                                                                                                       | 
central                                                  |центральный, главный                                                                                                                                                | the ~ character of the novel — главный герой романа ~ Intelligence Agency, CIA — амер. Центральное Разведывательное Управление ~ heating — центральное отопление
contain                                                  |вмещать, содержать                                                                                                                                                  | 
disappear                                                |исчезать                                                                                                                                                            | 
species                                                  |вид (биол.), род, порода, представитель какого-л. биологического вида                                                                                               | 
strange                                                  |чужой, странный                                                                                                                                                     | ~ voice [place, device] — незнакомый голос [-ое место, -ое приспособление] ~ tongue — незнакомый язык ~ man — странный человек ~ behaviour — странное поведение
market                                                   |рынок, торговля, торговать                                                                                                                                          | 
alive                                                    |живой                                                                                                                                                               | Is your mother still ~? - Ваша мать еще жива? no man ~ — никто на свете any man ~ — любой человек, кто-нибудь to keep hope ~ — сохранять надежду
silence                                                  |молчание                                                                                                                                                            | 
basic                                                    |составляющий основу, сущность, фундаментальный, главный, основной                                                                                                   | ~ need — основная, главная потребность
metal                                                    |металл                                                                                                                                                              | 
likely                                                   |вероятный, вероятно, возможный                                                                                                                                      | it is quite ~ — весьма вероятно I am ~ to be in London next week — я, вероятно, буду в Лондоне на следующей неделе I shall very ~ see you again — я скорее всего ещё увижусь с вами as ~ as not — вполне вероятно, возможно
manager                                                  |менеджер                                                                                                                                                            | 
path                                                     |тропинка, путь                                                                                                                                                      | to clear a ~ through a jungle — расчищать, прорубать тропинку в джунглях war ~ — тропа войны The curved ~ in which the ball will move — Искривлённая траектория, по которой будет двигаться мяч
examine                                                  |рассматривать, исследовать, экзаменовать                                                                                                                            | 
shoe                                                     |(полу)ботинок, туфля                                                                                                                                                | 
term                                                     |срок, период, семестр, учебн. четверть, термин                                                                                                                      | 
achieve                                                  |добиваться, достигать                                                                                                                                               | There are many who will work hard to ~ these goals — Многие приложат все усилия, чтобы достичь этой цели. We have ~ed what we set out to do — Мы выполнили всё, что намечали сделать
object                                                   |предмет, вещь                                                                                                                                                       | material / physical ~ — материальный, физический предмет unidentified flying ~ — неопознанный летающий объект I see an ~ in the distance. — Я вижу вдали какой-то предмет an ~ for study — объект, предмет изучения
slow                                                     |медленный, замедлять(ся)                                                                                                                                            | 
gasp                                                     |задыхаться                                                                                                                                                          | to speak with ~s — говорить задыхаясь last ~ — последний вздох the fish was ~ing on the bank — рыба, выкинутая на берег, ловила ртом воздух it made him ~ — он аж открыл рот от изумления
language                                                 |язык, речь                                                                                                                                                          | to learn / master a ~ — учить язык to speak (in) a ~, to use a ~ — говорить на языке native ~ — родной язык
dive                                                     |ныряние (в воду), внезапное движение, рывок, нырять                                                                                                                 | "to ~ into a river — нырнуть в реку The company's share price ...ed 19 % overnight — Акции компании мгновенно упали на 19% The goalkeeper ...ed for the ball but missed it — Голкипер бросился за мячом, но упустил его Escaping, the thief made a ~ into the nearest shop — Спасаясь от погони, вор нырнул в ближайший магазин"
BrE labour NAmE labor                                    |труд, рабочий класс, трудиться, работать (обычно тяжело, усердно)                                                                                                   | 
engine                                                   |машина, мотор (обычно на топливе)                                                                                                                                   | 
worker                                                   |рабочий (человек)                                                                                                                                                   | 
concept                                                  |понятие, идея, общее представление, концепция                                                                                                                       | 
emerge                                                   |появляться, показываться, выходить (откуда-л.)                                                                                                                      | 
garden                                                   |сад                                                                                                                                                                 | 
ace                                                      |очко, карт. туз, ас, главный козырь, лучший, высшая оценка                                                                                                          | 
video                                                    |видео                                                                                                                                                               | 
fresh                                                    |свежий, новый, чистый                                                                                                                                               | They have ~ bread every morning at the bakery — Каждое утро у них в пекарне свежий хлеб ~ meat — свежее мясо Open the window and let in a little ~ air — Открой окно и впусти немного свежего воздуха The lessons remain ~ in her memory — Уроки свежи в её памяти
staff                                                    |штат (служащих), штаб (воен.), штатный                                                                                                                              | 
conduct                                                  |сопровождать, сопутствовать, быть чьим-л. проводником, руководство, управление                                                                                      | to ~ tourists through a museum — водить туристов по музею good ~ — послушание, хорошее поведение
partner                                                  |партнер                                                                                                                                                             | 
circle                                                   |круг, окружность, вращаться                                                                                                                                         | 
defence (BrE) = defense (NAmE)                           |защита, оборона                                                                                                                                                     | 
chest                                                    |грудная клетка                                                                                                                                                      | 
mom                                                      |мама                                                                                                                                                                | 
attend                                                   |посещать, присутствовать                                                                                                                                            | "to ~ a lecture — посетить лекцию to ~ school — ходить в школу to ~ to one's own business — заботиться о собственных делах I was not ~ing to the conversation — Я не следил за беседой"
bottom                                                   |дно, низ                                                                                                                                                            | 
tall                                                     |высокий (о человеке, животном)                                                                                                                                      | 
variety                                                  |многообразие, разнообразие                                                                                                                                          | ~ the mother of enjoyment — Разнообразие - источник наслаждения
discuss                                                  |обсуждать                                                                                                                                                           | 
shirt                                                    |рубашка (мужская)                                                                                                                                                   | 
current                                                  |струя, течение, текущий                                                                                                                                             | 
respond                                                  |отвечать, отзываться, реагировать                                                                                                                                   | to ~ with a blow — ответить ударом to ~ to kindness — отозваться на доброе отношение to ~ to treatment — поддаваться лечению
