-même (aujourd'hui-même)                                          | же (сегодня же)
..., tout comme...                                                | и..., и...
1000e                                                             | тЫсячный
100e                                                              | сОтый
2000e                                                             | двухтысячный
3e personne du pluriel, sans sujet : говорят = on dit             | On (des gens, tout le monde)
4 fois par an                                                     | 4 раза в год
Amérique du Nord                                                  | Северная Америка
Bruyant                                                           | грОмкий
C'est la plus belle ville.                                        | Это самый красивый город.
Chauve                                                            | лысый
D'accord                                                          | лАдно
Elle a épousé Sacha                                               | она вышла замуж за Сашу
Elle s'est mariée l'année dernière                                | она вышла замуж в прошлом году
Et rentrer à la maison, comment le faisons-nous maintenant?       | как мы теперь домой попадём-то
Il a la même montre que toi                                       | у него такие же часы, как у тебя
Il a toujours la même montre                                      | у него всегда одни и те же часы
Il a épousé Irina                                                 | Он женится на Ирине
Il est marié                                                      | он женат
Il est temps que nous partions                                    | нам пора уходить
Il n'est même pas fatigué                                         | он даже не устал
Ils habitent le même immeuble                                     | они живут в одном доме
Ils habitent le même quartier                                     | Они живут в одном районе
Ils sont mariés (ensembles)                                       | они муж и жена
Ils vivent toujours dans le même quartier                         | Они живут в одном и том же районе
Ils y ont passé un mois                                           | они там провели месяц
L'Everest est la plus haute montagne du monde                     | Эверест - самая высокая гора мира
L'os                                                              | кость
La Russie a gagné le championnat de hockey                        | Россия выиграла чемпионат по хоккею
Le directeur n'est pas là ?                                       | Директора нет?
Le journaliste qui travaille ici                                  | журналист, который здесь работает.
Marcher dans les rues, dans la ville                              | ходить по улицам, по городу
Marié                                                             | женАтый
Nous nous connaissons depuis très longtemps                       | у нас очень давние отношения
Nous nous promenons avant qu'il fasse nuit                        | Мы гуляем пока не темно.
Nous passons les vacances à la mer                                | мы проводим каникулы на море
Noël                                                              | Рождество
On utilise l'instrumental                                         | par (moyen)
POUR quelques jours                                               | НА несколько дней
Par la radio, à la radio, à la TV                                 | По радио, по телевизору
Quand donc sera-t-il là ?                                         | Когда же он будет ?
Que s'est-il passé ?                                              | что произошло ?
Que se passe-t-il ?                                               | что происходит ?
Qui a gagné la guerre ?                                           | кто выиграл войну ?
Regarder par la fenêtre                                           | смотреть в окно
Soudain                                                           | Вдруг
Strictement pareil, un seul et unique                             | один и тот же (se décline)
Transmettre par l'intermédiaire d'une amie                        | Передать через подругу
Tu travailles mieux que lui.                                      | Ты работаешь лучше, чем он.
Une fois par an                                                   | раз в год
Une fois par jour                                                 | раз в день
a ce soir !                                                       | до  вечера !
a côté de qqc                                                     | рЯдом с 
a droite                                                          | lieu situation : спрАва
a droite de qqc                                                   | спрАва от 
a gauche                                                          | lieu situation : слЕва
a gauche de                                                       | слева от
a haute voix                                                      | вслух
a la campagne                                                     | за город
a la fin (de qqc)                                                 | в конце 
a la maison                                                       | lieu destination : домОй
a la maison (destination)                                         | домОй
a la mode                                                         | модный
a la télévision                                                   | по телевизору
a libel                                                           | une calomnie
a mon avis                                                        | по-моему
a mon avis                                                        | по моему мнению
a pied                                                            | пешкОм
a plusieurs étages                                                | многоэтажный
a quelle heure ?                                                  | в котором часу ?
a qui est                                                         | чей, чья, чьё, чьи
a table                                                           | за столом
a voix basse                                                      | про себя
a votre avis ?                                                    | как вы думаете ?
a, dans la mer                                                    | на, в мОре
abaisser                                                          | опускать (n), опустить (щу, стишь, стят)
abonné                                                            | подписчик
absurde, dépourvu de sens                                         | бессмысленно
accepter                                                          | принять
accuser                                                           | обвинять
acteur, actrice                                                   | актёр, актрИса
adopter (un garçon)                                               | усыновить
adopter (une fille)                                               | удочерить
agé                                                               | пожилой
ah, bien                                                          | ага
aider qqu                                                         | помогать 
aimable                                                           | любезный
aimer                                                             | любИть
aimer perfectif                                                   | полюбить
aller bien (vêtement)                                             | подходить
aller chercher, aller acheter                                     | идти/ходить за 
aller chercher, puis revenir avec ce que l'on a cherché           | сходить за 
aller en véhicule (plus d'une fois)                               | Ездить
aller à pied (une fois)                                           | идти
allo                                                              | аллО
allumer, faire la fête                                            | зажигать - зажечь
alors..?                                                          | ну
amour                                                             | любовь
améliorer                                                         | улучшать
analyser                                                          | анализировать
ancien                                                            | старинный
anglais, anglaise                                                 | англичАнин, англичАнка
anniversaire                                                      | день рождЕния
annuler                                                           | аннулИровать -
annuler                                                           | отменить
apercevoir                                                        | замечать / заметить
