adashmoq             |блуждать, заблудиться                                                                                                     |[sound:uz_adashmoq.mp3]
afsona               |легенда, миф                                                                                                              |[sound:uz_afsona.mp3]
aft                  |лицо [см. yuz]                                                                                                            |[sound:uz_aft.mp3]
agar(da)             |если                                                                                                                      |[sound:uz_agar(da).mp3]
ahamiyat             |значение                                                                                                                  |[sound:uz_ahamiyat.mp3]
ahil                 |дружный                                                                                                                   |[sound:uz_ahil.mp3]
aholi                |население, жители                                                                                                         |[sound:uz_aholi.mp3]
ahvol                |положение, состояние, обстоятельство                                                                                      |[sound:uz_ahvol.mp3]
ajal                 |смертный час, смерть                                                                                                      |[sound:uz_ajal.mp3]
ajdodlar             |деды, предки                                                                                                              |[sound:uz_ajdodlar.mp3]
ajin                 |морщина                                                                                                                   |[sound:uz_ajin.mp3]
ajoyib               |удивительный, изумительный                                                                                                |[sound:uz_ajoyib.mp3]
ajralmoq             |1. разделяться [разделиться], разъединяться [разъединиться] <br> 2. лишаться [лишиться [потерять] [см. ayrilmoq]], терять |[sound:uz_ajralmoq.mp3]
ajratmoq             |1. разделять [разделить], разъединять [разъ­единить] <br> 2. отличать, различать [см. farqlamoq]                          |[sound:uz_ajratmoq.mp3]
aka                  |старший брат                                                                                                              |[sound:uz_aka.mp3]
aksincha             |напротив, наоборот                                                                                                        |[sound:uz_aksincha.mp3]
aksirmoq             |чихать                                                                                                                    |[sound:uz_aksirmoq.mp3]
alanga               |пламя                                                                                                                     |[sound:uz_alanga.mp3]
alangalanmoq         |воспламеняться, пылать                                                                                                    |[sound:uz_alangalanmoq.mp3]
albatta              |обязательно, безусловно, конечно                                                                                          |[sound:uz_albatta.mp3]
aldamoq              |обманывать [обмануть]                                                                                                     |[sound:uz_aldamoq.mp3]
aldamchi             |обманщик, обманщица                                                                                                       |[sound:uz_aldamchi.mp3]
alla                 |колыбельная                                                                                                               |[sound:uz_alla.mp3]
allakim              |кто-то                                                                                                                    |[sound:uz_allakim.mp3]
allalamoq            |баюкать                                                                                                                   |[sound:uz_allalamoq.mp3]
