|word_ru|word_uz|topic_index|topic_ru|chapter_index|chapter_ru|part_index|part_ru
0|я|men|1|Местоимения|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
1|ты|sen|1|Местоимения|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
2|он, она, оно|u|1|Местоимения|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
3|мы|biz|1|Местоимения|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
4|вы|siz|1|Местоимения|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
5|они|ular|1|Местоимения|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
6|Здравствуй!|Salom!|2|Приветствия. Прощания. Извинения. Благодарность|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
7|Здравствуйте!|Salom!|2|Приветствия. Прощания. Извинения. Благодарность|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
8|Доброе утро!|Xayrli tong!|2|Приветствия. Прощания. Извинения. Благодарность|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
9|Добрый день!|Xayrli kun!|2|Приветствия. Прощания. Извинения. Благодарность|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
10|Добрый вечер!|Xayrli oqshom!|2|Приветствия. Прощания. Извинения. Благодарность|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
11|здороваться|salomlashmoq|2|Приветствия. Прощания. Извинения. Благодарность|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
12|Привет!|Salom!|2|Приветствия. Прощания. Извинения. Благодарность|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
13|привет, приветствие|salom|2|Приветствия. Прощания. Извинения. Благодарность|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
14|приветствовать|salom bermoq|2|Приветствия. Прощания. Извинения. Благодарность|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
15|Как дела?|Ishlar qanday?|2|Приветствия. Прощания. Извинения. Благодарность|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
16|Что нового?|Yangilik bormi?|2|Приветствия. Прощания. Извинения. Благодарность|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
17|До свидания!|Xayr!|2|Приветствия. Прощания. Извинения. Благодарность|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
18|До скорой встречи!|Ko‘rishquncha xayr!|2|Приветствия. Прощания. Извинения. Благодарность|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
19|Прощай! Прощайте!|Alvido!|2|Приветствия. Прощания. Извинения. Благодарность|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
20|прощаться|xayrlashmoq|2|Приветствия. Прощания. Извинения. Благодарность|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
21|Пока!|Hozircha xayr!|2|Приветствия. Прощания. Извинения. Благодарность|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
22|Спасибо!|Rahmat!|2|Приветствия. Прощания. Извинения. Благодарность|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
23|Большое спасибо!|Katta rahmat!|2|Приветствия. Прощания. Извинения. Благодарность|1|основные понятия / часть 1|1|ОСНОВНЫЕ ПОНЯТИЯ
