adashmoq[sound:adashmoq_1.mp3]                         |блуждать, заблудиться
afsona[sound:afsona_2.mp3]                             |легенда, миф
aft[sound:aft_1.mp3]                                   |лицо [см. yuz]
agar(da)[sound:agar(da)_1.mp3]                         |если
ahamiyat[sound:ahamiyat_2.mp3]                         |значение
ahil[sound:ahil_1.mp3]                                 |дружный
aholi[sound:aholi_2.mp3]                               |население, жители
ahvol[sound:ahvol_1.mp3]                               |положение, состояние, обстоятельство
ajal[sound:ajal_1.mp3]                                 |смертный час, смерть
ajdodlar[sound:ajdodlar_1.mp3]                         |деды, предки
ajin[sound:ajin_1.mp3]                                 |морщина
ajoyib[sound:ajoyib_1.mp3]                             |удивительный, изумительный
ajralmoq[sound:ajralmoq_1.mp3]                         |1. разделяться [разделиться], разъединяться [разъединиться]; 2. лишаться [лишиться [потерять] [см. ayrilmoq]], терять
ajratmoq[sound:ajratmoq_1.mp3]                         |1. разделять [разделить], разъединять [разъ­единить]; 2. отличать, различать [см. farqlamoq]
aka[sound:aka_1.mp3]                                   |старший брат
aksincha[sound:aksincha_2.mp3]                         |напротив, наоборот
aksirmoq[sound:aksirmoq_1.mp3]                         |чихать
alanga[sound:alanga_1.mp3]                             |пламя
alangalanmoq[sound:alangalanmoq_1.mp3]                 |воспламеняться, пылать
albatta[sound:albatta_1.mp3]                           |обязательно, безусловно, конечно
aldamoq[sound:aldamoq_1.mp3]                           |обманывать [обмануть]
aldamchi[sound:aldamchi_1.mp3]                         |обманщик, обманщица
alla[sound:alla_1.mp3]                                 |колыбельная
allakim[sound:allakim_1.mp3]                           |кто-то
allalamoq[sound:allalamoq_1.mp3]                       |баюкать
allanarsa[sound:allanarsa_1.mp3]                       |что-то
almashmoq[sound:almashmoq_1.mp3]                       |меняться, обмениваться
alohida[sound:alohida_1.mp3]                           |отдельный, обособленный
amaki[sound:amaki_1.mp3]                               |дядя
amma[sound:amma_1.mp3]                                 |тётя
ammo[sound:ammo_1.mp3]                                 |но, однако
ana[sound:ana_1.mp3]                                   |вон, вот
andava[sound:andava_1.mp3]                             |мастерок, шпатель
aniq[sound:aniq_1.mp3]                                 |точный, точно
aniqlamoq[sound:aniqlamoq_1.mp3]                       |уточнять, выяснять; определить
anjir[sound:anjir_1.mp3]                               |инжир
anor[sound:anor_1.mp3]                                 |гранат
anhor[sound:anhor_1.mp3]                               |речка
ancha[sound:ancha_1.mp3]                               |много, довольно много
aql[sound:aql_1.mp3]                                   |ум, разум, рассудок
aqlli[sound:aqlli_1.mp3]                               |умный, разумный
aralashmoq[sound:aralashmoq_1.mp3]                     |вмешиваться, соваться
arang[sound:arang_1.mp3]                               |едва, еле-еле, с трудом
ari[sound:ari_1.mp3]                                   |оса
arava[sound:arava_1.mp3]                               |арба, телега
aravacha[sound:aravacha_1.mp3]                         |тележка, коляска
arazlamoq[sound:arazlamoq_1.mp3]                       |быть в ссоре, дуться, обижаться
arqon[sound:arqon_1.mp3]                               |аркан, веревка, канат
arra[sound:arra_1.mp3]                                 |пила
arralamoq[sound:arralamoq_1.mp3]                       |пилить
artmoq[sound:artmoq_1.mp3]                             |вытирать, обтирать
arzimoq[sound:arzimoq_1.mp3]                           |стоить; быть достойным
arzon[sound:arzon_1.mp3]                               |дешёвый, недорогой
argʻimchoq[sound:arg‘imchoq_1.mp3]                     |качели
archa[sound:archa_1.mp3]                               |ёлка
arch(i)moq[sound:arch(i)moq_1.mp3]                     |очищать, обдирать, чистить
asab[sound:asab_1.mp3]                                 |нервы
asal[sound:asal_1.mp3]                                 |мёд
asalari[sound:asalari_1.mp3]                           |пчела
asar[sound:asar_1.mp3]                                 |произведение
asbob[sound:asbob_1.mp3]                               |инструмент, прибор
askar[sound:askar_1.mp3]                               |воин, солдат
asr[sound:asr_1.mp3]                                   |век, столетие
asramoq[sound:asramoq_1.mp3]                           |1. беречь; 2. спасать, выручать [см. saqlamoq]
assalomu alaykum[sound:assalomu_alaykum_1.mp3]         |здравствуйте
atrof[sound:atrof_1.mp3]                               |вокруг, окружность
avaylamoq[sound:avaylamoq_1.mp3]                       |беречь
avlod[sound:avlod_1.mp3]                               |потомки, потомок
avval[sound:avval_1.mp3]                               |раньше, сперва, сначала
axborot[sound:axborot_1.mp3]                           |сообщение, известие, информация
axir[sound:axir_1.mp3]                                 |ведь
axloq[sound:axloq_1.mp3]                               |поведение [см. xulq]
axloqli[sound:axloqli_1.mp3]                           |воспитанный
axloqsiz[sound:axloqsiz_1.mp3]                         |невоспитанный
axtarmoq[sound:axtarmoq_1.mp3]                         |искать, отыскивать, разыскивать [см. qidirmoq, izlamoq]
ayamoq[sound:ayamoq_1.mp3]                             |жалеть
ayb[sound:ayb_1.mp3]                                   |вина, проступок
aybdor[sound:aybdor_1.mp3]                             |виновный, виновник
ayirmoq[sound:ayirmoq_1.mp3]                           |вычитать
ayiq[sound:ayiq_1.mp3]                                 |медведь
ayiqcha[sound:ayiqcha_1.mp3]                           |медвежонок
aylanmoq[sound:aylanmoq_1.mp3]                         |1. кружиться; 2. превращаться
aynan[sound:aynan_1.mp3]                               |точь-в-точь, точно
ayol[sound:ayol_1.mp3]                                 |женщина
aytmoq[sound:aytmoq_1.mp3]                             |1. говорить, сказать; 2. рассказывать [рассказать]
ayvon[sound:ayvon_1.mp3]                               |веранда, терраса
ayyor[sound:ayyor_1.mp3]                               |хитрый, лукавый [см. mugʻambir]
aziz[sound:aziz_1.mp3]                                 |уважаемый, дорогой
azob[sound:azob_1.mp3]                                 |мучение, мука
azoblamoq[sound:azoblamoq_1.mp3]                       |мучить, истязать; пытать
ashula[sound:ashula_1.mp3]                             |песня [см. qoʻshiq]
ashula aytmoq[sound:ashula_aytmoq_1.mp3]               |петь
achinmoq[sound:achinmoq_1.mp3]                         |жалеть, сожалеть
achomlamoq[sound:achomlamoq_1.mp3]                     |обнимать
achchiq[sound:achchiq_1.mp3]                           |горький; кислый
achchiqlanmoq[sound:achchiqlanmoq_1.mp3]               |сердиться, злиться
aʼlo[sound:a’lo_1.mp3]                                 |отличный
aʼlochi[sound:a’lochi_1.mp3]                           |отличник
aʼzo[sound:a’zo_1.mp3]                                 |член
badan[sound:badan_1.mp3]                               |тело [см. tana]
badantarbiya[sound:badantarbiya_1.mp3]                 |физзарядка
baho[sound:baho_1.mp3]                                 |цена, стоимость, оценка, отметка
bahona[sound:bahona_1.mp3]                             |повод, причина, предлог
bahor[sound:bahor_1.mp3]                               |весна [см. koʻklam]
bahorgi[sound:bahorgi_1.mp3]                           |весенний
bajarmoq[sound:bajarmoq_1.mp3]                         |выполнять [выполнить]
baland[sound:baland_1.mp3]                             |высокий
baliq[sound:baliq_1.mp3]                               |рыба
balki[sound:balki_1.mp3]                               |может быть, возможно
band[sound:band_1.mp3]                                 |занятый
baqirmoq[sound:baqirmoq_1.mp3]                         |кричать
barg[sound:barg_1.mp3]                                 |лист, листья
baravar[sound:baravar_1.mp3]                           |равный, одинаковый, поровну
baribir[sound:baribir_1.mp3]                           |всё равно, безразлично
barmoq[sound:barmoq_1.mp3]                             |палец
barobar[sound:barobar_1.mp3]                           |наравне, поровну
barcha[sound:barcha_1.mp3]                             |весь, вся, всё, все
battar[sound:battar_1.mp3]                             |хуже, ещё хуже
baxil[sound:baxil_1.mp3]                               |скупой, жадный
baxt[sound:baxt_1.mp3]                                 |счастье
baxtli[sound:baxtli_1.mp3]                             |счастливый
baxtsiz[sound:baxtsiz_1.mp3]                           |несчастливый, несчастный
bayram[sound:bayram_1.mp3]                             |праздник
bayroq[sound:bayroq_1.mp3]                             |знамя, флаг
bashara[sound:bashara_1.mp3]                           |лицо
bazm[sound:bazm_1.mp3]                                 |вечеринка
baʼzan[sound:ba’zan_1.mp3]                             |иногда
begona[sound:begona_1.mp3]                             |чужой, посторонний
behi[sound:behi_1.mp3]                                 |айва
bekat[sound:bekat_1.mp3]                               |остановка
bel[sound:bel_1.mp3]                                   |поясница, талия
belgi[sound:belgi_1.mp3]                               |знак, отметка
belgilamoq[sound:belgilamoq_1.mp3]                     |намечать, обозначать
belkurak[sound:belkurak_1.mp3]                         |лопата
bemaza[sound:bemaza_1.mp3]                             |невкусный
bemor[sound:bemor_1.mp3]                               |больной [см. kasal]
bermoq[sound:bermoq_1.mp3]                             |давать [дать], отдавать [отдать], вручать [вручить]
bekinmoq[sound:bekinmoq_1.mp3]                         |прятаться, укрываться
