lemma|genuses
-algie|['f']
-ant|['m' 'n']
-anz|['f']
-chen|['n']
-elchen|['n']
-enz|['f']
-er|['m']
-erchen|['n']
-ette|['f']
-heit|['f']
-ier|['m']
-in|['f']
-ismus|['m']
-keit|['f']
-kunde|['f']
-le|['n']
-lein|['n']
-ling|['m']
-loge|['m']
-logie|['f']
-manie|['f']
-mantie|['f']
-meter|['n' 'm']
-phagie|['f']
-philie|['f']
-phobie|['f']
-sal|['n' 'f']
-schaft|['f']
-schrecke|['f']
-skopie|['f']
-stan|[]
-tum|['n' 'm']
-ung|['f']
-urie|['f']
0,2-Liter-Flasche|['f']
0,33-Liter-Flasche|['f']
0,5-Liter-Flasche|['f']
0,7-Liter-Flasche|['f']
0,75-Liter-Flasche|['f']
1,2,3-Propentricarbonsäure|['f']
1,2-Benzoldicarbonsäure|['f']
1,2-Butadien|['n']
1,2-Butandiol|['n']
1,2-Dihydroxypropan|['n']
1,2-Propandiol|['n']
1,2-Propylenglycol|['n']
1,3-Butadien|['n']
1,3-Propandiol|['n']
1,4-Benzoldicarbonsäure|['f']
1,4-Butandiol|['n']
1,5-Grad-Ziel|['n']
1,6-Liter-Benziner|['m']
1-Benzolethansäure|['f']
1-Butanol|['n']
1-Cent-Münze|['f']
1-Cent-Stück|['n']
1-Dodecanol|['n']
1-Euro-Job|['m']
1-Euro-Jobber|['m']
1-Euro-Münze|['f']
1-Euro-Stück|['n']
1-Hepten|['n']
1-Hexanol|['n']
1-Meter-Brett|['n']
1-Pentanol|['n']
1-Propanol|['n']
1-Raum-Wohnung|['f']
1-Zimmer-Wohnung|['f']
1-m-Brett|['n']
1. Johannesbrief|['m']
1. Korintherbrief|['m']
1. Petrusbrief|['m']
1. Thessalonicherbrief|['m']
1. Timotheusbrief|['m']
1. Weltkrieg|['m']
10-Cent-Münze|['f']
10-Cent-Stück|['n']
10-Euro-Schein|['m']
10-Franken-Note|['f']
10-Franken-Schein|['m']
10-Mark-Schein|['m']
10-Meter-Brett|['n']
10-Pfennig-Stück|['n']
10-Uhr-Vorstellung|['f']
10-Uhr-Zug|['m']
10-m-Brett|['n']
100-Euro-Schein|['m']
100-Franken-Note|['f']
100-Franken-Schein|['m']
100-Mark-Schein|['m']
100-Meter-Hürdenlauf|['m']
100-Meter-Lauf|['m']
100-Watt-Glühbirne|['f']
100-m-Hürdenlauf|['m']
100-m-Lauf|['m']
1000-Franken-Note|['f']
1000-Franken-Schein|['m']
1000-Mark-Schein|['m']
1000-Watt-Birne|['f']
102-Jährige|['f']
102-Jähriger|['m']
11. September|['m']
110-Meter-Hürdenlauf|['m']
110-m-Hürdenlauf|['m']
180-Grad-Drehung|['f']
1G-Regel|['f']
2,3,4,5,6-Pentahydroxyhexansäure|['f']
2,3-Dihydroxybernsteinsäure|['f']
2,3-Dihydroxybutandisäure|['f']
2,4,6-Trihydroxypyrimidin|['n']
2,4,6-Trinitrophenol|['n']
2,5G-Regel|['f']
2,6,8-Trihydroxypurin|['n']
2-Acetoxybenzoesäure|['f']
2-Amino-3-methylbutansäure|['f']
2-Aminobutandisäure|['f']
2-Aminoisovaleriansäure|['f']
2-Butanol|['n']
2-Butanon|['n']
2-Butin|['n']
2-Cent-Münze|['f']
2-Cent-Stück|['n']
2-Euro-Münze|['f']
2-Euro-Stück|['n']
2-Hexanol|['n']
2-Hydroxybenzoesäure|['f']
2-Hydroxypropansäure|['f']
2-Mark-Schein|['m']
2-Meter-Mann|['m']
2-Methyl-1-propanol|['n']
2-Methyl-2-propanol|['n']
2-Oxopropansäure|['f']
2-Propanol|['n']
2-Propen-1-ol|['n']
2-Propenal|['n']
2-Propenol|['n']
2-Zimmer-Wohnung|['f']
2. Johannesbrief|['m']
2. Korintherbrief|['m']
2. Petrusbrief|['m']
2. Thessalonicherbrief|['m']
2. Timotheusbrief|['m']
2. Weltkrieg|['m']
20-Cent-Münze|['f']
20-Cent-Stück|['n']
20-DM-Schein|['m']
20-Euro-Schein|['m']
20-Franken-Note|['f']
20-Franken-Schein|['m']
20-Mark-Schein|['m']
200-Euro-Schein|['m']
200-Franken-Note|['f']
200-Franken-Schein|['m']
200-Mark-Schein|['m']
24-Stunden-Rennen|['n']
24-Stunden-Supermarkt|['m']
24-Stunden-Tankstelle|['f']
2G-Regel|['f']
3,4,5-Trihydroxybenzoesäure|['f']
3-D-Drucker|['m']
3-Hexanol|['n']
3-Meter-Brett|['n']
3-Phenylacrylsäure|['f']
3-Uhr-Vorstellung|['f']
3-Uhr-Zug|['m']
3-Zimmer-Wohnung|['f']
3-m-Brett|['n']
3. Johannesbrief|['m']
30-jähriger Krieg|['m']
30er|[]
3D-Gestaltung|['f']
3G-Regel|['f']
4-Amino-1-benzolsulfonsäure|['f']
4-Aminobutansäure|['f']
4-Hydroxybutansäure|['f']
4-Zimmer-Wohnung|['f']
40-Stunden-Woche|['f']
400-Euro-Job|['m']
400-Euro-Jobber|['m']
40er|['m']
450-Euro-Job|['m']
46-Jähriger|['m']
5-Cent-Münze|['f']
5-Cent-Stück|['n']
5-Dollar-Schein|['m']
5-Euro-Schein|['m']
5-Mark-Schein|['m']
5-Meter-Raum|['m']
5-Minuten-Takt|['m']
5-Uhr-Vorstellung|['f']
5-Uhr-Zug|['m']
5-Zimmer-Wohnung|['f']
50-Cent-Münze|['f']
50-Cent-Stück|['n']
50-Euro-Schein|['m']
50-Franken-Note|['f']
50-Franken-Schein|['m']
50-Mark-Schein|['m']
50-Yard-Linie|['f']
500-Euro-Schein|['m']
500-Mark-Schein|['m']
5000-Meter-Lauf|['m']
5000-m-Lauf|['m']
50er|['m']
59-Jähriger|['m']
5G-Auktion|['f']
6-Uhr-Vorstellung|['f']
6-Uhr-Zug|['m']
6-Zimmer-Wohnung|['f']
60-Jähriger|[]
60-Sekunden-Takt|['m']
7-Tage-Inzidenz|['f']
7-Tage-R|['n']
7-Uhr-Vorstellung|['f']
7-Uhr-Zug|['m']
7-Zimmer-Wohnung|['f']
8-Stunden-Tag|['m']
8-Tonner|['m']
8-Uhr-Vorstellung|['f']
8-Uhr-Zug|['m']
9-mm-Pistole|['f']
90-Minüter|['m']
95 Thesen|[]
A|['n']
A-Achse|['f']
A-Auswahl|['f']
A-Bombe|['f']
A-Dur|['n']
A-Dur-Tonleiter|['f']
A-Jugend|['f']
A-Jugendliche|['f']
A-Kader|['m']
A-Klarinette|['f']
A-Mannschaft|['f']
A-Nationalmannschaft|['f']
A-Probe|['f']
A-Saite|['f']
A-Säule|['f']
A-Ware|['f']
A-a|['n']
A-cappella-Chor|['m']
AB|['m']
ABC|['n']
ABC-Abwehr|['f']
ABC-Abwehrtruppe|['f']
ABC-Alarm|['m']
ABC-Buch|['n']
ABC-Gefahr|['f']
ABC-Inseln|['f']
ABC-Kampfmittel|[]
ABC-Schutzmaske|['f']
ABC-Schüler|['m']
ABC-Schütze|['m']
ABC-Staaten|[]
ABC-Tafel|['f']
ABC-Trinker|['m']
ABC-Waffe|['f']
ABC-Waffen|[]
ABGB|['n']
ABM-Kraft|['f']
ABM-Maßnahme|['f']
ABS|['n']
ACD|[]
ACE-Hemmer|['m']
AD|[]
ADAC|['m']
ADHS-Kind|['n']
ADN|['m']
ADSL|['n']
ADV|['f']
ADV-Vertrag|['m']
AFC|['f']
AG|['f' 'n' 'm']
AGES|['f']
AHA-Formel|['f']
AHS|['f']
AIDS-Krise|['f']
AIDS-Toter|['m']
AIZ|['f']
AKH|['n']
AKW|['n']
ALARA|['n']
ALARP|['n']
ALG-II-Leistungsbescheid|['m']
AMOC|['f']
ANC|['m']
AOK|['f']
APO|['f']
ARBÖ|['m']
ARD|['f']
ARP|['n']
ASCII|['m']
ASCII-Code|['m']
ASEAN|['f']
ASL-Zeichen|['n']
ASU|['f']
ASVG|['n']
AStA|['m']
AU-Plakette|['f']
AVB|[]
AWG|['n' 'f']
Aa|['f' 'n']
Aa-Lava|['f']
Aab|[]
Aabenraa|[]
Aach|['f']
Aachen|[]
Aachener|['m']
Aachener Aphasie-Test|['m']
Aachenerin|['f']
Aad|['f']
Aak|['n']
Aake|['f']
Aaken|[]
Aakerbeere|['f']
Aal|['m']
Aalbaum|['m']
Aalbeere|['f']
Aalbeerstrauch|['m']
Aalbestand|['m']
Aalborg|[]
Aalbricke|['f']
Aalburg|[]
Aalbutt|['m']
Aalderk|[]
Aaldorsch|['m']
Aaleidechse|['f']
Aaleisen|['n']
Aalen|['n']
Aalener|['m']
Aalenerin|['f']
Aalenium|['n']
Aalfang|['m']
Aalfett|['n']
Aalfisch|['m']
Aalfischer|['m']
Aalfischerei|['f']
Aalfischerin|['f']
Aalfrau|['f']
Aalgabel|['f']
Aalhamen|['m']
Aalhaut|['f']
Aalkasten|['m']
Aalkorb|['m']
Aalkrähe|['f']
Aall|[]
Aalleiter|['f']
Aalmolch|['m']
Aalmutter|['f']
Aalmöwe|['f']
Aalnetz|['n']
Aalpuppe|['f']
Aalquappe|['f']
Aalraupe|['f']
Aalreuse|['f']
Aalrute|['f']
Aalrutte|['f']
Aalräucherei|['f']
Aalschlange|['f']
Aalschnur|['f']
Aalsmeer|[]
Aalspeer|['m']
Aalst|[]
Aalstechen|['n']
Aalstreif|['m']
Aalstreifen|['m']
Aalstrich|['m']
Aalsuppe|['f']
Aaltierchen|['n']
Aaltreppe|['f']
Aalwanderung|['f']
Aalwehr|['n']
Aalwels|['m']
Aaners|[]
Aap|['m']
Aar|['m' 'f']
Aarau|[]
Aare|['f']
Aarestadt|['f']
Aargau|['m']
Aargauer|['m']
Aargauerin|['f']
Aarhus|[]
Aari|[]
Aaron|[]
Aarskog-Syndrom|['n']
Aarweihe|['f' 'm']
Aas|['n']
Aasbande|['f']
Aasblatter|['f']
Aasblume|['f']
Aase-Syndrom|['n']
Aasee|['m']
Aaser|['m']
Aasfliege|['f']
Aasfraß|['m']
Aasfresser|['m']
Aasgeier|['m']
Aasgeld|['n']
Aasgeruch|['m']
Aasgestank|['m']
Aasinsekt|['n']
Aasjagd|['f']
Aasjäger|['m']
Aasjägerei|['f']
Aaskrähe|['f']
Aaskäfer|['m']
Aaspocke|['f']
Aasseite|['f']
Aast|['n']
Aasvogel|['m']
Ab-esse-ad-posse-Prinzip|['n']
Aba|['f' 'm']
Abaca|['m']
Abachi|['n']
Abachum|[]
Abadan|[]
Abaddon|['m']
Abade|['m']
Abadie-Zeichen|['n']
Abagta|[]
Abagtha|[]
Abaisse|['f']
Abaka|['m']
Abakaliki|[]
Abakan|['m']
Abakus|['m']
Abalienation|['f']
Abalone|['f' 'n']
Abandon|['m']
Abandonnement|['n']
Abarbeitung|['f']
Abarbeitungsgeschwindigkeit|['f']
Abart|['f']
Abartigkeit|['f']
Abartung|['f']
Abasa|[]
Abashiri|[]
Abasi|[]
Abasie|['f']
Abasinisch|[]
Abate|['m' 'f']
Abatis|['m' 'n']
Abatjour|['m']
Abaton|['n']
Abaya|['f']
Abba|[]
Abbadon|['m']
Abbaggerung|['f']
Abbas|[]
Abbaside|['m']
Abbate|['m']
Abbau|['m']
Abbauantrag|['m']
Abbauarbeit|['f']
Abbaubarkeit|['f']
Abbaubereich|['m']
Abbaubetrieb|['m']
Abbauerscheinung|['f']
Abbaufeld|['n']
Abbaufläche|['f']
Abbauförderung|['f']
Abbaugebiet|['n']
Abbaugerechtigkeit|['f']
Abbaugerät|['n']
Abbauhammer|['m']
Abbauintoxikation|['f']
Abbaukrankheit|['f']
Abbauland|['n']
Abbaumaßnahme|['f']
Abbaumenge|['f']
Abbaumethode|['f']
