|lemma|lemma_correct
0.0|mein|
1.0|Schicksal|das Schicksal
2.0|sein|
3.0|ein|
4.0|leer|
5.0|Blatt|das Blatt
6.0|Papier|das Papier
7.0|können|
8.0|so|
9.0|geduldig|
10.0|ich|
11.0|haben|
12.0|dieser|
13.0|warten|
14.0|satt|
15.0|seit|
16.0|Woche|die Woche
17.0|fallen|
18.0|mir|
19.0|nichts|
20.0|mehr|
21.0|starren|
22.0|in|
23.0|der|
24.0|Dunkel|das Dunkel
25.0|Raum|der Raum
26.0|nach|
27.0|Stunde|die Stunde
29.0|endlich|
30.0|sie|
31.0|kommen|
32.0|aus|
33.0|Tiefe|die Tiefe
34.0|Traum|der Traum
35.0|und|
37.0|Herz|das Herz
38.0|hinein|
40.0|Phantasie|die Phantasie
41.0|doch|
42.0|ihr|
43.0|Preis|der Preis
45.0|du|
46.0|nicht|
47.0|Geist|der Geist
48.0|rufen|
50.0|Nacht|die Nacht
51.0|während|
53.0|hier|
54.0|viel|
55.0|zu|
56.0|groß|
57.0|Lassen|
58.0|mich|
59.0|los|
60.0|man|
61.0|schlagen|
62.0|Handel|der Handel
63.0|vor|
64.0|willigen|
65.0|nur|
67.0|auch|
68.0|wenn|
69.0|Verstand|der Verstand
70.0|verlieren|
71.0|wollen|
72.0|berühmt|
73.0|dafür|
74.0|geben|
75.0|Melodie|die Melodie
76.0|immer|
77.0|neu|
78.0|Guß|
79.0|bringen|
80.0|herein|
81.0|Tausend|die Tausend
81.1||das Tausend
81.2||der Tausend
82.0|schwarz|
83.0|Fluß|
84.0|stürzen|
85.0|auf|
87.0|an|
88.0|oh|
89.0|Meister|der Meister
90.0|Not|die Not
92.0|nie|
93.0|wieder|
96.0|schön|
97.0|Leichtmatrose|der Leichtmatrose
99.0|uns|
100.0|bummeln|
101.0|gehen|
102.0|herab|
104.0|alle|
105.0|sollen|
106.0|fummeln|
107.0|sehen|
108.0|stopfen|
109.0|Leck|das Leck
111.0|bald|
112.0|schon|
113.0|schrubben|
114.0|dir|
115.0|Deck|das Deck
117.0|fern|
119.0|Hafen|der Hafen
120.0|gern|
122.0|bei|
123.0|heute|
125.0|lang|
126.0|dich|
