|word|lemma
103|Seemannshose|die Seemannshose
110|Seemannsrose|die Seemannsrose
152|Johohoho|johohoho
246|letzter|letzter
264|Fehlgebot|das Fehlgebot
294|letzer|letzter
297|Staubgeborene|die Staubgeborene
306|Glieder|die Glieder
317|würd|würden
333|einer|einer
341|Meine|meine
346|anderer|anderer
371| | 
443|Baggypant|die Baggypant
454|Doppelripp|der Doppelripp
455|Wolfgang|Wolfgang
456|Joop|Joop
458|Kleinstadtboy|der Kleinstadtboy
472|Rocke|die Rocke
476|Härteste|das Härteste
481|Udo|Udo
482|Kier|Kier
483|Rockerboss|der Rockerboss
516|andr|andere
606|Linsenhaut|die Linsenhaut
650|Sümpfe|die Sümpfe
712|Kleider|die Kleider
771|le|le
772|lu|lu
796|Trockenbrot|das Trockenbrot
839|Brüssel|Brüssel
840|Paris|Paris
846|Xavier|Xavier
896|Tansania|Tansania
897|Münchner|der Münchner
903|Viva|Viva
904|Margherita|Margherita
906|Calzone|Calzone
908|Holzkohleofen|der Holzkohleofen
910|Bulln|Bulln
944|Fafafa|Fafafa
946|Hey|Hey
996|Kaspermucke|Kaspermucke
1006|Schattentanz|der Schattentanz
1028|Schlumpfhausen|Schlumpfhausen
1030|lalalalalalallalalala|lalalalalalallalalala
1032|Michi|Michi
1034|Michael|Michael
1039|Lendenkropf|der Lendenkropf
1041|Überland|überland
1047|soon|soon
1050|gonna|gonna
1051|Pounding|Pounding
1052|like|like
1054|fourstroke|fourstroke
1055|cycle|cycle
1056|make|make
1057|me|me
1059|cry|cry
1061|nothing|nothing
1062|left|left
1063|to|to
1064|say|say
1065|Banging|Banging
1066|night|night
1067|long|long
1068|stay|stay
1071|Südafrika|Südafrika
1080|Fourstroke|Fourstroke
1081|Cycle|Cycle
1082|Nothing|Nothing
1083|know|know
1084|why|why
1085|have|have
1086|Its|Its
1087|my|my
1088|body|body
1089|veins|veins
1090|are|are
1091|bleeding|bleeding
1093|The|The
1094|blood|blood
1096|from|from
1097|Heart|Heart
1098|Above|Above
1099|Down|Down
1101|part|part
1102|need|need
1103|for|for
1105|cells|cells
1106|inside|inside
1107|running|running
1108|tears|tears
1109|gave|gave
1110|Away|Away
1111|Doesnt|Doesnt
1112|Matter|Matter
1113|Inside|Inside
1114|Near|Near
1115|Love|Love
1121|einn|einn
1126|Yo|Yo
1132|Kollektivgedanke|der Kollektivgedanke
1140|Surprise|Surprise
1152|Pflegenden|der Pflegende
1165|Hools|die Hooligans
1205|Rolex|Rolex
1213|Soloausritt|Soloausritt
1214|Poseroutfit|Poseroutfit
1222|Poserauschnitt|Poserauschnitt
1247|Mojito|Mojito
1254|Ooh|ooh
1259|Klingelingeling|Klingelingeling
1263|King|King
1264|Tingalingaling|Tingalingaling
1266|pretty|pretty
1297|that|that
1298|burning|burning
1299|hot|hot
1300|Those|those
1301|Boobs|boobs
1302|naughty|naughty
1304|red|red
1305|lips|lips
1306|Juicy|juicy
1307|God|god
1308|middle|middle
1309|of|of
1310|your|your
1311|web|web
1312|please|please
1313|dont|don't
1316|brain|brain
1317|turn|turn
1318|it|it
1320|Dont|don't
1321|feel|feel
1323|More|more
1324|champagne|champagne
1325|our|our
1326|game|game
1327|insane|insane
1328|but|but
1329|its|it's
1330|ahh|ahh
1332|wanna|want to
1333|ruin|ruin
1334|life|life
1335|Say|say
1336|what|what
1337|You|you
1338|tell|tell
1339|wife|wife
1340|Please|please
1342|Things|things
1343|getting|get
1345|tight|tight
1346|never|never
1347|thought|thought
1348|Youd|you'd
1349|set|set
1350|up|up
1351|wanted|wanted
1352|delight|delight
1353|lets|let's
1354|get|get
1355|said|said
1356|right|right
1357|Now|now
1358|day|day
1359|and|and
1360|Whos|who's
1361|save|save
1362|this|this
1363|fright|fright
1401|Menschenfressermensche|Menschenfressermensch
1405|Menschenfressermensch|Menschenfressermensch
1407|Menschenfressermenschen|Menschenfressermenschen
1438|Menschenfresserrente|Menschenfresserrente
1463|Dagegеnsein|dagegensein
1478|Fred|Fred
1504|Outro|Outro
1514|Storyline|Storyline
1516|Sorry|sorry
1521|Bongo|Bongo
1533|Dread|Dread
1534|selbstgemalt|selbstgemalt
1536|Rothschild|Rothschild
1550|Zweiter|zweiter
1578|Homöopathin|Homöopathin
1579|Donald|Donald
1580|Trump|Trump
1604|Jürgen|Jürgen
1605|Elsässer|Elsässer
1607|zweiter|zweiter
1608|erster|erster
1609|Kubitschek|Kubitschek
1632|Gauland|Gauland
1635|eim|einem
1638|reinzuprügeln|reinprügeln
