|author|title|text
0|OOMPH!|Die Geister die ich rief|mein;Schicksal;sein;ein;leer;Blatt;Papier;können;so;geduldig;sein;ich;haben;dieser;warten;satt;seit;Woche;einfallen;mir;nichts;mehr;ein;ich;starren;in;der;Dunkel;mein;Raum;nach;Stunde;einschlief;ich;endlich;ein;sie;kommen;aus;der;Tiefe;mein;Traum;und;hineinkrochen;in;mein;Herz;hinein;Plötzlich;sein;sie;in;mein;Phantasie;doch;sie;haben;ihr;Preis;Siehst;du;nicht;der;Geist;der;ich;rufen;Kamen;in;der;Nacht;während;ich;schlief;Wurden;hier;in;Dunkel;viel;zu;groß;der;Geist;der;ich;rufen;losLassen;mich;nicht;mehr;los;man;vorschlagen;mir;ein;Handel;vor;ich;einwilligen;nur;zögernd;ein;auch;wenn;ich;der;Verstand;verlieren;ich;wollen;doch;berühmt;sein;dafür;geben;sie;mir;dieser;Melodie;doch;sie;haben;ihr;Preis;Siehst;du;nicht;der;Geist;der;ich;rufen;Kamen;in;der;Nacht;während;ich;schlief;Wurden;hier;in;Dunkel;viel;zu;groß;der;Geist;der;ich;rufen;losLassen;mich;nicht;mehr;los;immer;neu;Guß;hereinbringen;sie;herein;Tausend;schwarz;Fluß;einstürzen;auf;mich;ein;anHör;mich;an;oh;Meister;mein;Not;sein;groß;der;ich;rufen;der;Geist;losWerd;ich;nie;wieder;los;Siehst;du;nicht;der;Geist;der;ich;rufen;Kamen;in;der;Nacht;während;ich;schlief;Wurden;hier;in;Dunkel;viel;zu;groß;der;Geist;der;ich;rufen;losLassen;mich;nicht;mehr;los;Oh;der;Geist;der;ich;rufen;Lassen;mich;nicht;mehr;los
1|OOMPH!|Seemannsrose|Komm;mein;schön;Leichtmatrose;Lass;uns;bummeln;gehen;Lass;herab;der;Seemannshose;alle;sollen;uns;fummeln;sehen;Komm;mein;schön;Leichtmatrose;Stopfe;mir;der;Leck;du;sein;mein;Seemannsrose;bald;schon;schrubb;ich;dir;der;Deck;Fern;so;fern;waren;du;mein;Hafen;gern;so;gern;bleib;ich;bei;dir;heute;Nacht;Fern;so;fern;musste;so;lang;auf;dich;warten;gern;so;gern;haben;du;mein;Feuer;entfacht;du;sein;nicht;allein;Matrose;Streich;der;Segel;ein;Kauf;dir;ein;paar;Rubbellos;Junge;ich;wollen;treu;dir;sein;Zeig;mir;dein;Mast;Matrose;ausWirf;der;Anker;aus;schnell;verblühen;der;Seemannsrose;Los;vorausgehts;voll;Kraft;voraus;Fern;so;fern;warst;du;mein;Hafen;gern;so;gern;bleib;ich;bei;dir;heute;Nacht;Fern;so;fern;musste;so;lang;auf;dich;warten;gern;so;gern;haben;du;mein;Feuer;entfachen;Johohoho;der;Seemannsrose;Johohoho;jawohl;Johohoho;der;Seemannsrose;Johohoho;ahoi;Johohoho;der;Seemannsrose;Johohoho;jawohl;Johohoho;der;Seemannsrose;Johohoho;ahoi
2|OOMPH!|Fleisch und Fell|er;schleichen;sich;an;der;Mensch;Menge;er;hingeben;sich;ganz;der;Fährte;hin;er;lieben;der;Stadt;der;Lärm;der;Enge;der;Jagen;sein;sein;Lustgewinn;es;übernehmen;ihn;der;Trieb;der;Jäger;angreifen;von;hinten;an;denn;in;der;Nacht;suchen;er;der;Liebe;Der;er;sonst;nirgends;finden;können;er;wollen;Fleisch;und;Fell;er;wollen;der;Haar;der;Haut;der;Glied;er;wollen;Fleisch;und;Fell;und;wenn;er;Blut;lecken;kommen;er;schnell;er;wollen;Fleisch;und;Fell;er;muss;es;tun;er;wollen;der;wieder;er;wollen;Fleisch;und;Fell;und;in;der;Großstadt;werden;es;hell;sie;liegen;da;ganz;eng;umschlung;der;Mann;in;Tier;der;Tier;in;Mann;sein;ineinander;eingedrungen;ein;surreal;Zweigespann;er;flüstern;sanft;in;taub;Ohr;ich;habn;sich;so;auf;dich;freuen;heut;haben;du;unsrer;Kampf;verlieren;-;doch;morgen;jag;ich;dich;erneut;er;wollen;Fleisch;und;Fell;er;wollen;der;Haar;der;Haut;der;Glied;er;wollen;Fleisch;und;Fell;und;wenn;er;Blut;lecken;kommen;er;schnell;er;wollen;Fleisch;und;Fell;er;muss;es;tun;er;wildern;wieder;er;wollen;Fleisch;und;Fell;und;in;der;Großstadt;werden;es;hell;doch;wenn;er;morgens;in;der;Spiegel;schauen;dann;haben;er;Träne;in;Gesicht;an;wahr;lieb;haben;er;nie;glauben;doch;Schuld;und;Reue;kennen;er;Nein;Schuld;und;Reue;fühlen;er;nicht;er;wollen;Fleisch;und;Fell;er;wollen;der;Haar;der;Haut;der;Glied;er;wollen;Fleisch;und;Fell;und;wenn;er;Blut;lecken;kommen;er;schnell;er;wollen;Fleisch;und;Fell;er;muss;es;tun;er;wildern;wieder;er;wollen;Fleisch;und;Fell;und;in;der;Großstadt;werden;es;hell
3|OOMPH!|Geborn zu sterben|auf;jeder;Tisch;liegen;bleich;Haut;so;still;und;starr;und;ohne;Qual;der;Schädel;auf;der;Brust;entzwei;der;Leib;gebährn;zu;letzter;mal;der;Napf;voll;mit;Fett;und;Hirn;aus;Gott;Tempel;Teufel;Stall;mit;Kopf;an;Kopf;auf;blank;Boden;Paradies;und;Sündenfall;der;Rest;in;Eimer;lauter;Fehlgebot;Haar;von;Greis;und;Blut;von;Mädchen;der;sich;einst;verkaufen;an;fett;Fleisch;wenn;du;der;Antwort;suchen;auf;alle;wer;dich;quälen;Mensch;sein;gebären;zu;sterben;wir;sein;für;kurz;Zeit;hier;einfädeln;und;dann;verlieren;wir;unser;Fade;wieder;wir;sein;für;kurz;Zeit;hier;einfädeln;und;dann;verbrennen;man;unser;kalt;Glied;der;Tür;zu;der;Regler;auf;der;Fleisch;verlässen;der;Jammertal;was;früh;Groß;werden;winzig;klein;der;Herz;entflammen;zu;letzer;mal;man;sehen;nur;Asche;Lauter;Staubgeborene;umhertanzen;umher;ein;Häufchen;Schmutz;auf;feuerfest;Bahre;in;Flammenmeer;wenn;du;der;Antwort;suchen;auf;alle;wer;dich;quälen;Mensch;sein;gebären;zu;sterben;wir;sein;für;kurz;Zeit;hier;einfädeln;und;dann;verlieren;wir;unser;Faden;wieder;wir;sein;für;kurz;Zeit;hier;einfädeln;und;dann;verbrennen;man;unser;kalt;Glieder;Feuer;Feuer;Feuer;Feuer;Feuer;Feuer;wir;sein;für;kurz;Zeit;hier;einfädeln;und;dann;verlieren;wir;unser;Faden;wieder;wir;sein;für;kurz;Zeit;hier;einfädeln;und;dann;verbrennen;man;unser;kalt;Glieder;wir;sein;für;kurz;Zeit;hier;einfädeln;und;dann;verlieren;wir;unser;Faden;wieder;wir;sein;für;kurz;Zeit;hier;einfädeln;und;dann;verbrennen;man;unser;kalt;Glied
4|Faun|Minne Duett|du;sein;reich;du;sein;schön;gestern;habn;ich;dich;sehen;und;nun;sehn;ich;sich;nach;dein;süß;Mund;Auge;sanft;wie;Mondenschein;Rosenblatt;würd;ich;streuen;Vers;schenken;ich;dir;aus;tiefstem;Herzensgrund;doch;unerreichbar;fern;sein;du;auf;ewig;Frommer;Wunsch;werden;es;sein;der;mir;hineinfahren;in;Herz;hinein;und;seit;der;verfluch;ich;jeder;voll;Stunde;Sag;warum;sein;ich;so;allein;bei;Tag;und;bei;Nacht;Such;der;einer;der;mich;befreien;Mich;verehren;aus;sein;tief;Herzensgrund;und;mit;Minne;mich;begehren;zu;jeder;Stunde;ich;sein;arm;du;sein;reich;Meine;Hand;sein;nicht;weich;denn;der;Welt;sein;aller;anderer;als;ein;Garten;wo;viel;bunt;Blume;blühen;Rose;Veilchen;und;Jasmin;und;so;muss;ich;bis;zu;jung;Tag;warten;Träne;brennen;heiß;in;mein;Auge;ach;was;sein;mit;mir;geschehen;seit;mein;Auge;dich;sehen;aller;Zeit;verfluch;ich;jeder;voll;Stunde;Sag;warum;sein;ich;so;allein;bei;Tag;und;bei;Nacht;Such;der;einer;der;mich;befreien;Mich;verehren;aus;sein;tief;Herzensgrund;und;mit;Minne;mich;begehren;zu;jeder;Stunde;Sag;warum;sein;ich;so;allein;bei;Tag;und;bei;Nacht;Such;der;einer;der;mich;befreien;Mich;verehren;aus;sein;tief;Herzensgrund;und;mit;Minne;mich;begehren;zu;jeder;Stunde
5|OOMPH!|Unzerstörbar|schon;als;Kind;sein;ich;alt;sein;ich;alle;voraus;schon;als;Kind;sein;ich;kalt;und;ich;ausrechnen;aus;wie;viel;Zeit;mir;noch;bleiben;wussen;ich;ohnehin;weil;ich;unzerstörbar;sein;ich;sein;cool;ich;sein;hart;und;ich;wusste;was;gehen;ich;sein;clever;und;smart;und;habn;lang;überlegen;warum;sein;ich;aus;Stahl;worin;liegen;der;Sinn;dass;ich;unzerstörbar;sein;dieser;Welt;sein;so;klein;so;viel;klein;als;ich;Superheld;ganz;allein;ob;ich;wollen;oder;nicht;mittlerweile;fragn;ich;mich;sein;hier;jemand;so;wie;ich;niemand;wissen;ich;sein;unzerstörbar;nichts;und;niemand;aufhalten;mich;auf;niemand;wissen;ich;sein;unzerstörbar;alle;muss;zu;Ende;gehn;und;nur;ich;können;es;überstehn;ich;sein;unzerstörbar;unzerstörbar;überall;stellen;sich;mir;irgendwa;in;der;Weg;Mir;egal;seins;wohnen;dass;nur;ich;überlegn;Sex;und;Macht;-;Ruhm;und;Geld;nur;verbrannt;Zeit;nichts;sein;für;der;Ewigkeit;dieser;Welt;sein;so;klein;so;viel;klein;als;ich;Superheld;ganz;allein;ob;ich;wollen;oder;nicht;immer;wieder;fragn;ich;mich;sein;hier;jemand;so;wie;ich;niemand;wissen;ich;sein;unzerstörbar;nichts;und;niemand;aufhalten;mich;auf;niemand;wissen;ich;sein;unzerstörbar;alle;muss;zu;Ende;gehn;und;nur;ich;können;es;überstehn;ich;sein;unzerstörbar;unzerstörbar
6|OOMPH!|6 Fuß tiefer|jeder;Nacht;genau;derselbe;Traum;Mich;umgeben;ein;kalt;schwarz;Raum;jeder;tief;Atemzug;schwerfallen;schwer;Bin;an;schreien;doch;du;hören;mich;nicht;mehr;Such;mich;tief;in;Abgrund;dein;Traum;ich;liegen;6;Fuß;tief;Such;mich;tief;in;Abgrund;dein;Traum;du;musen;noch;6;Fuß;tief;jeder;Mal;genau;dasselbe;Spiel;du;suchen;mich;doch;ich;sein;längst;an;Ziel;Erde;rieseln;leicht;auf;mein;Gesicht;Hör;mein;Herz;doch;scheinbar;schlagen;es;nicht;Such;mich;tief;in;Abgrund;dein;Traum;ich;liegen;6;Fuß;tief;Such;mich;tief;in;Abgrund;dein;Traum;du;musen;noch;6;Fuß;tief;Drum;nimm;der;Schaufel;denn;sie;fühen;dich;zu;mir;du;musen;noch;tief;ich;erwarten;dich;hier;Grab;dein;Tunnel;denn;er;bringen;dich;an;Ziel;an;Ende;warten;der;Freiheit;Such;mich;tief;in;Abgrund;dein;Traum;Such;mich;tief;in;Abgrund;dein;Traum;ich;liegen;6;Fuß;tief;Such;mich;tief;in;Abgrund;dein;Traum;du;musen;noch;6;Fuß;tief;Such;mich;tief;in;Abgrund;dein;Traum;ich;liegen;6;Fuß;tief;Such;mich;tief;in;Abgrund;dein;Traum;du;mussen;noch;6;Fuß;tief
7|OOMPH!|Kleinstadtboy|du;sein;ein;bös;klein;Opfer;in;der;Gang;fühlen;du;dich;cool;denn;Jung;mit;Baggypant;und;Basecap;sein;doch;nie;und;nimmer;schwul;in;dein;Getto;sein;du;unbarmherzig;und;so;homophob;doch;unten;drunter;trägen;du;heimlich;Doppelripp;von;Wolfgang;Joop;du;sein;ein;Gangsterboss;und;er;ein;Kleinstadtboy;du;sein;ein;hart;Mann;und;darum;weinen;du;nie;Siehst;du;der;Kleinstadtboy;dann;zittern;dir;der;Knie;Lauf;nur;weg;vor;dir;selbst;dreh;dich;weg;Lauf;nur;weg;vor;dir;selbst;dreh;dich;weg;Lauf;nur;weg;vor;dir;selbst;dreh;dich;weg;Lauf;nur;weg;vor;dir;selbst;du;sein;ein;groß;stark;Rocker;tätowieren;mit;lang;Haar;und;dass;es;schwule;unter;Rocke;geben;sein;überhaupt;nicht;wahr;bei;Rock;an;Ring;sein;du;der;Härteste;und;issen;nur;roh;Tier;und;niemand;wissen;in;dein;Nachttisch;liegen;ein;Bild;von;Udo;Kier;du;sein;ein;Rockerboss;und;er;ein;Kleinstadtboy;du;sein;ein;hart;Mann;und;darum;weinen;du;nie;Siehst;du;der;Kleinstadtboy;dann;zittern;dir;der;Knie;Lauf;nur;weg;vor;dir;selbst;dreh;dich;weg;Lauf;nur;weg;vor;dir;selbst;dreh;dich;weg;Lauf;nur;weg;vor;dir;selbst;dreh;dich;weg;Lauf;nur;weg;vor;dir;selbst;du;sein;ein;bärenstark;Torwart;reinlässt;nur;selten;einer;rein;du;konzentrieren;dich;auf;der;Ball;denn;wer;nicht;sein;dürfen;können;nicht;sein;vor;dein;Mannschaft;sein;du;hart;unter;der;Dusche;weinsen;du;nie;doch;siehst;du;dein;süß;Mittelstürmer;zittern;dir;der;Knie;Lauf;nur;weg;vor;dir;selbst;dreh;dich;weg;Lauf;nur;weg;vor;dir;selbst;dreh;dich;weg;Lauf;nur;weg;vor;dir;selbst;dreh;dich;weg;Lauf;nur;weg;vor;dir;selbst;Wein;ruhig;hart;Mann;Schrei;ruhig;hart;Mann;Wein;ruhig;hart;Mann;Schrei;ruhig
8|OOMPH!|Ich will deine Seele|du;sein;voll;Leben;dein;Herz;sein;aus;Gold;ich;wollen;deine;Sehnsucht;spürn;ich;habn;dich;immer;wollen;ich;können;nicht;mehr;warten;auch;wenn;du;dich;zieren;ich;wissen;du;sein;kurz;davor;dass;du;der;Kopf;verlieren;ich;wollen;dein;Seele;Drück;dich;an;mich;ich;wollen;dein;Seele;Lass;mich;in;dich;ich;wollen;dein;Herz;ich;habn;dich;belogen;dich;schamlos;benutzen;ich;habn;dein;Seeligkeit;mit;mein;Sünde;beschmutzen;der;ein;Gewinn;sein;Der;andr;Verlust;jetzt;gib;mir;der;Inhalt;für;der;Loch;in;mein;Brust;ich;wollen;deine;Seele;Drück;dich;an;mich;ich;wollen;deine;Seele;Lass;mich;in;dich;ich;wollen;dein;Herz;ich;können;nicht;mehr;warten;gleich;sein;ich;bei;dir;ich;können;nicht;mehr;warten;denn;du;gehören;mir;ich;wollen;deine;Seele;Drück;dich;an;mich;ich;wollen;dein;Seele;Drück;dich;an;mich;ich;wollen;dein;Seele;Lass;mich;in;dich;ich;wollen;dein;Herz;ich;wollen;dein;Seele;ich;wollen;dein;Seele;ich;wollen;dein;Seele;ich;wollen;dein;Herz
9|Down Below|Euphorie|Adrenalin;T;Tyrosin;E;wie;Exzessiv;Adrenalin;D;Dopamin;E;wie;euphorie;Adrenalin;T;Tyrosin;E;wie;exzessiv;eh;eh;Adrenalin;D;Dopamin;E;wie;euphorie;eh;eh;Adrenalin;T;Tyrosin;E;wie;exzessiv;eh;eh;Adrenalin;D;Dopamin;E;wie;euphorie;eh;eh;an;Ziel;vorbei;ganz;knapp;verfehlen;Komm;nochmal;Neustart;Zurückgedreht;gegen;der;Zeit;nichts;mehr;aufhalten;Uns;jetzt;noch;auf;denn;ab;jetzt;zählen;unser;Welt;ein;neu;Versuch;wir;kämpfen;sich;frei;frei;von;Fluch;jetzt;losgehen;es;los;unser;Zeit;Fertig;zu;Neustart;Bist;du;bereit;Oh;ein;bisschen;Euphorie;ein;wenig;mehr;an;Leben;Komm;lebn;der;Hysterie;eh;eh;Oh;ein;bisschen;Euphorie;und;wenn;wir;dabei;drauf;gehen;sonst;leben;wir;doch;nie;eh;eh;Komm;zeig;mir;mehr;ich;wollen;jetzt;alle;sehen;der;Auge;nach;vorn;nicht;zurück;nie;umdrehen;Komm;zeig;mir;ich;wollen;noch;weitergehen;ich;wollen;sich;mit;dir;Ums;Universum;drehen;Komm;zeig;mir;mehr;Komm;zeig;mir;mehr;Komm;gib;mir;mehr;ich;wollen;mehr;ich;wollen;mehr;Komm;zeig;mir;mehr;Komm;gib;mir;mehr;ich;wollen;viel;mehr;immer;mehr;immer;mehr;Oh;ein;bisschen;Euphorie;ein;wenig;mehr;an;Leben;Komm;lebn;der;Hysterie;eh;eh;Oh;ein;bisschen;Euphorie;und;wenn;wir;dabei;drauf;gehen;sonst;leben;wir;doch;nie;Adrenalin;T;Tyrosin;E;wie;Exzesiv;eh;eh;Adrenalin;D;Dopamin;E;wie;euphorie;eh;eh;Adrenalin;T;Tyrosin;E;wie;exzesiv;eh;eh;Adrenalin;D;Dopamin;E;wie;Euphorie;eh;eh;Adrenalin;Euphorie;Oh;ein;bisschen;Euphorie;ein;wenig;mehr;an;Leben;E;wie;Euphorie;eh;eh;Oh;ein;bisschen;Euphorie;und;wenn;wir;dabei;drauf;gehen;sonst;leben;wir;doch;nie;eh;eh;Adrenalin;Oh;ein;bisschen;Euphorie;ein;wenig;mehr;an;Leben;Komm;lebn;der;Hysterie;eh;eh;Adrenalin;Oh;ein;bisschen;Euphorie;und;wenn;wir;dabei;drauf;gehen;adrenalin;sonst;leben;wir;doch;nie;eh;eh;und;wenn;wir;dabei;drauf;gehen
