|lemma|lemma_correct
0|mein|mein
1|Schicksal|das Schicksal
2|sein|sein
3|ein|ein
4|leer|leer
5|Blatt|das Blatt
6|Papier|das Papier
7|können|können
8|so|so
9|geduldig|geduldig
11|ich|ich
12|haben|haben
13|dieser|dieser
14|warten|warten
15|satt|satt
16|seit|seit
17|Woche|die Woche
19|mir|mir
20|nichts|nichts
21|mehr|mehr
24|starren|starren
25|in|in
26|der|der
27|Dunkel|das Dunkel
29|Raum|der Raum
30|nach|nach
31|Stunde|die Stunde
34|endlich|endlich
36|sie|sie
37|kommen|kommen
38|aus|aus
40|Tiefe|die Tiefe
42|Traum|der Traum
43|und|und
47|Herz|das Herz
48|hinein|hinein
54|Phantasie|die Phantasie
55|doch|doch
58|ihr|ihr
59|Preis|der Preis
61|du|du
62|nicht|nicht
64|Geist|der Geist
67|rufen|rufen
68|Kamen|kommen
71|Nacht|die Nacht
72|während|während
76|hier|hier
79|viel|viel
80|zu|zu
81|groß|groß
88|mich|mich
91|los|los
92|man|man
93|vorschlagen|vorschlagen
96|Handel|der Handel
97|vor|vor
100|nur|nur
103|auch|auch
104|wenn|wenn
107|Verstand|der Verstand
108|verlieren|verlieren
110|wollen|wollen
112|berühmt|berühmt
114|dafür|dafür
115|geben|geben
119|Melodie|die Melodie
157|immer|immer
158|neu|neu
159|Guß|Guß
162|herein|herein
163|Tausend|die Tausend
164|schwarz|schwarz
165|Fluß|Fluß
166|einstürzen|einstürzen
167|auf|auf
172|an|an
173|oh|oh
174|Meister|der Meister
176|Not|die Not
186|nie|nie
187|wieder|wieder
227|Lassen|lassen
234|schön|schön
235|Leichtmatrose|der Leichtmatrose
237|uns|uns
238|bummeln|bummeln
239|gehen|gehen
241|herab|herab
244|alle|alle
245|sollen|sollen
247|fummeln|fummeln
248|sehen|sehen
256|Leck|das Leck
261|bald|bald
262|schon|schon
265|dir|dir
267|Deck|das Deck
270|fern|fern
274|Hafen|der Hafen
275|gern|gern
280|bei|bei
282|heute|heute
289|lang|lang
291|dich|dich
299|Feuer|das Feuer
304|allein|allein
305|Matrose|der Matrose
306|Streich|der Streich
308|Segel|das Segel
310|Kauf|der Kauf
313|paar|paar
314|Rubbellos|das Rubbellos
315|Junge|der Junge
318|treu|treu
323|dein|dein
324|Mast|der Mast
328|Anker|der Anker
330|schnell|schnell
331|verblühen|verblühen
334|Los|das Los
336|voll|voll
337|Kraft|die Kraft
338|voraus|voraus
371|entfachen|entfachen
376|jawohl|jawohl
381|ahoi|ahoi
392|er|er
393|schleichen|schleichen
394|sich|sich
397|Mensch|der Mensch
398|Menge|die Menge
402|ganz|ganz
404|Fährte|die Fährte
405|hin|hin
407|lieben|lieben
409|Stadt|die Stadt
411|Lärm|der Lärm
413|Enge|die Enge
415|Jagen|Jagen
418|Lustgewinn|der Lustgewinn
419|es|es
420|übernehmen|übernehmen
421|ihn|ihn
423|Trieb|der Trieb
425|Jäger|der Jäger
427|von|von
428|hinten|hinten
430|denn|denn
434|suchen|suchen
437|Liebe|die Liebe
440|sonst|sonst
441|nirgends|nirgends
442|finden|finden
446|Fleisch|das Fleisch
448|Fell|das Fell
452|Haar|das Haar
454|Haut|die Haut
456|Glied|das Glied
465|Blut|das Blut
466|lecken|lecken
478|tun|tun
491|Großstadt|die Großstadt
492|werden|werden
494|hell|hell
496|liegen|liegen
497|da|da
499|eng|eng
502|Mann|der Mann
504|Tier|das Tier
510|ineinander|ineinander
513|surreal|surreal
514|Zweigespann|das Zweigespann
516|flüstern|flüstern
517|sanft|sanft
519|taub|taub
520|Ohr|das Ohr
527|freuen|freuen
528|heut|heut
532|Kampf|der Kampf
535|morgen|morgen
539|erneut|erneut
576|wildern|wildern
593|morgens|morgens
596|Spiegel|der Spiegel
597|schauen|schauen
598|dann|dann
601|Träne|die Träne
603|Gesicht|das Gesicht
605|wahr|wahr
606|lieb|lieb
610|glauben|glauben
612|Schuld|die Schuld
614|Reue|die Reue
615|kennen|kennen
617|Nein|das Nein
621|fühlen|fühlen
675|jeder|jeder
676|Tisch|der Tisch
678|bleich|bleich
681|still|still
683|starr|starr
685|ohne|ohne
686|Qual|die Qual
688|Schädel|der Schädel
691|Brust|die Brust
692|entzwei|entzwei
694|Leib|der Leib
698|mal|mal
700|Napf|der Napf
702|mit|mit
703|Fett|das Fett
705|Hirn|das Hirn
707|Gott|der Gott
