|word|lemma
28.0|schlief|schlafen
36.0|krochen|kriechen
39.0|Plötzlich|plötzlich
44.0|Siehst|sehen
52.0|Wurden|werden
66.0|zögernd|zögern
86.0|Hör|hören
94.0|Oh|oh
95.0|Komm|kommen
98.0|Lass|lassen
103.0|Seemannshose|die Seemannshose
103.0001|der Seemann|der Seemann
103.0002|die Hose|die Hose
108.0|Stopfe|stopfen
110.0|Seemannsrose|die Seemannsrose
113.0|schrubb|schrubben
116.0|Fern|fern
118.0|waren|sein
121.0|bleib|bleiben
124.0|musste|müssen
128.0|entfacht|entfachen
138.0|Zeig|zeigen
141.0|Wirf|werfen
146.0|gehts|gehen
150.0|warst|sein
152.0|Johohoho|das Johohoho
180.0|Der|der
191.0|muss|müssen
199.0|umschlung|umschlingen
203.0|eingedrungen|eindringen
210.0|habn|haben
213.0|unsrer|unser
215.0|-|-
217.0|jag|jagen
245.0|gebährn|gebären
246.0|letzter|letzter
264.0|Fehlgebot|das Fehlgebot
281.0|Fade|fad
286.0|verlässen|verlassen
294.0|letzer|letzer
297.0|Staubgeborene|der Staubgeborene
306.0|Glieder|die Glieder
310.0|sehn|sehen
317.0|würd|würde
321.0|tiefstem|tief
325.0|Frommer|fromm
328.0|verfluch|verfluchen
329.0|Sag|sagen
332.0|Such|suchen
333.0|einer|einer
335.0|Mich|mich
341.0|Meine|meine
346.0|anderer|anderer
367.0|wussen|wissen
371.0| | 
374.0|wusste|wissen
386.0|fragn|fragen
392.0|gehn|gehen
393.0|überstehn|überstehen
396.0|irgendwa|irgendwann
400.0|seins|sein
402.0|überlegn|überlegen
407.0|verbrannt|verbrennen
414.0|Bin|sein
418.0|6|sechs
420.0|musen|müssen
431.0|nimm|nehmen
433.0|fühen|fühlen
438.0|mussen|müssen
443.0|Baggypant|die Baggypant
452.0|trägen|tragen
454.0|Doppelripp|der Doppelripp
456.0|Joop|der Joop
458.0|Kleinstadtboy|der Kleinstadtboy
466.0|dreh|drehen
470.0|schwule|schwul
472.0|Rocke|die Rocke
476.0|Härteste|härteste
477.0|issen|essen
483.0|Rockerboss|der Rockerboss
486.0|lässt|lassen
494.0|weinsen|weinen
495.0|siehst|sehen
502.0|deine|dein
504.0|spürn|spüren
508.0|Drück|drücken
509.0|belogen|belügen
512.0|Seeligkeit|die Seligkeit
516.0|andr|anderer
519.0|gib|geben
528.0|Exzessiv|exzessiv
531.0|euphorie|die Euphorie
539.0|Zurückgedreht|zurückdrehen
541.0|Uns|uns
548.0|Fertig|fertig
549.0|Bist|sein
554.0|lebn|leben
559.0|zeig|zeigen
564.0|Ums|um
567.0|Exzesiv|exzessiv
568.0|exzesiv|exzessiv
569.0|adrenalin|Adrenalin
573.0|Verbiegen|verbiegen
576.0|Werden|werden
578.0|wär|sein
585.0|weiss|wissen
594.0|intressieren|interessieren
595.0|Käme|kommen
596.0|Meinem|mein
598.0|befände|befinden
606.0|Linsenhaut|die Linsenhaut
607.0|sag|sagen
608.0|sähen|sehen
612.0|Liegt|liegen
614.0|Existieren|existieren
624.0|200|zweihundert
628.0|Gnadenlos|gnadenlos
631.0|schlafn|schlafen
633.0|Ein|ein
639.0|frissen|fressen
650.0|Sümpfe|die Sümpfe
651.0|betörend|betören
660.0|100|einhundert
672.0|Verlangt|verlangen
674.0|zieh|ziehen
681.0|gefällen|gefallen
682.0|hoff|hoffen
688.0|berührn|berühren
693.0|klemm|klemmen
695.0|rasier|rasieren
698.0|klebn|kleben
703.0|stehn|stehen
704.0|fühl|fühlen
708.0|regiern|regieren
712.0|Kleider|die Kleider
718.0|geweinen|weinen
721.0|mancher|manch
724.0|Ganz|ganz
733.0|kannen|können
748.0|Unterdrückten|unterdrücken
754.0|Verbietest|verbieten
755.0|Reden|reden
757.0|redeen|reden
759.0|Nöten|die Not
761.0|Armes|arm
763.0|Kannst|können
765.0|Krankes|krank
769.0|Pre-Chorus|der Pre-Chorus
771.0|le|le
772.0|lu|lu
775.0|schlaf|schlafen
783.0|schenk|schenken
786.0|weck|wecken
787.0|2|zwei
795.0|wirst|werden
796.0|Trockenbrot|das Trockenbrot
797.0|schrie|schreien
807.0|vergissen|vergessen
809.0|vieler|viel
811.0|Brauchen|brauchen
824.0|Binn|sein
826.0|Geben|geben
827.0|Genug|genug
831.0|brauchens|brauchen
832.0|Gebt|geben
863.0|dampfend|dampfen
865.0|unsr|unser
892.0|Findest|finden
900.0|Schreibt|schreiben
903.0|Viva|die Viva
904.0|Margherita|die Margherita
908.0|Holzkohleofen|der Holzkohleofen
910.0|Bulln|der Bulln
917.0|vergiss|vergessen
921.0|fähren|die Fähre
928.0|Vergiss|vergessen
932.0|Neulich|neulich
940.0|ist|sein
943.0|nen|ein
944.0|Fafafa|das Fafafa
945.0|Verpiss|verpissen
946.0|Hey|das Hey
951.0|brauchst|brauchen
960.0|Willst|wollen
964.0|hör|hören
965.0|Trink|trinken
968.0|Is|sein
969.0|werdn|werden
971.0|wirs|werden
973.0|Stehn|stehen
978.0|Viere|vier
980.0|komm|kommen
983.0|kannst|können
989.0|gestehn|gestehen
991.0|Rap-Wichser|der Rap-Wichser
994.0|Kannste|können
996.0|Kaspermucke|die Kaspermucke
999.0|Kalte|kalt
1003.0|Schlimmes|schlimm
1004.0|geschehn|geschehen
1006.0|Schattentanz|der Schattentanz
1027.0|tote|tot
1028.0|Schlumpfhausen|das Schlumpfhausen
1030.0|lalalalalalallalalala|das Lalalalala
1033.0|fick|ficken
1039.0|Lendenkropf|der Lendenkropf
1041.0|Überland|das Überland
1046.0|G-spot|der G-Punkt
1047.0|soon|soon
1050.0|gonna|gonna
1051.0|Pounding|das Pounding
1052.0|like|like
1054.0|fourstroke|der Viertakt
1055.0|cycle|der Zyklus
1056.0|make|make
1057.0|me|me
1059.0|cry|cry
1060.0|G-point|der G-point
1061.0|nothing|nothing
1062.0|left|übrig
1063.0|to|to
1064.0|say|say
1065.0|Banging|das Banging
1066.0|night|die Nacht
1067.0|long|long
1068.0|stay|stay
1077.0|Kund|der Kunde
1080.0|Fourstroke|der Viertakt
1081.0|Cycle|Cycle
1082.0|Nothing|Nothing
1083.0|know|know
1084.0|why|why
1085.0|have|have
1086.0|Its|es ist
1087.0|my|my
1088.0|body|der Körper
1089.0|veins|die Venen
1090.0|are|sind
1091.0|bleeding|bleeding
1093.0|The|der/die/das
1094.0|blood|das Blut
1096.0|from|from
1097.0|Heart|das Herz
1098.0|Above|oberhalb
1099.0|Down|Down
1100.0|near|-
1101.0|part|der Teil
1102.0|need|need
1103.0|for|for
1105.0|cells|die Zellen
1106.0|inside|inside
1107.0|running|running
1108.0|tears|die Tränen
1109.0|gave|gab
1110.0|Away|Away
1111.0|Doesnt|tut nicht
1112.0|Matter|die Materie
1113.0|Inside|Inside
1114.0|Near|nahe
1115.0|Love|die Liebe
1121.0|einn|einn
1124.0|sogenannter|sogenannt
1126.0|Yo|–
1132.0|Kollektivgedanke|der Kollektivgedanke
1135.0|meister|der Meister
1136.0|Rechten|der Rechte
1140.0|Surprise|die Überraschung
1141.0|Pegida-Methodik|die Pegida-Methodik
1143.0|wolln|wollen
1146.0|marschier|marschieren
1150.0|marschiern|marschieren
1151.0|Glaub|glauben
1152.0|Pflegenden|die Pflegenden
1154.0|kritisiern|kritisieren
1158.0|glaub|glauben
1160.0|eur|euer
1163.0|Überschreiten|überschreiten
1165.0|Hools|die Hooligans
1168.0|Volk-Geschrei|das Volk-Geschrei
1172.0|Lächerlichen|lächerlich
1175.0|fahrn|fahren
1176.0|demonstriern|demonstrieren
1177.0|wärn|sein
1178.0|übelst|übelst
1199.0|Trän|Träne
1201.0|Zieh|ziehen
1207.0|seh|sehen
1209.0|kick|kicken
1211.0|brauch|brauchen
1212.0|Yeah|yeah
1213.0|Soloausritt|der Soloausritt
1214.0|Poseroutfit|das Poseroutfit
1215.0|mach|machen
1216.0|ichs|ich
1218.0|brett-fett|brett-fett
1221.0|Bräute|Braut
1222.0|Poserauschnitt|der Poserausschnitt
1224.0|genieß|genießen
1227.0|is|sein
1229.0|singn|singen
1235.0|Mm|mm
1244.0|laber|labern
1247.0|Mojito|der Mojito
1254.0|Ooh|–
1257.0|versteckn|verstecken
1259.0|Klingelingeling|das Klingelingeling
1260.0|könntens|können
1264.0|Tingalingaling|das Tingalingaling
1265.0|you|-
1266.0|pretty|pretty
1270.0|bekämpf|bekämpfen
1274.0|gewinn|gewinnen
1275.0|Bestell|bestellen
1277.0|Lächerlich|lächerlich
1280.0|hau|hauen
1281.0|Fässern|Fass
1283.0|sauf|saufen
1284.0|weils|weil
1287.0|beseffen|besoffen
1288.0|schiele|schielen
1295.0|versteck|verstecken
1296.0|könnten|können
1297.0|that|that
1298.0|burning|burning
1299.0|hot|hot
1300.0|Those|those
1301.0|Boobs|die Brüste
1302.0|naughty|naughty
1304.0|red|red
1305.0|lips|die Lippen
1306.0|Juicy|saftig
1307.0|God|der Gott
1308.0|middle|die Mitte
1309.0|of|of
1310.0|your|your
1311.0|web|das Netz
1312.0|please|please
1313.0|dont|don't
1314.0|Stop|stop
1316.0|brain|das Gehirn
1317.0|turn|wenden
1318.0|it|it
1320.0|Dont|don't
1321.0|feel|feel
1322.0|Shame|die Schande
1324.0|champagne|der Champagner
1325.0|our|our
1326.0|game|das Spiel
1327.0|insane|insane
1328.0|but|but
1329.0|its|es ist
1330.0|ahh|–
1332.0|wanna|möchte
1333.0|ruin|ruinieren
1334.0|life|das Leben
1335.0|Say|say
1336.0|what|what
1337.0|You|you
1338.0|tell|tell
1339.0|wife|die Ehefrau
1340.0|Please|please
1342.0|Things|die Dinge
1343.0|getting|get
1345.0|tight|tight
1346.0|never|never
1347.0|thought|gedacht
1348.0|Youd|du würdest
1349.0|set|set
1350.0|up|up
1351.0|wanted|gewollt
1352.0|delight|die Freude
1353.0|lets|let's
1354.0|get|get
1355.0|said|gesagt
1356.0|right|right
1357.0|Now|now
1358.0|day|der Tag
1359.0|and|and
1360.0|Whos|wer ist
1361.0|save|save
1362.0|this|dies
1363.0|fright|die Angst
1364.0|Zügen|Zug
1365.0|Blutend|bluten
1366.0|atmeen|atmen
1367.0|gewunden|winden
1371.0|Wolltest|wollen
1373.0|Deine|dein
1378.0|hattest|haben
1380.0|Stirb|sterben
1381.0|Sei|sein
1382.0|Nimm|nehmen
1393.0|Weinen|weinen
1401.0|Menschenfressermensche|der Menschenfressermensch
1405.0|Menschenfressermensch|der Menschenfressermensch
1407.0|Menschenfressermenschen|die Menschenfressermenschen
1410.0|gesünd|gesund
1415.0|Tut|tun
1419.0|könnens|können
1425.0|gibts|geben
1427.0|33|dreiunddreißig
1438.0|Menschenfresserrente|die Menschenfresserrente
1439.0|bringens|bringen
1447.0|1|eins
1448.0|nehmn|nehmen
1451.0|Einfach|einfach
1454.0|keinn|kein
1460.0|Handelen|handeln
1462.0|Seitеn|Seite
1463.0|Dagegеnsein|das Dagegensein
1466.0|schreib|schreiben
1471.0|Pre-Hook|der Pre-Hook
1478.0|Fred|Fred
1484.0|Flammn|flammen
1485.0|Fühlt|fühlen
1489.0|Holt|holen
1496.0|geh|gehen
1497.0|deinn|dein
1498.0|schaff|schaffen
1504.0|Outro|das Outro
1505.0|Flamm|Flamme
1508.0|Guten|gut
1514.0|Storyline|die Storyline
1516.0|Sorry|sorry
1522.0|schwarze-weiß-rot|schwarz-weiß-rot
1525.0|Holocaust-Mahnmal|das Holocaust-Mahnmal
1526.0|Brandеnburger|Brandenburger
1529.0|dеnn|denn
1532.0|Henna-rot|Henna-rot
1533.0|Dread|Dread
1534.0|selbstgemalt|selbstgemalt
1536.0|Rothschild|der Rothschild
1538.0|Zwinkert|zwinkern
1549.0|gesoffen|saufen
1555.0|18|achtzehn
1560.0|Schreit|schreien
1575.0|irgendeiner|irgendein
1578.0|Homöopathin|die Homöopathin
1579.0|Donald|Donald
1580.0|Trump|Trump
1586.0|versperrn|versperren
1589.0|Lieber|lieber
1592.0|Roman-Ressort|das Roman-Ressort
1594.0|ausdachen|ausdenken
1595.0|sies|sie
1599.0|Annehmen|annehmen
1600.0|schriebe|schreiben
1601.0|besänge|besingen
1603.0|fänden|finden
1607.0|zweiter|der Zweiter
1608.0|erster|der Erster
1609.0|Kubitschek|Kubitschek
1618.0|Juristisch|juristisch
1631.0|Behaupten|behaupten
1632.0|Gauland|Gauland
1635.0|eim|eim
1638.0|reinzuprügeln|reinprügeln
1639.0|nöcher|nöcher
1643.0|Jebsen|Jebsen
1653.0|Gerichtskoste|Gerichtskosten
1659.0|Danger|die Gefahr
1667.0|schieß|schießen
1668.0|Reptilienmensch|der Reptilienmensch
1676.0|NSU|die NSU
1680.0|Oury|Oury
1681.0|Jalloh|Jalloh
1687.0|machn|machen
1692.0|hipp|hipp
1696.0|Work-Party|die Arbeitsfeier
1698.0|Start-Up-Unternehmer|der Start-Up-Unternehmer
1699.0|Ramones-Shirt|das Ramones-Shirt
1700.0|grad|der Grad
1701.0|Bewerbungsmail|die Bewerbungsmail
1707.0|Lou|Lou
1708.0|Reed|Reed
1712.0|lauf|laufen
1714.0|bekomm|bekommen
1715.0|fang|fangen
1718.0|Wäre|sein
1720.0|verlorn|verlieren
1733.0|laufn|laufen
1735.0|Reed-Konzert|das Reed-Konzert
1736.0|Place|der Ort
1737.0|de|de
1738.0|Quinconces|Quinconces
1741.0|flics|die Polizisten
1743.0|Pepperspray|das Pepperspray
1745.0|brannen|brennen
1751.0|Kriegst|kriegen
1755.0|weißt|wissen
1756.0|wiedererkannen|wiedererkennen
1761.0|obs|–
1764.0|schlägen|schlagen
1776.0|meinn|meinen
1778.0|einr|einrichten
1783.0|ers|–
1787.0|Sade|Sade
1793.0|geb|geben
1796.0|Bekommen|bekommen
1798.0|vergammelt|vergammeln
1800.0|ueberhoeht|überhöhen
1801.0|zurueckzuweisen|zurückweisen
1802.0|Serviert|servieren
1804.0|schlechtriechend|schlechtriechend
1812.0|Sitzt|sitzen
1814.0|wuergen|würgen
1818.0|Schaben|schaben
1819.0|verschimmelt|verschimmeln
1821.0|frag|fragen
1822.0|willse|wollen
1823.0|voellig|völlig
1824.0|verdreckt|verdrecken
1825.0|Toertchen|Törtchen
1828.0|bestreut|bestreuen
1831.0|Fischoel|Fischöl
1832.0|getaucht|tauchen
1833.0|Plaetzchen|Plätzchen
1842.0|wüsste|wissen
1844.0|findn|finden
1845.0|such|suchen
1850.0|Schaut|schauen
1851.0|Schauen|schauen
1852.0|hats|haben
1853.0|sprech|sprechen
1857.0|neugier|Neugier
1862.0|Verrate|verraten
1863.0|Spürst|spüren
1868.0|Tragen|tragen
1870.0|ohoho|–
1871.0|keiner|keiner
1876.0|willst|wollen
1893.0|hundertzwanzig|hundertzwanzig
1895.0|rumfahren|rumfahren
1896.0|konnen|können
1898.0|müsst|müssen
1903.0|Ständ|Ständer
1905.0|Niemals|niemals
1906.0|wordn|werden
1910.0|Opel|der Opel
1923.0|habsn|haben
1924.0|anstrichen|anstreichen
1929.0|ner|ner
1930.0|Jeder|jeder
1931.0|kanns|können
1936.0|kniet|knien
1943.0|gerad|gerade
1947.0|Barry|Barry
1948.0|Manilow|Manilow
1949.0|ists|sein
1952.0|denk|denken
1954.0|sprichen|sprechen
1956.0|wenns|wenn
1959.0|nimmen|nehmen
1960.0|küsen|küssen
1961.0|habs|haben
1963.0|So-zial|sozial
1965.0|So-lidarisch|solidarisch
1968.0|Lässt|lassen
1974.0|Early|Early
1975.0|Adopter|der Adopter
1982.0|Die-Welt-Ficken|Die-Welt-Ficken
1983.0|Bleiben|bleiben
1985.0|wehret|wehren
1990.0|basierend|basieren
1992.0|hingerichtet|hinrichten
2008.0|Luftbunker|der Luftbunker
2010.0|Luftschlösser|die Luftschlösser
