|word_de|part_of_speech|word_en|sentence_de|sentence_en|sentence_lemmatized_de
0|abklären|verb|to clarify|Wir müssen die Details morgen abklären.|We need to clarify the details tomorrow.|
1|ablichten|verb|to photograph|Der Fotograf will das Model perfekt ablichten.|The photographer wants to perfectly photograph the model.|
2|abliefern|verb|to deliver|Sie hat die Pakete pünktlich abgeliefert.|She delivered the packages on time.|
3|abmurksen|verb|to bump off|Der Film zeigt, wie ein Agent jemanden abmurkst.|The movie shows how an agent bumps someone off.|
4|abnibbeln|verb|to kick the bucket|Er meinte, er will nicht so jung abnibbeln.|He said he doesn’t want to kick the bucket so young.|
5|abreißen|verb|to tear down|Sie werden die alte Brücke bald abreißen.|They will tear down the old bridge soon.|
6|abschicken|verb|to send|Ich werde die Bewerbung gleich abschicken.|I’ll send the application right away.|
7|abschrecken|verb|to deter|Die hohe Strafe sollte Diebe abschrecken.|The high penalty should deter thieves.|
8|abschweifen|verb|to digress|Bitte nicht vom Thema abschweifen, es ist wichtig.|Please don’t digress from the topic; it’s important.|
9|abstrahieren|verb|to abstract|Er versuchte, die Idee zu abstrahieren.|He tried to abstract the idea.|
10|abtragen|verb|to remove|Sie wollen den alten Schutt abtragen.|They want to remove the old rubble.|
11|abwaschbar|adjective|washable|Die Farbe ist leicht abwaschbar und praktisch.|The paint is easily washable and practical.|
12|abwehren|verb|to fend off|Der Torwart konnte den Schuss abwehren.|The goalkeeper was able to fend off the shot.|
13|achtsam|adjective|mindful|Sei achtsam, wenn du durch den Wald gehst.|Be mindful when you walk through the forest.|
14|ackern|verb|to toil|Er muss hart ackern, um das Projekt zu schaffen.|He has to toil hard to finish the project.|
15|adoptieren|verb|to adopt|Sie wollen ein Kind aus dem Ausland adoptieren.|They want to adopt a child from abroad.|
16|ähm|interjection|uhm|Ähm, ich glaube, das habe ich vergessen.|Uhm, I think I forgot that.|
17|ahoi|interjection|ahoy|Ahoi, Kameraden! Das Abenteuer ruft!|Ahoy, comrades! Adventure calls!|
18|akribisch|adjective|meticulous|Er arbeitet akribisch an den Details der Maschine.|He works meticulously on the details of the machine.|
19|albern|adjective|silly|Sein albernes Verhalten nervt alle im Büro.|His silly behavior annoys everyone in the office.|
20|allerhand|pronoun|a lot|Das war wirklich allerhand, was er geschafft hat.|That was really a lot of what he accomplished.|
21|alles|pronoun|everything|Alles im Raum wurde ordentlich aufgeräumt.|Everything in the room was neatly tidied up.|
22|altbekannt|adjective|well-known|Das ist ein altbekanntes Problem in der Branche.|That is a well-known problem in the industry.|
23|amüsieren|verb|to amuse|Wir konnten uns über den Film prächtig amüsieren.|We were able to amuse ourselves greatly with the movie.|
24|ander|adjective|other|Die andere Gruppe hat das Spiel gewonnen.|The other group won the game.|
25|anderthalb|numeral|one and a half|Ich brauche anderthalb Stunden für die Fahrt.|I need one and a half hours for the ride.|
26|anklatschen|verb|to slap on|Er wollte das Poster an die Wand anklatschen.|He wanted to slap the poster on the wall.|
27|ankleben|verb|to stick|Sie wollte Poster an die Wand ankleben.|She wanted to stick posters on the wall.|
