|song_title|author
0|Meine Hoe|Alligatoah
1|Das ist alles von der Kunstfreiheit gedeckt|Danger Dan
2|Der Rest meines Lebens|KUMMER, Max Raabe
3|Krone der Schöpfung|Die Prinzen
4|Sand in die Augen|Danger Dan
5|Licht an! Licht an!|Jan Böhmermann
6|Herbstland|Treptow
7|Du bist schön|Alligatoah
8|An Tagen wie diesen|Fettes Brot, Pascal Finkenauer
9|dein name|Maeckes
10|Wie Zuhause|Alligatoah
11|Www.einliebeslied.com|Knorkator
12|Entscheidungsschwierigkeiten|Die Prinzen
13|1234 Refill|Maeckes, Danger Dan, Edgar Wasser, Fatoni
14|Trotzdem|Danger Dan
15|ABCDEFGHIJKLMNOPQRSTUVWXYZ|Käptn Peng, Die Tentakel von Delphi
16|Über alle Berge|257ers, Alligatoah
17|Soldat|ok.danke.tschüss
18|Gut allein|Paul Gerlinger
19|Perfekte Welle|Juli
20|Lass liegen|Alligatoah
21|Faschismus is back|Jan Böhmermann
22|Leukämie du Bitch|ok.danke.tschüss
23|Hauch mich mal an|Das Lumpenpack
24|Denkmal|Wir sind Helden
25|WZF?!|Das Lumpenpack
26|Hart Vermissen|Alligatoah
27|Alles nur geklaut|Die Prinzen
28|Wie viel ist dein Outfit wert|KUMMER
29|Angst Frisst Demokratie|Paula Carolina
30|Vincent van Gogh|ok.danke.tschüss
31|Die Prinzentragödie (mit Sebastian Krumbiegel)|Danger Dan, Sebastian Krumbiegel
32|Geld verdirbt den Charakter|Dota Kehr
33|Gute Menschen|OK KID
34|Ich muss gar nix|Grossstadtgeflüster
35|Mark|Das Lumpenpack
36|Hymne gegen euch|Provinz
37|Das schreckliche Buch|Danger Dan
38|Guacamole|Das Lumpenpack
39|Eine aufs Maul|Danger Dan
40|Wir sind Versandsoldaten - Kampflied der Paketkuriere|Jan Böhmermann, Der Chor der Scheinselbständigen
41|Vergammelte Speisen|Die Prinzen
42|Ding|Seeed
43|Lauf davon|Danger Dan
44|DER LETZTE SONG (ALLES WIRD GUT) (feat. Fred Rabe)|KUMMER, Fred Rabe
45|Nicht die Musik|KUMMER
46|Einfache Gefühle|Das Lumpenpack
47|Alli-Alligatoah|Alligatoah
48|Mein Fahrrad|Die Prinzen
49|Ich verprügelte die Sextouristen in Bangkok|Danger Dan
50|Eine gute Nachricht|Danger Dan
51|Irgendwann glücklich|Haller
52|Schiff|KUMMER
53|Tesafilm|Danger Dan
54|Label Nummer 1 (feat. Danger Dan & Panik Panzer)|Bobby Fletcher, Koljah, Antilopen Gang, Danger Dan, Panik Panzer
55|Ich hänge|Alligatoah
56|Nebenjob|Alligatoah
57|Ingloria Victoria|Danger Dan
58|Gelernt|Käptn Peng, Die Tentakel von Delphi
59|Keiner|Madsen
60|Schön genug|Haller
61|Du bist so schön|Alin Coen
62|Im Labyrinth|Käptn Peng, Die Tentakel von Delphi
63|Pi|Käptn Peng, Die Tentakel von Delphi
64|Nachts auf dem Fahrrad|Treptow
65|Zu laut in der Disko|ok.danke.tschüss
66|Vielleicht Vielleicht|AnnenMayKantereit
67|WZF?! 2.4|Das Lumpenpack, Alligatoah
68|Leon|Faber
69|Kann es sein, dass du dumm bist?|Das Lumpenpack
70|Verwandtschaftstreffen|RIAN
71|Wärs ok?|Paula Carolina
72|Ein Problem mit Alkohol|Alligatoah
73|Meinungsfrei|Alligatoah
74|Trophäe|Paula Carolina
75|Kruppstahl, Baby|Das Lumpenpack, Adam Angst
76|Internet|KLAN, Alligatoah
77|Reiten|Alligatoah
78|Vorn an der Ecke|Alligatoah
79|Dein viel zu lautes Leben|Treptow
80|Universum|Das Lumpenpack
81|Alles wird besser|Florian Paul & Die Kapelle der letzten Hoffnung
82|Mitte 20|KAFFKIEZ
83|Ford Fiesta|Das Lumpenpack
84|Ein Traum|Bosse
85|Bella Ciao (Lied der italienischen Partisanen)|Hannes Wader
86|Lass es kreisen - Spotify Singles|AnnenMayKantereit
87|1990s|Rotfront
88|Bernd|Rainald Grebe
89|Kommst du mit?|Liedfett
90|Laterne|Monsters Of Liedermaching
91|Ich rollator mit meim Besten|Grossstadtgeflüster
92|Warum hört der Fahrradweg einfach hier auf?|Jan Böhmermann
93|Es muss was Wunderbares sein (von mir geliebt zu werden)|Sportfreunde Stiller
94|Bumm! Bumm! Bumm!|Madsen, König Boris
95|Das Schaf|Monsters Of Liedermaching
96|Hätte, hätte, hätte|Hasenscheisse
97|Körperliche Selbstverteidigung|Liedfett
98|Klaus|Das Lumpenpack
99|Alligatoah - Lady Gaga Remix|Alligatoah
100|Hab ich recht|Alligatoah
101|Scheiß auf Ironie|Deine Cousine
102|MC HomoSapiensSapiens|Käptn Peng, Die Tentakel von Delphi
103|Wissen schützt vor Dummheit nicht - Zugabe|Alligatoah
104|Vorratskammer|Team Scheisse
105|Backpfeifenernte auf dem Alphabeet|Käptn Peng, Die Tentakel von Delphi
106|Sockosophie|Käptn Peng, Die Tentakel von Delphi
107|Freie Liebe|Alligatoah
108|Neue Freunde|Käptn Peng, Die Tentakel von Delphi
109|Der Billiardär|Rainald Grebe
110|Hitler töten|Sudden, Alligatoah
111|Tango im Treibsand|Käptn Peng, Die Tentakel von Delphi
112|Ich boykottiere dich|Grossstadtgeflüster
113|Von Form zu Form|Shaban, Käptn Peng
114|Kassetten & Hühner|Nun flog Dr. Bert Rabe
115|Ronny|REMOTE BONDAGE
116|Thorben|Falk
117|Rosie|ok.danke.tschüss
118|Matrjoschka|Grossstadtgeflüster
119|Willst du mit mir gehen?|Sudden
120|Flugblätter|Lazy Lizzard Gang, Alligatoah
121|Die Erfindung des Rades|Moop Mama
122|Euer Vater war ein Star|Sudden
123|Partykirche - Remix|Maeckes, Audio88, Yassin
124|Mein Hass|Das Lumpenpack
125|Schlaflos in Guantanamo|Timi Hendrix, Alligatoah
126|Aber trotzdem|Florian Paul & Die Kapelle der letzten Hoffnung
127|Mensch|Herbert Grönemeyer
128|Von hier an blind|Wir sind Helden
129|Gekommen um zu bleiben|Wir sind Helden
130|Barfuß am Klavier|AnnenMayKantereit
131|Guten Tag, liebes Glück|Max Raabe
132|Küssen kann man nicht alleine|Max Raabe
133|Ich hab Polizei|POL1Z1STENS0HN a.k.a. Jan Böhmermann
134|Bürgermeister|POL1Z1STENS0HN a.k.a. Jan Böhmermann
135|Ernten was wir säen|Die Fantastischen Vier
136|Oft gesagt|RAUM27
137|Für immer Frühling|SOFFIE
138|Zimmer|Provinz
139|Hi Kids|CRO
140|Einmal um die Welt|CRO
141|Guten Tag|Wir sind Helden
142|Wer weiß|Alligatoah
143|Fickt-Euch-Allee|Grossstadtgeflüster
144|Pizza|Antilopen Gang
145|Wenn du tanzt|Von Wegen Lisbeth
146|Bitch|Von Wegen Lisbeth
147|Willst du|Alligatoah
148|Narben|Alligatoah
149|Hitler muss immer wieder sterben|Mono & Nikitaman
150|Klüger|Alligatoah
151|Was uns high macht|Provinz
152|Warteschleife|257ers, Alligatoah
153|Salzwasser|Bosse, Alligatoah
154|Dörte Müller|Sudden
155|Holzmichel (Die Antwort) (Radio Version)|De Randgruppe, Koko Kotolomeo
156|Deutschland ist schön|Knorkator
157|Geld|Knorkator
158|Nur ein Wort|Wir sind Helden
159|Nur noch kurz die Welt retten|Tim Bendzko
160|Schüsse in die Luft|Kraftklub
161|Gollum auf Ecstasy|ok.danke.tschüss
162|Wenn ich du wär|Moop Mama
163|Der Zirkus|Florian Paul & Die Kapelle der letzten Hoffnung
164|Zwei im Bus|Dota Kehr
165|Muschigeburt|ok.danke.tschüss
166|Bella Maria|Florian Paul & Die Kapelle der letzten Hoffnung
167|Dosenbier und Zärtlichkeit|Mono & Nikitaman
168|##@@@ (zeig mir was neues)|Jakob Heymann
169|Joel|ok.danke.tschüss
170|Endlich Wien|Florian Paul & Die Kapelle der letzten Hoffnung
171|Licht der Stadt|Treptow
172|Verwandtschaftstreffen (Weihnachtsversion)|RIAN
173|Das Geschenk|Sportfreunde Stiller
174|Mathematik - A19|Lindemann, Haftbefehl
175|We Are Family|Timi Hendrix, Trailerpark
176|Recht kommt (K.O... in KA)|POL1Z1STENS0HN a.k.a. Jan Böhmermann, Justice
177|herz und faust und zwinkerzwinker|POL1Z1STENS0HN a.k.a. Jan Böhmermann
178|Rainer Wendt (Du bist kein echter Polizist)|Jan Böhmermann
179|Tanzlehrerin|Till Lindemann
180|Selbst verliebt|Till Lindemann
181|Steil-geh-Tag|Das Lumpenpack
182|Alles dreht sich|Der König tanzt
183|Hörsprechgarnitur|Marc-Uwe Kling & Die Gesellschaft
184|Scheißverein|Marc-Uwe Kling & Die Gesellschaft
185|Blasserdünnerjunge macht sein Job|POL1Z1STENS0HN a.k.a. Jan Böhmermann
186|Haus brennt|Shaban, Käptn Peng
187|Wie man Feuer macht|Grossstadtgeflüster
188|Jetzt ist Schluss|Irie Révoltés
189|Die Polizei ist nicht im Internet|Jan Böhmermann
190|Deutschland ist wieder im Reichstag zurück|Jan Böhmermann
191|Kinderlied|Falk
192|H.D.F.K.K.|Olli Schulz
193|Claus Weselsky|Jan Böhmermann, Jadebuben, Rundfunk-Tanzorchester Ehrenfeld
194|Urlaub In Deutschland|Rainald Grebe
195|Alle lieben Capybaras|Jan Böhmermann
196|Marzipan|Monsters Of Liedermaching
197|Böhmermann ist Schuld|Jan Böhmermann, Isabel Varell, Jadebuben
198|Zur Not Norbert Röttgen|Jan Böhmermann, Jadebuben
199|Schmerztabletten|Marc-Uwe Kling & Die Gesellschaft
200|Na Na Na Na|Marc-Uwe Kling & Die Gesellschaft
201|Im Biomarkt - Live|Falk
202|Es gibt keine Nazis in Sachsen|Jan Böhmermann, Maik vom LKA
203|Raucher|Rainald Grebe, Die Kapelle der Versöhnung
204|Kinder|Wise Guys
205|Nichts funktioniert|Marc-Uwe Kling & Die Gesellschaft
206|Orkenbraten|Hasenscheisse
207|Denglisch|Wise Guys
208|Ambivalent|Olli Schulz
209|Pest im Paradies|Rakede
210|Teamgeist|Alligatoah
211|Tausend Zweite Chancen|Timi Hendrix, Sapient
212|Amsterdam - Single Mix|Fettes Brot
213|Du driftest nach rechts|Fettes Brot
214|Kapuze|Moop Mama
215|Platz da|Käptn Peng, Die Tentakel von Delphi
216|Batikhose|KAFVKA
217|Nichts|Faber
218|Liebe|Moop Mama
219|Kieztränen|Fynn Kliemann
220|21, 22, 23|AnnenMayKantereit
221|Der Anfang ist nah|Käptn Peng, Die Tentakel von Delphi
222|Lang lebe die Störung im Betriebsablauf|Von Wegen Lisbeth
223|Antifaschist|Irie Révoltés
224|Omega Peng|Käptn Peng, Die Tentakel von Delphi
225|Meine Kneipe|Von Wegen Lisbeth
226|Meister und Idiot|Käptn Peng, Die Tentakel von Delphi
227|Piraten|257ers
228|WobWobWob|Käptn Peng, Die Tentakel von Delphi
229|Trostpreis|Alligatoah, Timi Hendrix
230|Sie mögen sich|Shaban, Käptn Peng
231|Lass die Musik an|Madsen
232|Gewalt|Monsters Of Liedermaching
233|Kompass & Chauffeur (Akustik / Herzschmerz Session)|Alarmsignal, SHIRLEY HOLMES, Mel Marker
234|Rauch-Haus-Song|KAFVKA
235|To Do Liste|Monsters Of Liedermaching
236|An meinem Fahrrad ist alles dran|Alligatoah
237|Bielefeld, Paris oder Madrid|Deine Cousine
238|Zimmerpflanze|RIAN
239|Pauken und Trompeten|Die Lieferanten
240|Pause machen geht nicht|Die Türen
241|Alles, was du has(s)t|Die Lieferanten
242|Eigentum|Knorkator
243|Moor|Coppelius
244|1000 Jahre Bier|Deichkind
245|Bude Voll People|Deichkind
246|Von toten Pferden (Ein schönes Lied)|Treptow
247|Traurig aber ist so|RAUM27
248|Dann ohne mich|Donots
249|Protest ist cool aber anstrengend|Madsen
250|Papierfliegerfrau|Nun flog Dr. Bert Rabe
251|Grosse Freiheit|Swiss & Die Andern
252|Oh Evelyn|Treptow
253|Molotow|Moop Mama
254|Vivaldi|Faber
255|Jetzt|Irie Révoltés
256|Rennrad|Dota Kehr
257|Unten|Käptn Peng, Die Tentakel von Delphi
258|Mingvase|Danger Dan
259|Alice im Wunderland|Disarstar
260|Feinstaub|Alligatoah
261|Mit dir schlafen|Alligatoah, Esther Graf
262|Nachbeben|Alligatoah
263|Tanz auf dem Vulkan|Hämatom
264|Eintag|Die Lieferanten
265|Schwarm|Die Lieferanten
266|FaFaFa|Die Ärzte
267|Deine Schuld|Die Ärzte
268|Leichenhalle|Die Ärzte
269|Wir sind die Lustigsten|Die Ärzte
270|Perfekt|Die Ärzte
271|ICH, AM STRAND|Die Ärzte
272|ACHTUNG: BIELEFELD|Die Ärzte
273|Pädagogen|Das Lumpenpack
274|Helden|Apocalyptica, Till Lindemann
275|M&F|Die Ärzte
276|Unter meinem Fenster|Adam Angst
277|Manchmal haben Frauen...|Die Ärzte
278|Zwitter|Rammstein
279|Foltergeist|Völkerball
280|Professoren|Adam Angst
281|Was der Teufel sagt|Adam Angst
282|Alle sprechen Deutsch|Adam Angst
283|Nazis nehmen uns die Arbeitsplätze weg|Alarmsignal
284|Fick ihn doch|Alligatoah
285|Pizza (mit Bela B)|Antilopen Gang, Bela B
286|Baby, du siehst gut aus!|Bakkushan
287|Springwut|Bakkushan
288|Kryptoxenoarchäologie|Coppelius
289|Stärker als du denkst|Deine Cousine
290|Bettmagnet|Die Ärzte
291|Fiasko|Die Ärzte
292|Schrei nach Liebe|Die Ärzte
293|Junge|Die Ärzte
294|Euphorie|Down Below
295|Belladonna|In Extremo
296|Milliardäre|Knorkator
297|Ein Lied|Rammstein
298|Leben|Heldmaschine, Hava Kagermann
299|Die Geschichten von den schwarzen Buben|Knorkator
300|Tausend Mann und ein Befehl|OOMPH!
301|Hallo Welt|KAFVKA
302|Unrockbar|Die Ärzte
303|BE DEUTSCH!|Jan Böhmermann
304|Fortschritt|Knorkator
305|Zähneputzen, Pullern und ab ins Bett|Knorkator
306|ICH ICH ICH|Alligatoah
307|Weichen und Zunder|Völkerball
308|Collateral|Heldmaschine
309|Waldspaziergang mit Folgen|Die Ärzte
310|Du riechst so gut|Rammstein
311|Ich bin der Boss|Knorkator
312|Sieg der Vernunft|Knorkator
313|Bonobo|OOMPH!
314|Zeit|Rammstein
315|Nur mal angenommen|Knorkator
316|Für meine Fans|Knorkator
317|Zunge|Till Lindemann
318|Weiter!|Heldmaschine
319|Halt|Rammstein
320|Lügen|Rammstein
321|Tanz deinen Schmerz weg|KAFVKA
322|Frühling in Paris|Rammstein
323|Menschenfresser|Eisbrecher
324|Seemannsrose|OOMPH!
