|title|author|text
0|Meine Hoe|Alligatoah|[Intro]\nMeine Ho, meine Ho, meine Ho\nMeine Ho, meine ... (oh, ah, yeah!)\nMeine Ho, meine Ho, meine Ho\nMeine Ho, meine ... (yeah, ah!)\n[Part]\nDeine Ho redet schon wieder über Präservative\nIch hab' mit meiner Ho ein Gespräch über Nietzsche\nDicka, ich gebe meiner Ho einen zärtlichen Kuss\nUnd danach wird in die motherfucking Sterne geguckt (yes)\nUnd dann spreizt sie die Wangen und spricht von Teilchen und Quanten\nManchmal reduzier' ich sie auf ihre nicen Gedanken\nManchmal gab es nichts zu seh'n und wir sind weitergegangen\nWie bei einem Passanten, oder einer Passantin!\nMeine Ho liebt mich nicht nur, weil ich mich sexy beweg'\nDoch ich tanz' im Hintergrund, wenn sie ein Rap-Video dreht\nSie nimmt den Rechnungsbeleg und zahlt wie ein Boss\nEh, meine Ho hat nicht nur Haare am Kopf\nMeine Ho ist kein Engel, sie hat 'ne Menge Laster\nMeine Ho besteht zu 50 Prozent aus Wasser\nDeine Ho ist dünn wie ein Wendecover\nMeine Ho ist gesund, bäm, du Bastard\nMeine Ho reinigt die Wohnung mit Schwamm und Seife (aha)\nNicht weil sie eine Frau, sondern an der Reihe ist (haha)\nUnd sie brät uns die Fleischspieße an (uuuh)\nDoch nicht weil sie es muss, sondern, weil sie es kann\nKommt sie auf die Party, hörst du jeden Obstbauern schwärmen\nDenn sie schüttelt, sie schüttelt, sie schüttelt Jokes aus dem Ärmel\nMeine Ho war mal 'ne Slut, aber sie schämt sich nicht\nMeine Ho gibt einen Fick auf euren Ehrbegriff\nSie freut sich mit uns über Emanzipation, wenn meine Brüder schrei'n:\nJaa, endlich Gefühle zeigen!\nEndlich mit dem Bügeleisen durch die Küche grinden\nOhne dass es überpeinlich wäre wie in frühren Zeiten\nMeine Ho hat einen männlichen Freundeskreis\nIch sperr' sie nicht in Grenzen und Zäune ein\nNur weil ein Großteil scheinbar denkt, dass ein Treueeid\nIn einem Gefängnis bedeutsam sei\nWir haben einvernehmlichen Sex, ah, einvernehmlichen Sex, durch\nEinvernehmliche Peitschenschläge wird keine Regel verletzt\nIch würge sie mit zwei Dingen: Leinentape und Respekt\nSie muss nur ein Zeichen geben, die Machtverteilung dreht sich komplett\nEs ist ein zeitgemäßes Konzept, wir sind so zeitgemäß\nMeine Ho ist keine Zahl zwischen eins und zehn\nBitch, meine Ho ist außerdem keine Austauschware, Punkt\nDu willst wissen, wie sie aussieht? (ja?) Augen, Nase, Mund\nSie muss sich bücken, denn sonst kann sie ja auch nix hochheben\nMeine Ho wird gefickt vom Leben\nMeine Ho ist schön, ohne den Gebrauch von Glitzernägeln\nDenn man kann ihr die Schicksalsschläge im Gesicht ablesen\nMal entspricht sie der Erscheinung eines Stripper-Mädchens\nMal eher der von einem Grizzly-Bären\nOder Grizzly-Bärin!\n Doch die Mischung zählt\nSie ist nicht so wie die andern, aber nichts gegen die andern\nIch bin stolz auf meine Ho, sie ist richtig korrekt\nUnd weil sie Kunst besser findet ohne Sittengesetz\nUnd ein beschissner Text noch lang nicht ihr Gewissen ersetzt\nHört sie verdammt gerne sexistischen Rap, tja
1|Das ist alles von der Kunstfreiheit gedeckt|Danger Dan|Also jetzt mal ganz spekulativ\nAngenommen, ich schriebe mal ein Lied\nIn dessen Inhalt ich besänge, dass ich höchstpersönlich fände\nJürgen Elsässer sei Antisemit\nUnd im zweiten Teil der ersten Strophe dann\nWürde ich zu Kubitschek den Bogen spann'n\nUnd damit meinte ich nicht nur die rhetorische Figur\nSondern das Sportgerät, das Pfeile schießen kann\n\nJuristisch wär die Grauzone erreicht\nDoch vor Gericht machte ich es mir wieder leicht\nZeig mich an und ich öffne einen Sekt\nDas ist alles von der Kunstfreiheit gedeckt\n\nAlso jetzt mal ganz spekulativ\nIch nutze ganz bewusst lieber den Konjunktiv\nIch schriebe einen Text, der im Konflikt mit dem Gesetz\nBehauptet, \nGauland sei ein Reptiloid\nUnd angenommen, der Text gipfelte in ei'm\nAufruf, die Welt von den Faschisten zu befrei'n\nUnd sie zurück in ihre Löcher reinzuprügeln noch und nöcher\nAnstatt ihnen Rosen auf den Weg zu streu'n\n\n\nJuristisch wär die Grauzone erreicht\nDoch vor Gericht machte ich es mir wieder leicht\nZeig mich an und ich öffne einen Sekt\nDas ist alles von der Kunstfreiheit gedeckt\n\nVielleicht habt ihr schon mal von Ken Jebsen gehört\nDer sich über Zensur immer sehr laut beschwert\nIn einem Text von meiner Band dachte er, er wird erwähnt\nUnd beschimpft und hat uns vor Gericht gezerrt\nEr war natürlich nicht im Recht und musste dann\nDie Gerichtskosten und Anwältin bezahl'n\nSo ein lächerlicher Mann, hoffentlich zeigt er mich an\nWas dann passieren würde? Ich kann es euch sagen\n\nJuristisch wär die Grauzone erreicht\nDoch vor Gericht machte ich es mir wieder leicht\nZeig mich an und ich öffne einen Sekt\nDas ist alles von der Kunstfreiheit gedeckt\n\nNein, ich wär nicht wirklich Danger Dan\nWenn ich nicht Lust hätte auf ein Experiment\nMal die Grenzen auszuloten, was erlaubt und was verboten ist\nUnd will euch \nmeine Meinung\n hier erzähl'n\nJürgen Elsässer ist Antisemit\nKubitschek hat Glück, dass ich nicht Bogen schieß'\nAn Reptilienmenschen glaubt nur der, der wahnsinnig ist\nGauland wirkt auch eher wie ein Nationalsozialist\nFaschisten hören niemals auf, Faschisten zu sein\nMan diskutiert mit ihnen nicht, hat die Geschichte gezeigt\nUnd man vertraut auch nicht auf Staat und Polizeiapparat\nWeil der Verfassungsschutz den NSU mit aufgebaut hat\nWeil die Polizei doch selbst immer durchsetzt von Nazis war\nWeil sie Oury Jalloh gefesselt und angezündet hab'n\nUnd wenn du friedlich gegen die Gewalt nicht ankommen kannst\nIst das letzte Mittel, das uns allen bleibt, Militanz\n\n\nJuristisch ist die Grauzone erreicht\nDoch vor Gericht mach' ich es mir dann wieder leicht\nZeig mich an und ich öffne einen Sekt\nDas ist alles von der, alles von der, alles von der, alles von der\nAlles von der Kunstfreiheit gedeckt
2|Der Rest meines Lebens|KUMMER, Max Raabe|So langsam wird es knapp\nDen Club der 27 hab' ich ziemlich klar verpasst\nMit hundertachzig durch die Stadt\nBalancier' besoffen auf dem Dach\nEine Woche wach, tausend Flaschen Schnaps\nDoch dann kommt die erste Freitagnacht, in der man passt\nFrüh ins Bett geht, damit man vom Samstag noch was hat\nDamit fängt es an\nEinfach mal ein Wochenende ganz entspannt, easy, easy\nUnd dann kommt der erste Sonntagsbrunch\nDer erste Pärchenurlaub, ironisch gemeinte Spießigkeit\nAnti-Eskalation, pro Gemütlichkeit\nEs beginnt ganz harmlos, mit einem Spieleabend\nAber endet in Gesprächen über Risikoanlagen\n\nIrgendwann ist es zu spät\nUm zu früh draufzugeh'n\nIrgendwann bin ich zu alt\nZu alt, um jung zu sterben\nDoch ich hab's versucht\nIch hab' es wirklich versucht\nWirklich versucht, glaub mir\nIch-Ich hab's versucht\nDoch vielleicht nicht gut genug\n\n\nDie ersten wohnen außerhalb der Stadt\nWegen der Kinder, bessere Gegend\nAber schön, dass das mal klappt\nWir haben uns ja ewig nicht gesehen\nDie ersten Grillfeste, Hochzeiten, Klassentreffen, Weinverkostung\nBlei gießen an Silvester, Kassenbons statt Plastikbong\nDas erste Mal international für die Bayern sein\nDann ist es bis zur Fanmeile nicht mehr all zu weit\nNicht mehr reden über Politik, da streiten wir nur wieder\nUnd Freunde fürs Leben werden Bekannte von früher\n\nIrgendwann ist es zu spät\nUm zu früh draufzugeh'n\nIrgendwann bin ich zu alt\nZu alt, um jung zu sterben\nDoch ich hab's versucht\nIch hab' es wirklich versucht\nWirklich versucht, glaub mir\nIch-Ich hab's versucht\nDoch vielleicht nicht gut genug\n\nUnd jetzt bin ich beinahe dreißig\nWas ist, wenn die beste Phase meines Lebens schon vorbei ist?\nWer weiß, vielleicht hab ich eine Quarterlife Crisis\nVielleicht bin ich auch einfach nur ein kleines bisschen neidisch\nVielleicht wünsch' ich mir heimlich auch ein kleines Haus im Grün\nVielleicht fehlen mir irgendwann dann nicht mal mehr die kleinen Bühnen\nVielleicht hätte ich ja Bock mir diesen ganzen Quatsch zu geben\nVielleicht wird er ja gar nicht so scheiße, der Rest meines Lebens
3|Krone der Schöpfung|Die Prinzen|Von den Bäumen hinunter zu den Sternen hinauf\nAus der Steinzeithöhle ins Energiesparhaus\nUnd die Evolution nahm ihren Lauf\nHeute sind wir der König, doch noch lange nicht satt\nAuf dem ganzen Planten hab'n wir uns breit gemacht\nUnd was uns in den Weg kommt, das machen wir platt\n\nDer ganze Wald, der singt im Chor\n„Was geht in euch denn bitte vor?“\n\nWir sind die Krone der Schöpfung\nNa, dann ist ja gut\nNach uns die Sintflut, nach uns die Sintflut\nSeid auf der Hut\nWir sind die Krone der Schöpfung\nWas für ein Pech\nFür die Tiere alleine, die armen Schweine\nAlso echt, also echt\n\nWir haben die Kernkraft erfunden und das Fernsehprogramm\nKaffeevollautomaten, den Hähnchengrillstand\nIst schon geil so als König, was man da kann\nWir können mit Überschall reisen, im Berufsverkehr steh'n\nSchwarze Löcher beweisen und die Welt nicht versteh'n\nSind auf allen Gebieten die Crème de la Crème\n\n\nDer ganze Ozean ist am Schreien\n„Ey, was bildet ihr euch ein?“\n\nWir sind die Krone der Schöpfung\nNa, dann ist ja gut\nNach uns die Sintflut, nach uns die Sintflut\nSeid auf der Hut\nWir sind die Krone der Schöpfung\nWas für ein Pech\nFür die Tiere alleine, die armen Schweine\nAlso echt, also echt\n\nManchmal frag ich mich, „Sind wir nicht selbst das Problem?“\nWie ein Fehler in der Matrix und im System\nWir herrschen, während der Planet in Flammen steht\n\nWir sind die Krone der Schöpfung\nNa, dann ist ja gut\nNach uns die Sintflut, nach uns die Sintflut\nSeid auf der Hut\nWir sind die Krone der Schöpfung\nWas für ein Pech\nFür die Tiere alleine, die armen Schweine\nAlso echt, also echt\n\n\nWir sind die Krone der Schöpfung\nManchmal frag' ich mich, sind wir nicht selbst das Problem?\nManchmal frag' ich mich, sind wir's nicht\nWir sind die Krone der Schöpfung\nWas für ein Pech\nFür die Tiere alleine, die armen Schweine\nAlso echt, also echt\nWir sind die Krone der Schöpfung
4|Sand in die Augen|Danger Dan|Beim ersten Spielplatzbesuch übten wir „Sand in die Augen schmeißen“\nUnd ganz egal, was andere Kinder sagen, drauf zu scheißen\nAbrakadabra, dreimal schwarzer Kater\nSpielen Mutter-Mutter-Kind oder Vater-Vater-Vater\nGar nicht so leicht, aufzuwachsen in 'ner Lebenswelt\nIn der man Jungs, die rosa Kleidung tragen, gleich für Mädchen hält\nUnd selbst, wenn man dagegen hält — es fängt schon beim Geburtstag an\nDie Sprechstundenhilfe eine Frau, der Oberarzt ein Mann\nUnd so weiter, ganz egal wohin man sieht\nDer Kindergartenleiter leitet, die Erzieherin erzieht\nJungs spielen Batman, Mädchen spielen Eisprinzessin\nEigentlich ist die Welt nicht gemacht, um Kinder reinzusetzen\nWie soll ich ihr erklären, es gibt da ein paar Unterschiede\nDie sich nicht erklären lassen, aber sie soll unterliegen\nOb sie studiert oder ackert aufm Bau\nSie wird weniger verdienen, denn sie ist eine Frau\n\nWie soll ich ihr erklären, wo liegt da der Unterschied?\nDer die einen oben hält und die anderen runterzieht\nWie soll ich ihr erklären, wo liegt da der Unterschied?\nMan redet nicht darüber, denn man macht sich unbeliebt\nWie soll ich ihr erklären, wo liegt da der Unterschied?\nMan muss nicht auf Wunder warten, weil es keine Wunder gibt\nWie soll ich ihr erklären, wo liegt da der Unterschied?\nWo liegt da der Unterschied? Wo liegt der Unterschied?\n\n\nIch brauche keine „Blumen und Bienen“-Metaphern\nUm zu erklären, dass es ganz normal ist Liebe zu machen\nAber wie soll ich ihr erklären ohne Röte im Gesicht\nDass man sie eines Tages nur auf ihren Körper reduziert\nIn der Schule, auf der Straße, in der Supermarktfiliale\nJeden Tag wird sie mal irgendwer begutachten wie Ware\nIm Vorbeigehen wird sie eingeteilt in „sexy“ oder „hässlich“\nJede Frau wird im Verlauf des Lebens sexuell belästigt\nKomm mir nicht mit einer Armlänge Abstand, tze\nIch empfehle eine Krav-Maga-Handkante\nEmpfehle Vätern ihren Söhnen zu sagen\nBevor sie irgendwen berühren, erstmal höflich zu fragen\nWas für eine Erfahrung ‒ als Vater einer Tochter\nHab ich auf die meisten Rapper einfach gar keinen Bock mehr\nEure gut gemeinten Liebeslieder sind das Hinterletzte\nIch hab keine Zeit für so 'ne Scheiße, ich muss Windeln wechseln\n\nWie soll ich ihr erklären, wo liegt da der Unterschied?\nDer die einen oben hält und die anderen runterzieht\nWie soll ich ihr erklären, wo liegt da der Unterschied?\nMan redet nicht darüber, denn man macht sich unbeliebt\nWie soll ich ihr erklären, wo liegt da der Unterschied?\nMan muss nicht auf Wunder warten, weil es keine Wunder gibt\nWie soll ich ihr erklären, wo liegt da der Unterschied?\nWo liegt da der Unterschied? Wo liegt der Unterschied?\n\n\nWie soll ich ihr erklären, wo liegt da der Unterschied?\nWie soll ich ihr erklären, wo liegt da der Unterschied?\nWie soll ich ihr erklären, wo liegt da der Unterschied?\nWie soll ich ihr erklären, wo liegt da der Unterschied?
5|Licht an! Licht an!|Jan Böhmermann|"\nAuf meinem Fest, weil jeder mich kennt\nSind auch die Gäste, sehr prominent\nAlle woll'n kommen, und alle komm'n rein\nEs gibt Häppchen und Champagner und eiskalten Wein\nWer mitfeiern darf, nein, da bin ich nicht kritisch\nMeine Türpolitik ist unpolitisch\nWas soll schon passieren, ist je was passiert\nWenn ein Nazi auf einer Party marschiert?\nWas soll schon passieren, ist je was passiert\nWenn ein Nazi auf einer Party marschiert?\nWillkommen, Herr Nazi, treten Sie ein\nZuerst in meinen Saal, dann aufs Ausländerschwein\nSie lachen, Herr Nazi, und wir lachen mit\nWeil nicht wir, sondern Sie sind ja Antisemit\nKlar finde ich Nazis auch nicht ok\nDoch es wäre schon schade um's schöne Buffet\nEs ist fünf vor zwölf, aber wir haben Spaß\nWir senken den Blick und erheben das Glas\n\nLicht aus! Licht aus! Ein Nazi auf der Party!\nWegschau'n! Wegschau'n! Alles ganz normal\nLicht aus! Licht aus! Ein Nazi auf der Party!\nWegschau'n! Wegschau'n! Alles ganz egal\nLicht aus! Licht aus! Ein Nazi auf der Party!\nWegschau'n! Wegschau'n! Alles ganz normal\nLicht aus! Licht aus! Ein Nazi auf der Party!\nWegschau'n! Wegschau'n! Alles ganz egal\n\n\nHeut' ist uns egal, was in unsrem Glas ist\nWer noch Demokrat, und wer schon Rassist ist\nHeut' ist uns egal, was gesund und was krank ist\nWer Täter, wer Opfer, wer Anne, wer Hans Frank ist\nHerr Bürger will trinken, Herr Nazi schenkt ein\nUnd immer mehr Nazis kommen herein\nJa, heute wird sich so richtig weggeschossen\nDie Köpfe nach unten und die Augen geschlossen\nNazi-Lachen übertönt Bürgerschweigen\nBitte nicht mit dem Finger auf Nazis zeigen\nWar mein Fest nicht ein herrliches Fest, meine Lieben?\nWir haben so laut gesungen und noch lauter geschwiegen\n\nUnd die Moral von der Geschicht, ja genau: Moral!\nWenn Wahnsinn normal wird, wirkt das zuallererst normal\nUns selbst das festlichste Fest ist nie wieder ein Fest\nWenn auch nur einer der Gäste ein Nazi ist\nDrum singen alle..\n\nLicht an! Licht an! Ein Nazi auf der Party!\nDa steht er! Da steht er! Ein Nazi ist im Haus!\nMusik aus! Musik aus! Ein Nazi auf der Party!\nDa steht er! Da steht er! Er sieht so harmlos aus\nBier weg! Bier weg! Ein Nazi auf der Party!\nDa steht er! Da steht er! Komm schmeißt den Nazi raus!\nLicht an! Licht an! Ein Nazi auf der Party!\nDa steht er! Da steht er! Sonst ist die Party aus!\n\n\n'Tschuldigung, Herr Nazi, für Dich statt Wein und Schnaps\nNur ein freundschaftlicher Fußtritt und ein lieb gemeinter Klaps\nIch sag's mit deinen Worten\n, dein Rausschmiss ""tut mir leid""\nBliebt uns eine unvermeidliche, aber \nwohltemperierte Grausamkeit\nDa ist die Tür!"
6|Herbstland|Treptow|Mal wieder grölt der Herbst das alte Deutschlandlied\ntaumelnd hält er sich dabei am Stehtisch\ndie Nacht durchschallt die treudeutsch triste Wiegenmelodie\nDeutschland, schlafe süß, doch schlafe ewig\nDer Herbst ist bitterkalt und Zwetschgenschnaps wärmt gut\nder Durst treibt in die Stampe, weg vom Gehweg\nhier spricht er laut von damals wie aus einem Märchenbuch\nDeutschland, schlafe süß, doch schlafe ewig\nEin Gesinnungslump gesellt sich gern und hält einander warm\ndem Deutschtum liegt betrunken schwer der Herbstwind in den Armen\nSchlachtenbummler werden über'm Glas zu Kameraden\ngähnen großmäulig nach morgen und singen sich in den Schlaf\nDer Herbst schreckt plötzlich laut an seinem Stammtisch hoch\nhaubitzenvoll, die Hose nass, doch selig\nund schwört noch schnell kreuzbrav auf's deutsche Reinheitsgebot\nDeutschland, schlafe süß, doch schlafe ewig\n
7|Du bist schön|Alligatoah|Gib mir ein schlaues Buch, ich mach' die Augen zu\nSchönheitsschlaf\nZeig mir den Staub im Flur, ich mach' die Augen zu\nSchönheitsschlaf\nDJ Deagle\nGuten Morgen, der feine Herr Gatoah\n\nIch bin ein Phänomen, ich bin zehn von zehn\nGeometrisch perfekt, wie ein LEGO-Face\nIch hab' den YouTuber-Look, wie im Buche gedruckt\nJeden Tag fress' ich ein neues Beautyprodukt\nIch schütze mich, denn ich lese nie die Preisschilder\nSie dulden keine negativen Weibsbilder\nUnd sie dulden keine Gesichtsfalten\nMichael Jackson Style, ich muss Schritt halten\nAlso trag' ich noch mehr Schichten auf\nWer will schon 'ne ehrliche Haut?\nMein Lieblingsrohstoff, (Ey) Botox\nIch hole alle Preise, sie nennen mich Hohlkopf\n\nEy yo, Spieglein, Spieglein im Handy, sag mir: Bin ich der King?\nDer Spiegel zögert verlegen, dann beginnt er zu singen\n\n\nDu bist schön, aber dafür kannst du nichts\nWeder Lesen, noch Schreiben, noch was anderes\nDu bist schön, aber dafür kannst du nichts\nDu kannst nicht mal was dafür, dafür kannst du nichts\n\nIm Frühling denkt das Röslein\n„Wer nicht leiden will, muss schön sein.“\n\nDas versteh' ich nicht...\nDabei geb' ich mir doch Mühe, jede Luxus-Modemesse gibt mir Komplimente\nSchöne Benutzeroberfläche!\n \nUnd sie machen mir ein Angebot, das Freude weckt\n99% reduziert... auf mein Äußeres\nIch muss in die Sachen passen, hab' ich Hunger, gibt es Kochwäsche\nManche tragen nur dieselben Schrottfetzen\nIch trag' jeden Tag was anderes — Stoffwechsel\nFrag nicht, wie alt die sind, die meine Kleider näh'n\nAuf einer Skala von eins bis zehn\nTja, denn Kleider machen Leute, doch die Leute, die die Kleider machen\nLeisten sich bis heute leider weniger Designerjacken\n\nIch schweife ab — \nSpieglein im Handy: Bin ich der King?\n(Come on)\n \nDer Spiegel zögert verlegen, dann beginnt er zu singen\n\n\nDu bist schön, aber dafür kannst du nichts\nWeder Lesen, noch Schreiben, noch was anderes\nDu bist schön, aber dafür kannst du nichts\nDu kannst nicht mal was dafür, dafür kannst du nichts\n\nIm Frühling denkt das Röslein\n„Wer nicht leiden will, muss schön sein.“\n\nIch hab' mich wohl verhört, wie bitte?\n\nDu bist schön, aber dafür kannst du nichts\nWeder Lesen, noch Schreiben, noch was anderes\nDu bist schön, aber dafür kannst du nichts\nDu kannst nicht mal was dafür, dafür kannst du nichts\n\nIm Frühling denkt das Röslein\n„Wer nicht leiden will, muss schön sein.“\n\nGib mir ein schlaues Buch, ich mach' die Augen zu\nSchönheitsschlaf\nZeig mir den Staub im Flur, ich mach' die Augen zu\nSchönheitsschlaf\nGib mir ein schlaues Buch, ich mach' die Augen zu\nSchönheitsschlaf\n(Kleider machen Leute, doch die Leute, die die Kleider machen\nLeisten sich bis heute leider weniger Designerjacken)\nZeig mir den Staub im Flur, ich mach' die Augen zu\nSchönheitsschlaf\n(Kleider machen Leute, doch die Leute, die die Kleider machen\nLeisten sich bis heute leider weniger Designerjacken)
8|An Tagen wie diesen|Fettes Brot, Pascal Finkenauer|Moin moin, was geht?\nAlles klar bei dir? Wie spät? (Come on)\nGleich neun, okay\nWill mal eben los, Frühstück holen gehen\nSchalt' den Walkman an, zieh' die Haustür ran\nLauf' die Straße entlang bis zum Kaufmannsladen\nDenn da gibt's die allerbesten Brötchen weit und breit\nKann am Tresen kurz mal lesen was die Zeitung schreibt\nIrgendwas von 'nem Großangriff\nUnzählige Bomben auf kleine Stadt\nViele Menschen ums Leben gekommen\nUnd dem Erdboden gleich gemacht in nur einer Nacht\nIch zahle und verlasse den Bäcker\nHör' noch den Nachrichtensprecher\n„Lage wieder mal dramatisch verschlechtert, heute fantastisches Wetter“\nPlötzlich gibt's 'n Knall, tausend Scherben überall\nDie Nachbarskatze hat's erwischt bei 'nem Verkehrsunfall\nDer Anblick kann einem echt die Laune verderben\nWas fällt diesem Mistvieh ein hier genau vor meinen Augen zu sterben?\nAbsolute Wahnsinnsshow\nIm Fernsehen und im Radio\nDie Sonne lacht so schadenfroh\nAn Tagen wie diesen\nNiemand, der mir sagt, wieso\nBeim Frühstück oder Abendbrot\nDie Fragen bohren so gnadenlos\nAn Tagen wie diesen\nEine Million bedroht vom Hungertod nach Schätzungen der UNICEF\nWährend ich grad gesundes Obst zerhäcksel in der Mulinex\nSeh' ein Kind in dessen traurigen Augen 'ne Fliege sitzt\nWeiß, dass das sehr grausam ist, doch scheiße, Mann, ich fühle nix\nWas ist denn bloß los mit mir, verdammt, wie ist das möglich?\nVielleicht hab' ich's schon zu oft gesehen man sieht's ja beinah täglich\nDoch warum kann mich mittlerweile nicht mal das mehr erschrecken\nWenn irgendwo Menschen an dreckigem Wasser verrecken?\nDieses dumpfe Gefühl, diese Leere im Kopf\nSowas kann uns nie passieren und was wäre wenn doch?\nUnd mich zerreißen die Fragen, ich kann den Scheiß nicht ertragen\nDie haben da nix mehr zu Fressen und ich hab' Steine im Magen!\nAbsolute Wahnsinnsshow\nIm Fernsehen und im Radio\nDie Sonne lacht so schadenfroh\nAn Tagen wie diesen\nNiemand, der mir sagt, wieso\nBeim Frühstück oder Abendbrot\nDie Fragen bohren so gnadenlos\nAn Tagen wie diesen\nWas hat er gerade gesagt? An so 'nem normalen Samstag\nPassiert auf bestialische Art ein ganz brutaler Anschlag\nBei dem sechs Leute starben, die Verletzten schreien Namen\nDiese entsetzlichen Taten lassen mich jetzt nicht mehr schlafen\nUnd ich seh's noch genau, das Bild im TV\nEin junger Mann steht dort im Staub\nFleht um Kind und Frau\nJetzt frag' ich mich, wie ist es wohl, wenn man sein Kind verliert\nNoch bevor es seinen ersten Geburtstag hat\nDoch das übersteigt meine Vorstellungskraft\nVielleicht waren die Attentäter voller Hass für den Gegner\nVielleicht gab es Liebe für Familie und sie waren sogar selber Väter\nManchmal, wenn ich Nachrichten seh' passiert mit mir etwas Seltsames\nDenn auch wir sind Eltern jetzt\nHaben ein Kind in diese Welt gesetzt\nDann kommt es vor, dass ich Angst davor krieg', dass uns etwas geschieht\nDass man den verliert, den man liebt, dass es das wirklich gibt\nMitten in der Nacht werd' ich wach und bin schweißgebadet\nSchleich' ans Bett meiner Tochter und hör', wie sie ganz leise atmet\nAbsolute Wahnsinnsshow\nIm Fernsehen und im Radio\nDie Sonne lacht so schadenfroh\nAn Tagen wie diesen\nNiemand, der mir sagt, wieso\nBeim Frühstück oder Abendbrot\nDie Fragen bohren so gnadenlos\nAn Tagen wie diesen\nWas für 'ne Wahnsinnsshow\nIm Fernsehen und im Radio\nDie Sonne lacht dabei so schadenfroh\nIch werd' die Bilder nicht mehr los\nBeim Frühstück und beim Abendbrot\nNiemand, der mir sagen kann, wieso
9|dein name|Maeckes|Kapitalistische Liebeslieder Eins: dein name (\nChing, ching\n)\nWenn du den aktuellen Betrag zahlst, singt Maeckes das Lied mit deinem Namen\nUnd immer wo er jetzt „Dein Name“ singt, singt er dann deinen Namen\nStartgebot: 2 Euro\nViel Spaß\n\nDieses Lied ist nur für \nhier dein Name\nDie ich wirklich gerne mag\nNicht nur für ihr \ndeine Haarfarbe\n Haar\nNein, wegen ihrer Art, \nnatürlich auch seine oder they\nSie riecht immer so gut\nIch kenn' sie jetzt auch schon recht lang\nSie hört immer so gut zu\nBesonders, wenn ich für sie sang\n\nDein Name (\nDein Name\n)\nDieses Lied ist nur für dich\nUnd daran wird sich auch nichts ändern\nAußer jemand anders zahlt mir noch das Doppelte\nOh, dein Name (\nDein Name\n)\nDieses Lied ist nur für dich, alleine auf der Welt\nUnd daran wird sich auch nichts ändern\nAußer jemand anders zahlt mir noch das doppelte Geld\nOh, dein Name (\nChing, ching\n)\n\n\nAm liebsten will ich \nhier dein Name\nImmer bei mir tragen\nGanz klein auf meinem Hintern\nTätowier' ich mir dein'n Nam'n\nDenn \nhier wäre sogar einmal Platz für deinen Vornamen und deinen Nachnamen\nKlingt für mich wie zuhause\n„Möchten Sie, Maeckes, den/die hier Ihnen angetrauten/angetraute \nhier der Name\n zum Mann oder zur Frau nehm'n?“\n\nDein Name (\nDein Name\n)\nDieses Lied ist nur für dich\nUnd daran wird sich auch nichts ändern\nAußer jemand anders zahlt mir noch das Doppelte\nOh, dein Name (\nDein Name\n)\nDieses Lied ist nur für dich, alleine auf der Welt\nUnd daran wird sich auch nichts ändern\nAußer jemand anders zahlt mir noch das doppelte Geld\nOh, dein Name (\nChing, ching\n)\n\nDas aktuelle Angebot wird auch mit deinem Namen auf allen gängigen Streaming-Plattformen hochgeladen\nDein Name, dein Name\nNatürlich nur so lange, bis jemand das doppelte Geld zahlt\nOh, dein Name
