title|author
Meine Hoe|Alligatoah
Das ist alles von der Kunstfreiheit gedeckt|Danger Dan
Der Rest meines Lebens|KUMMER, Max Raabe
Krone der Schöpfung|Die Prinzen
Sand in die Augen|Danger Dan
Licht an! Licht an!|Jan Böhmermann
Herbstland|Treptow
Du bist schön|Alligatoah
An Tagen wie diesen|Fettes Brot, Pascal Finkenauer
dein name|Maeckes
Wie Zuhause|Alligatoah
Www.einliebeslied.com|Knorkator
Entscheidungsschwierigkeiten|Die Prinzen
1234 Refill|Maeckes, Danger Dan, Edgar Wasser, Fatoni
Trotzdem|Danger Dan
ABCDEFGHIJKLMNOPQRSTUVWXYZ|Käptn Peng, Die Tentakel von Delphi
Über alle Berge|257ers, Alligatoah
Soldat|ok.danke.tschüss
Gut allein|Paul Gerlinger
Perfekte Welle|Juli
Lass liegen|Alligatoah
Faschismus is back|Jan Böhmermann
Leukämie du Bitch|ok.danke.tschüss
Hauch mich mal an|Das Lumpenpack
Denkmal|Wir sind Helden
WZF?!|Das Lumpenpack
Hart Vermissen|Alligatoah
Alles nur geklaut|Die Prinzen
Wie viel ist dein Outfit wert|KUMMER
Angst Frisst Demokratie|Paula Carolina
Vincent van Gogh|ok.danke.tschüss
Die Prinzentragödie (mit Sebastian Krumbiegel)|Danger Dan, Sebastian Krumbiegel
Geld verdirbt den Charakter|Dota Kehr
Gute Menschen|OK KID
Ich muss gar nix|Grossstadtgeflüster
Mark|Das Lumpenpack
Hymne gegen euch|Provinz
Das schreckliche Buch|Danger Dan
Guacamole|Das Lumpenpack
Eine aufs Maul|Danger Dan
Wir sind Versandsoldaten - Kampflied der Paketkuriere|Jan Böhmermann, Der Chor der Scheinselbständigen
Vergammelte Speisen|Die Prinzen
Ding|Seeed
Lauf davon|Danger Dan
DER LETZTE SONG (ALLES WIRD GUT) (feat. Fred Rabe)|KUMMER, Fred Rabe
Nicht die Musik|KUMMER
Einfache Gefühle|Das Lumpenpack
Alli-Alligatoah|Alligatoah
Mein Fahrrad|Die Prinzen
Ich verprügelte die Sextouristen in Bangkok|Danger Dan
Eine gute Nachricht|Danger Dan
Irgendwann glücklich|Haller
Schiff|KUMMER
Tesafilm|Danger Dan
Label Nummer 1 (feat. Danger Dan & Panik Panzer)|Bobby Fletcher, Koljah, Antilopen Gang, Danger Dan, Panik Panzer
Ich hänge|Alligatoah
Nebenjob|Alligatoah
Ingloria Victoria|Danger Dan
Gelernt|Käptn Peng, Die Tentakel von Delphi
Keiner|Madsen
Schön genug|Haller
Du bist so schön|Alin Coen
Im Labyrinth|Käptn Peng, Die Tentakel von Delphi
Pi|Käptn Peng, Die Tentakel von Delphi
Nachts auf dem Fahrrad|Treptow
Zu laut in der Disko|ok.danke.tschüss
Vielleicht Vielleicht|AnnenMayKantereit
WZF?! 2.4|Das Lumpenpack, Alligatoah
Leon|Faber
Kann es sein, dass du dumm bist?|Das Lumpenpack
Verwandtschaftstreffen|RIAN
Wärs ok?|Paula Carolina
Ein Problem mit Alkohol|Alligatoah
Meinungsfrei|Alligatoah
Trophäe|Paula Carolina
Kruppstahl, Baby|Das Lumpenpack, Adam Angst
Internet|KLAN, Alligatoah
Reiten|Alligatoah
Vorn an der Ecke|Alligatoah
Dein viel zu lautes Leben|Treptow
Universum|Das Lumpenpack
Alles wird besser|Florian Paul & Die Kapelle der letzten Hoffnung
Mitte 20|KAFFKIEZ
Ford Fiesta|Das Lumpenpack
Ein Traum|Bosse
Bella Ciao (Lied der italienischen Partisanen)|Hannes Wader
Lass es kreisen - Spotify Singles|AnnenMayKantereit
1990s|Rotfront
Bernd|Rainald Grebe
Kommst du mit?|Liedfett
Laterne|Monsters Of Liedermaching
Ich rollator mit meim Besten|Grossstadtgeflüster
Warum hört der Fahrradweg einfach hier auf?|Jan Böhmermann
Es muss was Wunderbares sein (von mir geliebt zu werden)|Sportfreunde Stiller
Bumm! Bumm! Bumm!|Madsen, König Boris
Das Schaf|Monsters Of Liedermaching
Hätte, hätte, hätte|Hasenscheisse
Körperliche Selbstverteidigung|Liedfett
Klaus|Das Lumpenpack
Alligatoah - Lady Gaga Remix|Alligatoah
Hab ich recht|Alligatoah
Scheiß auf Ironie|Deine Cousine
MC HomoSapiensSapiens|Käptn Peng, Die Tentakel von Delphi
Wissen schützt vor Dummheit nicht - Zugabe|Alligatoah
Vorratskammer|Team Scheisse
Backpfeifenernte auf dem Alphabeet|Käptn Peng, Die Tentakel von Delphi
Sockosophie|Käptn Peng, Die Tentakel von Delphi
Freie Liebe|Alligatoah
Neue Freunde|Käptn Peng, Die Tentakel von Delphi
Der Billiardär|Rainald Grebe
Hitler töten|Sudden, Alligatoah
Tango im Treibsand|Käptn Peng, Die Tentakel von Delphi
Ich boykottiere dich|Grossstadtgeflüster
Von Form zu Form|Shaban, Käptn Peng
Kassetten & Hühner|Nun flog Dr. Bert Rabe
Ronny|REMOTE BONDAGE
Thorben|Falk
Rosie|ok.danke.tschüss
Matrjoschka|Grossstadtgeflüster
