|word|part_of_speech|lemma
0|Meine|Possessive Pronoun|mein
23|Deine|Possessive Pronoun|dein
29|Präservative|Noun|das Präservativ
31|habn|Verb|haben
38|Nietzscher|Noun (Proper)|Nietzsche
39|Dicka|Interjection|Dicka
52|motherfucking|Adjective|motherfucking
55|yes|Interjection|yes
65|Teilche|Noun|das Teilchen
67|Quante|Noun|die Quant
69|reduziern|Verb|reduzieren
81|sehn|Verb|sehen
103|beweg|Verb|bewegen
106|tanz|Verb|tanzen
112|Rap-Video|Noun|das Rap-Video
123|Eh|Interjection|Eh
146|50|Numeral|50
156|Wendecover|Noun|das Wendecover
161|bäm|Interjection|bäm
187|anbräen|Verb|anbraten
190|Fleischspieße|Noun|der Fleischspieß
192|uuuh|Interjection|uuuh
198|muss|Verb|müssen
221|Jokes|Noun|der Joke
230|Slut|Noun|die Slut
242|eur|Pronoun|euer
254|schrein|Verb|schreien
255|Jaa|Interjection|Jaa
266|grinden|Verb|grinden
274|frühren|Verb|führen
283|einsperr|Verb|einsperren
325|Leinentape|Noun|das Leinentape
366|willst|Verb|wollen
401|Glitzernägeln|Noun|der Glitzernagel
417|Stripper-Mädchen|Noun|das Stripper-Mädchen
423|Grizzly-Bären|Noun|der Grizzlybär
425|Grizzly-Bärin|Noun|die Grizzlybärin
436|anderr|Adjective|anderer
462|beschissn|Verb|beschissen
470|Hört|Verb|hören
482|Annehmen|Noun|die Annahme
484|schriebe|Verb|schreiben
492|besänge|Verb|besingen
496|fänden|Verb|finden
503|zweiter|Adjective|zweite
506|erster|Adjective|erste
509|Werden|Noun|das Werden
512|Kubitschek|Noun (Proper)|Kubitschek
515|spannn|Verb|spannen
532|Juristisch|Adjective|juristisch
533|wär|Verb|sein
546|Zeig|Verb|zeigen
583|Behaupten|Noun|die Behauptung
584|Gauland|Noun (Proper)|Gauland
594|eim|Article|einem
602|befrein|Verb|befreien
609|reinzuprügeln|Verb|reinprügeln
612|nöcher|Adverb|näher
620|streun|Verb|streunen
657|Jebsen|Noun (Proper)|Jebsen
693|musste|Verb|müssen
696|Gerichtskoste|Noun|die Gerichtskosten
699|bezahln|Verb|bezahlen
752|Danger|Noun|die Danger
778|erzähln|Verb|erzählen
790|schieß|Verb|schießen
792|Reptilienmensch|Noun|der Reptilienmensch
835|NSU|Noun (Proper)|NSU
851|Oury|Noun (Proper)|Oury
852|Jalloh|Noun (Proper)|Jalloh
866|kannst|Verb|können
869|letzter|Adjective|letzte
884|machn|Verb|machen
926|27|Numeral|27
933|hundertachzig|Numeral|hundertachtzig
938|beseffen|Verb|besaufen
978|entspannt|Adjective|entspannt
986|Sonntagsbrunch|Noun|der Sonntagsbrunch
989|Pärchenurlaub|Noun|der Pärchenurlaub
991|gemeint|Verb|meinen
993|Anti-Eskalation|Noun|die Anti-Eskalation
1008|Risikoanlage|Noun|die Risikoanlage
1017|draufzugehn|Verb|draufgehen
1031|habs|Verb|haben
1040|glaub|Verb|glauben
1042|Ich-Ich|Noun|das Ich-Ich
1086|Plastikbong|Noun|die Plastikbong
1121|bekannte|Adjective|bekannt
1146|habsn|Verb|haben
1188|Quarterlife|Noun (Proper)|Quarterlife
1189|Crisis|Noun (Proper)|Crisis
1201|wünschn|Verb|wünschen
1255|Steinzeithöhle|Noun|die Steinzeithöhle
1277|Plante|Verb|planen
1327|Seid|Verb|sein
1362|Hähnchengrillstand|Noun|der Hähnchengrillstand
1380|stehn|Verb|stehen
1388|verstehn|Verb|verstehen
1403|Ey|Interjection|Ey
1454|frag|Verb|fragen
1545|wirs|Pronoun|wir
1576|Spielplatzbesuch|Noun|der Spielplatzbesuch
1588|anderer|Adjective|andere
1599|Mutter-Mutter-Kind|Noun|die Mutter-Mutter-Kind-Konstellation
1601|Vater-Vater-Vater|Noun|die Vater-Vater-Vater-Konstellation
1608|ner|Article|eine
1651|Kindergartenleiter|Noun|der Kindergartenleiter
1655|erziehn|Verb|erziehen
1658|Batman|Noun (Proper)|Batman
1661|Eisprinzessin|Noun|die Eisprinzessin
1670|reinsetzen|Verb|reinsetzen
1719|einer|Article|ein
1790|Bienen-Metapher|Noun|die Bienen-Metapher
1830|Supermarktfiliale|Noun|die Supermarktfiliale
1858|Komm|Verb|kommen
1865|tze|Interjection|tze
1869|Krav-Maga-Handkante|Noun|die Krav-Maga-Handkante
1870|Empfehle|Verb|empfehlen
1871|Vätern|Noun|der Vater
1873|Söhnen|Noun|der Sohn
1892|Habn|Verb|haben
1896|meister|Noun|der Meister
1903|Eure|Pronoun|euer
1909|Hinterletzte|Noun|der Hinterletzte
2054|wolln|Verb|wollen
2058|reinkommn|Verb|reinkommen
2123|Ausländerschwein|Noun|das Ausländerschwein
2181|Wegschaun|Verb|wegschauen
2234|unsrem|Pronoun|unser
2285|weggeschossen|Verb|wegschiessen
2294|Nazi-Lachen|Noun|das Nazi-Lachen
2296|Bürgerschweigen|Noun|das Bürgerschweigen
2322|geschwiegen|Verb|schweigen
2328|Geschicht|Noun|die Geschichte
2418|anschmeessen|Verb|anschmeißen
2442|Tschuldigung|Noun|die Entschuldigung
2461|sags|Verb|sagen
2470|Bliebt|Verb|bleiben
2483|gröln|Verb|grölen
2489|taumelnd|Adjective|taumelnd
2502|Wiegenmelodie|Noun|die Wiegenmelodie
2544|geselln|Verb|gesellen
2560|Armen|Noun|der Arm
2586|haubitzenvoll|Adjective|haubitzenvoll
2606|Gib|Verb|geben
2630|Deagle|Noun (Proper)|Deagle
2631|Guten|Adjective|gut
2636|Gatoah|Noun (Proper)|Gatoah
2646|Geometrisch|Adjective|geometrisch
2650|LEGO-Face|Noun|das LEGO-Gesicht
2654|YouTuber-Look|Noun|der YouTuber-Look
2661|fress|Verb|fressen
2665|Beautyprodukt|Noun|das Beautyprodukt
2684|Gesichtsfalte|Noun|die Gesichtsfalte
2686|Jackson|Noun (Proper)|Jackson
2693|auftrag|Noun|der Auftrag
2706|Lieblingsrohstoff|Noun|der Lieblingsrohstoff
2718|yo|Interjection|yo
2719|Spieglein|Noun|der Spiegel
2723|sag|Verb|sagen
2725|Bin|Verb|sein
2743|kannen|Verb|können
2788|geb|Verb|geben
2794|Luxus-Modemesse|Noun|die Luxus-Modemesse
2809|99|Numeral|99
2820|hab|Verb|haben
2826|mancher|Pronoun|mancher
2830|Schrottfetze|Noun|die Schrottfetze
2832|tragn|Verb|tragen
2838|Frag|Verb|fragen
2847|nähn|Verb|nähen
2855|Tja|Interjection|Tja
2873|Designerjacke|Noun|die Designerjacke
2884|Come|Interjection|Come
2998|mach|Verb|machen
3072|Moin|Interjection|Moin
3094|Schalt|Verb|schalten
3098|zieh|Verb|ziehen
3111|gibts|Verb|geben
3113|allerbester|Adjective|allerbeste
3128|Irgendwas|Pronoun|irgendwas
3137|vieler|Adjective|viele
3157|Hör|Verb|hören
3169|Plötzlich|Adjective|plötzlich
3178|hats|Verb|haben
3203|Absolute|Adjective|absolut
3204|Wahnsinnsshow|Noun|die Wahnsinnsshow
3245|UNICEF|Noun (Proper)|UNICEF
3248|grad|Adverb|gerade
3251|zerhäcksel|Verb|zerhäckseln
3254|Mulinex|Noun (Proper)|Moulinex
3255|Seh|Verb|sehen
3291|ichs|Pronoun|ich
3297|siehts|Verb|sehen
3325|Sowas|Pronoun|sowas
3400|nem|Article|einem
3403|Passiert|Verb|passieren
3417|verletzter|Adjective|verletzt
3431|sehs|Verb|sehen
3445|Flehen|Verb|flehen
3451|fragn|Verb|fragen
3500|seh|Verb|sehen
3505|Seltsame|Adjective|seltsam
3527|krieg|Verb|kriegen
3544|Mitten|Adverb|mitten
3548|werdn|Verb|werden
3554|Schleich|Verb|schleichen
3560|hörn|Verb|hören
3616|loswerdn|Verb|loswerden
3633|Kapitalistische|Adjective|kapitalistisch
3634|Liebeslieder|Noun|das Liebeslied
3637|name|Noun|der Name
3638|Ching|Noun (Proper)|Ching
3639|ching|Noun (Proper)|ching
3647|Maeckes|Noun (Proper)|Maeckes
3666|Startgebot|Noun|das Startgebot
3667|2|Numeral|2
3699|they|Pronoun|they
3701|riechn|Verb|riechen
3706|kenn|Verb|kennen
3749|Doppelte|Adjective|doppelt
3750|Oh|Interjection|Oh
3802|Tätowier|Verb|tätowieren
3805|deinn|Pronoun|dein
3806|Namn|Noun|der Name
3819|Klingt|Verb|klingen
3824|Möchten|Verb|möchten
3826|Maecke|Noun (Proper)|Maeckes
3827|dendie|Article|die
3830|angetrautenangetraute|Noun|der Angetraute
3839|nehmn|Verb|nehmen
3912|Streaming-Plattform|Noun|die Streaming-Plattform
3913|hochgeladen|Verb|hochladen
3918|Natürlich|Adverb|natürlich
3932|sitzn|Verb|sitzen
3935|Starbucks|Noun (Proper)|Starbucks
3937|Phuket|Noun (Proper)|Phuket
3963|Bedient|Verb|bedienen
3988|Tschau|Interjection|Tschau
4010|Tourigesindel|Noun|das Tourigesindel
4015|Meinen|Verb|meinen
4030|Profi-Cam|Noun|die Profi-Cam
4031|abgelichtet|Verb|ablichten
4034|Fotohandy|Noun|das Fotohandy
4039|denselber|Pronoun|derselbe
4046|You|Pronoun|you
4047|have|Verb|have
4052|Ramschhändler|Noun|der Ramschhändler
4080|Trekkingzelt|Noun|das Trekkingzelt
4088|naturbewusst|Adjective|naturbewusst
4094|Flugzeugschmutz|Noun|der Flugzeugschmutz
4096|CO2-Fußabdruck|Noun|der CO2-Fußabdruck
4103|Hektikmodus|Noun|der Hektikmodus
4113|Geldwechselstrom|Noun|der Geldwechselstrom
4116|Hotelrezeption|Noun|die Hotelrezeption
4117|Runterkommen|Verb|runterkommen
4122|bestell|Verb|bestellen
4126|Such|Verb|suchen
4127|einn|Article|ein
4138|gefällen|Verb|gefallen
4142|fühl|Verb|fühlen
4153|buch|Verb|buchen
4172|Betrachten|Verb|betrachten
4176|Déjà-vu-überall|Noun|das Déjà-vu
4184|Opel|Noun (Proper)|Opel
4187|Pringles|Noun (Proper)|Pringles
4218|Brüste|Noun|die Brust
4240|Fotografier|Verb|fotografieren
4256|E-E-Erinnerung|Noun|die E-Erinnerung
4258|finstre|Adjective|finster
4261|Jobroutine|Noun|die Jobroutine
4270|Hin|Adverb|hin
4280|Hola|Interjection|Hola
4286|amazing|Adjective|amazing
4290|wärn|Verb|sein
4291|Tro-|Noun|Trotz
4293|-phäen|Noun|das Phän
4294|Fliegende|Adjective|fliegend
4299|Hätt|Verb|haben
4305|gäb|Verb|geben
4313|neugeborn|Adjective|neugeboren
4314|Ohh|Interjection|Oh
4325|Break-up-Frisur|Noun|die Break-up-Frisur
4326|Damn|Interjection|Damn
4327|right|Adjective|right
4329|change|Verb|change
4335|sprech|Verb|sprechen
4338|fresh|Adjective|fresh
4343|Catchphrase|Noun|die Catchphrase
4345|Fast-Food-Narr|Noun|der Fast-Food-Narr
4347|gefühlt|Verb|fühlen
4350|ess|Verb|essen
4357|fahrn|Verb|fahren
4364|nächster|Adjective|nächste
4374|Alkoholkarriere|Noun|die Alkoholkarriere
4385|durchlöcher|Verb|durchlöchern
4389|Naturgötter|Noun|der Naturgott
4436|Passport|Noun|der Passport
4442|Erfinden|Verb|erfinden
4458|360|Numeral|360
4460|-60|Numeral|-60
