|word_de|part_of_speech|word_en|sentence_de|sentence_en|sentence_lemmatized_de
1.0|Ho|Interjection|hey
2.0|mein|possessive pronoun|my|Mein größter Wunsch ist in Erfüllung gegangen.|My greatest wish has come true.|mein;groß;Wunsch;sein;in;Erfüllung;gehen
9.0|oh|Interjection|oh
10.0|ah|Interjection|ah
11.0|yeah|Interjection|yeah
18.0001|heimkehren|verb|to return home|Die Soldaten kehrten endlich heim zur Familie.|The soldiers finally returned home to their families.|der;Soldat;heimkehren;endlich;heim;zu;Familie
25.0|reden|Verb|to talk|Er weigerte sich, mit irgendjemandem zu reden.|He refused to talk to anyone.|er;weigern;sich;mit;irgendjemand;zu;reden
26.0|schon|adverb|already|Das Buch war schon nach einer Woche fertig.|The book was already finished in a week.|der;Buch;sein;schon;nach;ein;Woche;fertig
27.0|wieder|adverb|again|Der Sommer ist wieder voller Überraschungen.|The summer is full of surprises again.|der;Sommer;sein;wieder;voll;Überraschung
28.0|über|preposition|over|Die Vögel flogen hoch über den Wolken hinweg.|The birds flew high over the clouds.|der;Vögel;fliegen;hoch;über;der;Wolke;hinweg
30.0|ich|pronoun|I|Ich schreibe jeden Tag ein Kapitel meines Buches.|I write a chapter of my book every day.|ich;schreiben;jeder;Tag;ein;Kapitel;mein;Buch
32.0|mit|Preposition|with|Mit Freunden zu reisen macht alles besser.|Traveling with friends makes everything better.|mit;Freund;zu;reisen;machen;alle;gut
35.0|ein|article|a|Ein leises Klopfen war an der Tür zu hören.|A faint knock was heard at the door.|ein;leis;Klopfen;sein;an;der;Tür;zu;hören
36.0|das Gespräch|noun|conversation|Das Gespräch mit dem Chef verlief sehr positiv.|The conversation with the boss went very positively.|der;Gespräch;mit;der;Chef;verlaufen;sehr;positiv
41.0|geben|verb|to give|Kannst du mir bitte die Unterlagen geben?|Can you please give me the documents?|Kannst;du;mir;bitte;der;Unterlage;geben
45.0|zärtlich|adjective|tender|Seine zärtliche Geste berührte sie zutiefst.|His tender gesture deeply moved her.|sein;zärtlich;Geste;berühren;sie;zutiefst
46.0|der Kuss|noun|the kiss|Ihr erster Kuss war auf einer Sommerparty.|Their first kiss was at a summer party.|ihr;erster;Kuss;sein;auf;ein;Sommerparty
47.0|und|conjunction|and|Blut und Asche lagen verstreut im Staub.|Blood and ashes lay scattered in the dust.|Blut;und;Asche;liegen;verstreuen;in;Staub
48.0|danach|adverb|after that|Wir gingen essen und fuhren danach nach Hause.|We went to eat and drove home after that.|wir;essengehen;essen;und;fahren;danach;nach;Haus
49.0|werden|verb|become|Er wird bald ein berühmter Musiker werden.|He will soon become a famous musician.|er;werden;bald;ein;berühmt;Musiker;werden
50.0|in|preposition|in|In der Ferne leuchteten die Lichter der Stadt.|In the distance, the city lights were shining.|in;der;Ferne;leuchten;der;Licht;der;Stadt
51.0|der|article|the|Der Mond schien hell über den stillen Wäldern.|The moon shone brightly over the quiet forests.|der;Mond;scheinen;hell;über;der;still;Wald
53.0|der Stern|noun|star|Der Stern leuchtete hell am nächtlichen Himmel.|The star shone brightly in the night sky.|der;Stern;leuchten;hell;an;nächtlich;Himmel
54.0|gucken|Verb|to look|Er wollte um die Ecke gucken, traute sich nicht.|He wanted to look around the corner but didn’t dare.|er;wollen;um;der;Ecke;gucken;trauen;sich;nicht
