|word_de
0|abbrechen
1|abfeiern
2|abgehen
3|abhängen
4|abholen
5|abknibbeln
6|ablegen
7|ablenken
8|ablesen
9|abliefern
10|abmurksen
11|abreißen
12|abschrecken
13|abschweifen
14|abtragen
15|aktivieren
16|akzeptieren
17|alleinbleiben
18|allemachen
19|altwerden
20|amüsieren
21|ändern
22|anfangen
23|anfassen
24|angeben
25|angehen
26|angreifen
27|anhalten
28|anhören
29|anklatschen
30|ankleben
31|anklingeln
32|ankommen
33|anlassen
34|anlocken
35|anmachen
36|anquatschen
37|anrufen
38|anschalten
39|anschauen
40|anschleichen
41|anschmiegen
42|ansehen
43|anstehen
44|anstoßen
45|antragen
46|antreten
47|anzetteln
48|anziehen
49|anzünden
50|arbeiten
51|ärgern
52|aufbahren
53|aufbauen
54|aufdrehen
55|auffallen
56|auffangen
57|aufgeben
58|aufgehen
59|aufhaben
60|aufhalten
61|aufheben
62|aufhören
63|aufknacken
64|aufkommen
65|aufkratzen
66|aufkriegen
67|auflaufen
68|auflösen
69|aufmachen
70|aufnehmen
71|aufpassen
72|aufregen
73|aufreißen
74|aufschlagen
75|aufschreiben
76|aufsehen
77|aufstehen
78|aufsteigen
79|aufstellen
80|aufsuchen
81|auftragen
82|auftreten
83|aufwachen
84|aufwecken
85|aufwerfen
86|aufzeichnen
87|ausatmen
88|ausbeuten
89|ausbrechen
90|ausfallen
91|ausfeilen
92|ausgehen
93|auskommen
94|auslassen
95|ausloten
96|ausnennen
97|ausprobieren
98|ausrasten
99|ausreichen
100|ausruhen
101|aussehen
102|austauschen
103|auswerfen
104|auswringen
105|ausziehen
106|balancieren
107|basteln
108|bauen
109|bedrohen
110|befehlen
111|befreien
112|begehren
113|beherrschen
114|beißen
115|bekennen
116|bereisen
117|besaufen
118|beschatten
119|beschweren
120|besteigen
121|bestimmen
122|betrachten
123|betreten
124|betrügen
125|bewegen
126|beweisen
127|bewohnen
128|bezahlen
129|biertrinken
130|bieten
131|bleiben
132|blühen
133|brauchen
134|brechen
135|brennen
136|bringen
137|buckeln
138|buddeln
139|da sein
140|dabeihalten
141|dableiben
