word_de|count
der|5455
sein|903
und|877
in|817
zu|672
ein|484
werden|441
für|329
er|295
um|291
auf|250
an|249
mit|207
sich|186
sie|159
von|149
bei|136
ihr|133
ich|132
neu|132
können|125
als|124
haben|120
wir|116
vieler|113
aus|112
es|110
über|101
alt|99
nach|92
während|81
Kind|79
nicht|79
beginnen|76
schnell|71
alle|64
musste|64
groß|61
gut|58
vor|57
frisch|57
machen|56
wenn|56
Stadt|55
sehr|54
jeder|54
mein|53
wollen|53
oft|52
aller|52
durch|52
wichtig|51
ihn|51
perfekt|49
viel|47
muss|47
dass|47
sorgen|44
dieser|44
du|44
bringen|41
müssen|40
lassen|38
geben|36
Mensch|36
Wasser|36
laut|35
zeigen|35
lang|34
Auto|34
uns|33
voll|32
bevor|32
Garten|31
bieten|30
sollen|29
wie|28
führen|28
helfen|27
ohne|27
unser|27
schwer|26
Straße|26
immer|25
Hund|25
ganz|24
sorgfältig|24
schützen|24
hoch|24
Licht|24
sofort|23
Haus|22
Tier|22
Gast|22
Buch|22
stark|22
ab|22
planen|22
bereit|21
fallen|21
kommen|21
Tisch|21
sicher|21
mir|21
bleiben|21
Raum|20
ihm|20
so|20
möchten|20
man|20
versuchen|20
Tag|20
liegen|20
elegant|19
Nacht|19
Schüler|19
einfach|19
tief|19
spielen|19
aber|18
bekannt|18
klein|18
warm|17
zwischen|17
wer|17
Wald|17
finden|17
fühlen|17
Geschichte|17
Tür|17
stehen|17
bunt|16
halten|16
Zeit|16
schön|16
Freund|16
langsam|16
Wand|16
unter|16
tragen|16
bald|16
gegen|16
Jahr|16
anziehen|15
Park|15
arbeiten|15
Film|15
Wetter|15
beeindruckend|15
kein|15
bis|15
köstlich|15
fröhlich|15
klar|14
heute|14
Gruppe|14
mussten|14
verwenden|14
Schiff|14
mich|14
beliebt|14
anderer|14
nächster|14
richtig|14
gehen|13
Himmel|13
zurück|13
zusammen|13
weil|13
präzise|13
Freude|13
gewinnen|13
Weg|13
Wind|13
Problem|13
Boden|13
Papier|13
Bürger|12
Baum|12
verursachen|12
Familie|12
Zuschauer|12
Künstler|12
Sturm|12
besonders|12
noch|11
Feier|11
nur|11
treffen|11
Projekt|11
damit|11
hin|11
See|11
erleichtern|11
erhalten|11
erfordern|11
beide|11
Land|11
Gebäude|11
benötigen|11
Landschaft|11
Nachricht|11
Regel|11
