|word_deu|part_of_speech|word_eng
1.0|Ho|noun|slut
2.0|mein|possessive pronoun|my
9.0|oh|Interjection|oh
10.0|ah|Interjection|ah
11.0|yeah|Interjection|yeah
18.0001|heimkehren|verb|to return home
25.0|reden|Verb|to talk
26.0|schon|adverb|already
27.0|wieder|adverb|again
28.0|über|preposition|over
30.0|ich|pronoun|I
32.0|mit|Preposition|with
35.0|ein|article|a
36.0|das Gespräch|noun|conversation
41.0|geben|verb|to give
45.0|zärtlich|adjective|tender
46.0|der Kuss|noun|the kiss
47.0|und|conjunction|and
48.0|danach|adverb|after that
49.0|werden|verb|become
50.0|in|preposition|in
51.0|der|article|the
53.0|der Stern|noun|star
54.0|gucken|Verb|to look
57.0|dann|adverb|then
59.0|sie|pronoun|she
61.0|die Wange|noun|cheek
63.0|sprechen|verb|speak
64.0|von|preposition|from
65.0|das Teilchen|noun|particle
68.0|manchmal|adverb|sometimes
72.0|auf|preposition|on
73.0|ihr|possessive pronoun|her
74.0|nice|adjective|nice
75.0|der Gedanke|noun|the thought
78.0|es|pronoun|it
79.0|nichts|pronoun|nothing
80.0|zu|preposition|too
83.0|wir|pronoun|we
84.0|sein|verb|to be
85.0|weitergehen|verb|to go on
86.0|wie|adverb|how
87.0|bei|preposition|at
89.0|der Passant|noun|the passerby
90.0|oder|conjunction|or
92.0|die Passantin|noun|female passerby
95.0|lieben|verb|love
96.0|mich|pronoun|me
97.0|nicht|adverb|not
98.0|nur|adverb|only
99.0|weil|conjunction|because
101.0|sich|pronoun|oneself
102.0|sexy|adjective|sexy
104.0|doch|adverb|yet
108.0|der Hintergrund|noun|the background
109.0|wenn|conjunction|if
113.0|drehen|verb|turn
115.0|nehmen|verb|to take
119.0|zahlen|verb|pay
126.0|haben|verb|to have
129.0|das Haar|noun|the hair
129.001|die Haar|noun|the hair
130.0|an|preposition|at
131.0|der Kopf|noun|head
135.0|kein|determiner|no
136.0|der Engel|noun|the angel
139.0|n|noun|n
140.0|die Menge|noun|the crowd
147.0|das Prozent|noun|the percent
148.0|aus|preposition|out
149.0|das Wasser|Nomen|the water
153.0|dünn|adjective|thin
160.0|gesund|adjective|healthy
162.0|du|pronoun|you
163.0|der Bastard|noun|bastard
166.0|reinigen|Verb|to clean
168.0|die Wohnung|noun|the apartment
173.0|aha|Interjection|aha
178.0|die Frau|noun|woman
179.0|sondern|conjunction|but rather
182.0|die Reihe|noun|row
184.0|haha|Interjection|haha
187.0|anbraten|verb|to fry
188.0|uns|pronoun|us
203.0|können|verb|can
204.0|das Kommen|noun|arrival
208.0|die Party|noun|party
209.0|hören|verb|to hear
211.0|jeder|Pronoun|everyone
214.0|denn|conjunction|because
221.0|der Joke|noun|joke
228.0|mal|adverb|once
231.0|aber|conjunction|but
233.0|schämen|verb|to be ashamed
240.0|der Fick|noun|the fuck
243.0|der Ehrbegriff|noun|concept of honor
250.0|die Emanzipation|noun|emancipation
253.0|der Bruder|noun|the brother
256.0|endlich|adverb|finally
257.0|das Gefühl|noun|the feeling
258.0|zeigen|verb|show
263.0|durch|preposition|through
265.0|die Küche|noun|the kitchen
267.0|ohne|Preposition|without
268.0|dass|conjunction|that
275.0|die Zeit|noun|time
280.0|männlich|adjective|male
281.0|der Freundeskreis|noun|circle of friends
287.0|die Grenze|Nomen|the border
289.0|der Zaun|noun|fence
295.0|scheinbar|adjective|seemingly
296.0|denken|verb|think
302.0|das Gefängnis|noun|the prison
308.0|der Sex|noun|the sex
318.0|verletzen|verb|to injure
323.0|zwei|numeral|two
324.0|das Ding|noun|the thing
327.0|der Respekt|noun|respect
335.0|Machtverteilung|noun|distribution of power
338.0|komplett|adjective|complete
343.0|das Konzept|noun|concept
346.0|so|adverb|so
352.0|die Zahl|noun|number
353.0|zwischen|preposition|between
354.0|eins|numeral|one
356.0|zehn|Numeral|ten
357.0|Bitch|noun|bitch
361.0|außerdem|Adverb|besides
364.0|der Punkt|Noun|the point
367.0|wissen|verb|know
370.0|aussehen|verb|to look like
371.0|ja|interjection|yes
372.0|das Auge|Noun|eye
373.0|die Nase|Noun|nose
374.0|der Mund|noun|mouth
374.001|die Mund|noun|the mouth
380.0|sonst|adverb|otherwise
384.0|auch|adverb|also
385.0|nix|noun|nothing
396.0|schön|adjective|beautiful
403.0|man|pronoun|one
409.0|das Gesicht|noun|face
411.0|das Mal|noun|time (occurrence)
412.0|entsprechen|Verb|to correspond
419.0|eher|adverb|rather
423.0|der Grizzlybär|noun|grizzly bear
428.0|die Mischung|noun|mixture
429.0|zählen|verb|to count
439.0|gegen|preposition|against
444.0|stolz|adjective|proud
450.0|richtig|adjective|correct
451.0|korrekt|adjective|correct
455.0|die Kunst|noun|art
456.0|gut|adjective|good
457.0|finden|verb|find
463.0|der Text|noun|text
464.0|noch|adverb|still
465.0|lang|adjective|long
469.0|ersetzen|verb|to replace
472.0|verdammt|adjective|damned
473.0|gerne|adverb|gladly
474.0|sexistisch|adjective|sexist
475.0|der Rap|noun|rap
476.0|tja|Interjection|well
477.0|also|Partikel|so
478.0|jetzt|adverb|now
480.0|ganz|adjective|whole
481.0|spekulativ|adjective|speculative
487.0|das Lied|noun|song
495.0|höchstpersönlich|adverb|personally
497.0|Jürgen|proper noun|Jürgen
498.0|der Elsässer|noun|the Alsatian
500.0|der Antisemit|noun|antisemite
503.0|zweite|adjective|second
504.0|das Teil|noun|part
504.001|der Teil|noun|the part
506.0|erste|adjective|first
507.0|die Strophe|noun|the verse
517.0|damit|conjunction|so that
518.0|meinen|verb|to mean
523.0|rhetorisch|adjective|rhetorical
524.0|die Figur|noun|character
527.0|das Sportgerät|noun|the sports equipment
530.0|schießen|verb|to shoot
532.0|juristisch|adjective|legal
535.0|die Grauzone|noun|gray area
536.0|erreichen|verb|to achieve
538.0|vor|preposition|before
539.0|das Gericht|Nomen|the court
540.0|machen|verb|do
543.0|mir|pronoun|me
545.0|leicht|adjective|light
551.0|öffnen|verb|open
553.0|der Sekt|noun|sparkling wine
556.0|alle|pronoun|all
559.0|Kunstfreiheit|noun|artistic freedom
560.0|decken|verb|cover
567.0|nutzen|verb|use
570.0|lieber|Adverb|rather
572.0|der Konjunktiv|noun|the subjunctive
579.0|der Konflikt|noun|the conflict
582.0|das Gesetz|noun|law
587.0|der Reptiloid|noun|reptiloid
597.0|die Welt|noun|world
600.0|der Faschist|noun|fascist
605.0|zurück|adverb|back
608.0|das Loch|noun|the hole
608.001|der Loch|noun|the Loch
614.0|ihnen|pronoun|them
615.0|die Rose|noun|the rose
618.0|der Weg|noun|way
650.0|vielleicht|adverb|perhaps
656.0|das Ken|noun|the Ken
658.0|gehören|verb|belong
662.0|die Zensur|noun|censorship
663.0|immer|adverb|always
664.0|sehr|adverb|very
665.0|laut|adjective|loud
666.0|beschweren|verb|complain
672.0|das Band|noun|ribbon
672.001|der Band|noun|volume
672.002|die Band|noun|the band
674.0|er|pronoun|he
679.0|beschimpfen|verb|to insult
688.0|natürlich|adverb|naturally
691.0|das Recht|noun|the right
698.0|die Anwältin|noun|lawyer
702.0|lächerlich|adjective|ridiculous
703.0|der Mann|Noun|man
704.0|hoffentlich|Adverb|hopefully
709.0|was|pronoun|what
711.0|passieren|verb|happen
716.0|euch|pronoun|you (plural)
717.0|sagen|Verb|say
747.0|nein|adverb|no
751.0|wirklich|adverb|really
753.0|der Dan|noun|the Dan
757.0|die Lust|noun|desire
761.0|das Experiment|noun|the experiment
766.0|wer|pronoun|who
767.0|erlauben|verb|to allow
770.0|verbieten|verb|forbid
773.0|wollen|verb|to want
776.0|die Meinung|noun|the opinion
777.0|hier|adverb|here
785.0|das Glück|noun|luck
793.0|glauben|Verb|believe
797.0|wahnsinnig|adjective|crazy
805.0|der Nationalsozialist|noun|the Nazi
808.0|niemals|adverb|never
814.0|diskutieren|verb|to discuss
820.0|die Geschichte|Noun|the story
824.0|vertrauen|verb|trust
828.0|der Staat|noun|the state
830.0|Polizeiapparat|noun|police apparatus
841.0|die Polizei|noun|the police
843.0|selbst|pronoun|self
847.0|der Nazi|noun|the Nazi
855.0|anzünden|verb|to ignite
860.0|friedlich|adjective|peaceful
863.0|die Gewalt|noun|violence
865.0|ankommen|verb|to arrive
874.0|bleiben|verb|stay
875.0|die Militanz|noun|the militancy
904.0|alles|Noun|everything
919.0|langsam|adjective|slow
924.0|der Club|Noun|club
929.0|ziemlich|adverb|quite
930.0|klar|adjective|clear
933.0|hundertachtzig|number|one hundred eighty
936.0|die Stadt|noun|the city
941.0|das Dach|noun|roof
943.0|die Woche|noun|the week
944.0|wach|adjective|awake
945.0|tausend|adjective|thousand
946.0|die Flasche|noun|the bottle
947.0|der Schnaps|noun|schnapps
950.0|kommen|verb|to come
953.0|die Freitagnacht|noun|Friday night
958.0|die Früh|noun|the early hours
958.001|der Früh|noun|early (archaic)
958.002|das Früh|noun|the dawn
960.0|das Bett|noun|bed
961.0|gehen|verb|go
965.0|der Samstag|noun|Saturday
970.0|anfangen|Verb|to start
973.0|einfach|adjective|simple
976.0|das Wochenende|noun|weekend
979.0|easy|adjective|easy
990.0|ironisch|adjective|ironic
994.0|pro|adjective|pro
995.0|die Gemütlichkeit|noun|the coziness
997.0|beginnen|verb|to begin
999.0|harmlos|adjective|harmless
1002.0|der Spieleabend|noun|game night
1004.0|enden|verb|end
1009.0|irgendwann|adverb|sometime
1013.0|spät|adjective|late
1014.0|um|preposition|around
1016.0|früh|adjective|early
1022.0|alt|adjective|old
1026.0|jung|adjective|young
1028.0|sterben|verb|to die
1032.0|versuchen|verb|try
1049.0|genug|Adjektiv|enough
1052.0|wohnen|Verb|to live
1056.0|wegen|preposition|because of
1058.0|das Kind|noun|child
1060.0|die Gegend|noun|area
1066.0|klappen|verb|work out
1071.0|ewig|adjective|eternal
1073.0|sehen|verb|to see
1076.0|Grillfest|noun|barbecue
1077.0|die Hochzeit|noun|wedding
1078.0|das Klassentreffen|noun|class reunion
1079.0|die Weinverkostung|noun|wine tasting
1080.0|das Blei|noun|lead
1080.001|der Blei|noun|lead
1083.0|der Silvester|noun|New Year's Eve
1085.0|statt|preposition|instead of
1090.0|international|adjective|international
1091.0|für|preposition|for
1093.0|der Bayer|noun|the Bavarian
1098.0|bis|conjunction|until
1102.0|mehr|adverb|more
1103.0|all|pronoun|all
1105.0|weit|adjective|far
1110.0|die Politik|noun|politics
1111.0|da|adverb|there
1112.0|streiten|verb|to argue
1117.0|der Freund|noun|the friend
1170.0|dreißig|adjective|thirty
1176.0|die Phase|noun|phase
1180.0|vorbei|Adverb|over
1197.0|klein|adjective|small
1198.0|bisschen|noun|a bit
1199.0|neidisch|adjective|envious
1204.0|heimlich|adverb|secretly
1208.0|das Haus|noun|house
1210.0|das Grün|noun|green
1212.0|fehlen|verb|to lack
1221.0|die Bühne|noun|stage
1228.0|dieser|pronoun|this
