|lemma|lemma_correct
0.0|mein|mein
1.0|Ho|Ho
9.0|oh|oh
10.0|ah|ah
11.0|yeah|yeah
23.0|dein|dein
25.0|reden|reden
26.0|schon|schon
27.0|wieder|wieder
28.0|über|über
29.0|das Präservativ|das Präservativ
30.0|ich|ich
31.0|haben|haben
32.0|mit|mit
35.0|ein|ein
36.0|Gespräch|das Gespräch
41.0|geben|geben
45.0|zärtlich|zärtlich
46.0|Kuss|der Kuss
47.0|und|und
48.0|danach|danach
49.0|werden|werden
50.0|in|in
51.0|der|der
53.0|Stern|der Stern
54.0|gucken|gucken
57.0|dann|dann
58.0|spreizen|spreizen
59.0|sie|sie
61.0|Wange|die Wange
63.0|sprechen|sprechen
64.0|von|von
65.0|das Teilchen|das Teilchen
67.0|die Quant|das Quant
68.0|manchmal|manchmal
69.0|reduzieren|reduzieren
72.0|auf|auf
73.0|ihr|ihr
74.0|nice|nice
75.0|Gedanke|der Gedanke
78.0|es|es
79.0|nichts|nichts
80.0|zu|zu
81.0|sehen|sehen
83.0|wir|wir
84.0|sein|sein
85.0|weitergehen|weitergehen
86.0|wie|wie
87.0|bei|bei
89.0|Passant|der Passant
90.0|oder|oder
92.0|Passantin|die Passantin
95.0|lieben|lieben
96.0|mich|mich
97.0|nicht|nicht
98.0|nur|nur
99.0|weil|weil
101.0|sich|sich
102.0|sexy|sexy
103.0|bewegen|bewegen
104.0|doch|doch
106.0|tanzen|tanzen
108.0|Hintergrund|der Hintergrund
109.0|wenn|wenn
113.0|drehen|drehen
115.0|nehmen|nehmen
117.0|Rechnungsbeleg|Rechnungsbeleg
119.0|zahlen|zahlen
122.0|Boss|der Boss
129.0|Haar|das Haar
129.001|Haar|die Haar
130.0|an|an
131.0|Kopf|der Kopf
135.0|kein|kein
136.0|Engel|der Engel
139.0|n|n
140.0|Menge|die Menge
141.0|Laster|das Laster
141.001|Laster|der Laster
144.0|bestehen|bestehen
147.0|Prozent|das Prozent
148.0|aus|aus
149.0|Wasser|das Wasser
153.0|dünn|dünn
160.0|gesund|gesund
162.0|du|du
163.0|Bastard|der Bastard
166.0|reinigen|reinigen
168.0|Wohnung|die Wohnung
170.0|Schwamm|der Schwamm
172.0|Seife|die Seife
173.0|aha|aha
178.0|Frau|die Frau
179.0|sondern|sondern
182.0|Reihe|die Reihe
184.0|haha|haha
187.0|anbraten|anbraten
188.0|uns|uns
190.0|der Fleischspieß|der Fleischspieß
198.0|müssen|müssen
203.0|können|können
204.0|Kommen|das Kommen
208.0|Party|die Party
209.0|hören|hören
211.0|jeder|jeder
212.0|Obstbauer|der Obstbauer
213.0|schwärmen|schwärmen
214.0|denn|denn
216.0|schütteln|schütteln
221.0|der Joke|der Joke
224.0|Ärmel|der Ärmel
228.0|mal|mal
231.0|aber|aber
233.0|schämen|schämen
240.0|Fick|der Fick
242.0|euer|euer
243.0|Ehrbegriff|der Ehrbegriff
245.0|freuen|freuen
250.0|Emanzipation|die Emanzipation
253.0|Bruder|der Bruder
254.0|schreien|schreien
256.0|endlich|endlich
257.0|Gefühl|das Gefühl
258.0|zeigen|zeigen
262.0|Bügeleisen|das Bügeleisen
263.0|durch|durch
265.0|Küche|die Küche
267.0|ohne|ohne
268.0|dass|dass
270.0|überpeinlich|überpeinlich
274.0|führen|führen
275.0|Zeit|die Zeit
280.0|männlich|männlich
281.0|Freundeskreis|der Freundeskreis
283.0|einsperren|einsperren
287.0|Grenze|die Grenze
289.0|Zaun|der Zaun
294.0|Großteil|der Großteil
295.0|scheinbar|scheinbar
296.0|denken|denken
299.0|Treueeid|Treueeid
302.0|Gefängnis|das Gefängnis
303.0|bedeutsam|bedeutsam
307.0|einvernehmlich|einvernehmlich
308.0|Sex|der Sex
314.0|Peitschenschlag|Peitschenschlag
317.0|Regel|die Regel
318.0|verletzen|verletzen
320.0|würgen|würgen
323.0|zwei|zwei
324.0|Ding|das Ding
327.0|Respekt|der Respekt
332.0|Zeichen|das Zeichen
335.0|Machtverteilung|Machtverteilung
338.0|komplett|komplett
342.0|zeitgemäß|zeitgemäß
343.0|Konzept|das Konzept
346.0|so|so
352.0|Zahl|die Zahl
353.0|zwischen|zwischen
354.0|eins|eins
356.0|zehn|zehn
357.0|Bitch|Bitch
361.0|außerdem|außerdem
363.0|Austauschware|Austauschware
364.0|Punkt|der Punkt
366.0|wollen|wollen
367.0|wissen|wissen
370.0|aussehen|aussehen
371.0|ja|ja
372.0|Auge|das Auge
373.0|Nase|die Nase
374.0|Mund|der Mund
374.001|Mund|die Mund
378.0|bücken|bücken
380.0|sonst|sonst
384.0|auch|auch
385.0|nix|nix
386.0|hochheben|hochheben
390.0|ficken|ficken
392.0|Leben|das Leben
396.0|schön|schön
399.0|Gebrauch|der Gebrauch
403.0|man|man
407.0|Schicksalsschlag|der Schicksalsschlag
409.0|Gesicht|das Gesicht
410.0|ablesen|ablesen
411.0|Mal|das Mal
412.0|entsprechen|entsprechen
415.0|Erscheinung|die Erscheinung
419.0|eher|eher
423.0|der Grizzlybär|der Grizzlybär
428.0|Mischung|die Mischung
429.0|zählen|zählen
439.0|gegen|gegen
444.0|stolz|stolz
450.0|richtig|richtig
451.0|korrekt|korrekt
455.0|Kunst|die Kunst
456.0|gut|gut
457.0|finden|finden
459.0|Sittengesetz|das Sittengesetz
462.0|beschissen|beschissen
463.0|Text|der Text
464.0|noch|noch
465.0|lang|lang
468.0|Gewissen|das Gewissen
469.0|ersetzen|ersetzen
472.0|verdammt|verdammt
473.0|gerne|gerne
474.0|sexistisch|sexistisch
475.0|Rap|der Rap
476.0|tja|tja
477.0|also|also
478.0|jetzt|jetzt
480.0|ganz|ganz
481.0|spekulativ|spekulativ
482.0|die Annahme|die Annahme
484.0|schreiben|schreiben
487.0|Lied|das Lied
490.0|Inhalt|der Inhalt
492.0|besingen|besingen
495.0|höchstpersönlich|höchstpersönlich
497.0|Jürgen|Jürgen
498.0|Elsässer|der Elsässer
500.0|Antisemit|der Antisemit
503.0|zweite|zweite
504.0|Teil|das Teil
504.001|Teil|der Teil
506.0|erste|erste
507.0|Strophe|die Strophe
514.0|Bogen|der Bogen
515.0|spannen|spannen
517.0|damit|damit
518.0|meinen|meinen
523.0|rhetorisch|rhetorisch
524.0|Figur|die Figur
527.0|Sportgerät|das Sportgerät
529.0|Pfeil|der Pfeil
530.0|schießen|schießen
532.0|juristisch|juristisch
535.0|Grauzone|die Grauzone
536.0|erreichen|erreichen
538.0|vor|vor
539.0|Gericht|das Gericht
540.0|machen|machen
543.0|mir|mir
