|word|part_of_speech|lemma|lemma_correct|is_lemma
0|Meine|Possessive Pronoun|mein|mein|True
23|Deine|Possessive Pronoun|dein|dein|True
29|Präservative|Noun|das Präservativ|das Präservativ|True
31|habn|Verb|haben|haben|True
65|Teilche|Noun|das Teilchen|das Teilchen|True
67|Quante|Noun|die Quant|die Quant|True
69|reduziern|Verb|reduzieren|reduzieren|True
81|sehn|Verb|sehen|sehen|True
103|beweg|Verb|bewegen|bewegen|True
106|tanz|Verb|tanzen|tanzen|True
187|anbräen|Verb|anbraten|anbraten|True
190|Fleischspieße|Noun|der Fleischspieß|der Fleischspieß|True
198|muss|Verb|müssen|müssen|True
221|Jokes|Noun|der Joke|der Joke|True
242|eur|Pronoun|euer|euer|True
254|schrein|Verb|schreien|schreien|True
274|frühren|Verb|führen|führen|True
283|einsperr|Verb|einsperren|einsperren|True
366|willst|Verb|wollen|wollen|True
423|Grizzly-Bären|Noun|der Grizzlybär|der Grizzlybär|True
462|beschissn|Verb|beschissen|beschissen|True
470|Hört|Verb|hören|hören|True
482|Annehmen|Noun|die Annahme|die Annahme|True
484|schriebe|Verb|schreiben|schreiben|True
492|besänge|Verb|besingen|besingen|True
496|fänden|Verb|finden|finden|True
503|zweiter|Adjective|zweite|zweite|True
506|erster|Adjective|erste|erste|True
515|spannn|Verb|spannen|spannen|True
532|Juristisch|Adjective|juristisch|juristisch|True
533|wär|Verb|sein|sein|True
546|Zeig|Verb|zeigen|zeigen|True
583|Behaupten|Noun|die Behauptung|die Behauptung|True
602|befrein|Verb|befreien|befreien|True
612|nöcher|Adverb|näher|näher|True
620|streun|Verb|streunen|streunen|True
693|musste|Verb|müssen|müssen|True
696|Gerichtskoste|Noun|die Gerichtskosten|die Gerichtskosten|True
699|bezahln|Verb|bezahlen|bezahlen|True
778|erzähln|Verb|erzählen|erzählen|True
790|schieß|Verb|schießen|schießen|True
866|kannst|Verb|können|können|True
884|machn|Verb|machen|machen|True
933|hundertachzig|Numeral|hundertachtzig|hundertachtzig|True
938|beseffen|Verb|besaufen|besaufen|True
991|gemeint|Verb|meinen|meinen|True
1017|draufzugehn|Verb|draufgehen|draufgehen|True
1031|habs|Verb|haben|haben|True
1040|glaub|Verb|glauben|glauben|True
1121|bekannte|Adjective|bekannt|bekannt|True
1146|habsn|Verb|haben|haben|True
1201|wünschn|Verb|wünschen|wünschen|True
1277|Plante|Verb|planen|planen|True
1327|Seid|Verb|sein|sein|True
1380|stehn|Verb|stehen|stehen|True
1388|verstehn|Verb|verstehen|verstehen|True
1454|frag|Verb|fragen|fragen|True
1545|wirs|Pronoun|wir|wir|True
1608|ner|Article|eine|eine|True
1655|erziehn|Verb|erziehen|erziehen|True
1719|einer|Article|ein|ein|True
1858|Komm|Verb|kommen|kommen|True
1870|Empfehle|Verb|empfehlen|empfehlen|True
1871|Vätern|Noun|der Vater|der Vater|True
1873|Söhnen|Noun|der Sohn|der Sohn|True
1892|Habn|Verb|haben|haben|True
1896|meister|Noun|der Meister|der Meister|True
1903|Eure|Pronoun|euer|euer|True
2054|wolln|Verb|wollen|wollen|True
2058|reinkommn|Verb|reinkommen|reinkommen|True
2181|Wegschaun|Verb|wegschauen|wegschauen|True
2234|unsrem|Pronoun|unser|unser|True
2322|geschwiegen|Verb|schweigen|schweigen|True
2328|Geschicht|Noun|die Geschichte|die Geschichte|True
2418|anschmeessen|Verb|anschmeißen|anschmeißen|True
2442|Tschuldigung|Noun|die Entschuldigung|die Entschuldigung|True
2461|sags|Verb|sagen|sagen|True
2470|Bliebt|Verb|bleiben|bleiben|True
2483|gröln|Verb|grölen|grölen|True
2544|geselln|Verb|gesellen|gesellen|True
2560|Armen|Noun|der Arm|der Arm|True
2606|Gib|Verb|geben|geben|True
2631|Guten|Adjective|gut|gut|True
2646|Geometrisch|Adjective|geometrisch|geometrisch|True
2661|fress|Verb|fressen|fressen|True
2693|auftrag|Noun|der Auftrag|der Auftrag|True
2719|Spieglein|Noun|Spiegel|der Spiegel|True
2723|sag|Verb|sagen|sagen|True
2725|Bin|Verb|sein|sein|True
2743|kannen|Verb|können|können|True
2788|geb|Verb|geben|geben|True
2820|hab|Verb|haben|haben|True
2832|tragn|Verb|tragen|tragen|True
