|word|count
0|der|2969
1|sein|723
2|ein|458
3|in|396
4|er|246
5|werden|245
6|zu|238
7|und|155
8|sie|140
9|an|139
10|auf|136
11|für|118
12|mit|117
13|sich|113
14|haben|108
15|nach|96
16|ihr|94
17|ich|78
18|neu|77
19|wir|74
20|von|72
21|aus|68
22|es|63
23|können|58
24|wollen|58
25|durch|57
26|über|55
27|alt|54
28|nicht|54
29|voll|47
30|dieser|46
31|beginnen|46
32|frisch|43
33|bei|43
34|vor|40
35|Kind|40
36|als|39
37|bleiben|38
38|um|38
39|schnell|37
40|musste|37
41|groß|36
42|ihn|33
43|du|32
44|immer|30
45|sollen|30
46|vieler|30
47|alle|28
48|gut|28
49|liegen|27
50|perfekt|27
51|ganz|26
52|Stadt|26
53|zeigen|26
54|schwer|26
55|man|26
56|laut|26
57|Buch|26
58|noch|24
59|jeder|23
60|machen|23
61|stark|23
62|aller|22
63|Raum|22
64|sehr|22
65|Film|22
66|bringen|21
67|Haus|21
68|Tag|20
69|ihm|20
70|lang|20
71|Wald|20
72|nur|20
73|oft|19
74|Geschichte|19
75|Nacht|19
76|wie|18
77|kommen|18
78|morgen|17
79|sofort|17
80|wichtig|17
81|sorgen|17
82|Sturm|17
83|Jahr|17
84|Wasser|16
85|stehen|16
86|gegen|16
87|kein|16
88|lassen|16
89|Straße|16
90|kaum|16
91|Hund|16
92|so|15
93|klar|15
94|Zeit|15
95|tief|15
96|Erfolg|16
97|suchen|15
98|Tisch|15
99|klein|15
100|uns|15
101|beeindruckend|15
102|völlig|14
103|Projekt|15
104|heute|14
105|hoch|14
106|Garten|14
107|letzter|15
108|still|14
109|mein|14
110|mir|14
111|Tür|13
112|lange|13
113|plötzlich|13
114|sanft|13
115|führen|13
116|Leben|13
117|Himmel|13
118|Arbeit|13
119|genau|13
120|versuchen|13
121|dürfen|13
122|Problem|13
123|wirklich|13
124|ohne|13
125|Sonne|13
126|Baum|13
127|geben|13
128|spannend|12
129|schmecken|12
130|ruhig|12
131|treffen|12
132|helfen|12
133|Park|12
134|endlich|12
135|etwas|12
136|See|12
137|aber|12
138|Plan|11
139|warm|11
140|langsam|11
141|Regen|11
142|muss|12
143|halten|11
144|Polizei|11
145|hart|11
146|Gruppe|11
147|hier|11
148|Moment|11
149|gehen|11
150|früh|11
151|Morgen|11
