|word_deu|part_of_speech_deu|word_eng|sentence_deu|sentence_eng|sentence_lemmatized_deu
58.0|spreizen|verb|spread|Er musste die Finger spreizen, um den schweren Stein zu greifen.|He had to spread his fingers to grab the heavy stone.|er;musste;der;Finger;spreizen;um;der;schwer;Stein;zu;greifen
117.0|Rechnungsbeleg|noun|receipt|Der Rechnungsbeleg wurde sorgfältig aufbewahrt für die Garantie.|The receipt was carefully kept for the warranty.|der;Rechnungsbeleg;werden;sorgfältig;aufbewahren;für;der;Garantie
122.0|der Boss|noun|boss|Der Boss betrat das Büro und alle Gespräche verstummten sofort.|The boss entered the office, and all conversations immediately stopped.|der;Boss;betreten;der;Büro;und;aller;Gespräch;verstummen;sofort
141.001|der Laster|noun|truck|Der Laster blockierte die Straße, was den Verkehr stundenlang stoppte.|The truck blocked the street, stopping traffic for hours.|der;Laster;blockieren;der;Straße;wer;der;Verkehr;stundenlang;stoppen
144.0|bestehen|verb|to consist|Das Menü besteht aus frischen Zutaten und saisonalen Gerichten.|The menu consists of fresh ingredients and seasonal dishes.|der;Menü;bestehen;aus;frisch;Zutat;und;saisonal;Gericht
170.0|der Schwamm|noun|sponge|Der Schwamm saugte das Wasser auf, als er in das Becken fiel.|The sponge absorbed the water as it fell into the basin.|der;Schwamm;aufsaugen;der;Wasser;auf;als;er;in;der;Becken;fallen
172.0|die Seife|noun|the soap|Die Seife in der Dusche duftet frisch und belebt meine Sinne.|The soap in the shower smells fresh and revitalizes my senses.|der;Seife;in;der;Dusche;duften;frisch;und;beleben;mein;Sinn
190.0|der Fleischspieß|noun|skewer|Der Fleischspieß drehte sich langsam über der offenen Flamme.|The meat skewer rotated slowly over the open flame.|der;Fleischspieß;drehen;sich;langsam;über;der;offen;Flamme
213.0|schwärmen|verb|to rave|Die Kritiker schwärmen von den neuen Kunstwerken in der Galerie.|The critics rave about the new artworks in the gallery.|der;Kritiker;schwärmen;von;der;neu;Kunstwerk;in;der;Galerie
216.0|schütteln|verb|to shake|Er musste die Flasche gut schütteln, um die Mischung zu aktivieren.|He had to shake the bottle well to activate the mixture.|er;musste;der;Flasche;gut;schütteln;um;der;Mischung;zu;aktivieren
224.0|der Ärmel|noun|sleeve|Der Ärmel meines Hemdes ist in der Waschmaschine hängen geblieben.|The sleeve of my shirt got stuck in the washing machine.|der;Ärmel;mein;Hemd;sein;in;der;Waschmaschine;hängen;bleiben
245.0|freuen|verb|to please|Die Nachricht wird alle Anwohner freuen und ihnen Hoffnung geben.|The news will please all the residents and give them hope.|der;Nachricht;werden;aller;Anwohner;freuen;und;ihnen;Hoffnung;geben
262.0|das Bügeleisen|noun|the iron|Das Bügeleisen muss gut erhitzt sein, um die Falten zu glätten.|The iron must be heated well to smooth out the creases.|der;Bügeleisen;muss;gut;erhitzen;sein;um;der;Falte;zu;glätten
270.0|überpeinlich|adjective|embarrassing|Die überpeinliche Panne passierte mitten im vollbesetzten Theater.|The embarrassing mishap happened in the middle of a packed theater.|der;überpeinlich;Panne;passieren;mitten;in;vollbesetzt;Theater
283.0|einsperren|verb|to lock up|Der Dieb wurde in der Zelle eingesperrt, bis der Prozess begann.|The thief was locked up in the cell until the trial began.|der;Dieb;werden;in;der;Zelle;einsperren;bis;der;Prozess;beginnen
294.0|der Großteil|noun|the majority|Der Großteil der Anwesenden stimmte für die neuen Regelungen ab.|The majority of those present voted for the new regulations.|der;Großteil;der;Anwesenden;abstimmen;für;der;neu;Regelung;ab
299.0|Treueeid|noun|oath of loyalty|Er schwor den Treueeid auf den König, um seine Pflicht zu erfüllen.|He swore the oath of loyalty to the king to fulfill his duty.|er;schwor;der;Treueeid;auf;der;König;um;sein;Pflicht;zu;erfüllen
303.0|bedeutsam|adjective|significant|Der Fund der antiken Münzen war für die Archäologie bedeutsam.|The discovery of the ancient coins was significant for archaeology.|der;Fund;der;antik;Münze;sein;für;der;Archäologie;bedeutsam
307.0|einvernehmlich|adjective|mutual|Ein einvernehmlich beschlossener Vertrag stärkt das Vertrauen.|A mutually agreed contract strengthens trust.|ein;einvernehmlich;beschlossen;Vertrag;stärken;der;vertrauen
314.0|Peitschenschlag|noun|the whip strike|Der Peitschenschlag hallte durch das ganze Areal im alten Film.|The whip strike resonated throughout the area in the old film.|der;Peitschenschlag;halln;durch;der;ganz;Areal;in;alt;Film
317.0|die Regel|noun|the rule|Die Regel besagt, dass Kinder im Park nicht alleine spielen dürfen.|The rule states that children should not play alone in the park.|der;Regel;besagen;dass;Kind;in;Park;nicht;alleine;spielen;dürfen
320.0|würgen|verb|to choke|Der verschluckte Keks ließ das Kind kurzzeitig würgen vor Schreck.|The swallowed cookie made the child choke for a moment in shock.|der;verschluckt;Keks;lassen;der;Kind;kurzzeitig;würgen;vor;Schreck
332.0|das Zeichen|noun|the sign|Das Zeichen am Eingang wies auf die neuen Regeln für das Parken hin.|The sign at the entrance pointed to the new rules for parking.|der;Zeichen;an;Eingang;hinweisen;auf;der;neu;Regel;für;der;Parken;hin
342.0|zeitgemäß|adjective|up-to-date|Die zeitgemäße Einrichtung der Wohnung machte den Raum sehr einladend.|The up-to-date decor of the apartment made the space very inviting.|der;zeitgemäß;Einrichtung;der;Wohnung;machen;der;Raum;sehr;einladend
363.0|Austauschware|noun|exchangable goods|Die Austauschware erleichterte den Handel mit den Nachbarländern.|The exchangable goods facilitated trade with neighboring countries.|der;Austauschware;erleichtern;der;Handel;mit;der;Nachbarland
378.0|bücken|verb|to bend down|Er musste sich bücken, um das Spielzeug unter dem Sofa zu holen.|He had to bend down to get the toy under the sofa.|er;musste;sich;bücken;um;der;Spielzeug;unter;der;Sofa;zu;holen
386.0|hochheben|verb|to lift|Er kann mit Leichtigkeit das schwere Gewicht hochheben und tragen.|He can easily lift and carry the heavy weight.|er;können;mit;Leichtigkeit;der;schwer;Gewicht;hochheben;und;tragen
390.0|ficken|verb|to fuck|Er wird nicht einmal versuchen, sie zu ficken; das ist schamlos.|He won't even try to fuck her; that is shameless.|er;werden;nicht;einmal;versuchen;sie;zu;ficken;der;sein;schamlos
392.0|das Leben|noun|life|Das Leben in der Großstadt kann hektisch und überwältigend sein.|Life in the city can be hectic and overwhelming.|der;Leben;in;der;Großstadt;können;hektisch;und;überwältigend;sein
399.0|der Gebrauch|noun|use|Der Gebrauch von Handys während der Besprechung ist streng verboten.|The use of mobile phones during the meeting is strictly prohibited.|der;Gebrauch;von;Handy;während;der;Besprechung;sein;streng;verbieten
410.0|ablesen|verb|to read off|Er kann die Ergebnisse schnell ablesen, was sehr hilfreich ist.|He can read off the results quickly, which is very helpful.|er;können;der;Ergebnis;schnell;ablesen;wer;sehr;hilfreich;sein
415.0|die Erscheinung|noun|the appearance|Die Erscheinung des Stars auf dem roten Teppich war spektakulär.|The appearance of the star on the red carpet was spectacular.|der;Erscheinung;der;Star;auf;der;rot;Teppich;sein;spektakulär
459.0|das Sittengesetz|noun|the moral law|Das Sittengesetz regelt die ethischen Werte unserer Gesellschaft.|The moral law regulates the ethical values of our society.|der;Sittengesetz;regeln;der;ethisch;Wert;unser;Gesellschaft
462.0|beschissen|adjective|shitty|Die beschissene Wetterlage hat unser ganzes Wochenende ruiniert.|The shitty weather situation ruined our entire weekend.|der;beschissen;Wetterlage;haben;unser;ganz;Wochenende;ruinieren
468.0|das Gewissen|noun|the conscience|Sein Gewissen quält ihn, weil er nicht die Wahrheit gesagt hat.|His conscience torments him because he didn't tell the truth.|sein;Gewissen;quälen;ihn;weil;er;nicht;der;Wahrheit;sagen;haben
482.0|die Annahme|noun|the assumption|Die Annahme der Experten stützte sich auf mehrere wichtige Studien.|The assumption of the experts was based on several important studies.|der;Annahme;der;Experte;stützen;sich;auf;mehrere;wichtig;Studie
490.0|der Inhalt|noun|the content|Der Inhalt des Buches ist spannend und regt zum Nachdenken an.|The content of the book is thrilling and stimulates thought.|der;Inhalt;der;Buch;sein;spannend;und;anregen;zu;Nachdenken;an
492.0|besingen|verb|to sing about|Der Dichter besang die Schönheit der Natur in seinen Versen.|The poet sang about the beauty of nature in his verses.|der;Dichter;besingen;der;Schönheit;der;Natur;in;sein;Vers
514.0|der Bogen|noun|arch|Der Bogen aus Stein überspannte den Fluss und verband die beiden Ufer.|The stone arch spanned the river, connecting the two banks.|der;Bogen;aus;Stein;überspannen;der;Fluss;und;verbinden;der;beide;Ufer
515.0|spannen|verb|to stretch|Sie spannte den Draht zwischen den beiden Pfosten und befestigte ihn.|She stretched the wire between the two posts and secured it.|sie;spannen;der;Draht;zwischen;der;beide;Pfoste;und;befestigen;ihn
529.0|der Pfeil|noun|the arrow|Der Pfeil traf das Ziel genau in der Mitte und war perfekt gezielt.|The arrow hit the target right in the middle and was perfectly aimed.|der;Pfeil;treffen;der;Ziel;genau;in;der;Mitte;und;sein;perfekt;gezielt
569.0|bewusst|adjective|aware|Er ist sich der Herausforderungen bewusst und geht sie aktiv an.|He is aware of the challenges and actively tackles them.|er;sein;sich;der;Herausforderung;bewusst;und;angehen;sie;aktiv;an
589.0|annehmen|verb|to accept|Er konnte das Angebot schließlich annehmen und den neuen Job antreten.|He was finally able to accept the offer and start the new job.|er;können;der;Angebot;schließlich;annehmen;und;der;neu;Job;antreten
592.0|gipfeln|verb|to peak|Die Temperaturen werden bald gipfeln und sollten dann sinken.|The temperatures will soon peak and should then drop.|der;Temperatur;werden;bald;gipfeln;und;sollen;dann;sinken
595.0|der Aufruf|noun|the call|Der Aufruf zur Teilnahme motivierte viele Bürger zur Aktion.|The call to participate motivated many citizens to take action.|der;Aufruf;zu;Teilnahme;motivieren;vieler;Bürger;zu;Aktion
677.0|erwähnen|verb|to mention|Kannst du bitte den Vorfall erwähnen, wenn du mit ihm sprichst?|Could you please mention the incident when you talk to him?|Kannst;du;bitte;der;Vorfall;erwähnen;wenn;du;mit;ihm;sprichen
685.0|zerren|verb|to tug|Sie wird am Seil zerren, um das Boot näher zum Ufer zu ziehen.|She will tug on the rope to bring the boat closer to the shore.|sie;werden;an;Seil;zerren;um;der;Boot;nah;zu;Ufer;zu;ziehen
705.0|anzeigen|verb|to indicate|Die Ampel wird rot, um uns anzuzeigen, dass wir anhalten sollen.|The traffic light turns red to indicate that we should stop.|der;Ampel;werden;rot;um;uns;anzeigen;dass;wir;anhalten;sollen
765.0|ausloten|verb|to probe|Die Experten versuchten, die genauen Ursachen der Krise auszuloten.|The experts tried to probe the exact causes of the crisis.|der;Experte;versuchen;der;genau;Ursache;der;Krise;ausloten
800.0|wirken|verb|to have an effect|Die neue Strategie wird sich positiv auf die Verkaufszahlen wirken.|The new strategy will have a positive effect on the sales figures.|der;neu;Strategie;werden;sich;positiv;auf;der;Verkaufszahl;wirken
833.0|der Verfassungsschutz|noun|the domestic intelligence service|Der Verfassungsschutz überwacht gefährdete Gruppierungen im Land.|The domestic intelligence service monitors vulnerable groups in the country.|der;Verfassungsschutz;überwachen;gefährdet;Gruppierung;in;Land
837.0|aufbauen|verb|to build|Die Arbeiter fangen an, die neuen Stände für den Markt aufzubauen.|The workers begin to build the new stalls for the market.|der;Arbeiter;anfangen;an;der;neu;Stand;für;der;Markt;aufbauen
845.0|durchsetzen|verb|to enforce|Die Verantwortlichen müssen die neuen Regeln konsequent durchsetzen.|The officials must consistently enforce the new rules.|der;verantwortliche;müssen;der;neu;Regel;konsequent;durchsetzen
853.0|fesseln|verb|to captivate|Die spannende Geschichte konnte die Leser von Anfang bis Ende fesseln.|The thrilling story could captivate the readers from start to finish.|der;spannend;Geschichte;können;der;Leser;von;Anfang;bis;Ende;fesseln
870.0|das Mittel|noun|the means|Das Mittel zur Bekämpfung der Krankheit wurde erfolgreich entwickelt.|The means to combat the disease was successfully developed.|der;Mittel;zu;Bekämpfung;der;Krankheit;werden;erfolgreich;entwickeln
870.001|die Mittel|noun|resources|Die Firma investierte alle verfügbaren Mittel in die neue Technologie.|The company invested all available resources in the new technology.|der;Firma;investieren;aller;verfügbar;Mittel;in;der;neu;Technologie
931.0|verpassen|verb|to miss|Wenn du zu spät kommst, wirst du den Beginn des Films verpassen.|If you come too late, you will miss the beginning of the movie.|wenn;du;zu;spät;kommen;wirst;du;der;Beginn;der;Film;verpassen
