|word_de
0|1,9 Tausend
1|Aachen
2|Adam
3|Adams
4|Adonis
5|Adrenalin
6|Afrika
7|Aldi
8|Aleppo
9|Alex
10|Alexander
11|Ali
12|Alin
13|Alligatoah
14|Amarth
15|Amazon
16|Amennyi
17|Amon
18|Anitta
19|Anja
20|Anna
21|Anna-Lena
22|Anne
23|AnnenMayKantereit
24|Annika
25|Anti
26|Armstrong
27|Athen
28|Audi
29|Australien
30|Ayliva
31|Baader-Meinhof
32|Balenciaga
33|Bangkok
34|Barry
35|Batman
36|Bayern
37|Beate
38|Beck's
39|Beckenbauer
40|Becker
41|Bel
42|Bela
43|Bella
44|Benjamin
45|Benny
46|Benz
47|Berlin
48|Bernd
49|Bezos
50|Bielefeld
51|Billie
52|Björn
53|Bobby
54|Bohlen
55|Bordeaux
56|Boris
57|Borks
58|Boston
59|Brüssel
60|Buddha
61|Böhmermann
62|Camora
63|Car2Go
64|Carolina
65|Carti
66|Chewbacca
67|Christopher
68|Clara
69|Coen
70|Cole
71|Cotta
72|Cro
73|Cruz
74|Curie
75|Cuxhaven
76|DC
77|DSL
78|Dalí
79|Dan
80|Daniela
81|Darth
82|David
83|De
84|Deichmann
85|Delphi
86|Deutschland
87|Di
88|Dieter
89|Dior
90|Disney
91|Donald
92|Dota
93|Drake
94|Dörte
95|Düsseldorf
96|Düsseldorfs
97|E
98|Eminem
99|Enden
100|Englisch
101|Entschuldigung
102|Erfurt
103|Esther
104|Europa
105|FaFaFa
106|Faber
107|Fafafa
108|Farid
109|Felix
110|Fendi
111|Ferrari
112|Ferris
113|Fila
114|Filbinger
115|Fler
116|Fletcher
117|Florian
118|Florida-Rolf
119|Ford
120|Forster
121|Fourty
122|Frank
123|Fred
124|Freude
125|GG
126|Gabi
127|Gatoah
128|Gauland
129|Gerlinger
130|Gitte
131|Gogh
132|Google
133|Gosha
134|Gott
135|Grebe
136|Gucci
137|Gudrun
138|Habibi
139|Hagen
140|Haller
141|Hanau
142|Hannes
143|Hans
144|Harlem
145|Hartz
146|Hava
147|Havanna
148|Heidi
149|Heinz
150|Hermes
151|Hessen
152|Hitler
153|Hitlers
154|Holland
155|Holofernes
156|Höcke
157|IB
158|ISDN
159|Iggy
160|Iminari
161|Indien
162|Ingloria
163|Jack
164|Jackson
165|Jalloh
166|Jan
167|Jebsen
168|Jeff
169|Jehovas
170|Jennifer
171|Jesus
172|Jochen
173|Joe
174|Johnny
175|Jonas
176|Joop
177|Judith
178|Julius
179|Jungee
180|Justus
181|Jutta
182|Jön
183|Jürgen
184|KAFVKA
185|Kaffkiez
186|Kafka
187|Kaiser's
188|Kant
189|Ken
190|Kenan
191|Kennedy
192|Kevin
193|Kier
194|Kiesinger
195|Kilobyte
196|Klaus
197|Klum
198|Knorkator
199|Kobe
200|Koljah
201|Koljahs
202|Kong
203|Kreuzberg
204|Krumbiegel
205|Kubitschek
206|Köpenick
207|Lacazette
208|Lagosch
209|Lars
210|Layla
211|Leon
212|Leonardo
213|Lichtenberg
214|Liedfett
215|Lindemann
216|Lisa
217|Lou
218|Louis
219|Luciano
220|Lukas
221|M
222|MC
223|Ma
224|Madelaine
225|Madrid
226|Madsen
227|Maeckes
228|Maggi
229|Mainz
230|Manilow
231|Maria
232|Marie
233|Mark
234|Marvel
235|Marx
236|Masai
237|Max
238|Maximilian
239|Mayer
240|McDonald's
241|Mediamarkt
242|Melanie
243|Mephistos
244|Merkel
245|Meth
246|Michael
247|Michelangelogen
248|Michi
249|Mikor
250|Milli
251|Minek
252|Mm
253|Mockridge
254|Modus-Mio-isiert
255|Mom
256|Mon
257|Mona
258|Moncler
259|Moses
260|Mozarts
261|Mulinex
262|Munching
263|Mutter
264|Mägges
265|München
266|Naidoo
267|Napoleon
268|Nike
269|Nils
270|Nina
271|OOMPH
272|Oettinger
273|Orelsan
274|Oury
275|Pana
276|Paris
277|Pashanim
278|Patek
279|Patti
280|Paul
281|Paula
282|Paulo
283|Pegida
284|Penélope
285|Peter
286|Philippe
287|Phuket
288|Pi
289|Pilsator
290|Pis
291|Playboi
292|Polen
293|Pompeii
294|Porsche fahren
295|Potsdam
296|Prada
297|Prime
298|Prost
299|Putin
300|Quinconces
301|RIAN
302|Raab
303|Rainald
304|Rammstein
305|Rapidshare
306|Rasa
307|Reed
308|Robin
309|Rühmann
310|Sachsen
311|Sade
312|Saint-Denis
313|Samra
314|Savas
315|Schlumpfhausen
316|Schweden
317|Sebastian
