Actions 1                  |catch                   |https://gamedata.britishcouncil.org/sites/default/files/attachment/RS5096_Catch col-int.jpg
Actions 1                  |clap                    |https://gamedata.britishcouncil.org/sites/default/files/attachment/RS1011_Clap col-int_0.jpg
Actions 1                  |dance                   |https://gamedata.britishcouncil.org/sites/default/files/attachment/RS998_Dance col-int_2.jpg
Actions 1                  |hop                     |https://gamedata.britishcouncil.org/sites/default/files/attachment/RS1001_Hop col-int.jpg
Actions 1                  |jump                    |https://gamedata.britishcouncil.org/sites/default/files/attachment/RS1002_Jump col-int.jpg
Actions 1                  |run                     |https://gamedata.britishcouncil.org/sites/default/files/attachment/RS1004_Run col-int_0.jpg
Actions 1                  |skip                    |https://gamedata.britishcouncil.org/sites/default/files/attachment/RS1007_Skip col-int.jpg
Actions 1                  |touch                   |https://gamedata.britishcouncil.org/sites/default/files/attachment/RS5517_Touch col-int.jpg
Actions 1                  |walk                    |https://gamedata.britishcouncil.org/sites/default/files/attachment/RS1010_Walk col-int.jpg
Actions 1                  |wave                    |https://gamedata.britishcouncil.org/sites/default/files/attachment/RS5522_Wave col-int.jpg
Actions 2                  |blow                    |https://gamedata.britishcouncil.org/sites/default/files/attachment/RS6390_Blow Bubbles col-int.jpg
Actions 2                  |dig                     |https://gamedata.britishcouncil.org/sites/default/files/attachment/RS1000_Dig col-int_0.jpg
Actions 2                  |follow                  |https://gamedata.britishcouncil.org/sites/default/files/attachment/RS5506_Follow col-int.jpg
Actions 2                  |hide                    |https://gamedata.britishcouncil.org/sites/default/files/attachment/RS5507_Hide col-int.jpg
Actions 2                  |hug                     |https://gamedata.britishcouncil.org/sites/default/files/attachment/RS6481_42 Hug col-int.jpg
Actions 2                  |laugh                   |https://gamedata.britishcouncil.org/sites/default/files/attachment/RS6474_Funny Laugh col-int_0.jpg
Actions 2                  |look                    |https://gamedata.britishcouncil.org/sites/default/files/attachment/RS7078_See col-int.jpg
Actions 2                  |shout                   |https://gamedata.britishcouncil.org/sites/default/files/attachment/RS5515_Shout col-int.jpg
