1|der|deːɐ̯|art|the|Der Mann und die Frau kochen, das Kind spielt.|The man and the woman are cooking; the child is playing.|pron|that, those|Das ist der Mann, den ich liebe.|That’s the man I love.|pron|who, that|Dort steht das Mädchen, das mit mir zur Schule geht.|There’s the girl who goes to school with me.|98121.3994047137 | 0.985748849292909
2|und|ʊnt|conj|and|Die Eltern und Kinder essen und sprechen über ihren Tag.|The parents and children eat and talk about their day.|||||||||26562.1138941099 | 0.976565375470124
3|in|ɪn|prep|in|Günter geht in den Keller.|Günter goes into the basement.|||||||||24319.0219460678 | 0.977144419461825
4|sein, ist, war, ist gewesen|zaɪ̯n|verb|to be|Ich bin Lehrer und du bist Polizist und damit sind wir glücklich.|I’m a teacher, and you’re a police officer, and we’re happy with that.|aux|(past tense)|Janosch ist heute Morgen in die Schule gefahren.|Janosch went to school this morning.|||||23948.8531272045 | 0.966774501407212
5|ein|aɪ̯n|art|a, an|Er wohnt in einem Hotel.|He’s staying at a hotel.|pron|one (of)|Eines der Kinder hat sich beim Spielen verletzt.|One of the children was injured while playing.|||||22328.803944183 | 0.983236013304992
6|haben, hat, hatte, hat gehabt|ˈhaːbn̩|verb|to have|Ich habe ein Buch in der Hand.|I have a book in my hand.|aux|(past tense)|Sie hat sich gestern einen Film angesehen.|She was watching a movie yesterday.|||||12452.0335431794 | 0.941569945956103
7|sie|ziː|pron|she, her|Paul besucht Anna, sie ist Pauls Tante.|Paul visits Anna; she’s Paul’s aunt.|pron|they, them|Petra und Klaus kochen, sie bekommen Besuch.|Petra and Klaus are cooking; they have a visitor.|pron|you|Ich bitte Sie um Ihr Verständnis.|I ask you for your understanding.|10186.3697246754 | 0.939017458725529
8|werden, wird, wurde, ist geworden|ˈveːɐ̯dn̩|verb|to become, get|Der Junge wird zum Mann.|The boy becomes a man.|aux|(future tense)|Ich werde bald als Lehrer arbeiten.|I’ll be working as a teacher soon.|aux|(passive voice)|Das Auto wird gefahren.|The car is being driven.|10166.3113157715 | 0.975331568209246
9|von|fɔn|prep|from, of|Benjamin ist der Bruder von Anna.|Benjamin is the brother of Anna.|||||||||10060.1052440566 | 0.979008027636438
10|ich|ɪç|pron|I|Ich arbeite und du bleibst zu Hause.|I work and you stay home.|||||||||9785.54653151669 | 0.890874681457969
11|nicht|nɪçt|part|not|Im Restaurant darf man nicht rauchen.|You can’t smoke in the restaurant.|||||||||9291.42955935273 | 0.956185824412173
12|es|ɛs|pron|it|Das Kind geht ins Bett, es ist müde.|The child goes to bed; she is tired.|||||||||8508.90519429994 | 0.958522206037217
13|mit|mɪt|prep|with|Mein Bruder spielt mit Janosch Fußball im Garten.|My brother plays soccer in the garden with Janosch.|||||||||8467.50700393312 | 0.981088351175872
14|sich|zɪç|pron|-self|Das Kind sieht sich im Spiegel.|The child sees itself in the mirror.|||||||||7747.57276003017 | 0.96987756475769
15|er|eːɐ̯|pron|he|Jan hat gute Noten in der Schule, er ist ein kluges Kind.|Jan has good grades in school; he’s a smart child.|||||||||6838.24179519901 | 0.903069965263372
16|auf|aʊ̯f|prep|on, at, to|Auf dem Tisch steht ein Glas Wasser.|There’s a glass of water on the table.|||||||||6800.78628962903 | 0.971427015295116
17|für|fyːɐ̯|prep|for|Sie macht einen Kaffee für Max.|She’s making coffee for Max.|||||||||6621.19699713298 | 0.967719711783705
18|auch|aʊ̯x|adv|also, too|Auch ich habe Geburtstag, nicht nur Markus.|It’s my birthday too, not just Markus’s.|||||||||6378.96829992713 | 0.951003991764715
19|an|an|prep|at, on|Das Bild hängt an der Wand.|The picture hangs on the wall.|||||||||6163.45129221987 | 0.97315922559554
20|dass|das|conj|that|Ich vermute, dass der Zug wieder zu spät kommt.|I suspect the train will be late again.|||||||||5531.09393436672 | 0.96027232545771
21|zu|t͡suː|part|to|Ich versuche, dich zu verstehen.|I’m trying to understand you.|prep|to|Heute gehe ich zu meiner Nachbarin.|Today I go to my neighbor.|part|too|Es ist zu kalt für eine Party im Garten.|It’s too cold for a party in the garden.|5513 | 0.98022184827965
22|als|als|conj|as, when|Als ich nach Hause komme, ist es schon dunkel.|When I get home, it’s already dark.|part|than|Tim ist Paulas großer Bruder, weil er älter ist als sie.|Tim is Paula’s big brother because he’s older than she is.|||||5499.74959023184 | 0.973239040516429
23|können, kann, konnte, hat können|ˈkœnən|verb|to be able to, can|Die Kinder können schon Fahrrad fahren.|The children can already ride bicycles.|||||||||5304.34027498846 | 0.973312268997051
24|dies|diːs|pron|this, that|Besonders dieses Bild gefällt mir sehr.|I especially like this picture.|||||||||5099.46851623267 | 0.967867256484731
25|wie|viː|pron|how|Wie lange dauert es?|How long does it take?|part|as|Johanna ist so alt wie Matthias.|Johanna is as old as Matthias.|||||4841.32122915958 | 0.966348418228301
26|wir|viːɐ̯|pron|we|Fernando und ich wollen Urlaub machen, wir fahren im Sommer.|Fernando and I are going on vacation; we’re going in summer.|||||||||4602.44381403105 | 0.913061583243917
27|ihr|iːɐ̯|pron|you, her|Das Mädchen ärgert ihren Bruder.|The girl annoys her brother.|pron|her, their, hers, theirs|Die Familie plant ihren Urlaub bereits im Winter.|The family plans their vacation already in winter.|pron|your|Bitte geben Sie Ihr Blatt am Ende der Stunde ab.|Please hand in your paper at the end of the lesson.|4598.94468127385 | 0.950512860901341
28|so|zoː|adv|so, thus, the way, such|Ich beobachte Klaus und mache alles so wie er.|I watch Klaus and do everything the way he does.|part|so|Das Wetter ist heute so schön.|The weather is so nice today.|||||4519.35173193765 | 0.93774240867206
29|bei|baɪ̯|prep|by, with, at|Jan ist bei einem neuen Arzt.|Jan’s with a new doctor.|||||||||4312.26221298364 | 0.964076646413686
30|sein|zaɪ̯n|pron|his, its|Der Junge ärgert seine Schwester.|The boy annoys his sister.|||||||||4061.6553105845 | 0.934146123920172
31|aber|ˈaːbɐ|conj|but|Die Sonne scheint, aber es ist trotzdem kalt.|The sun is shining, but it’s still cold.|part||Das ist aber nicht nett von Tim.|That’s not nice of Tim.|||||4023.80553653484 | 0.949397440548359
32|man|man|pron|one, you, they|Hier erzählt man sich Geschichten.|They tell stories here.|||||||||3629.14278837117 | 0.945158216689374
33|noch|nɔx|adv|still, yet|Habt ihr sonst noch Fragen?|Do you still have any questions?|||||||||3375.3324545746 | 0.951393963139556
34|nach|naːx|prep|after, toward|Nach dem Mittagessen gehen wir spazieren.|After lunch we go for a walk.|||||||||3307.7154103088 | 0.96816345324025
35|oder|ˈoːdɐ|conj|or|Kommst du mit dem Fahrrad oder fährst du mit dem Bus?|Are you coming by bike or are you going by bus?|||||||||3301.75209955358 | 0.956197764589388
36|all|al|pron|all|Wir freuen uns alle auf den Urlaub.|We are all looking forward to our vacation.|||||||||3269.32351709957 | 0.967433392159544
37|aus|aʊ̯s|prep|out, out of, from|Thomas schaut aus dem Fenster.|Thomas looks out the window.|||||||||3218.16718186057 | 0.976399575558375
38|was|vas|pron|what|Was sagst du?|What do you say?|||||||||3150.64870471469 | 0.913628615317248
39|nur|nuːɐ̯|adv|only|Das kostet nur zwei Euro.|It only costs two euros.|||||||||3000.03814547541 | 0.977285867685821
40|sagen, sagt, sagte, hat gesagt|ˈzaːɡn̩|verb|to say, tell|Der Kollege sagt ihr, wo sie die Schlüssel findet.|The colleague tells her where to find the keys.|||||||||2953.71159911254 | 0.923003849100285
