|word_de|part_of_speech|word_en|sentence_de|sentence_en|sentence_lemmatized_de
0.0|die|article|the|Die Glocke ertönte, bevor die Tore der Kathedrale sich öffneten.|The bell rang before the doors of the cathedral opened.|der;Glocke;ertönen;bevor;der;Tor;der;Kathedrale;sich;öffnen
1.0|der|pronoun|the one|Der Mann mit dem roten Hut schwenkte lächelnd seinen Becher.|The one with the red hat waved his cup with a smile.|der;Mann;mit;der;rot;Hut;schwenken;lächelnd;sein;Becher
1.001|der|pronoun|that|Der Vogel, der aus dem Nest fiel, wurde vom Förster gerettet.|That bird that fell from the nest was rescued by the forester.|der;Vogel;der;aus;der;Nest;fallen;werden;von;Förster;retten
1.002|der|pronoun|those|Der goldene Herbst bringt jene Farbenpracht, die wir so lieben.|Those golden autumns bring the splendor of colors we so love.|der;golden;Herbst;bringen;jener;Farbenpracht;der;wir;so;lieben
1.003|der|pronoun|the ones|Die Hunde, die nachts bellen, sind die, die Streuner vertreiben.|The dogs that bark at night are the ones that chase away strays.|der;Hund;der;nachts;bellen;sein;der;der;Streuner;vertreiben
2.0|der|pronoun|who|Der Mann, der das Konzert dirigierte, erhielt tosenden Applaus.|The man who conducted the concert received thunderous applause.|der;Mann;der;der;Konzert;dirigieren;erhalten;tosend;Applaus
2.001|der|pronoun|that|Der alte Schlüssel öffnete das mächtige, eisenbeschlagene Tor.|That old key opened the massive, iron-clad gate.|der;alt;Schlüssel;öffnen;der;mächtig;eisenbeschlagen;Tor
3.0|und|conjunction|and|Das Wetter war kalt und windig, perfekt für einen Tag am Kamin.|The weather was cold and windy, perfect for a day by the fireplace.|der;Wetter;sein;kalt;und;windig;perfekt;für;ein;Tag;an;Kamin
4.0|in|preposition|in|In der Bibliothek fanden die Studierenden die benötigten Dokumente.|In the library, the students found the documents they needed.|in;der;Bibliothek;finden;der;studierend;der;benötigt;Dokument
5.0|sein (Vergangenheitsform)|auxiliary verb|(past tense)|Die alte Bibliothek war einst ein Zentrum für Gelehrte und Dichter.|The old library was once a center for scholars and poets.|der;alt;Bibliothek;sein;einst;ein;Zentrum;für;Gelehrte;und;Dichter
6.0|sein|verb|to be|Das Museum scheint ein beliebter Treffpunkt für Touristen zu sein.|The museum seems to be a popular meeting point for tourists.|der;Museum;scheinen;ein;beliebt;Treffpunkt;für;Tourist;zu;sein
7.0|ein|article|a|Ein großer Adler kreiste majestätisch über der schroffen Bergkette.|A large eagle circled majestically over the rugged mountain range.|ein;groß;Adler;kreisen;majestätisch;über;der;schroff;Bergkette
7.001|ein|article|an|Ein seltener Vogel nistete hoch oben in den alten Eichenzweigen.|A rare bird nested high up in the old oak branches.|ein;selten;Vogel;nisten;hoch;oben;in;der;alt;Eichenzweig
8.0|einer|pronoun|one of|Einer der Teilnehmer gewann die Debatte mit scharfsinnigen Argumenten.|One of the participants won the debate with sharp arguments.|einer;der;Teilnehmer;gewinnen;der;Debatte;mit;scharfsinnig;Argument
9.0|haben (Vergangenheitsform)|auxiliary verb|(past tense)|Er hat die Zeit seines Lebens während der Reise nach Spanien erlebt.|He had the time of his life during the trip to Spain.|er;haben;der;Zeit;sein;Leben;während;der;Reise;nach;Spanien;erleben
10.0|haben|verb|to have|Sie sollten immer eine Taschenlampe dabei haben, falls es dunkel wird.|You should always have a flashlight with you in case it gets dark.|sie;sollen;immer;ein;Taschenlampe;dabei;haben;falls;es;dunkel;werden
11.0|sie|pronoun|she|Sie sagte ihren Freunden, sie würde sie bald in Rom besuchen.|She told her friends she would visit them in Rome soon.|sie;sagen;ihr;Freund;sie;werden;sie;bald;in;Rom;besuchen
11.001|sie|pronoun|her|Sie schenkte ihm ein Notizbuch voller handgeschriebener Gedichte.|She gave him a notebook full of handwritten poems.|sie;schenken;ihm;ein;Notizbuch;voll;handgeschrieben;Gedicht
12.0|sie|pronoun|they|Sie haben die alten Traditionen mit moderner Kunst verknüpft.|They combined the old traditions with modern art.|sie;haben;der;alt;Tradition;mit;modern;Kunst;verknüpfen
12.001|sie|pronoun|them|Ohne sie hätte niemand den gestohlenen Schatz zurückgebracht.|Without them, no one would have returned the stolen treasure.|ohne;sie;haben;niemand;der;gestohlen;Schatz;zurückbringen
13.0|Sie|pronoun|you|Sie fanden die verborgene Schatztruhe am Rand des reisenden Flusses.|You found the hidden treasure chest on the edge of the rushing river.|sie;finden;der;verborgen;Schatztruhe;an;Rand;der;reisend;Fluß
14.0|werden (Futur)|auxiliary verb|(future tense)|Das neue Museum wird die Stadtgeschichte lebendig präsentieren.|The new museum will vividly present the city's history.|der;neu;Museum;werden;der;Stadtgeschichte;lebendig;präsentieren
15.0|werden (Passivform)|auxiliary verb|(passive voice)|Die alten Mauern werden in mühevoller Kleinarbeit restauriert.|The old walls are being restored in painstaking detail.|der;alt;Mauer;werden;in;mühevoll;Kleinarbeit;restaurieren
16.0|werden|verb|to become|Das alte Gebäude wird bald in ein modernes Bürohaus umgebaut.|The old building will soon become a modern office building.|der;alt;Gebäude;werden;bald;in;ein;modern;Bürohaus;umbauen
16.001|werden|verb|to get|Die Pflanzen werden im Sommer durch das Gießen besonders kräftig.|The plants get especially strong in summer through watering.|der;Pflanze;werden;in;Sommer;durch;der;Gießen;besonders;kräftig
17.0|von|preposition|from|Ein Duft von frischen Blumen erfüllte den gesamten Innenhof.|A scent from fresh flowers filled the entire courtyard.|ein;Duft;von;frisch;Blume;erfüllen;der;gesamt;Innenhof
17.001|von|preposition|of|Die Rede von der Königin rührte das gesamte Publikum zu Tränen.|The speech of the queen moved the entire audience to tears.|der;Rede;von;der;Königin;rühren;der;gesamt;Publikum;zu;Träne
18.0|ich|pronoun|I|Ich setzte mich ans Fenster, um die Regentropfen zu beobachten.|I sat by the window to watch the raindrops.|ich;setzen;sich;an;Fenster;um;der;Regentropfe;zu;beobachten
19.0|nicht|particle|not|Der Plan war nicht durchführbar ohne die nötigen Ressourcen.|The plan was not feasible without the necessary resources.|der;Plan;sein;nicht;durchführbar;ohne;der;nötig;Ressource
20.0|es|pronoun|it|In der Ferne leuchtete es plötzlich auf und zog alle Blicke an.|In the distance, it suddenly lit up and drew everyone’s attention.|in;der;Ferne;aufleuchten;es;plötzlich;auf;und;anziehen;aller;Blick;an
21.0|mit|preposition|with|Mit einem leisen Klicken öffnete sich die alte Holztruhe langsam.|With a soft click, the old wooden chest slowly opened.|mit;ein;leise;Klicken;öffnen;sich;der;alt;Holztruhe;langsam
22.0|sich|pronoun|-self|Er musste sich selbst motivieren, das Training durchzuhalten.|He had to motivate himself to keep up the training.|er;musste;sich;selbst;motivieren;der;Training;durchhalten
23.0|er|pronoun|he|Er stieg vorsichtig auf die steile Leiter, um den Apfel zu pflücken.|He carefully climbed the steep ladder to pick the apple.|er;steigen;vorsichtig;auf;der;steil;Leiter;um;der;Apfel;zu;pflücken
24.0|auf|preposition|on|Er kletterte auf den höchsten Stein und schrie in die Ferne.|He climbed on the tallest stone and shouted into the distance.|er;klettern;auf;der;hoch;Stein;und;schrie;in;der;Ferne
24.001|auf|preposition|at|Er wartete ungeduldig auf den Anruf seines Geschäftspartners.|He waited impatiently at the call of his business partner.|er;warten;ungeduldig;auf;der;Anruf;sein;Geschäftspartner
24.002|auf|preposition|to|Die Reisenden kletterten auf die Spitze des riesigen Glockenturms.|The travelers climbed to the top of the giant bell tower.|der;Reisenden;klettern;auf;der;Spitze;der;riesig;Glockenturm
25.0|für|preposition|for|Ein Geschenk für die treuen Kunden wurde liebevoll verpackt.|A gift for the loyal customers was wrapped with care.|ein;Geschenk;für;der;treu;Kunde;werden;liebevoll;verpacken
26.0|auch|adverb|also|Die neue Regel betrifft auch die bestehenden Vertragsbedingungen.|The new rule also affects the existing contract conditions.|der;neu;Regel;betreffen;auch;der;bestehend;Vertragsbedingung
26.001|auch|adverb|too|Der Architekt berücksichtigt auch die kleinsten Details im Entwurf.|The architect considers even the smallest details in the design.|der;Architekt;berücksichtigen;auch;der;klein;Detail;in;Entwurf
27.0|an|preposition|at|Die Katze kratzte an der schweren Holztür und wollte hinein.|The cat scratched at the heavy wooden door, wanting to come in.|der;Katze;kratzen;an;der;schwer;Holztür;und;hineinwollen;hinein
27.001|an|preposition|on|Die Lampe an der Decke flackerte unruhig während des Sturms.|The lamp on the ceiling flickered restlessly during the storm.|der;Lampe;an;der;Decke;flackern;unruhig;während;der;Sturm
28.0|dass|conjunction|that|Es ist klar, dass der Plan inklusive Kosten angepasst werden muss.|It is clear that the plan must be adjusted including costs.|es;sein;klar;dass;der;Plan;inklusive;Kosten;anpassen;werden;muss
29.0|zu|particle|to|Der Weg zu dem abgelegenen Bergdorf war beschwerlich und lang.|The path to the remote mountain village was arduous and long.|der;Weg;zu;der;abgelegen;Bergdorf;sein;beschwerlich;und;lang
30.0|zu|particle|too|Der Gipfel war zu steil und unmöglich ohne Hilfsmittel zu erklimmen.|The summit was too steep and impossible to climb without tools.|der;Gipfel;sein;zu;steil;und;unmöglich;ohne;Hilfsmittel;zu;erklimmen
31.0|zu|preposition|to|Der Bus fährt direkt zu einem der beliebtesten Reiseziele im Land.|The bus goes directly to one of the most popular destinations in the country.|der;Bus;fahren;direkt;zu;einer;der;beliebte;Reiseziel;in;Land
32.0|als|conjunction|as|Als die Glocke läutete, verließ die Schulklasse den Raum geordnet.|As the bell rang, the school class left the room in an orderly manner.|als;der;Glocke;läuten;verlassen;der;Schulklasse;der;Raum;ordneen
32.001|als|conjunction|when|Als der Sturm losbrach, suchten sie Schutz unter einer alten Brücke.|When the storm broke out, they sought shelter under an old bridge.|als;der;Sturm;losbrechen;suchen;sie;Schutz;unter;ein;alt;Brücke
