|word_de|part_of_speech|word_en|sentence_de|sentence_en|sentence_lemmatized_de
18.0|ich|pronoun|I|Ich pflanzte erfolgreich die kleinen Kräutersamen im Garten.|I successfully planted the small herb seeds in the garden.|ich;pflanzen;erfolgreich;der;klein;Kräutersame;in;Garten
20.0|es|pronoun|it|Es war unmöglich, das zerstörte Dokument zu retten.|It was impossible to recover the destroyed document.|es;sein;unmöglich;der;zerstört;Dokument;zu;retten
36.0|wie|particle|as|Wie ein Blitz fiel die Entscheidung in letzter Sekunde.|The decision fell like lightning at the last second.|wie;ein;Blitz;fallen;der;Entscheidung;in;letzter;Sekunde
40.0|ihr|pronoun|you|Euer Ziel erreicht ihr nur mit gemeinsamer Anstrengung.|You will reach your goal only through joint effort.|euer;Ziel;erreichen;ihr;nur;mit;gemeinsam;Anstrengung
74.002|viel|pronoun|many|Viel Mühe steckte in dem handgeschnitzten Schrank aus Eiche.|Many efforts went into the hand-carved oak cabinet.|viel;Mühe;stecken;in;der;handgeschnitzt;Schrank;aus;Eiche
75.0|wollen|verb|to want to|Die Schüler wollen gemeinsam einen aufregenden Ausflug planen.|The students want to plan an exciting trip together.|der;Schüler;wollen;gemeinsam;ein;aufregend;Ausflug;planen
76.0|machen|verb|to do|Die Mechaniker machen schnelle Fortschritte bei den Reparaturen.|The mechanics are making rapid progress with the repairs.|der;Mechaniker;machen;schnell;Fortschritt;bei;der;Reparatur
100.001|bis|preposition|till|Bis zum Ende des Films blieb sie gebannt vor der Leinwand.|Till the end of the movie, she remained captivated by the screen.|bis;zu;Ende;der;Film;bleiben;sie;bannen;vor;der;Leinwand
103.0|einer|pronoun|(some)one|Einer der Gäste brachte eine Flasche seltenen Weins.|One of the guests brought a bottle of rare wine.|einer;der;Gast;bringen;ein;Flasche;selten;Wein
106.001|das Mal|noun|mark|Ein altes Mal an der Wand erzählte von vergangenen Zeiten.|An old mark on the wall told of times long past.|ein;alt;Mal;an;der;Wand;erzählen;von;vergangen;Zeit
109.0|neu|adjective|new|Sie kaufte ein neu gestaltetes Buch im Kunstladen.|She bought a newly designed book in the art store.|sie;kaufen;ein;neu;gestaltet;Buch;in;Kunstladen
122.0|die Zeit|noun|time|Die Zeit fliegt, wenn man sich auf ein Ziel konzentriert.|Time flies when you focus on a goal.|der;Zeit;fliegen;wenn;man;sich;auf;ein;Ziel;konzentrieren
154.0|tun|verb|to do|Was tun, wenn der Sturm die Dächer krachend abdeckt?|What to do when the storm loudly rips off the roofs?|was;tun;wenn;der;Sturm;der;Dach;krachend;abdecken
163.001|einfach|adjective|easy|Das einfache Rezept führte zu einem köstlichen Abendessen.|The easy recipe led to a delicious dinner.|der;einfach;Rezept;führen;zu;ein;köstlich;Abendessen
179.0|wichtig|adjective|important|Das Treffen war ein wichtiger Schritt für zukünftige Entscheidungen.|The meeting was an important step for future decisions.|der;Treffen;sein;ein;wichtig;Schritt;für;zukünftig;Entscheidung
186.004|dazu|pronoun|of that|Er fügte noch ein Buch dazu, um das Geschenk zu ergänzen.|He added a book to that to complete the gift.|er;fügen;noch;ein;Buch;dazu;um;der;Geschenk;zu;ergänzen
208.0|spät|adverb|late|Spät in der Nacht tanzten sie noch im schimmernden Licht.|Late at night, they still danced in the shimmering light.|spät;in;der;Nacht;tanzen;sie;noch;in;schimmernd;Licht
262.001|dich|pronoun|yourself|Manchmal musst du dich selbst herausfordern, um zu wachsen.|Sometimes you have to challenge yourself to grow.|manchmal;mussen;du;dich;selbst;herausfordern;um;zu;wachsen
