|word_de|part_of_speech|word_en|sentence_de|sentence_en|sentence_lemmatized_de
1.0|der|pronoun|the one|Der Mann mit dem roten Hut schwenkte lächelnd seinen Becher.|The one with the red hat waved his cup with a smile.|der;Mann;mit;der;rot;Hut;schwenken;lächelnd;sein;Becher
1.003|der|pronoun|the ones|Die Hunde, die nachts bellen, sind die, die Streuner vertreiben.|The dogs that bark at night are the ones that chase away strays.|der;Hund;der;nachts;bellen;sein;der;der;Streuner;vertreiben
4.0|in|preposition|in|In der Bibliothek fanden die Studierenden die benötigten Dokumente.|In the library, the students found the documents they needed.|in;der;Bibliothek;finden;der;studierend;der;benötigt;Dokument
7.0|ein|article|a|Ein großer Adler kreiste majestätisch über der schroffen Bergkette.|A large eagle circled majestically over the rugged mountain range.|ein;groß;Adler;kreisen;majestätisch;über;der;schroff;Bergkette
7.001|ein|article|an|Ein seltener Vogel nistete hoch oben in den alten Eichenzweigen.|A rare bird nested high up in the old oak branches.|ein;selten;Vogel;nisten;hoch;oben;in;der;alt;Eichenzweig
9.0|haben (Vergangenheitsform)|auxiliary verb|(past tense)|Er hat die Zeit seines Lebens während der Reise nach Spanien erlebt.|He had the time of his life during the trip to Spain.|er;haben;der;Zeit;sein;Leben;während;der;Reise;nach;Spanien;erleben
10.0|haben|verb|to have|Sie sollten immer eine Taschenlampe dabei haben, falls es dunkel wird.|You should always have a flashlight with you in case it gets dark.|sie;sollen;immer;ein;Taschenlampe;dabei;haben;falls;es;dunkel;werden
11.001|sie|pronoun|her|Sie schenkte ihm ein Notizbuch voller handgeschriebener Gedichte.|She gave him a notebook full of handwritten poems.|sie;schenken;ihm;ein;Notizbuch;voll;handgeschrieben;Gedicht
12.001|sie|pronoun|them|Ohne sie hätte niemand den gestohlenen Schatz zurückgebracht.|Without them, no one would have returned the stolen treasure.|ohne;sie;haben;niemand;der;gestohlen;Schatz;zurückbringen
15.0|werden (Passivform)|auxiliary verb|(passive voice)|Die alten Mauern werden in mühevoller Kleinarbeit restauriert.|The old walls are being restored in painstaking detail.|der;alt;Mauer;werden;in;mühevoll;Kleinarbeit;restaurieren
16.0|werden|verb|to become|Das alte Gebäude wird bald in ein modernes Bürohaus umgebaut.|The old building will soon become a modern office building.|der;alt;Gebäude;werden;bald;in;ein;modern;Bürohaus;umbauen
19.0|nicht|particle|not|Der Plan war nicht durchführbar ohne die nötigen Ressourcen.|The plan was not feasible without the necessary resources.|der;Plan;sein;nicht;durchführbar;ohne;der;nötig;Ressource
21.0|mit|preposition|with|Mit einem leisen Klicken öffnete sich die alte Holztruhe langsam.|With a soft click, the old wooden chest slowly opened.|mit;ein;leise;Klicken;öffnen;sich;der;alt;Holztruhe;langsam
23.0|er|pronoun|he|Er stieg vorsichtig auf die steile Leiter, um den Apfel zu pflücken.|He carefully climbed the steep ladder to pick the apple.|er;steigen;vorsichtig;auf;der;steil;Leiter;um;der;Apfel;zu;pflücken
24.0|auf|preposition|on|Er kletterte auf den höchsten Stein und schrie in die Ferne.|He climbed on the tallest stone and shouted into the distance.|er;klettern;auf;der;hoch;Stein;und;schrie;in;der;Ferne
24.002|auf|preposition|to|Die Reisenden kletterten auf die Spitze des riesigen Glockenturms.|The travelers climbed to the top of the giant bell tower.|der;Reisenden;klettern;auf;der;Spitze;der;riesig;Glockenturm
26.0|auch|adverb|also|Die neue Regel betrifft auch die bestehenden Vertragsbedingungen.|The new rule also affects the existing contract conditions.|der;neu;Regel;betreffen;auch;der;bestehend;Vertragsbedingung
26.001|auch|adverb|too|Der Architekt berücksichtigt auch die kleinsten Details im Entwurf.|The architect considers even the smallest details in the design.|der;Architekt;berücksichtigen;auch;der;klein;Detail;in;Entwurf
27.001|an|preposition|on|Die Lampe an der Decke flackerte unruhig während des Sturms.|The lamp on the ceiling flickered restlessly during the storm.|der;Lampe;an;der;Decke;flackern;unruhig;während;der;Sturm
29.0|zu|particle|to|Der Weg zu dem abgelegenen Bergdorf war beschwerlich und lang.|The path to the remote mountain village was arduous and long.|der;Weg;zu;der;abgelegen;Bergdorf;sein;beschwerlich;und;lang
30.0|zu|particle|too|Der Gipfel war zu steil und unmöglich ohne Hilfsmittel zu erklimmen.|The summit was too steep and impossible to climb without tools.|der;Gipfel;sein;zu;steil;und;unmöglich;ohne;Hilfsmittel;zu;erklimmen
31.0|zu|preposition|to|Der Bus fährt direkt zu einem der beliebtesten Reiseziele im Land.|The bus goes directly to one of the most popular destinations in the country.|der;Bus;fahren;direkt;zu;einer;der;beliebte;Reiseziel;in;Land
32.0|als|conjunction|as|Als die Glocke läutete, verließ die Schulklasse den Raum geordnet.|As the bell rang, the school class left the room in an orderly manner.|als;der;Glocke;läuten;verlassen;der;Schulklasse;der;Raum;ordneen
34.0|können|verb|to be able to|Mit viel Übung kann der Künstler perfekte Porträts zeichnen.|With a lot of practice, the artist can draw perfect portraits.|mit;viel;Übung;können;der;Künstler;perfekt;Porträt;zeichnen
34.001|können|verb|to can|Nur geübte Hände können diese feinen Maserungen im Holz schnitzen.|Only skilled hands can carve these delicate grain patterns in the wood.|nur;geübt;Hand;können;dieser;fein;Maserung;in;Holz;schnitzen
36.0|wie|particle|as|Wie die Wellen das Ufer umschmeichelten, wirkten sie fast hypnotisch.|As the waves caressed the shore, they seemed almost hypnotic.|wie;der;Welle;der;Ufer;umschmeicheln;wirken;sie;fast;hypnotisch
37.0|wie|pronoun|how|Wie meisterst du solche komplexen Aufgaben mit Leichtigkeit?|How do you master such complex tasks with ease?|wie;meistersen;du;solcher;komplex;Aufgabe;mit;Leichtigkeit
38.0|wir|pronoun|we|Wir betraten den Saal und bemerkten gleich die gespannte Stille.|We entered the hall and immediately noticed the tense silence.|wir;betraten;der;Saal;und;bemerken;gleich;der;gespannt;Stille
39.0|ihr|pronoun|her|Ihr Lachen hallte fröhlich durch den sonnendurchfluteten Raum.|Her laughter resonated joyfully through the sunlit room.|ihr;lachen;halln;fröhlich;durch;der;sonnendurchflutet;Raum
40.0|ihr|pronoun|you|Euer Engagement und ihr Durchhaltevermögen haben alle beeindruckt.|Your commitment and perseverance impressed everyone.|euer;Engagement;und;ihr;Durchhaltevermögen;haben;alle;beeindrucken
40.001|ihr|pronoun|her|Ihr Fahrrad stand unberührt neben der verlassenen Straßenecke.|Her bike stood untouched next to the deserted street corner.|ihr;Fahrrad;stehen;unberührt;neben;der;verlassen;Straßenecke
42.0|so|adverb|thus|So verlockend war der Duft, dass alle förmlich zum Tisch strömten.|Thus, the scent was so tempting that everyone practically flocked to the table.|so;verlockend;sein;der;Duft;dass;alle;förmlich;zu;Tisch;strömen
43.0|so|particle|so|Die Marmelade war so süß, dass niemand dem Genuss widerstehen konnte.|The jam was so sweet that no one could resist the delight.|der;Marmelade;sein;so;süß;dass;niemand;der;Genuss;widerstehen;können
44.0|bei|preposition|by|Bei dieser Gelegenheit lernte er viele interessante Personen kennen.|By this opportunity, he met many interesting people.|bei;dieser;Gelegenheit;kennenlernen;er;vieler;interessant;Person;kennen
45.0|sein|pronoun|his|Sein Hund lief eifrig durch das hohe, raschelnde Herbstlaub.|His dog eagerly ran through the tall, rustling autumn leaves.|sein;Hund;laufen;eifrig;durch;der;hoch;raschelnd;Herbstlaub
45.001|sein|pronoun|its|Sein Ende kam schneller, als irgendjemand es vorhergesehen hatte.|Its end came faster than anyone had anticipated.|sein;Ende;kommen;schnell;als;irgendjemand;es;vorhersehen;haben
47.0|aber|particle|(emphasis)|Es war anstrengend, aber die Mühe hat sich definitiv gelohnt.|It was exhausting, but the effort definitely paid off.|es;sein;anstrengend;aber;der;Mühe;haben;sich;definitiv;lohnen
48.0|man|pronoun|one|Man sollte die Einstellung zum Stoffwechsel stets positiv halten.|One should always keep a positive attitude towards metabolism.|man;sollen;der;Einstellung;zu;Stoffwechsel;stets;positiv;halten
48.001|man|pronoun|you|Wenn man die Natur respektiert, zeigt sie ihre volle Pracht.|If you respect nature, it shows its full beauty.|wenn;man;der;Natur;respektieren;zeigen;sie;ihr;voll;Pracht
48.002|man|pronoun|they|Man erwartete, dass sie ihre Aufgaben fristgerecht erledigten.|They were expected to complete their tasks on time.|man;erwarten;dass;sie;ihr;Aufgabe;fristgerecht;erledign
50.0|nach|preposition|after|Nach dem Regenschauer erstrahlte die Wiese in einem satten Grün.|After the rain shower, the meadow shone in a rich green.|nach;der;Regenschauer;erstrahlen;der;Wiese;in;ein;satt;grüne
50.001|nach|preposition|toward|Der Wanderer ging zielstrebig nach Norden, immer dem Fluss entlang.|The hiker walked purposefully toward the north, always along the river.|der;Wanderer;gehen;zielstrebig;nach;Norden;immer;der;Fluss;entlang
51.0|oder|conjunction|or|Möchtest du Tee oder lieber einen frisch gebrühten Kaffee trinken?|Would you like tea or rather a freshly brewed coffee?|Möchtest;du;Tee;oder;lieber;ein;frisch;gebrüht;Kaffee;trinken
53.0|aus|preposition|out|Aus der Scheune drang ein knackendes Geräusch in die stille Nacht.|Out of the barn came a cracking sound into the quiet night.|aus;der;Scheune;dringen;ein;knackend;Geräusch;in;der;still;Nacht
53.001|aus|preposition|out of|Aus dem alten Fensterrahmen tropfte kaltes, graues Regenwasser.|Out of the old window frame dripped cold, grey rainwater.|aus;der;alt;Fensterrahmen;tropfen;kalt;grau;Regenwasser
53.002|aus|preposition|from|Die Waren wurden direkt aus dem nördlichen Hafen verschifft.|The goods were shipped directly from the northern port.|der;Ware;werden;direkt;aus;der;nördlich;Hafen;verschiffen
54.0|was|pronoun|what|Was er da gebastelt hat, sieht aus wie ein kleines Meisterwerk.|What he crafted there looks like a little masterpiece.|was;er;da;basteln;haben;aussehen;aus;wie;ein;klein;Meisterwerk
57.0|dann|adverb|then|Er überprüfte die Messdaten und dann machte er die finale Anpassung.|He checked the measurements and then made the final adjustment.|er;überprüfen;der;Messdatum;und;dann;machen;er;der;final;Anpassung
58.0|wenn|conjunction|if|Wenn das Wetter mitspielt, wird das Konzert draußen stattfinden.|If the weather cooperates, the concert will take place outside.|wenn;der;Wetter;mitspielen;werden;der;Konzert;draußen;stattfinden
58.001|wenn|conjunction|when|Wenn die Sonne untergeht, leuchten die Laternen magisch am Markt.|When the sun sets, the lanterns glow magically at the market.|wenn;der;Sonne;untergehen;leuchten;der;Laterne;magisch;an;Markt
61.0|um|preposition|around|Die Blumendekoration schlang sich kunstvoll um den großen Saal.|The floral decoration wound artfully around the large hall.|der;Blumendekoration;schlingen;sich;kunstvoll;um;der;groß;Saal
61.001|um|preposition|at|Um die Mittagszeit füllte sich der Platz mit hungrigen Besuchern.|At midday, the square filled with hungry visitors.|um;der;Mittagszeit;füllen;sich;der;Platz;mit;hungrig;Besucher
61.002|um|preposition|about|Um das alte Rathaus ranken sich spannende Legenden und Mythen.|There are fascinating legends and myths about the old town hall.|um;der;alt;Rathaus;ranken;sich;spannend;Legende;und;Mythen
62.001|ja|particle|of course|Ja, das Wetter wird zu einem wunderschönen Herbsttag beitragen.|Of course, the weather will contribute to a beautiful autumn day.|ja;der;Wetter;werden;zu;ein;wunderschön;Herbsttag;beitragen
64.001|über|preposition|over|Der Vogel flog direkt über den stillen, klaren Bergsee hinweg.|The bird flew directly over the still, clear mountain lake.|der;Vogel;hinwegfliegen;direkt;über;der;still;klar;Bergsee;hinweg
66.0|da|conjunction|because|Da der Regen aufhörte, entschieden sie sich weiterzuwandern.|Because the rain stopped, they decided to keep hiking.|da;der;Regen;aufhören;entscheiden;sie;sich;weiterzuwandern
69.0|mein|pronoun|my|Mein alter Koffer hielt dem strapaziösen Flug erstaunlich gut stand.|My old suitcase endured the strenuous flight surprisingly well.|mein;alt;Koffer;standhalten;der;strapaziös;Flug;erstaunlich;gut;stand
72.0|du|pronoun|you|In diesem Satz steht kein Pronomen, weil „du“ zu vermeiden war.|In this sentence there is no pronoun, as „you“ was to be avoided.|in;dieser;Satz;stehen;kein;Pronomen;weil;du;zu;vermeiden;sein
74.002|viel|pronoun|many|Viel Geschrei erfüllte den belebten Marktplatz am Vormittag.|Many shouts filled the busy marketplace in the morning.|viel;Geschrei;erfüllen;der;belebt;Marktplatz;an;Vormittag
78.0|sollen|verb|to should|Alle Teilnehmer sollen die Sicherheitsregeln vorab durchlesen.|All participants should read the safety rules in advance.|aller;Teilnehmer;sollen;der;Sicherheitsregel;vorab;durchlesen
79.0|schon|adverb|already|Die Tickets waren schon ausverkauft, bevor wir überhaupt ankamen.|The tickets were already sold out before we even arrived.|der;Ticket;sein;schon;ausverkaufen;bevor;wir;überhaupt;ankommen
80.0|schon|particle||Der Kuchen ist schon fertig und duftet herrlich nach Vanille.|The cake is already ready and smells wonderfully of vanilla.|der;Kuchen;sein;schon;fertig;und;duften;herrlich;nach;Vanille
83.0|immer|adverb|always|Er hat immer eine Thermoskanne Tee in seinem Rucksack dabei.|He always carries a thermos of tea in his backpack.|er;dabeihaben;immer;ein;Thermoskanne;Tee;in;sein;Rucksack;dabei
85.0|mich|pronoun|me|Ein leises Geräusch hinter mir ließ mich alarmiert umdrehen.|A faint noise behind me made me turn around in alarm.|ein;leis;Geräusch;hinter;mir;lassen;mich;alarmiert;umdrehen
87.0|groß|adjective|big|In dem großen Saal hallten die Klavierklänge eindrucksvoll wider.|In the big hall, the piano sounds echoed impressively.|in;der;groß;Saal;widerhalln;der;Klavierklang;eindrucksvoll;wider
87.002|groß|adjective|great|Ein großes Fest mit Feuerwerk erleuchtete die sommerliche Nacht.|A great celebration with fireworks lit up the summer night.|ein;groß;Fest;mit;Feuerwerk;erleuchten;der;sommerlich;Nacht
89.0|ganz|adjective|whole|Sie hat die ganz Tafel Schokolade in einem Atemzug gegessen.|She ate the whole bar of chocolate in one go.|sie;haben;der;ganz;Tafel;Schokolade;in;ein;Atemzug;gessen
90.0|ganz|particle|quite|Es ist ganz unmöglich, ohne Vorbereitung die Klausur zu bestehen.|It is quite impossible to pass the exam without preparation.|es;sein;ganz;unmöglich;ohne;Vorbereitung;der;Klausur;zu;bestehen
91.0|zwei|number|two|Die zwei Katzen schliefen friedlich auf der warmen Fensterbank.|The two cats slept peacefully on the warm windowsill.|der;zwei;Katze;schlafen;friedlich;auf;der;warm;Fensterbank
92.0|also|adverb|so|Also richteten sie ihre Aufmerksamkeit auf den entscheidenden Faktor.|So they directed their attention to the crucial factor.|also;richten;sie;ihr;Aufmerksamkeit;auf;der;entscheidend;Faktor
