|word_de|part_of_speech|word_en|sentence_de|sentence_en|sentence_lemmatized_de
0.0|die|article|the|Die Zellen im Körper haben unterschiedliche Funktionen.|The cells in the body have different functions.|der;Zelle;in;Körper;haben;unterschiedlich;Funktion
1.0|der|pronoun|the one|Der Hund, der über den Zaun sprang, bellte unaufhörlich.|The dog, the one that jumped over the fence, barked nonstop.|der;Hund;der;über;der;Zaun;springen;belln;unaufhörlich
1.001|der|pronoun|that|Der Hund, der im Garten bellt, gehört dem Nachbarn.|The dog that barks in the garden belongs to the neighbor.|der;Hund;der;in;Garten;belln;gehören;der;Nachbar
1.002|der|pronoun|those|Ich habe all die Bücher gesehen, die du magst.|I saw all those books you like.|ich;haben;all;der;Buch;sehen;der;du;magen
1.003|der|pronoun|the ones|Ich habe die genommen, die am billigsten waren.|I took the ones that were the cheapest.|ich;haben;der;nehmen;der;am;billig;sein
2.0|der|pronoun|who|Der Mann, der am Fluss arbeitet, ist Fischer.|The man who works by the river is a fisherman.|der;Mann;der;an;Fluss;arbeiten;sein;Fischer
2.001|der|pronoun|that|Der Baum, der gefällt wurde, war sehr alt.|The tree that was cut down was very old.|der;Baum;der;fällen;werden;sein;sehr;alt
3.0|und|conjunction|and|Er packte die Bücher und ging schweigend hinaus.|He packed the books and left silently.|er;packen;der;Buch;und;hinausgehen;schweigend;hinaus
4.0|in|preposition|in|In der Ecke des Raumes stapelten sich alte Kisten.|In the corner of the room, old boxes were piled up.|in;der;Ecke;der;Raum;stapeln;sich;alt;Kiste
5.0|sein (Vergangenheitsform)|auxiliary verb|(past tense)|Er ist gestern unbemerkt gegangen, ohne ein Wort zu sagen.|He left unnoticed yesterday without saying a word.|er;sein;gestern;unbemerkt;gehen;ohne;ein;Wort;zu;sagen
6.0|sein|verb|to be|Ich bin überzeugt, dass du dein Ziel erreichen kannst.|I am convinced that you can achieve your goal.|ich;sein;überzeugen;dass;du;dein;Ziel;erreichen;kannen
7.0|ein|article|a|Ich trinke jeden Morgen ein schwarzes Getränk.|I drink a black beverage every morning.|ich;trinken;jeder;Morgen;ein;schwarz;Getränk
7.001|ein|article|an|In diesem Moment hält ein Vogel an der Fensterbank.|At this moment, a bird sits on the windowsill.|in;dieser;Moment;halten;ein;Vogel;an;der;Fensterbank
8.0|einer|pronoun|one of|Sie ist eine der klügsten Studentinnen, die ich kenne.|She is one of the smartest students I know.|sie;sein;einer;der;klüg;Studentin;der;ich;kennen
9.0|haben (Vergangenheitsform)|auxiliary verb|(past tense)|Ich habe die Aufgabe schon erledigt, keine Sorge.|I already did the task, don’t worry.|ich;haben;der;Aufgabe;schon;erledigen;kein;Sorge
10.0|haben|verb|to have|Wir haben noch keine konkreten Ergebnisse erzielt.|We haven't achieved any concrete results yet.|wir;haben;noch;kein;konkret;Ergebnis;erzielen
