|sentence_de
adjective|abgenutzt
adjective|abrupt
adjective|abwechslungsreich
adjective|aktiv
adjective|allein
adjective|alt
adjective|angenehm
adjective|angespannt
adjective|anwesend
adjective|atemberaubend
adjective|attraktiv
adjective|aufgeräumt
adjective|aufmerksam
adjective|außergewöhnlich
adjective|bahnbrechend
adjective|beängstigend
adjective|bedauerlich
adjective|beeindruckend
adjective|begeistert
adjective|bekannt
adjective|belebt
adjective|beliebt
adjective|bemerkbar
adjective|berühmt
adjective|besorgniserregend
adjective|besser
adjective|besten
adjective|beteiligt
adjective|bewusst
adjective|blau
adjective|brillant
adjective|brutal
adjective|defekt
adjective|deutlich
adjective|dick
adjective|dramatisch
adjective|dunkel
adjective|effektiv
adjective|einfach
adjective|einstimmig
adjective|einwandfrei
adjective|eng
adjective|enorm
adjective|entschlossen
adjective|erfolgreich
adjective|erheblich
adjective|erholsam
adjective|erneut
adjective|erreichbar
adjective|erschöpft
adjective|erschreckend
adjective|essbar
adjective|falsch
adjective|fehlerfrei
adjective|fehlerhaft
adjective|fertig
adjective|fest
adjective|feucht
adjective|fit
adjective|fleißig
adjective|fließend
adjective|fraglich
adjective|frei
adjective|fremd
adjective|freundlich
adjective|friedlich
adjective|fruchtbar
adjective|früh
adjective|gefährlich
adjective|geheim
adjective|gelb
adjective|gelegen
adjective|gemütlich
adjective|genau
adjective|geparkt
adjective|geplant
adjective|gerade
adjective|gering
adjective|geschäftlich
adjective|geschlagen
adjective|gespalten
adjective|gesperrt
adjective|gestrichen
adjective|gesünder
adjective|geteilt
adjective|gewiss
adjective|gigantisch
adjective|glänzend
adjective|gleich
adjective|groß
adjective|großartig
adjective|gründlich
adjective|günstig
adjective|gut
adjective|hart
adjective|heftig
adjective|hell
adjective|herrlich
adjective|herzlich
adjective|hilfreich
adjective|hoch
adjective|höflich
adjective|ideal
adjective|innovativ
adjective|inspirierend
adjective|instabil
adjective|intensiv
adjective|interessant
adjective|italienisch
adjective|kalt
adjective|klar
adjective|klein
adjective|knapp
adjective|komisch
adjective|kompetent
adjective|komplett
adjective|komplex
adjective|kompliziert
adjective|konstant
adjective|korrekt
adjective|kostbar
adjective|krank
adjective|kreativ
adjective|kristallrein
adjective|kühl
adjective|kurvig
adjective|kurz
adjective|lang
adjective|langsam
adjective|lebendig
adjective|lebhaft
adjective|leer
adjective|lehrreich
adjective|leicht
adjective|leid
adjective|leise
adjective|lieb
adjective|liebevoll
adjective|linear
adjective|logisch
adjective|los
adjective|machbar
adjective|melodisch
adjective|mild
adjective|minimal
adjective|möglich
adjective|müde
adjective|mutig
adjective|naiv
adjective|nass
adjective|nett
adjective|neu
adjective|niedrig
adjective|normal
adjective|nostalgisch
adjective|nötig
adjective|notwendig
adjective|offen
adjective|offensichtlich
adjective|offiziell
adjective|online
adjective|optimistisch
adjective|organisiert
adjective|perfekt
adjective|positiv
adjective|praktisch
adjective|präzise
adjective|privat
adjective|produktiv
adjective|pünktlich
adjective|real
adjective|rechtzeitig
adjective|regelmäßig
adjective|reibungslos
adjective|reibungslose
adjective|reich
adjective|rein
adjective|relativ
adjective|richtig
adjective|riesig
adjective|rot
adjective|ruhig
adjective|sanft
adjective|scharf
adjective|schlecht
adjective|schlimmer
adjective|schnell
adjective|schön
adjective|schwach
adjective|schweigend
adjective|schwer
adjective|schwierig
adjective|selbstbewusst
adjective|sicher
adjective|sichtbar
adjective|sinnvoll
adjective|sonnig
adjective|spät
adjective|spektakulär
adjective|spezifisch
adjective|spontan
adjective|spürbar
adjective|stabil
adjective|ständig
adjective|stark
adjective|steil
adjective|steinig
adjective|stetig
adjective|still
adjective|streng
adjective|tatkräftig
adjective|teuer
adjective|tief
adjective|toll
adjective|tot
adjective|tragisch
adjective|trocken
adjective|überschaubar
adjective|überwältigend
adjective|üblich
adjective|übrig
adjective|unabhängig
adjective|unakzeptabel
adjective|unangenehm
adjective|unbeantwortet
adjective|unbegrenzt
adjective|unbekannt
adjective|unbesetzen
adjective|unbewohnt
adjective|unermesslich
adjective|unerwartet
adjective|unfair
adjective|unglaublich
adjective|unhöflich
adjective|unklar
adjective|unterschiedlich
adjective|ununterbrochen
adjective|unvergesslich
adjective|unverletzt
adjective|unvermeidlich
adjective|unzureichend
adjective|verantwortlich
adjective|verlockend
adjective|verloren
adjective|verschlossen
adjective|verständlich
adjective|verzerrt
adjective|vielfältig
adjective|vielversprechend
adjective|voll
adjective|vollständig
adjective|vorbildlich
adjective|vorhanden
adjective|wach
adjective|wahr
adjective|warm
adjective|weich
adjective|weit
adjective|weltweit
adjective|wenig
adjective|wert
adjective|wertvoll
adjective|wichtig
adjective|willkommen
adjective|witzig
adjective|wunderbar
adjective|zügig
adverb|anders
adverb|aneinander
adverb|bald
adverb|besonders
adverb|bitte
adverb|da
adverb|damit
adverb|dar
adverb|daran
adverb|darauf
adverb|darüber
adverb|davon
adverb|dazu
adverb|draußen
adverb|drinnen
adverb|ebenfalls
adverb|ebenso
adverb|fort
adverb|gern
adverb|gestern
adverb|gleichzeitig
adverb|heim
adverb|her
adverb|heraus
adverb|herüber
adverb|heute
adverb|hier
adverb|hierher
adverb|hin
adverb|hinauf
adverb|hindurch
adverb|hinten
adverb|jetzt
adverb|mehr
adverb|miteinander
adverb|mittlerweile
adverb|morgen
adverb|morgens
adverb|nicht
adverb|oben
adverb|oft
adverb|plötzlich
adverb|sehr
adverb|selbst
adverb|so
adverb|sofort
adverb|später
adverb|täglich
adverb|teilweise
adverb|überall
adverb|viel
adverb|vorbei
adverb|vorn
adverb|weg
adverb|weiter
adverb|wieder
adverb|woanders
adverb|zurück
adverb|zusammen
article|ein
conjunction|oder
noun|Boxer
numberal|acht
numeral|zehn
numeral|zwölf
preposition|ab
preposition|an
preposition|auf
preposition|aus
preposition|bei
preposition|durch
preposition|entlang
preposition|mit
preposition|nach
preposition|statt
preposition|um
preposition|unter
preposition|vor
preposition|zu
pronoun|alle
pronoun|alles
pronoun|dasselbe
pronoun|dein
pronoun|dich
pronoun|dir
pronoun|du
pronoun|er
pronoun|es
pronoun|ich
pronoun|ihm
pronoun|ihr
pronoun|mein
pronoun|mich
