|frequency_rank|part_of_speech_short|word_de|word_forms_de|sentence_de|word_translations_en|word_en|sentence_en|part_of_speech|sentence_original_de|sentence_original_en
3501|3401|der|der Felsen|die Felsen|Der Felsen ragt hoch aus dem Wasser.|rock|rock|The rock juts high out of the water.|noun|Wir sehen einige Vögel, die auf den Felsen im Meer sitzen.|We can see some birds sitting on the rocks in the sea.
3502|3402|prep|inklusive||Inklusive Getränk kostet es zehn Euro.|including|including|Including a drink, it costs ten euros.|preposition|Das Haus kostet 200.000 Euro, inklusive der Möbel.|The house costs 200,000 euros, including the furniture.
3503|3403|adj|kognitiv||Die kognitiven Fähigkeiten nehmen ab.|cognitive|cognitive|Cognitive abilities are declining.|adjective|Das Kind verfügt über sehr gute kognitive Fähigkeiten.|The child has very good cognitive abilities.
3504|3404|adv|seinerseits||Er hat seinerseits zugestimmt.|on his part, for its/his part|for his part|He, for his part, agreed.|adverb|Es ist ein Fehler seinerseits.|It’s a mistake on his part.
3505|3405|verb|zustehen|zustehen, steht zu, stand zu, hat zugestanden|Das Recht auf Bildung steht dir zu.|to be entitled|to be entitled|You are entitled to the right to education.|verb|Ihm steht die Hälfte der Gewinne zu.|He’s entitled to half the profits.
3506|3406|adj|auffällig||Ihr auffälliges Kleid zog Blicke an.|conspicuous|conspicuous|Her conspicuous dress attracted attention.|adjective|Die alte Dame trägt einen auffälligen Hut mit roten Federn.|The old lady is wearing a conspicuous hat with red feathers.
3507|3407|verb|ausbrechen|ausbrechen, bricht aus, brach aus, hat ausgebrochen|Das Feuer brach plötzlich aus.|to break out, erupt|to break out|The fire suddenly broke out.|verb|Der Täter plant, aus dem Gefängnis auszubrechen.|The perpetrator is planning to break out of prison.
3508|3408|die|die CD|die CDs|Die CD enthält ihre Lieblingslieder.|CD|CD|The CD contains her favorite songs.|noun|Der Popstar veröffentlicht eine Reihe erfolgreicher CDs.|The pop star releases a series of successful CDs.
3509|3409|die|die Durchführung|die Durchführungen|Die Durchführung des Plans gelang.|carrying out|carrying out|Carrying out the plan worked.|noun|Die Durchführung der Wahlen verläuft problemlos.|The carrying out of the elections is going smoothly.
3510|3410|der|der Humor|die Humore|Der Humor lockerte die Stimmung.|humor|humor|The humor lightened the mood.|noun|Ich verstehe seinen britischen Humor nicht.|I don’t understand his British humor.
3511|3411|adj|psychologisch||Psychologische Beratung kann helfen.|psychological|psychological|Psychological counseling can help.|adjective|Ihr neuer Roman ist ein psychologischer Thriller.|Her new novel is a psychological thriller.
3512|3412|adj|treu||Der treue Hund wartete geduldig.|faithful|faithful|The faithful dog waited patiently.|adjective|Die Band hat eine große und treue Gemeinde aus Fans in England.|The band has a large and faithful community of fans in England.
3513|3413|die|die Erziehung||Die Erziehung der Kinder war streng.|upbringing, education|upbringing|The upbringing of the children was strict.|noun|Ihre strenge Erziehung zerstört die emotionale Beziehung zwischen Eltern und Kind.|Their strict upbringing destroys the emotional relationship between parents and child.
3514|3414|verb|kommentieren|kommentieren, kommentiert, kommentierte, hat kommentiert|Er kommentierte das Spiel live.|to comment|to comment|He commented on the game live.|verb|Der Reporter kommentiert die aktuellen Ereignisse.|The reporter comments on current events.
3515|3415|pron|wonach||Wonach suchst du in der Tasche?|what ... for, what ... of|what ... for|What are you looking for in the bag?|pronoun|Wonach suchst du?|What are you looking for?
3516|3416|die|die Datenbank|die Datenbanken|Die Datenbank ist gut strukturiert.|database|database|The database is well structured.|noun|Wir speichern alle unsere Kundendaten in einer Datenbank.|We store all our customer data in a database.
3517|3417|die|die Meldung|die Meldungen|Die Meldung verbreitete sich schnell.|report|report|The report spread quickly.|noun|Im Radio kommt eine Meldung zu einem großen Unfall.|There’s a report of a major accident on the radio.
3518|3418|der|der Premierminister|die Premiers|Der Premierminister hielt eine Rede.|prime minister|prime minister|The prime minister gave a speech.|noun|Ein Premier ist in vielen Ländern der Regierungschef.|A prime minister is the head of government in many countries.
3519|3419|die|die Zeichnung|die Zeichnungen|Die Zeichnung entstand schnell.|drawing|drawing|The drawing came together quickly.|noun|Auf der Zeichnung sieht man die Berge und das Meer.|The drawing shows the mountains and the sea.
3520|3420|verb|agieren|agieren, agiert, agierte, hat agiert|Er agiert immer sehr vorsichtig.|to act|to act|He always acts very carefully.|verb|UNICEF agiert weltweit.|UNICEF acts worldwide.
3521|3421|der|der Befehl|die Befehle|Der Befehl kam direkt vom Chef.|order, command|order|The order came directly from the boss.|noun|Der Soldat erfüllt den Befehl des Offiziers.|The soldier obeys the officer’s order.
3522|3422|der|der Christ|die Christen|Der Christ betet in der Kirche.|Christian|Christian|The Christian prays in the church.|noun|Felix ist ein gläubiger Christ.|Felix is a believing Christian.
3523|3423|interj|hi||Hi, lange nicht gesehen, mein Freund!|hi|hi|Hi, long time no see, my friend!|interjection|Hi, wie geht’s dir?|Hi, how are you?
3524|3424|verb|schleppen|schleppen, schleppt, schleppte, hat geschleppt|Er schleppt die Kisten in den Keller.|to tow, drag|to drag|He drags the boxes into the basement.|verb|Mein kleiner Sohn schleppt seinen großen Koffer ganz allein.|My little son drags his big suitcase all by himself.
3525|3425|der|der Treffer|die Treffer|Der Treffer im Tor entschied das Spiel.|hit, goal|goal|The goal decided the game.|noun|Der Spieler erzielt zwei Treffer während des Spiels.|The player scores two goals during the game.
3526|3426|der|der Helfer|die Helfer|Der Helfer brachte die Kisten ins Haus.|helper, accomplice|helper|The helper brought the boxes into the house.|noun|Der Verein ist immer auf der Suche nach freiwilligen Helfern.|The association is always looking for voluntary helpers.
3527|3427|der|der Vizepräsident|die Vizepräsidenten|Der Vizepräsident sprach gestern.|vice president|vice president|The vice president spoke yesterday.|noun|Wenn der Präsident zurücktritt, übernimmt der Vizepräsident seine Stelle.|If the president resigns, the vice president takes his place.
3528|3428|die|die Haustür|die Haustüren|Die Haustür ist abgeschlossen.|front door|front door|The front door is locked.|noun|Mein Nachbar klingelt an der Haustür.|My neighbor rings at the front door.
3529|3429|die|die Landesregierung|die Landesregierungen|Die Landesregierung tagt heute.|state government|state government|The state government meets today.|noun|Die Landesregierung stellt für das Projekt eine Million Euro bereit.|The state government is providing one million euros for the project.
3530|3430|adj|aggressiv||Sein Ton war ziemlich aggressiv.|aggressive|aggressive|His tone was quite aggressive.|adjective|Der Polizei gelingt es, den aggressiven Mann zu beruhigen.|The police manage to calm the aggressive man down.
3531|3431|adj|definitiv||Die Zusage ist jetzt definitiv.|definite, definitive|definitive|The approval is now definitive.|adjective|Frau Schwarz erwartet eine definitive Entscheidung bis morgen.|Mrs. Schwarz expects a definitive decision by tomorrow.
3532|3432|verb|locken|locken, lockt, lockte, hat gelockt|Er lockt die Katze mit Futter.|to lure, tempt|to lure|He lures the cat with food.|verb|Das tolle Wetter lockt die Menschen in den Park.|The great weather lures people into the park.
3533|3433|verb|löschen|löschen, löscht, löschte, hat gelöscht|Er löschte das Feuer mit Wasser.|to put out, delete|to put out|He put out the fire with water.|verb|Die Feuerwehr löscht das Feuer.|The fire department’s putting out the fire.
3534|3434|die|die Mahlzeit|die Mahlzeiten|Die Mahlzeit schmeckte allen gut.|meal|meal|The meal tasted good to everyone.|noun|Mein Mann kocht gerne gesunde Mahlzeiten.|My husband likes to cook healthy meals.
3535|3435|prep|samt||Er kam samt Familie zur Feier.|together with, along with|along with|He came to the celebration along with his family.|preposition|Er wirft den Schrank samt Inhalt auf den Müll.|He throws the cupboard along with its contents into the trash.
3536|3436|verb|vollziehen|vollziehen, vollzieht, vollzog, hat vollzogen|Das Ritual wurde still vollzogen.|to carry out, administer, take place|to carry out|The ritual was carried out quietly.|verb|In den ersten Lebensjahren eines Kindes vollziehen sich wesentliche körperliche und geistige Entwicklungsschritte.|In the first years of a child’s life, essential physical and mental development steps take place.
3537|3437|die|die Wiederholung|die Wiederholungen|Die Wiederholung hilft beim Lernen.|repetition|repetition|Repetition helps with learning.|noun|Die Wiederholung des Experiments bringt ein anderes Ergebnis.|The repetition of the experiment brings a different result.
3538|3438|verb|aufbringen|aufbringen, bringt auf, brachte auf, hat aufgebracht|Sie brachte das Geld schnell auf.|to raise, find|to raise|She quickly raised the money.|verb|Die Schule bringt Mittel auf, um neue Bücher zu kaufen.|The school is raising funds to buy new books.
3539|3439|adv|einigermaßen||Das Essen war einigermaßen gut.|somewhat, fairly, reasonably|reasonably|The food was reasonably good.|adverb|Es geht Opa einigermaßen gut, aber er ist immer noch im Krankenhaus.|Grandpa’s doing reasonably well, but he’s still in the hospital.
3540|3440|die|die Mitteilung|die Mitteilungen|Die Mitteilung kam unerwartet.|communication, announcement|announcement|The announcement came unexpectedly.|noun|Wir erhalten eine wichtige Mitteilung von unserem Chef.|We’re receiving an important announcement from our boss.
3541|3441|das|das Praktikum|die Praktika|Das Praktikum dauerte drei Monate.|internship|internship|The internship lasted three months.|noun|Mein Praktikum hilft mir, praktische Fähigkeiten zu gewinnen.|My internship helps me to gain practical skills.
3542|3442|verb|verzeichnen|verzeichnen, verzeichnet, verzeichnete, hat verzeichnet|Die Statistik verzeichnet einen Anstieg.|to list, record|record|The statistics record an increase.|verb|Das Unternehmen verzeichnet einen kontinuierlichen Anstieg des Gewinns.|The company records a continuous increase in profits.
3543|3443|die|die Vorsicht||Vorsicht ist besser als Nachsicht.|caution|caution|Caution is better than regret.|noun|Vorsicht beim Verzehr von selbst gesammelten Pilzen!|Be careful when eating privately collected mushrooms!
3544|3444|die|die Auskunft|die Auskünfte|Können Sie mir diese Auskunft geben?|information|information|Can you provide me with that information?|noun|Der Mann an der Kasse gibt mir Auskunft über die Veranstaltungen.|The man at the checkout gives me information about the events.
3545|3445|der|der Bezirk|die Bezirke|Der Bezirk wurde modernisiert.|district|district|The district was modernized.|noun|Sein Büro ist im westlichen Bezirk der Stadt.|His office is in the western district of the city.
3546|3446|der|der Bogen|die Bogen|Der Bogen des Regenbogens war prächtig.|bow, arc, sheet|arc|The arc of the rainbow was magnificent.|noun|Der Ball fliegt im hohen Bogen und landet im See.|The ball flies in a high arc and lands in the lake.
3547|3447|die|die Entdeckung|die Entdeckungen|Die Entdeckung veränderte alles.|discovery|discovery|The discovery changed everything.|noun|Marie Curies Erfolg war die Entdeckung des chemischen Elements Radium.|Marie Curie’s success was the discovery of the chemical element radium.
3548|3448|die (pl)|die Ferien (pl)|die Ferien (pl)|Die Ferien enden in zwei Wochen.|school break, vacation|school break|The school break ends in two weeks.|noun|Im Sommer haben die Kinder sechs Wochen Ferien.|In the summer the children have six weeks of vacation.
3549|3449|der|der General|die Generale|Der General führte die Truppen an.|general|general|The general led the troops.|noun|Er ist kein normaler Soldat, sondern ein General.|He’s not a regular soldier, he’s a general.
3550|3450|die|die Messe|die Messen|Die Messe zog viele Besucher an.|(trade) fair, mass|(trade) fair|The trade fair attracted many visitors.|noun|Jedes Jahr gibt es in Leipzig eine große Messe für Bücher.|Every year there is a large book fair in Leipzig.
3551|3451|verb|scheiden|scheiden, scheidet, schied, hat geschieden|Sie beschlossen schließlich zu scheiden.|to separate, divorce|to divorce|They decided to divorce finally.|verb|Ihre Eltern wollen sich scheiden lassen.|Her parents want to get a divorce.
3552|3452|verb|schlucken|schlucken, schluckt, schluckte, hat geschluckt|Er schluckt die Tablette mit Wasser.|to swallow|to swallow|He swallows the pill with water.|verb|Jeden Abend muss er eine Tablette schlucken.|Every evening he has to swallow a pill.
3553|3453|adj|südlich||Die südliche Stadt war warm und sonnig.|southern|southern|The southern city was warm and sunny.|adjective|Zimbabwe und Zambia sind Länder des südlichen Afrika.|Zimbabwe and Zambia are countries of southern Africa.
3554|3454|verb|zurücklegen|zurücklegen, legt zurück, legte zurück, hat zurückgelegt|Er legte eine lange Strecke zurück.|to put back, put aside, cover (distance)|cover (distance)|He covered a long distance.|verb|Sie legen jeden Tag 30 Kilometer zu Fuß zurück.|They cover 30 kilometers on foot every day.
3555|3455|verb|anordnen|anordnen, ordnet an, ordnete an, hat angeordnet|Der Manager hat ein Treffen angeordnet.|to order, arrange|to arrange|The manager arranged a meeting.|verb|Der Chef ordnet an, dass seine Kollegen um acht Uhr im Büro sein müssen.|The boss orders his colleagues to be at the office at eight o’clock.
3556|3456|verb|beibringen|beibringen, bringt bei, brachte bei, hat beigebracht|Er brachte den Kindern das Rechnen bei.|to teach|to teach|He taught the children arithmetic.|verb|Der Fischer bringt seinem Sohn das Fischen bei.|The fisherman teaches his son how to fish.
3557|3457|verb|bevorstehen|bevorstehen, steht bevor, stand bevor, hat bevorgestanden|Die Prüfung steht in zwei Tagen bevor.|to lie ahead, be imminent|to be imminent|The exam is imminent in two days.|verb|Nach dem Tod der Mutter stehen der Familie schwierige Zeiten bevor.|After the mother’s death, difficult times lie ahead for the family.
3558|3458|der|der Chemiker|die Chemiker|Der Chemiker arbeitet im Labor.|chemist|chemist|The chemist works in the lab.|noun|Die Chemikerin arbeitet mit gefährlichen Substanzen.|The chemist works with dangerous substances.
3559|3459|die|die Erscheinung|die Erscheinungen|Die Erscheinung wirkte mysteriös.|phenomenon, appearance|phenomenon|The phenomenon seemed mysterious.|noun|Er legt Wert auf seine äußere Erscheinung.|He attaches great importance to his appearance.
