|frequency_rank|part_of_speech_short|word_de|word_forms_de|sentence_de|word_translations_en|word_en|sentence_en|part_of_speech|sentence_original_de|sentence_original_en|sentence_lemmatized_de
0|1|art|die|der, die, das|Die Zellen im Körper haben unterschiedliche Funktionen.|the|the|The cells in the body have different functions.|article|Der Mann und die Frau kochen, das Kind spielt.|The man and the woman are cooking; the child is playing.|der;Zelle;in;Körper;haben;unterschiedlich;Funktion
1|1|pron|der|der, die, das|Der, der immer lacht, wird bald aufhören.|the one, that, those, the ones|the one|The one who always laughs will stop soon.|pronoun|Das ist der Mann, den ich liebe.|That’s the man I love.|der;der;immer;lachen;werden;bald;aufhören
1.001|1|pron|der|der, die, das|Der Mann, der dort steht, ist mein Nachbar.|the one, that, those, the ones|that|The man that is standing there is my neighbor.|pronoun|Das ist der Mann, den ich liebe.|That’s the man I love.|der;Mann;der;dort;stehen;sein;mein;Nachbar
1.002|1|pron|der|der, die, das|Ich habe all die Bücher gesehen, die du magst.|the one, that, those, the ones|those|I saw all those books you like.|pronoun|Das ist der Mann, den ich liebe.|That’s the man I love.|ich;haben;all;der;Buch;sehen;der;du;magen
1.003|1|pron|der|der, die, das|Ich habe die genommen, die am billigsten waren.|the one, that, those, the ones|the ones|I took the ones that were the cheapest.|pronoun|Das ist der Mann, den ich liebe.|That’s the man I love.|ich;haben;der;nehmen;der;am;billig;sein
2|1|pron|der|der, die, das|Der Künstler, der das Gemälde erschuf, ist berühmt.|who, that|who|The artist who created the painting is famous.|pronoun|Dort steht das Mädchen, das mit mir zur Schule geht.|There’s the girl who goes to school with me.|der;Künstler;der;der;Gemälde;erschuf;sein;berühmt
2.001|1|pron|der|der, die, das|Der Baum, der gefällt wurde, war sehr alt.|who, that|that|The tree that was cut down was very old.|pronoun|Dort steht das Mädchen, das mit mir zur Schule geht.|There’s the girl who goes to school with me.|der;Baum;der;fällen;werden;sein;sehr;alt
3|2|conj|und||Er liebt es, zu reisen und neue Kulturen zu entdecken.|and|and|He loves to travel and discover new cultures.|conjunction|Die Eltern und Kinder essen und sprechen über ihren Tag.|The parents and children eat and talk about their day.|er;lieben;es;zu;reisen;und;neu;Kultur;zu;entdecken
4|3|prep|in||Ich werde heute in der Bibliothek arbeiten.|in|in|I will work in the library today.|preposition|Günter geht in den Keller.|Günter goes into the basement.|ich;werden;heute;in;der;Bibliothek;arbeiten
5|4|aux|sein (Vergangenheitsform)|sein, ist, war, ist gewesen|Er war gestern krank und blieb zu Hause.|(past tense)|(past tense)|He was sick yesterday and stayed home.|auxiliary verb|Janosch ist heute Morgen in die Schule gefahren.|Janosch went to school this morning.|er;sein;gestern;krank;und;bleiben;zu;Haus
6|4|verb|sein|sein, ist, war, ist gewesen|Es ist schwer, alles gleichzeitig zu tun.|to be|to be|It is hard to do everything at once.|verb|Ich bin Lehrer und du bist Polizist und damit sind wir glücklich.|I’m a teacher, and you’re a police officer, and we’re happy with that.|es;sein;schwer;alle;gleichzeitig;zu;tun
7|5|art|ein|eine, einer, eines|Ich trinke jeden Morgen ein schwarzes Getränk.|a, an|a|I drink a black beverage every morning.|article|Er wohnt in einem Hotel.|He’s staying at a hotel.|ich;trinken;jeder;Morgen;ein;schwarz;Getränk
7.001|5|art|ein|eine, einer, eines|Er hat ein sehr interessantes Buch über Architektur.|a, an|an|He has an interesting book on architecture. |article|Er wohnt in einem Hotel.|He’s staying at a hotel.|er;haben;ein;sehr;interessant;Buch;über;Architektur
8|5|pron|einer|eine, einer, eines|Sie ist eine der klügsten Studentinnen, die ich kenne.|one (of)|one of|She is one of the smartest students I know.|pronoun|Eines der Kinder hat sich beim Spielen verletzt.|One of the children was injured while playing.|sie;sein;einer;der;klüg;Studentin;der;ich;kennen
9|6|aux|haben (Vergangenheitsform)|haben, hat, hatte, hat gehabt|Ich habe die Aufgabe schon erledigt, keine Sorge.|(past tense)|(past tense)|I already did the task, don’t worry.|auxiliary verb|Sie hat sich gestern einen Film angesehen.|She was watching a movie yesterday.|ich;haben;der;Aufgabe;schon;erledigen;kein;Sorge
10|6|verb|haben|haben, hat, hatte, hat gehabt|Wir haben noch keine konkreten Ergebnisse erzielt.|to have|to have|We haven't achieved any concrete results yet. |verb|Ich habe ein Buch in der Hand.|I have a book in my hand.|wir;haben;noch;kein;konkret;Ergebnis;erzielen
11|7|pron|sie||Sie geht heute mit ihren Freunden ins Kino.|she, her|she|She is going to the cinema with her friends today.|pronoun|Paul besucht Anna, sie ist Pauls Tante.|Paul visits Anna; she’s Paul’s aunt.|sie;gehen;heute;mit;ihr;Freund;in;Kino
11.001|7|pron|sie||Sie erklärte ihr die Ergebnisse der Untersuchung.|she, her|her|She explained the results of the study to her.|pronoun|Paul besucht Anna, sie ist Pauls Tante.|Paul visits Anna; she’s Paul’s aunt.|sie;erklären;ihr;der;Ergebnis;der;Untersuchung
12|7|pron|sie||Sie haben das neue Restaurant ausprobiert.|they, them|they|They tried the new restaurant.|pronoun|Petra und Klaus kochen, sie bekommen Besuch.|Petra and Klaus are cooking; they have a visitor.|sie;haben;der;neu;Restaurant;ausprobieren
12.001|7|pron|sie||Ich habe sie nicht gehört, als sie riefen.|they, them|them|I didn’t hear them when they called.|pronoun|Petra und Klaus kochen, sie bekommen Besuch.|Petra and Klaus are cooking; they have a visitor.|ich;haben;sie;nicht;hören;als;sie;rufen
