1558|zurückgehen, geht zurück, ging zurück, ist zurückgegangen|Er geht zu seinen Eltern zurück.
1734|freiwillig|Freiwillige Helfer arbeiteten hart.
1846|sämtlich|Sämtliche Tickets sind ausverkauft.
1859|die DNA (DNS, Desoxyribonukleinsäure)|Die DNA-Analyse brachte Klarheit.
1900|die Falle|Die Falle wurde geschickt gestellt.
1903|einander|Sie haben sich ineinander verliebt.
1917|ausgerechnet|Ausgerechnet jetzt fehlt mir die Zeit.
1921|-jährig|Er ist ein zwanzigjähriger Mann.
1991|das Wunder|Das Wunder ereignete sich plötzlich.
1993|irgendwelche (r, s)|Irgendwelche Probleme gab es immer.
2020|der Russe|Der Russe spricht fließend Deutsch.
2037|mittels|Mittels Technik lösten wir das Problem.
2273|der Schlag|Der Schlag traf ihn völlig unerwartet.
2357|der Stock|Das Büro ist im dritten Stockwerk.
2363|moralisch|Moralische Fragen wurden besprochen.
2394|genetisch|Genetische Merkmale beeinflussen vieles.
2402|die Zeile|Schreib eine Zeile in das Buch.
2416|zukünftig|Zukünftige Projekte sind geplant.
2527|sauer|Der saure Apfel schmeckt mir nicht.
2556|verdammt|Der verdammte Lärm störte mich.
2706|der Zeuge|Der Zeuge sagte im Prozess aus.
2769|die Flüchtlingskrise|Die Flüchtlingskrise spaltet die Nation.
2805|die Dichte|Die Dichte des Waldes nahm zu.
2879|schade|Schade, dass du nicht kommen kannst.
2880|die Scheibe|Die Scheibe des Fensters war zerbrochen.
2939|das Gewebe|Das Gewebe dehnte sich unter Druck.
2949|das Zuhause|Sein Zuhause ist sehr gemütlich.
2999|der Buchstabe|Der Buchstabe war kaum lesbar.
3039|peinlich|Peinliche Stille breitete sich aus.
3056|divers|Die diverse Gruppe diskutierte lebhaft.
3060|ausgeprägt|Sie hat ein ausgeprägtes Talent gezeigt.
3063|die Berücksichtigung|Berücksichtige alle Vorschläge bitte.
3102|professionell|Professionelle Berater bieten Lösungen.
3117|schief|Das schiefe Regal drohte umzufallen.
3170|die Platte|Die Platte auf dem Tisch war aus Holz.
3223|benachbart|Das benachbarte Dorf ist klein.
3226|hintere (r, s)|Der hintere Eingang ist verschlossen.
3261|qualitativ|Qualitativer Service spart Ressourcen.
3280|vordere|Der vordere Sitz ist bequemer.
3288|die Fettsäure|Diese Fettsäure ist besonders gesund.
3303|die Kiste|In der Kiste lag altes Spielzeug.
3309|quantitativ|Quantitative Daten allein reichen nicht.
3353|die Veröffentlichung|Veröffentlichen Sie das Buch bald.
3384|die Spalte|Die Spalte im Felsen war tief.
3387|die Jacke|Die Jacke hält mich warm im Winter.
3422|fix|Er fand eine fixe Lösung fürs Problem.
3495|gespannt|Er ist gespannt auf die Nachricht.
3511|psychologisch|Psychologische Beratung kann helfen.
3525|der Treffer|Der Treffer im Tor entschied das Spiel.
3621|die Flamme|Die Flamme brannte lichterloh.
3703|verehrt|Der verehrte Lehrer hielt eine Rede.
3709|das Möbel|Das Möbelstück passte perfekt.
3719|irgend|Er fragt irgendjemanden nach dem Weg.
3826|vermehrt|Vermehrter Regen verzögert den Verkehr.
3918|die Airline|Die Airline hat neue Flugzeuge bestellt.
3923|der Nacken|Der Nacken schmerzte nach dem Training.
3948|materiell|Materieller Besitz ist vergänglich.
3970|die Schlagzeile|Die Schlagzeile sorgte für Aufsehen.
3978|blass|Das blasse Gesicht erschreckte uns.
4045|die Schale|Die Schale ist aus Ton gefertigt.
4067|der Daumen|Der Daumen war stark verletzt.
4092|verwandt|Die verwandte Familie kam zu Besuch.
4156|lauter|Er hat lauter Fehler im Diktat.
4185|der Keks|Der Keks schmeckte nach Zimt und Zucker.
4190|live|Das live Konzert war beeindruckend!
4205|die Geliebte|Er schrieb seiner Geliebten einen Brief.
4207|die Hüfte|Die Hüfte schmerzt beim Gehen.
4217|der Türke|Der Türke verkauft leckere Früchte.
4228|die Blüte|Die Blütezeit ist im Frühling.
4255|einverstanden|Ich bin mit dem Plan einverstanden.
4289|geschickt|Geschickte Hände bauten dieses Haus.
4322|die Terrasse|Sie sitzen gern auf der Terrasse.
4363|der Genosse|Der Genosse steht treu zur Partei.
4378|die Gasse|Die Gasse führte zur alten Kirche.
4387|die Fremde|Der Fremde fragt nach dem Weg.
4393|vorzeitig|Vorzeitiger Start gab mehr Spielraum.
4452|behindert|Er hilft seinem behinderten Bruder.
4528|seitens|Seitens der Regierung gab es Kritik.
4540|der Kongress|Der Kongress fand in Berlin statt.
4552|innovativ|Innovative Ideen führten zum Erfolg.
4632|die Kabine|Die Kabine bietet Platz für zwei.
4670|das TV|Das TV-Programm ist heute langweilig.
4686|die Reichweite|Die Reichweite des Senders ist groß.
4770|das Halbfinale|Das Halbfinale war extrem spannend.
4827|der Pole|Der Pole gewann das Schachturnier.
4845|der Affe|Der Affe kletterte auf den Baum.
4878|die Hauptsache|Die Hauptsache wurde erledigt.
4887|der Urgroßvater|Der Urgroßvater erzählt Geschichten.
4928|die Dose|Die Dose ist schwer zu öffnen.
5107|die Tablette|Er nahm die Tablette nach dem Essen.
63|kein|Keiner hat heute die Aufgabe erledigt.
124|lang|Er sprach stundenlang über das Thema.
224|etwa|Das ist eben nicht so einfach.
839|eins|Eins ist die kleinste natürliche Zahl.
1362|außen|Die äußere Schicht schützt das Innere.
