|word_meanings_en
371|thing
372|famous
374|to climb
451|to remind
473|above
501|also
537|close to
629|relative
641|additional
655|gratefulness
667|whereby
698|simultaneous
747|to serve
787|to receive
792|apparent
829|someday
845|use
901|both
910|to tie
944|method
975|type
984|conscious
1031|to allow
1079|existing
1111|to rule
1158|theater
1264|(of) Berlin
1304|to provoke
1359|figure
1363|district
1371|to do without
1406|to produce
1428|to strengthen
1458|foreign countries
1534|approximately
1555|before
1570|to have sth at one’s disposal
1586|double
1614|trade
1617|to allow
1628|course
1796|to take part
1827|off
1863|in time
1873|physical
1885|to hike
1913|to hire
1962|optimum
1974|inc.
2005|to intend
2037|by means of
2215|to stop
2233|to tell
2240|to lie
2330|especially
2461|to pick up
2465|to trust
2466|role model
2571|action
2621|to bend
2630|unclear
2744|hall
2751|so
2792|afterwards
2793|to pass into
2801|national division
2841|native
2858|alternatively
2952|to exceed
2962|repeatedly
2990|to provide
3011|consistent
3031|to tie
3049|respect
3050|to reconcile
3063|consideration
3068|to remove
3072|if
3083|relaxed
3087|permanent
3128|point of view
3130|work of art
3145|to pass
3162|from time to time
3175|to look
3200|to furnish
3290|to go down
3319|Armed Forces
3353|publication
3369|onto one another
3418|harmonious
3436|aesthetic
3445|to terminate
3492|the basis
3497|for hours
3555|to arrange
3561|afterwards
3581|problem
3602|to be certain
3665|musical
3690|starting point
3709|furniture
3719|some
3744|shaping
3784|to install
3800|to change
3823|liability
3828|to proceed
3829|to go through
3830|to dictate
3831|to dare
3832|offside
3849|to provoke
3853|to join
3871|detailed
3898|to withdraw
3935|trend
3998|to obtain
3999|to close
4001|pool
4051|to network
4072|reason
4074|to notice
4080|ratio
4135|Mediterranean
4152|daily
4187|one another
4228|blossom
4231|final
4252|to continue
4255|in agreement
4271|to be missing
4345|survey
4388|to be liable
4413|to comply
4469|probable
4501|to transport
4502|speaker
4522|elastic
4602|funny
4614|economics
4616|to lie down
4628|to go through
4664|to create
4668|to decrease
4679|nowhere
4694|sanitary
4724|to arm
4817|to develop
4834|to exploit
4842|to blast
4862|to design
4886|to broach the issue
4929|to wake
4966|to enact
4978|to strike
4657|to sting
5|(past tense)
9|(past tense)
14|(future tense)
15|(passive voice)
22|-self
43|so
110|to stand
112|every
130|few
149|with it
235|to name
275|therefore
328|love to
338|to learn
343|on it
547|to be correct
813|therefore
970|to sink
1000|indifferent
1587|to determine
2879|pity
2880|disk
3093|to lean
3163|to slide
3509|carrying out
3546|arc
4390|to err
4477|state security service
