|part_of_speech|word_de|word_meanings_en|sentence_en|sentence_de
239|pron|darauf, drauf|on it, to it|I rely on what he says.|Ich verlasse mich darauf, was er sagt.
259|pron|davon|from it, about it, thereof|He knows nothing about it.|Er hat bisher nichts davon gehört.
330|adj|bestimmt|special, certain|That is a certain fact.|Das ist eine bestimmte Tatsache.
351|verb|handeln, handelt, handelte, hat gehandelt|to deal, trade|They deal in rare books.|Sie handeln mit seltenen Büchern.
565|verb|ansehen, sieht an, sah an, hat angesehen|to look at, watch|They watched the new movie.|Sie sahen sich den neuen Film an.
573|adj|völlig|completely, absolutely|He was completely exhausted after the run.|Er war völlig erschöpft nach dem Lauf.
576|pron|darum|around it, therefore|Therefore, I left the room.|Darum habe ich den Raum verlassen.
669|verb|reichen, reicht, reichte, hat gereicht|to reach, be enough|That will be enough.|Das wird auf jeden Fall reichen.
740|verb|funktionieren, funktioniert, funktionierte, hat funktioniert|to function, work|The machine works perfectly.|Die Maschine funktioniert perfekt.
751|verb|stecken, steckt, steckte, hat gesteckt|to put, be located|She put the note in her pocket.|Sie steckte den Zettel in die Tasche.
796|verb|angeben, gibt an, gab an, hat angegeben|to claim, declare, show off|He always shows off his car.|Er gibt immer mit seinem Auto an.
1030|verb|eingehen, geht ein, ging ein, ist eingegangen|to mention, discuss, react to, cater|He didn’t react to the offer.|Er ging auf das Angebot nicht ein.
1102|der|der Schluss|end, conclusion|That’s the conclusion of the book.|Das ist der Schluss des Buches.
1157|verb|einstellen, stellt ein, stellte ein, hat eingestellt|to adjust, employ, stop, discontinue|He adjusted the settings.|Er stellte die Einstellungen ein.
1203|verb|ermitteln, ermittelt, ermittelte, hat ermittelt|to find out, investigate|They investigated the case.|Sie ermittelten in diesem Fall.
1321|verb|gründen, gründet, gründete, hat gegründet|to establish, found|They founded the company.|Sie gründeten eine neue Firma.
1368|verb|schätzen, schätzt, schätzte, hat geschätzt|to estimate, value|I value your opinion.|Ich schätze deine Meinung sehr.
1386|verb|betreiben, betreibt, betrieb, hat betrieben|to proceed with, operate, run|He operates a small shop.|Er betreibt einen kleinen Blumenladen.
1422|verb|begreifen, begreift, begriff, hat begriffen|to understand, grasp|She grasped the idea.|Sie begriff diese neue Idee sofort.
1430|adj|sinnvoll|sensible, meaningful|It’s a meaningful task.|Es ist eine sinnvolle Aufgabe.
1433|der|der Stand|stand, stage|He reached the next stage.|Er erreichte den nächsten Stand.
1475|verb|festhalten, hält fest, hielt fest, hat festgehalten|to hold on to, detain|She held onto his arm.|Sie hielt seinen Arm sehr fest.
1512|verb|anziehen, zieht an, zog an, hat angezogen|to attract, put on, dress|She put on her red dress.|Sie zog ihr rotes Kleid elegant an.
1550|die|die Karte|card, ticket, menu|I have already paid for the ticket.|Ich habe die Karte schon bezahlt.
1555|pron|davor|before, in front of|I am afraid to speak.|Ich habe Angst davor, zu sprechen.
1570|verb|verfügen, verfügt, verfügte, hat verfügt|to have sth at one’s disposal, be in charge|He has resources available.|Er verfügt über viele Ressourcen.
1587|verb|festlegen, legt fest, legte fest, hat festgelegt|to determine, fix, lay down|They fixed the rules.|Sie legten die Regeln sofort fest.
1594|verb|vermuten, vermutet, vermutete, hat vermutet|to assume, suspect|They assumed the worst.|Sie vermuteten das Schlimmste.
1660|verb|tauchen, taucht, tauchte, ist getaucht|to dive, dip|The duck dipped underwater.|Die Ente tauchte plötzlich ab.
1669|verb|beachten, beachtet, beachtete, hat beachtet|to pay attention, observe|He observed the traffic rules.|Er hat alle Verkehrsregeln beachtet.
1692|verb|senken, senkt, senkte, hat gesenkt|to sink, lower, decrease|They lowered the prices.|Sie haben die Preise deutlich gesenkt.
1696|der|der Umgang|dealings, contact|Dealing with him is difficult.|Der Umgang mit ihm ist schwierig.
1785|die|die Branche|sector, line of business|The sector is growing fast.|Die Branche wächst aktuell sehr stark.
1967|verb|befragen, befragt, befragte, hat befragt|to ask, question|They questioned the witness.|Sie befragten den Zeugen sehr genau.
1974|die|die AG (Aktiengesellschaft)|incorporated company, inc.|The company is profitable.|Die AG ist jetzt sehr profitabel.
2604|verb|unterliegen, unterliegt, unterlag, hat unterlegen|to be defeated, be subject|He was defeated in the match.|Er unterlag leider im letzten Spiel.
2916|verb|auskommen, kommt aus, kam aus, ist ausgekommen|to get by, get on, manage|They manage with little.|Sie kommen mit wenig Geld aus.
3073|verb|anstreben, strebt an, strebte an, hat angestrebt|to aim at, strive (for), aspire to|She strives for success every day.|Sie strebt täglich nach Erfolg an.
3075|verb|einigen, einigt, einigte, hat geeinigt|to unite, agree|They agreed on a plan.|Sie einigten sich auf einen Plan.
3108|verb|vertreiben, vertreibt, vertrieb, hat vertrieben|to drive out, sell|They sold many products.|Sie vertrieben viele Produkte.
3158|verb|begehen, begeht, beging, hat begangen|to commit, make, celebrate|He committed a mistake.|Er beging einen großen Fehler.
3186|verb|auffordern, fordert auf, forderte auf, hat aufgefordert|to ask, request|She was asked to leave.|Sie wurde aufgefordert zu gehen.
3192|das|das Stichwort|cue, key word|The key word is missing.|Das Stichwort fehlt in deinem Text.
3283|verb|schweben, schwebt, schwebte, ist geschwebt|to float, hover, be in the balance|The balloon hovered in air.|Der Ballon schwebte sanft in der Luft.
3397|verb|verdeutlichen, verdeutlicht, verdeutlichte, hat verdeutlicht|to clarify, explain|He clarified his point.|Er verdeutlichte seinen Standpunkt.
3406|adj|fett|fat, greasy, rich|The sauce was very greasy.|Die Soße war wirklich fett und ölig.
3551|verb|scheiden, scheidet, schied, hat geschieden|to separate, divorce|They decided to divorce finally.|Sie beschlossen schließlich zu scheiden.
3566|der|der Bestand|continuation, stock, supply|The stock is now available again.|Der Bestand ist jetzt wieder da.
3576|verb|nachfragen, fragt nach, fragte nach, hat nachgefragt|to ask (sb), inquire|She inquired about it.|Sie hat immer danach nachgefragt.
