|part_of_speech|word_de|sentence_de|word_en|sentence_en
26|adv|auch|Er ist auch am Wochenende beschäftigt.|also, too|He is also busy on the weekend.
40|pron|ihr|Habt ihr schon das neue Buch gelesen?|you, her|Have you already read the new book?
47|part|aber|Aber sicher kommt er heute noch.|but|But surely he is still coming today.
48|pron|man|Man sollte immer ehrlich sein.|one, you, they|One should always be honest.
63|pron|kein|Keiner hat heute die Aufgabe erledigt.|no|No one completed the task today.
80|part|schon|Das ist schon eine gute Idee, oder?|really|That’s really a good idea, isn’t it?
84|pron (relexive, in accusative case)|mich|Ich habe mich für den Job beworben.|me|I applied for the job.
90|part|ganz|Das war ganz anders als erwartet.|quite|That was quite different than expected.
97|pron|uns|Wir treffen uns morgen um acht Uhr.|us, we|We are meeting tomorrow at eight o'clock.
158|verb|heißen, heißt, hieß, hat geheißen|Er heißt Max und wohnt in Berlin.|to be called|He is called Max and lives in Berlin.
164|part|einfach|Das war einfach nicht das Richtige.|simply|That simply wasn’t the right thing.
165|adv|erst|Sie kam erst um Mitternacht nach Hause.|first, only, not until|She didn’t come home until midnight.
180|adv|vielleicht|Vielleicht sehen wir uns nächste Woche.|perhaps, maybe|Perhaps we’ll see each other next week.
181|part|vielleicht|Das war vielleicht ein Abenteuer!|quite|That was quite an adventure!
188|adv|eigentlich|Eigentlich wollte ich früher kommen.|actually|Actually, I wanted to come earlier.
189|part|eigentlich|Er sollte eigentlich schon hier sein.|actually|He should actually be here already.
237|verb|ziehen, zieht, zog, hat gezogen|Er zog die Tür leise hinter sich zu.|to pull, move|He quietly pulled the door shut behind him.
264|die|die Woche|Die Woche ging sehr schnell vorbei.|week|The week passed very quickly.
267|das|das Auge|Sie hat ein blaues Auge nach dem Sturz.|eye|She got a black eye after the fall.
270|adv|allerdings|Allerdings war die Entscheidung richtig.|though, indeed, certainly|Indeed, the decision was correct.
280|verb|arbeiten, arbeitet, arbeitete, hat gearbeitet|Er arbeitet seit Jahren in dieser Firma.|to work|He has been working at this company for years.
281|das|das Geld|Ich habe mein ganzes Geld ausgegeben.|money|I spent all my money.
287|das|das Paar|Das Paar ging zusammen durch den Park.|pair, couple|The couple walked together through the park.
291|part|recht|Das ist recht kompliziert, aber machbar.|rather, quite|That is rather complicated, but doable.
295|verb|bestehen, besteht, bestand, hat bestanden|Er hat die schwierige Prüfung bestanden.|to exist, insist, pass (an exam)|He passed the difficult exam.
310|adv|wohl|Wohl vorbereitet, ging er zur Prüfung.|well|Well prepared, he went to the exam.
326|die|die Stunde|Die Stunde verging viel zu schnell.|hour|The hour passed far too quickly.
351|verb|handeln, handelt, handelte, hat gehandelt|Er handelt mit Antiquitäten aus Europa.|to deal, trade|He deals in antiques from Europe.
359|die|die Form|Die Form des Gebäudes ist sehr modern.|form, shape|The shape of the building is very modern.
377|die|die Minute|Er kam nur fünf Minuten zu spät.|minute|He was only five minutes late.
385|pron|dessen|Das ist der Mann, dessen Buch du liest.|whose|That’s the man whose book you’re reading.
399|die|die Stelle|An dieser Stelle hatte ich einen Unfall.|place|At this place, I had an accident.
402|die|die Entwicklung|Die Entwicklung der Stadt dauert Jahre.|development|The development of the city takes years.
409|pron|daher|Daher habe ich es doch gemacht.|from, there, therefore|Therefore, I went ahead and did it.
415|pron|darin, drin, drinnen|Darin steckt das Geheimnis ihrer Kraft.|in it, in there, inside|In it lies the secret of her strength.
422|verb|treten, tritt, trat, hat getreten|Er trat vorsichtig über die Schwelle.|to step|He carefully stepped over the threshold.
446|die|die Straße|Die Straße war nach dem Regen ganz nass.|street|The street was completely wet after the rain.
467|das|das Pro|Das Pro wurde im Meeting erwähnt.|pro|The pro was mentioned in the meeting.
514|die|die Kraft|Sie hat nicht genug Kraft, das zu heben.|strength, power|She doesn’t have enough strength to lift it.
524|die|die Weise|Auf diese Weise lernt man schneller.|way, manner|In this way, one learns faster.
532|der|der Markt|Der Markt öffnet jeden Morgen um 8 Uhr.|market|The market opens every morning at 8 o'clock.
546|die|die Struktur|Die Struktur des Gebäudes ist stabil.|structure|The structure of the building is stable.
547|verb|stimmen, stimmt, stimmte, hat gestimmt|Ja, das stimmt, ich habe es auch gehört.|to be correct, vote, tune|Yes, that’s correct, I heard it too.
578|die|die Menge|Die Menge an Arbeit war zu hoch.|quantity, amount|The amount of work was too high.
579|die|die Regierung|Die Regierung plant neue Maßnahmen.|rule, government, throng|The government is planning new measures.
580|die|die Antwort|Die Antwort auf die Frage war einfach.|answer, reply|The answer to the question was simple.
675|part|am|Er war am besten im ganzen Team.|the (+superlative)|He was the best in the whole team.
678|die|die Erfahrung|Er sammelte viel Erfahrung im Beruf.|experience|He gained a lot of experience in his job.
684|das|Bayern|In Bayern gibt es schöne Seen.|Bavaria|There are beautiful lakes in Bavaria.
691|verb|wünschen, wünscht, wünschte, hat gewünscht|Er wünscht sich ein neues Fahrrad.|to want, wish|He wishes for a new bicycle.
712|das|das Molekül|Das Molekül besteht aus mehreren Atomen.|molecule|The molecule consists of several atoms.
720|adv|los|Was ist hier los, warum schreien sie?|rid of, going on|What’s going on here, why are they screaming?
735|adv|beispielsweise, bspw.|Beispielsweise mag er keine Hunde.|for example, such as|For example, he doesn’t like dogs.
740|verb|funktionieren, funktioniert, funktionierte, hat funktioniert|Die Maschine funktionierte einwandfrei.|to function, work|The machine worked perfectly.
761|die|die Einführung|Die Einführung verlief problemlos.|introduction|The introduction went smoothly.
762|das|das Element|Wasser ist ein wichtiges Element hier.|element|Water is an important element here.
763|verb|klingen, klingt, klang, hat geklungen|Seine Stimme klingt sehr angenehm.|to sound|His voice sounds very pleasant.
777|verb|beschäftigen, beschäftigt, beschäftigte, hat beschäftigt|Er beschäftigt sich mit der Aufgabe.|to employ, be busy, deal with|He is busy with the task.
795|die|die Phase|Die Phase des Umbaus ist fast vorbei.|phase|The phase of reconstruction is almost over.
833|die|die Angabe|Die Angabe war in dem Bericht enthalten.|information, statement|The information was included in the report.
839|num|eins|Eins ist die kleinste natürliche Zahl.|one|One is the smallest natural number.
868|die|die Region|Diese Region ist für ihren Wein bekannt.|region|This region is known for its wine.
