|frequency_rank|speech_part|word_german|word_english|sentence_german|sentence_english
0|1|der|art|the|Der Mann und die Frau kochen, das Kind spielt.|The man and the woman are cooking; the child is playing.
1|1|der|pron|that, those|Das ist der Mann, den ich liebe.|That’s the man I love.
2|1|der|pron|who, that|Dort steht das Mädchen, das mit mir zur Schule geht.|There’s the girl who goes to school with me.
5|4|sein, ist, war, ist gewesen|aux|(past tense)|Janosch ist heute Morgen in die Schule gefahren.|Janosch went to school this morning.
6|4|sein, ist, war, ist gewesen|verb|to be|Ich bin Lehrer und du bist Polizist und damit sind wir glücklich.|I’m a teacher, and you’re a police officer, and we’re happy with that.
7|5|ein|art|a, an|Er wohnt in einem Hotel.|He’s staying at a hotel.
8|5|ein|pron|one (of)|Eines der Kinder hat sich beim Spielen verletzt.|One of the children was injured while playing.
9|6|haben, hat, hatte, hat gehabt|aux|(past tense)|Sie hat sich gestern einen Film angesehen.|She was watching a movie yesterday.
10|6|haben, hat, hatte, hat gehabt|verb|to have|Ich habe ein Buch in der Hand.|I have a book in my hand.
11|7|sie|pron|she, her|Paul besucht Anna, sie ist Pauls Tante.|Paul visits Anna; she’s Paul’s aunt.
12|7|sie|pron|they, them|Petra und Klaus kochen, sie bekommen Besuch.|Petra and Klaus are cooking; they have a visitor.
13|7|sie|pron|you|Ich bitte Sie um Ihr Verständnis.|I ask you for your understanding.
14|8|werden, wird, wurde, ist geworden|aux|(future tense)|Ich werde bald als Lehrer arbeiten.|I’ll be working as a teacher soon.
15|8|werden, wird, wurde, ist geworden|aux|(passive voice)|Das Auto wird gefahren.|The car is being driven.
16|8|werden, wird, wurde, ist geworden|verb|to become, get|Der Junge wird zum Mann.|The boy becomes a man.
29|21|zu|part|to|Ich versuche, dich zu verstehen.|I’m trying to understand you.
30|21|zu|part|too|Es ist zu kalt für eine Party im Garten.|It’s too cold for a party in the garden.
31|21|zu|prep|to|Heute gehe ich zu meiner Nachbarin.|Today I go to my neighbor.
32|22|als|conj|as, when|Als ich nach Hause komme, ist es schon dunkel.|When I get home, it’s already dark.
33|22|als|part|than|Tim ist Paulas großer Bruder, weil er älter ist als sie.|Tim is Paula’s big brother because he’s older than she is.
36|25|wie|part|as|Johanna ist so alt wie Matthias.|Johanna is as old as Matthias.
37|25|wie|pron|how|Wie lange dauert es?|How long does it take?
39|27|ihr|pron|her, their, hers, theirs|Die Familie plant ihren Urlaub bereits im Winter.|The family plans their vacation already in winter.
40|27|ihr|pron|you, her|Das Mädchen ärgert ihren Bruder.|The girl annoys her brother.
41|27|ihr|pron|your|Bitte geben Sie Ihr Blatt am Ende der Stunde ab.|Please hand in your paper at the end of the lesson.
42|28|so|adv|so, thus, the way, such|Ich beobachte Klaus und mache alles so wie er.|I watch Klaus and do everything the way he does.
43|28|so|part|so|Das Wetter ist heute so schön.|The weather is so nice today.
46|31|aber|conj|but|Die Sonne scheint, aber es ist trotzdem kalt.|The sun is shining, but it’s still cold.
47|31|aber|part||Das ist aber nicht nett von Tim.|That’s not nice of Tim.
60|44|um|conj|in order to|Ich arbeite auch am Wochenende, um meinen Urlaub bezahlen zu können.|I also work on weekends in order to pay for my vacation.
61|44|um|prep|around, at|Die Kinder laufen um den Baum.|The children run around the tree.
65|48|da|adv|there|Da hinten steht mein Auto.|There’s my car over there.
66|48|da|conj|because|Da ich eine neue Arbeit habe, ziehe ich in eine andere Stadt.|Because I have a new job, I’m moving to another city.
79|61|schon|adv|already|Günter arbeitet schon seit 30 Jahren hier.|Günter has been working here for 30 years now.
80|61|schon|part||Die Karten für das Theater sind schon sehr teuer.|The tickets for the theater are really expensive.
84|65|mich|(Reflexive pronoun in the acc.)||Nach der Schule lege ich mich immer kurz ins Bett.|After school I always lie down in bed for a while.
85|65|mich|pron|me|Timo setzt sich neben mich an den Tisch.|Timo sits down next to me at the table.
89|69|ganz|adj|whole, all the|Das ganze Zimmer ist leer.|The whole room is empty.
90|69|ganz|part|quite|Er löst die Aufgabe ganz gut.|He’s solving the task quite well.
94|73|doch|adv|however, but|Heute scheint die Sonne, doch ich bleibe zu Hause.|Today the sun is shining, but I’m staying at home.
95|73|doch|part||Er kommt doch nicht zum Spiel.|He’s not coming to the game after all.
99|77|bis|conj|until|Ich warte hier, bis er kommt.|I’ll wait here until he comes.
100|77|bis|prep|until, till|Meine Mutter arbeitet bis sieben Uhr.|My mother works until seven o’clock.
105|82|Mal|conj|times|Ein mal eins ist eins.|One times one equals one.
106|82|Mal|das|time, mark|Maria hat ein dunkles Mal auf ihrer Haut.|Maria has a dark mark on her skin.
107|82|Mal|part||Meine Freundin Veronika hat mal im Ausland gearbeitet.|My friend Veronika once worked abroad.
118|93|denn|conj|because|Heute sind alle Geschäfte geschlossen, denn es ist Sonntag.|Today all shops are closed because it is Sunday.
119|93|denn|part|anyway|Was sagt denn deine Mutter dazu?|What does your mother say about that anyway?
123|97|lang|adj|long|Mit ihren langen Beinen rennt sie schneller als Max.|With her long legs she runs faster than Max.
124|97|lang|adv|for a long time|Jeden Tag warten sie lange auf den Bus.|Every day they wait a long time for the bus.
128|101|selbst, selber|part|even|Selbst wenn es regnet, spielen sie im Garten.|Even when it rains, they play in the garden.
129|101|selbst, selber|pron|-self|Es ist wichtig, sich selbst zu lieben.|It is important to love yourself.
130|102|wenig|adj|few|Es gibt nur wenige Menschen, denen er vertraut.|There are just a few people he trusts.
131|102|wenig|pron|little, few|Diese Pflanze braucht nur sehr wenig Wasser.|This plant only needs very little water.
141|112|deutsch|adj|German|Nina interessiert sich für deutsche Geschichte.|Nina is interested in German history.
142|112|deutsch|das|German|Deutsch ist eine schwierige Sprache.|German is a difficult language.
150|120|ohne|conj|without|Du sprichst, ohne nachzudenken.|You talk without thinking.
151|120|ohne|prep|without|Ich verlasse meine Wohnung nie ohne Schlüssel.|I never leave my apartment without a key.
156|125|ihnen|pron|them|Er gibt ihnen den Schlüssel, damit Tina und Erik in seiner Wohnung schlafen können.|He gives them the key so that Tina and Erik can sleep in his apartment.
157|125|ihnen|pron|you|Kann ich Ihnen etwas zu trinken anbieten?|Can I offer you something to drink?
163|131|einfach|adj|simple, easy|Die Prüfung war sehr einfach.|The exam was very simple.
164|131|einfach|part|simply|Du musst einfach nur geradeaus gehen.|You must simply walk straight ahead.
