der Mann ist hoch|the man is high
der Baum ist schwer|that tree is heavy
der Junge ist schnell|the boy is fast
die Frau ist klug|woman is smart
in der Stadt ist es schön|in the city is beautiful
sie war glücklich|she was happy
es ist wichtig|this is important
der Hund ist laut|the dog is loud
eine Katze ist süß|a cat is cute
er hatte Angst|he had fear
sie hat Hunger|she has hunger
sie ist nett|she is nice
sie sind groß|they are big
Sie sind klug|you are smart
er wird groß|he will become big
|
|
|
ich bin müde|I am tired
nicht gut|not good
es fühlt sich wie Magie an|it feels like magic
mit einem Hauch von Geheimnis|with a touch of mystery
sich treu bleiben|to stay true to oneself
er tanzt mit dem Wind|he dances with the wind
auf der Grenze der Träume|on the edge of dreams
für einen Moment des Glücks|for a moment of bliss
auch in der dunkelsten Nacht|also in the darkest night
|
|
zu viel des Guten|too much of a good thing
|
|
als ob es so wäre|as if it were so
größer als gedacht|bigger than thought
können, wenn es nötig ist|to be able to, when necessary
dies ist mein Zuhause|this is my home
wie ein Traum|as a dream
Wie funktioniert das?|How does it work?
wir sind die Besten|we are the best
ihr Haus ist schön|their house is beautiful
ich danke ihr|I thank her
ihr Hund ist süß|your dog is cute
so ist das Leben|so is life
so viel zu tun|so much to do
bei mir zu Hause|at my home
sein Auto ist schnell|his car is fast
aber das ist anders|but that is different
aber klar|but of course
man sagt, es ist so|one says it is so
noch immer hier|still here
nach dem Regen|after the rain
oder vielleicht morgen|or maybe tomorrow
all das ist wichtig|all this is important
aus dem Nichts|out of nowhere
Was ist das?|What is that?
nur ein bisschen|only a little
|
dann sehen wir weiter|then we will see
wenn es möglich ist|if it is possible
|
um die Ecke|around the corner
um die Welt reisen|to travel around the world
ja, das stimmt|yes, of course
kein Problem|no problem
über den Wolken|above the clouds
da ist ein Problem|there is a problem
da ich müde bin|because I am tired
|
vor dem Haus|in front of the house
mein Auto ist schnell|my car is fast
mehr als erwartet|more than expected
das Jahr ist lang|the year is long
du bist nett|you are nice
durch den Tunnel|through the tunnel
viel zu tun|much to do
wollen wir gehen|to want to go
|
andere Leute|other people
|
schon erledigt|already done
schon hier|already here
kommen wir zusammen|to come together
mir geht es gut|me, I'm fine
immer glücklich|always happy
|
|
|
groß und stark|big and strong
hier und jetzt|here and now
ganz der Alte|whole as before
ganz sicher|quite sure
zwei Freunde|two friends
also machen wir das|so let's do it
jetzt sofort|now immediately
doch es geht|however, it works
doch ich weiß|but I know
wieder zu Hause|again at home
uns geht es gut|we are fine
gut gemacht|good job
|
bis bald|until soon
|
|
einer von uns|(some)one of us
sehr gut|very good
|
|
|
|
|
stehen bleiben|to stand still
unser Haus|our house
jeden Tag|every day
weil es wichtig ist|because it is important
unter dem Tisch|under the table
der Mensch ist gut|the human being is good
|
|
denn es ist wichtig|because it is important
|
das Beispiel ist klar|the example is clear
erster Platz|first place
die Zeit vergeht|time passes
lang und breit|long and wide
lang gewartet|waited for a long time
leben und leben lassen|to live and let live
die Frau ist nett|the woman is nice
etwas zu essen|something to eat
|
|
|
|
|
gegen die Wand|against the wall
zwischen den Zeilen|between the lines
drei Tage|three days
liegen und entspannen|to lie and relax
wo bist du|where are you
nichts zu verlieren|nothing to lose
klein aber fein|small but nice
der Tag beginnt|the day begins
|
|
|
nun ist es Zeit|now it is time
|
heute ist schön|today is beautiful
beide sind gut|both are good
hoch oben|high above
damit kann ich leben|with it I can live
|
|
der Mann ist stark|the man is strong
welche Frage|which question
tun, was man kann|to do what one can
einmal ist genug|once is enough
|
|
Wie heißt du?|What is your name?
er fragt, ob es regnet|he asks whether it rains
denken, was richtig ist|to think what is right
dabei bleiben|to stay with it
seit gestern|since yesterday
einfach und klar|simple and clear
einfach zu verstehen|easy to understand
erst am Anfang|first at the beginning
erst jetzt|only now
das Kind spielt|the child plays
das Land ist groß|the country is big
|
|
|
|
alt und weise|old and wise
dort drüben|over there
Deutschland ist schön|Germany is beautiful
gleich jetzt|just now
|
Dürfen wir gehen?|May we go?
wichtig zu wissen|important to know
vielleicht morgen|maybe tomorrow
|
|
das Haus ist groß|the house is big
nein, danke|no, thank you
Wer bist du?|Who are you?
|
dazu noch|in addition to that
eigentlich nicht|actually not
eigentlich ist es egal|actually, it does not matter
letztes Jahr|last year
|
Herr Schmidt|Mr. Schmidt
|
|
