1|art|der|определённый артикль|Der Hund ist groß.|Собака большая.
1|pron|der|тот, те|Der Mann ist glücklich.|Тот мужчина счастлив.
1|pron|der|который, что|Der Lehrer, der spricht, ist hier.|Учитель, который говорит, здесь.
2|conj|und|и|Er und ich sind Freunde.|Он и я друзья.
3|prep|in|в|Er ist in der Schule.|Он в школе.
4|aux|sein, ist, war, ist gewesen|(прошедшее время)|Sie war in Berlin.|Она была в Берлине.
4|verb|sein, ist, war, ist gewesen|быть|Er ist mein Bruder.|Он мой брат.
5|art|ein|неопределённый артикль|Ein Apfel ist rot.|Яблоко красное.
5|pron|ein|один (из)|Ein Hund, der ein Freund ist.|Собака, которая друг.
6|aux|haben, hat, hatte, hat gehabt|(прошедшее время)|Sie hatte ein Buch.|У нее была книга.
6|verb|haben, hat, hatte, hat gehabt|иметь|Ich habe einen Hund.|У меня есть собака.
7|pron|sie|она, её|Sie liebt ihre Katze.|Она любит свою кошку.
7|pron|sie|они, их|Sie sind meine Freunde.|Они мои друзья.
7|pron|sie|вы|Sie warten hier.|Вы ждете здесь.
8|aux|werden, wird, wurde, ist geworden|(будущее время)|Es wird regnen.|Пойдет дождь.
8|aux|werden, wird, wurde, ist geworden|(пассивный залог)|Ein Haus wird gebaut.|Дом строится.
8|verb|werden, wird, wurde, ist geworden|становиться|Er wird müde.|Он устает.
9|prep|von|от, из|Ein Brief von dir.|Письмо от тебя.
10|pron|ich|я|Ich bin glücklich.|Я счастлив.
11|part|nicht|не|Das ist nicht gut.|Это нехорошо.
12|pron|es|оно|Es ist ein Buch.|Это книга.
13|prep|mit|с|Ich gehe mit dir.|Я иду с тобой.
14|pron|sich|-ся, -сь|Er schaut sich um.|Он оглядывается.
15|pron|er|он|Er ist mein Freund.|Он мой друг.
16|prep|auf|на|Sie sitzt auf dem Stuhl.|Она сидит на стуле.
17|prep|für|для|Das ist für dich.|Это для тебя.
18|adv|auch|тоже|Ich mag es auch.|Мне тоже это нравится.
19|prep|an|на, у|Sie ist an der Tür.|Она у двери.
20|conj|dass|что|Ich hoffe, dass es gut geht.|Я надеюсь, что все будет хорошо.
21|part|zu|слишком|Er kam zu spät.|Он пришел слишком поздно.
21|part|zu|слишком|Zu viel Zucker.|Слишком много сахара.
21|prep|zu|к|Er ging zu ihr.|Он пошел к ней.
22|conj|als|как, когда|Als er kam, ging sie.|Когда он пришел, она ушла.
22|part|als|чем|Größer als er.|Выше, чем он.
23|verb|können, kann, konnte, hat können|мочь|Er kann schwimmen.|Он умеет плавать.
24|pron|dies|этот|Dies ist mein Haus.|Это мой дом.
25|part|wie|как|Er arbeitet wie ein Pferd.|Он работает как лошадь.
25|pron|wie|как|Wie heißt du?|Как тебя зовут?
26|pron|wir|мы|Wir gehen ins Kino.|Мы идем в кино.
27|pron|ihr|её, их|Ihre Katze ist süß.|Её кошка милая.
27|pron|ihr|её, их|Das ist ihr Buch.|Это её книга.
27|pron|ihr|ваш|Ist das Ihr Auto?|Это ваша машина?
28|adv|so|так|Es ist so kalt.|Так холодно.
28|part|so|так|Es war nicht so.|Это было не так.
29|prep|bei|у, с|Er wohnt bei mir.|Он живет у меня.
30|pron|sein|его|Sein Haus ist groß.|Его дом большой.
31|conj|aber|но|Es ist teuer, aber schön.|Это дорого, но красиво.
31|part|aber||Das ist aber komisch.|Но это странно.
32|pron|man|кто-то, они|Man sagt, es ist gut.|Говорят, это хорошо.
33|adv|noch|ещё|Es ist noch früh.|Ещё рано.
34|prep|nach|после, к|Nach der Schule.|После школы.
35|conj|oder|или|Willst du Tee oder Kaffee?|Ты хочешь чай или кофе?
36|pron|all|все|Alle kommen hierher.|Все приходят сюда.
37|prep|aus|из|Er kommt aus Spanien.|Он из Испании.
38|pron|was|что|Was machst du?|Что ты делаешь?
39|adv|nur|только|Ich habe nur ein Buch.|У меня есть только одна книга.
40|verb|sagen, sagt, sagte, hat gesagt|говорить|Sie sagt die Wahrheit.|Она говорит правду.
41|adv|dann|тогда|Dann gehe ich nach Hause.|Тогда я пойду домой.
42|conj|wenn|если, когда|Wenn er kommt, gehe ich.|Если он придет, я уйду.
43|verb|müssen, muss, musste, hat gemusst|должен|Du musst lernen.|Ты должен учиться.
44|conj|um|чтобы|Um zu verstehen, lerne.|Учись, чтобы понять.
44|prep|um|вокруг|Er ging um die Ecke.|Он пошел за угол.
45|part|ja|да|Ja, ich komme.|Да, я иду.
46|pron|kein|нет|Ich habe kein Geld.|У меня нет денег.
47|prep|über|о|Das Buch ist über Hunde.|Книга о собаках.
48|adv|da|там|Er ist da drüben.|Он там.
48|conj|da|потому что|Er kam, da er müde war.|Он пришел, потому что устал.
49|verb|geben, gibt, gab, hat gegeben|давать|Sie gibt ihm ein Buch.|Она дает ему книгу.
50|prep|vor|перед|Vor dem Haus steht ein Baum.|Перед домом стоит дерево.
51|pron|mein|мой|Mein Hund ist krank.|Моя собака больна.
52|adv|mehr|больше|Ich brauche mehr Zeit.|Мне нужно больше времени.
53|das|das Jahr, -e|год|Das Jahr ist vorbei.|Год закончился.
54|pron|du|ты|Du bist nett.|Ты милый.
55|prep|durch|через|Er ging durch den Park.|Он шел через парк.
56|pron|viel|много|Viel Lärm um nichts.|Много шума из ничего.
57|verb|wollen, will, wollte, hat gewollt|хотеть|Ich will ein Eis.|Я хочу мороженое.
58|verb|machen, macht, machte, hat gemacht|делать|Er macht seine Hausaufgaben.|Он делает свою домашнюю работу.
59|pron|andere (r, s)|другой|Die andere Tür.|Другая дверь.
60|verb|sollen, soll, sollte, hat gesollt|должен|Du sollst das tun.|Ты должен это сделать.
61|adv|schon|уже|Er ist schon da.|Он уже там.
61|part|schon||Schon wieder.|Снова уже.
62|verb|kommen, kommt, kam, ist gekommen|приходить|Sie kommt morgen.|Она придет завтра.
63|pron|mir|мне|Gib mir das Buch.|Дай мне книгу.
64|adv|immer|всегда|Ich gehe immer zu Fuß.|Я всегда хожу пешком.
65|Reflexive pronoun in the acc.|mich|-ся|Er schaut mich an.|Он смотрит на меня.
65|pron|mich|меня|Ich sehe mich im Spiegel.|Я вижу себя в зеркале.
66|verb|gehen, geht, ging, ist gegangen|идти|Ich gehe nach Hause.|Я иду домой.
