|part_of_speech|word_de|word_en|sentence_en|sentence_de
108|verb|lassen, lässt, ließ, hat gelassen|to let|He let me do the work.|Er ließ mich die Arbeit machen.
181|part|vielleicht||That was quite an adventure!|Das war vielleicht ein Abenteuer!
192|der|der Herr|Mr.|Mr. Müller is not in the office today.|Der Herr Müller ist heute nicht im Büro.
241|part|eben, ebend|just|I just saw him at the door.|Ich habe ihn eben an der Tür gesehen.
481|part|nämlich|you see|You see, he already mentioned it yesterday.|Er hat es nämlich schon gestern gesagt.
495|prep|gegenüber|opposite|His house is opposite the park.|Sein Haus liegt gegenüber dem Park.
576|pron|darum|around it|A fence was placed around it.|Ein Zaun wurde darum errichtet.
696|pron|derselbe, dieselbe, dasselbe|the same (one, ones)|That's the same problem as yesterday.|Das ist dasselbe Problem wie gestern.
946|verb|beziehen, bezieht, bezog, hat bezogen|to refer|She referred to the previous chapter.|Sie bezog sich auf das letzte Kapitel.
976|verb|stammen, stammt, stammte, hat gestammt|to come (from)|The idea comes from my father.|Die Idee stammt von meinem Vater.
1061|part|ruhig|really|You can really take your time.|Du kannst dir ruhig Zeit lassen.
1099|pron|derjenige, diejenige, dasjenige|the one (who, that)|She is the one who helped me.|Sie ist diejenige, die mir half.
1140|adv|lediglich|merely|He merely asked a question.|Er hat lediglich eine Frage gestellt.
1313|verb|ausmachen, macht aus, machte aus, hat ausgemacht|agree|We agreed on a new plan.|Wir haben einen neuen Plan ausgemacht.
1427|der, die|die Abgeordnete|member of parliament|The member of parliament arrived late.|Die Abgeordnete kam zu spät an.
1754|verb|erfassen, erfasst, erfasste, hat erfasst|to grasp|He couldn't grasp the concept.|Er konnte das Konzept nicht erfassen.
1763|die|die Schicht|layer|A thin layer of dust covered it.|Eine dünne Schicht Staub bedeckte es.
1798|verb|bedingen, bedingt, bedingte, hat bedingt|to cause|The delay caused the problem.|Die Verzögerung hat das Problem bedingt.
1800|verb|zukommen, kommt zu, kam zu, ist zugekommen|to come toward|The car came quickly towards us.|Das Auto kam schnell auf uns zu.
1885|verb|wandern, wandert, wanderte, ist gewandert|to (go on a) walk or hike|We enjoy hiking in the mountains.|Wir wandern gern in den Bergen.
1896|verb|regeln, regelt, regelte, hat geregelt|to control|The traffic light system controls the traffic.|Das Ampelsystem regelt den Verkehr.
2005|verb|vorhaben, hat vor, hatte vor, hat vorgehabt|to intend|She is planning a big event.|Sie hat ein großes Ereignis vor.
2027|verb|versorgen, versorgt, versorgte, hat versorgt|to provide|They provided the children with food.|Sie versorgten die Kinder mit Essen.
2150|der|der Rang|status|He has a high status in the company.|Er hat einen hohen Rang in der Firma.
2176|verb|vorgehen, geht vor, ging vor, ist vorgegangen|to go ahead|Please go ahead, I'll follow you.|Bitte gehen Sie vor, ich folge Ihnen.
2233|verb|ausrichten, richtet aus, richtete aus, hat ausgerichtet|to tell|Can you pass the message to him?|Kannst du ihm die Nachricht ausrichten?
2499|verb|aufsteigen, steigt auf, stieg auf, ist aufgestiegen|to rise (up)|The balloon rises up in the sky.|Der Ballon steigt in den Himmel auf.
2536|die|die Bilanz|balance (sheet)|The balance sheet shows a profit.|Die Bilanz zeigt einen Gewinn.
