|part_of_speech|word_de|word_pl_de|sentence_de|word_en|sentence_en
0|art|der, die, das||Das ist die einzige Lösung für uns.|the|This is the only solution for us.
1|pron|der, die, das||Das ist der, der es getan hat.|that, those|That is the one who did it.
2|pron|der, die, das||Das ist der Mann, den ich meinte.|who, that|That is the man who I meant.
3|conj|und||Kaffee und Kuchen passen zusammen.|and|Coffee and cake go well together.
4|prep|in||In dem Haus wohnen viele Familien.|in|Many families live in the house.
5|aux|sein, ist, war, ist gewesen||Er ist früh nach Hause gekommen.|(past tense)|He came home early.
6|verb|sein, ist, war, ist gewesen||Er ist heute sehr beschäftigt.|to be|He is very busy today.
7|art|ein||Er hat ein Buch in der Tasche gefunden.|a, an|He found a book in the bag.
8|pron|einer||Einer muss jetzt den ersten Schritt tun.|one (of)|One of us must take the first step now.
9|aux|haben, hat, hatte, hat gehabt||Er hat gestern Geburtstag gehabt.|(past tense)|He had a birthday yesterday.
10|verb|haben, hat, hatte, hat gehabt||Er hat keine Wahl mehr gehabt.|to have|He had no choice left.
11|pron|sie||Sie hat das Buch gestern fertig gelesen.|she, her|She finished reading the book yesterday.
12|pron|sie||Sie haben die Aufgabe zusammen gemacht.|they, them|They did the task together.
13|pron|Sie||Sie haben das richtig erkannt.|you|You recognized that correctly.
14|aux|werden, wird, wurde, ist geworden||Es wird ein langer Tag werden.|(future tense)|It will be a long day.
15|aux|werden, wird, wurde, ist geworden||Ihr Problem wurde schnell gelöst.|(passive voice)|Her problem was quickly solved.
16|verb|werden, wird, wurde, ist geworden||Er wird bald ein erfolgreicher Künstler.|to become, get|He will soon become a successful artist.
17|prep|von||Ich habe einen Brief von dir erhalten.|from, of|I received a letter from you.
18|pron|ich||Ich komme heute später nach Hause.|I|I will come home later today.
19|part|nicht||Nicht jetzt, vielleicht später.|not|Not now, maybe later.
20|pron|es||Es regnet schon den ganzen Tag.|it|It has been raining all day.
21|prep|mit||Er kam mit seinem Hund ins Haus.|with|He came into the house with his dog.
22|pron|sich||Er erinnert sich nicht mehr daran.|-self|He doesn't remember it anymore.
23|pron|er||Er kommt gleich zurück, sagte sie.|he|He will be right back, she said.
24|prep|auf||Er stellte das Glas auf den Tisch.|on, at, to|He placed the glass on the table.
25|prep|für||Ich habe ein Geschenk für dich.|for|I have a gift for you.
26|adv|auch||Er ist auch am Wochenende beschäftigt.|also, too|He is also busy on the weekend.
27|prep|an||Er klopfte an die Tür und wartete.|at, on|He knocked on the door and waited.
28|conj|dass||Ich hoffe, dass er bald kommt.|that|I hope that he comes soon.
29|part|zu||Ich habe keine Zeit, zu kommen.|to|I have no time to come.
30|part|zu||Es gibt zu viel Zucker im Kaffee.|too|There is too much sugar in the coffee.
31|prep|zu||Ich gehe zu dem Haus, um ihn zu treffen.|to|I am going to the house to meet him.
32|conj|als||Als er kam, begann es zu regnen.|as, when|When he came, it started to rain.
33|part|als||Er ist viel schneller als sein Bruder.|than|He is much faster than his brother.
34|verb|können, kann, konnte, hat können||Er kann nicht kommen, weil er krank ist.|to be able to, can|He cannot come because he is sick.
35|pron|dies||Dies ist mein letztes Angebot.|this, that|This is my final offer.
36|part|wie||Er arbeitet genauso hart wie sie.|as|He works as hard as she does.
37|pron|wie||Wie hast du das Problem gelöst?|how|How did you solve the problem?
38|pron|wir||Wir schaffen das gemeinsam, oder?|we|We can do this together, right?
39|pron|ihr||Ihr Hund bellt jeden Morgen im Garten.|her, their, hers, theirs|Her dog barks every morning in the garden.
40|pron|ihr||Habt ihr schon das neue Buch gelesen?|you, her|Have you already read the new book?
41|pron|Ihr||Ist das wirklich Ihr letzter Entschluss?|your|Is that really your final decision?
42|adv|so||Er machte es so, wie gesagt wurde.|so, thus, the way, such|He did it the way it was said.
43|part|so||So kann man das wirklich nicht machen.|so|You really can't do it like that.
44|prep|bei||Ich bleibe bei meiner Meinung.|by, with, at|I stick with my opinion.
45|pron|sein||Das ist sein Fahrrad, nicht deins.|his, its|That is his bike, not yours.
46|conj|aber||Er wollte kommen, aber er konnte nicht.|but|He wanted to come, but he couldn't.
47|part|aber||Aber sicher kommt er heute noch.||But surely he is still coming today.
48|pron|man||Man sollte immer ehrlich sein.|one, you, they|One should always be honest.
49|adv|noch||Er hat noch nicht entschieden.|still, yet|He hasn't decided yet.
50|prep|nach||Nach der Schule gehe ich nach Hause.|after, toward|After school, I go home.
