|part_of_speech|word_de
142|das|das Deutsch
175|das|das Deutschland
254|die|die Million, Mio.
269|die (pl)|die Leute
345|das|das Europa
459|die (pl)|die Eltern
464|die|die USA (Vereinigte Staaten von Amerika)
509|die|die Milliarde, Mrd.
535|der|der Meter, m
557|der, die|das Deutsche
622|die (pl)|die Kosten
632|die (pl)|die Daten
655|der|der Dank
661|das|das Verhalten
684|das|das Bayern
690|das|das Okay
702|das|das Glück
715|das|das Auftreten
725|das|das Englisch
770|das|das Österreich
789|die|die EU (Europäische Union)
840|das|der Alter
842|die|die SPD (Sozialdemokratische Partei Deutschlands)
863|das|das Russland
870|das|das Internet
879|das|das Frankreich
883|das|das Französisch
899|das|das Russisch
914|das|das China
962|die|die CDU (Christlich Demokratische Union Deutschlands)
986|die|die Nähe
990|die|die Türkei
1014|das|das BGB (Bürgerliches Gesetzbuch)
1019|die (pl)|die Medien
1041|das|das Schweigen
1058|die|die Ruhe
1080|der|der Westen, West-
1090|die|das Grüne
1194|das|das Vertrauen
1228|das|das Chinesisch
1272|das|das Griechenland
1278|das|das Italien
1282|der|der Osten, Ost-
1283|das|das Amerika
1375|das|das Leid
1381|der|der Milliliter, ml
1387|die|die Zusammenarbeit
1400|der, die|die Jugendliche
1414|der|der Zentimeter, cm
1424|die|die DDR (Deutsche Demokratische Republik)
1427|der, die|die Abgeordnete
1446|das|das Wachstum
1458|das|das Ausland
1492|das|das Syrien
1520|das|das Fernsehen
1563|das|das Griechisch
1593|der|der Norden, Nord-
1610|das|das Türkisch
1613|die|die VWL (Volkswirtschaftslehre)
1642|der|der Franken, Fr.
1658|die|die AfD (Alternative für Deutschland)
1674|das|das Italienisch
1675|die|die Scheiße
1709|der|der Beifall
1713|die|die Weile
1718|die|die Mathematik
1722|das|das Großbritannien
1826|das|das Spanien
1842|der|der Schnee
1844|das|das England
1853|der|der Süden, Süd-
1859|die|die DNA (DNS, Desoxyribonukleinsäure)
1872|das|das Fleisch
1888|der, die|die Beamte
1933|die|die Gesundheit
1956|das|das Eis
1974|die|die AG (Aktiengesellschaft)
1995|der, die|die Vorsitzende
1999|die|die Physik
2002|das|das Spanisch
2015|die|die Gegenwart
2018|das|das Marketing
2088|die|die Soziologie
2090|das|das Afghanistan
2093|das|das Afrika
2106|das|das Polen
2115|das|das Israel
2117|die|die BRD (Bundesrepublik Deutschland)
2123|die|die CSU (Christlich-Soziale Union)
2177|die|die Arbeitslosigkeit
2180|der|der Hunger
2185|das|das Indien
2200|die|die Jugend
2243|das|das Arabisch
2246|das|das Japan
2264|der|der Mut
2301|der|der Konsum
2331|das|das Kohlenstoffdioxid
2344|das|das HGB (Handelsgesetzbuch)
2367|die|die FDP (Freie Demokratische Partei)
2384|die|die Wärme
2407|die|die Kindheit
2408|das|das Ungarn
2410|die|die Vielfalt
2428|der|der Schlaf
2441|das|das Island
2448|die|die Ukraine
2453|der, die|die Erwachsene
2454|die|die WM (Weltmeisterschaft)
2497|das|das Gold
2515|das|das Plus
2518|der|der Sauerstoff
2522|der|der Tourismus
2532|die|die Betriebswirtschaftslehre
2564|das|das Schweden
2577|der, die|die Angehörige
2584|der|der Respekt
2591|das|das Erbe
2624|das|das Personal
2667|die|die Rückkehr
2669|die|die Bar
2712|der, die|die Erste
2740|der, die, das|die Alte
2741|der, die|die Angestellte
2758|der|der Atem
2765|der|der Terror
2770|der|der Ärger
2782|das|das Brasilien
2794|die|die Wut
2800|der, die|die Beschäftigte
2812|das|das Schwedisch
2833|das|das Niederländisch
2843|die|die Stille
2847|der|der Schweizer
2854|die|die Hut
2876|die|die Armut
2877|das|das Australien
2897|die|die EZB (Europäische Zentralbank)
2924|das|das Dänemark
2927|das|das Tibet
2932|das|das Japanisch
2941|der, die|die Verwandte
2945|die (pl)|die Schulden
2946|der|der Hinblick
2949|das|das Zuhause
2956|das|das Dänisch
2958|die|die Vielzahl
3032|das|das Vorgehen
3036|die|die Stabilität
3046|die|die Menschheit
3049|die|die Achtung
3123|die|die Linke
3141|der|der Iran
3150|der|der Irak
3189|das|das Sachsen
3239|der|der Wasserstoff
3251|der|der Hass
3267|das|das Baden-Württemberg
3268|das|das Mittelalter
3299|das|das Wiedersehen
3319|die|die Bundeswehr
3336|das|das Polnisch
3344|das|das Norwegen
3347|der|der Terrorismus
3361|das|das Indisch
3424|das|das Kanada
3430|das|das Asien
3463|der|der Lärm
3470|das|das Hessen
3500|der|der Wohlstand
3513|die|die Erziehung
3543|die|die Vorsicht
3548|die (pl)|die Ferien
3573|die|die Kälte
3585|der|der Sex
3600|der|der Wahnsinn
3625|das|das Militär
3668|die|die Trauer
3705|das|das Belgien
3717|die|die Biologie
3732|die|die Justiz
3742|das|das Ägypten
3810|die|die Geduld
3836|die|die FIFA
3842|das|das Chaos
3862|die|die EU-Kommission
3864|das|das Hessisch
3895|das|das Sachsen-Anhalt
3900|die|die Niederlande
3903|der|der Unsinn
3910|die|die Vernunft
3955|der|der Stolz
3991|der|der Rundfunk
3993|die|die Thermodynamik
3994|der|der LKW (Lastkraftwagen)
3995|der|der Quatsch
4014|die|die SPÖ (Sozialdemokratische Partei Österreichs)
4023|das|das Unrecht
4031|die (pl)|die Geschwister
4056|die|die Abwehr
4071|das|das Nordrhein-Westfalen
4072|der|der Verstand
4079|das|der Kohlenstoff
4103|die|die Anwesenheit
4109|die|die Nacherfüllung
4130|das|das Business
4135|das|das Mittelmeer
4145|das|das Pakistan
4146|das|das Rheinland-Pfalz
4164|das|das Mexiko
4165|die|die Moderne
4170|die (pl)|die Taliban
4179|der, die|die Einzige
4182|die|die Flüchtlingspolitik
4201|die (pl)|die Alpen
4205|der, die|die Geliebte
4234|die|die Informatik
4242|die|die Sowjetunion
4283|die|die UNO (Vereinte Nationen)
4294|das|das Thüringen
4341|das|das Irland
4353|die|die Hast
4374|das|das Bargeld
4382|die|die ÖVP (Österreichische Volkspartei)
4387|der|die Fremde
4411|der|der Dreck
4428|der|der Diabetes
4431|die|die Haft
4441|die|die Furcht
4457|die|die FPÖ (Freiheitliche Partei Österreichs)
4461|die|die News
4477|die|die Stasi (Staatssicherheitsdienst)
4484|der|der Nachwuchs
4508|das|das Tirol
4548|das|das Brandenburg
4588|die|die Finanzen
4590|der|der Mist
4592|die|die Physiologie
4595|der|der Schadenersatz
4608|der|der Müll
4620|die|die Neugier
4655|die|die Kreativität
4680|das|das Portugal
4713|der|der Main
