|word_meanings_en|sentence_en
239|on it, to it|The cat jumped on it suddenly.
259|from it, about it, thereof|He hasn't heard anything about it so far.
330|special, certain|He has a certain talent for music.
351|to deal, trade|He often deals with rare books.
476|to lack, be missing, be absent|The key was missing from the box.
487|result, consequences|This mistake had serious consequences.
517|to put in, insert|He inserted the batteries correctly.
555|to begin, start|The movie starts in ten minutes.
565|to look at, watch|They watched the new movie.
573|completely, absolutely|I am completely exhausted today.
576|around it, therefore|Therefore, I left the room.
669|to reach, be enough|That will be enough.
740|to function, work|The machine works perfectly.
751|to put, be located|She put the note in her pocket.
756|to perform, achieve, do|She performed her duties well.
796|to claim, declare, show off|He always shows off his car.
947|to request, demand|He demanded an explanation from her.
1030|to mention, discuss, react to, cater|He didn’t react to the offer.
1102|end, conclusion|That’s the end of the book.
1103|subsequent, afterwards|Subsequently, they left the house.
1119|to consider, think about, think of|They are considering buying a house.
1157|to adjust, employ, stop, discontinue|She has adjusted the device correctly.
1203|to find out, investigate|They investigated the case.
1257|middle, average|The middle door is locked.
1321|to establish, found|They founded the company.
1368|to estimate, value|I value your opinion.
1386|to proceed with, operate, run|He runs a small shop.
1396|to forbid, prohibit|The sign forbids parking here.
1422|to understand, grasp|She grasped the idea.
1430|sensible, meaningful|This investment seems quite sensible.
1433|stand, stage|He reached the next stage.
1475|to hold on to, detain|He holds the rope very tightly in his hand.
1506|to show, exhibit, contain|The product shows some defects.
1512|to attract, put on, dress|She puts on her jacket every morning.
1530|to put up, draw up|They put up the tent in the park.
1550|card, ticket, menu|I have already paid for the ticket.
1555|before, in front of|I am afraid to speak.
1570|to have sth at one’s disposal, be in charge|The team has a lot of experience.
1587|to determine, fix, lay down|The boss clearly laid down the rules.
1594|to assume, suspect|They assumed the worst.
1621|to perceive, detect|He perceived the danger too late.
1660|to dive, dip|The duck dipped underwater.
1669|to pay attention, observe|He didn't pay attention to the warning signs.
1692|to sink, lower, decrease|The government lowered the taxes.
1696|dealings, contact|Dealing with him is difficult.
1785|sector, line of business|The sector is growing fast.
1962|best possible, optimum|They found the optimal solution.
1967|to ask, question|The journalist questioned the witness.
1974|incorporated company, inc.|The company is profitable.
2587|to award, allocate, give away|The scholarship was awarded to her.
2604|to be defeated, be subject|He was defeated by his opponent in the final.
2666|to rise, go up|The temperature is rising today.
2916|to get by, get on, manage|He can barely get by with this money.
3055|to presuppose, take for granted|The task presupposes prior knowledge.
3073|to aim at, strive (for), aspire to|She strives for success every day.
3075|to unite, agree|They agreed on a plan.
3108|to drive out, sell|They sold many products.
3158|to commit, make, celebrate|They celebrate this holiday every year.
3186|to ask, request|She was asked to leave.
3192|cue, key word|The key word is missing.
3210|punctual, in time|She arrived just in time for the meeting.
3283|to float, hover, be in the balance|The leaf floats slowly to the ground.
3293|to come from, follow|A pattern comes from the data.
3323|balancing, compensation, change|The compensation was fair and just.
3397|to clarify, explain|He clarified his point.
3406|fat, greasy, rich|The soup is really too rich for me.
3551|to separate, divorce|They decided to divorce finally.
3566|continuation, stock, supply|The stock is now available again.
3576|to ask (sb), inquire|She inquired about it.
3586|from what, about what|What are you actually talking about?
3702|diagonal, at an angle|The table is positioned at an angle.
3728|to soak, give way, yield|The snow finally yielded to rain.
3739|to rate, judge|They judged his actions fairly.
3756|delivery, handing in|The delivery was successful today.
3763|to publish, put on, hang up|He hung up the phone quickly.
3764|to tilt, overbalance|The chair tilted backward slowly.
3768|to raise, produce, show|He produced convincing evidence.
3819|to confess, admit|He confessed to the crime.
3835|to slip (sb’s mind), be dropped|The name slipped my mind completely.
3899|result, finding(s)|The test results were positive.
4008|laterally, at/to the side|The door opened to the side.
4038|to give sb the task of doing sth, hire (a firm)|They hired a firm for the task.
4051|to link, network|We connected all the systems.
4061|to steal, shoplift|He stole a watch last week.
4064|to distract, deflect|The noise distracted her again.
4074|to remark, notice, let show|She noted the change quickly.
4195|to jump up/on, burst open|The door burst open suddenly.
4210|to anchor, enshrine|The rules are firmly anchored.
4213|to eliminate, clear|They cleared all obstacles.
4221|to distort, twist|His face twisted in pain.
4231|concluding, final|Finally, he said goodbye.
4237|to touch, brush|Her hand lightly brushed my arm.
4252|to continue, last|The meeting lasted for hours.
4254|to run out, leak|The oil leaked from the car engine.
4269|to take over, remove, peel away|She took over the leadership role.
4271|to be missing, fail to appear, stay out|The train failed to appear on time.
4298|to lock up, involve, include|He included her in the plan.
4361|to hear, examine, question|They questioned the suspect.
4366|to present, perform|He presented the report to us.
4388|to adhere, be liable|The glue stuck to the wall.
4390|to err, be wrong|She was wrong about the time.
4392|to decay, deteriorate, expire|The old building is decaying fast.
4413|to comply, defer to, resign oneself to|He accepted his fate quietly.
4546|to break, shatter|The glass broke into pieces.
4572|to switch, shift|He immediately switched off the light.
4584|to pass, overhaul|The car quickly passed the bus.
4585|to precede, lead (the way)|He led the team with confidence.
4624|to fulfill, realize, turn into reality|She realized her dreams.
4625|to fix, attach, fasten|He attached the shelf to the wall.
4666|to tie, knot, establish|They established new contacts.
4668|to decrease, decline, let up|The pain slowly eased up.
4671|optimally, very well|He performed very well today.
4682|to arrange, make an appointment|They arranged to meet at noon.
4685|family, familial, close|The school promotes familial values.
4697|to further, promote, push forward|She actively promoted the plan.
4700|to define, differentiate, distance|The regions were clearly defined.
4702|to think of, devise, make up|He made up the story.
4722|pronounced, expressed, exceptional|The pain was exceptional today.
4723|to page, call out|They called out his name loudly.
4756|report, (expert) opinion|The report is now complete.
4792|to come off, go off, exit, leave|The train leaves in five minutes.
4834|to exploit, take advantage of|They took advantage of the situation.
4860|to find, encounter, meet|We encountered him in the park.
4886|to broach the issue, make a subject of discussion|They discussed the problem.
4892|to file, rank, get in lane|She filed the papers in order.
4906|to pull in, catch up|She quickly caught up with the group.
4963|to forgive, excuse|He forgave her mistake.
4964|to toast, initiate|We toasted to success.
4978|to strike, slam|The door slammed shut loudly.
4979|to obstruct, impede|The snow obstructed the way.
4989|to socialize, consort|She socializes with many artists.
5005|to arrange, cause, initiate|He initiated the investigation.
