|word_en|sentence_en
76|to make|He makes breakfast for the family.
108|to leave|He left the book on the table.
143|to stay|He stayed awake all night.
165|not until|She didn’t come home until midnight.
169|to place|I place the vase on the table.
178|to be allowed to|He was not allowed to leave without permission.
186|to that|He didn't say anything more about that.
193|to hold|He holds the rope firmly in his hand.
202|to take|He took the package to the post office.
212|as . . . as possible|We will do it as quickly as possible.
235|to call|He called his name without hesitation.
237|to pull|He quietly pulled the door shut behind him.
239|to it|He is waiting for it to begin.
258|to think|He thinks that would be a good idea.
259|about it|I could sing a song about it.
260|to drive|She drives to work every morning.
273|to place|He places the glass on the table.
295|pass (an exam)|He passed the difficult exam.
296|to try|He is trying to solve the problem.
321|to carry|He carries the heavy bag to the car.
325|to shine|The sun shines brightly through the clouds.
327|to look|She looks particularly tired today.
330|certain|A certain date was chosen.
333|about it|He didn't like to talk about it.
344|to search|He searched for the key everywhere.
351|to deal|He deals in antiques from Europe.
368|to form|They form a strong group.
374|to climb|The temperatures rise in the summer.
378|at night|It is especially quiet here at night.
407|to put|He puts the book on the table.
411|to recognize|He recognized the mistake immediately.
420|to introduce|He introduces his idea to the group.
427|to win|He won the game in the last moment.
436|to happen|The accident happened at the intersection.
456|to take effect|The medication takes effect very quickly.
457|to portray|The film portrays the story.
460|to call|They call him a friend.
469|to produce|The analysis produced new insights.
472|to concern|This concerns all of us equally.
475|to determine|He determines the next step.
476|to be missing|You won't miss anything, I promise!
487|consequences|The consequence of the accident was serious.
508|to connect|He connects the cable to the device.
517|to insert|The rain suddenly starts.
523|against it|I am against leaving so early.
536|near(by)|We live in a nearby town.
537|near|The parking lot is close to the school.
540|to go out|He went out with friends last night.
542|to look at|He looked at the picture attentively.
547|to be correct|Yes, that’s correct, I heard it too.
548|to ask|He asked for patience and understanding.
554|in all|All in all, the day was a success.
555|to begin|The course starts at nine o'clock.
565|to look at|We should take a closer look at that.
573|completely|The complete plan was finally finished.
576|around it|That's what the story is about.
581|to accept|He accepted the gift kindly.
605|to get|He gets the newspaper from the mailbox.
614|student (USA)|The student wrote an essay.
621|to record|He recorded the conversation with the phone.
624|to notice|He noticed that something was wrong.
639|good(s)|The goods were transported safely.
644|to own|He owns a large house by the lake.
657|to demand|They demand fair pay.
662|to behave|He behaves calmly in the crisis.
669|to reach|The money is enough for the shopping.
672|to hit|He hit the ball over the net.
676|to raise|He raises the price by 10 percent.
677|to take care|He takes good care of his family.
683|to happen|An accident happened here.
685|to solve|How do you want to solve the problem?
688|to happen|That happens more often than you think.
691|to wish|He wishes for a new bicycle.
696|the same (one, ones)|He made the same mistake again.
697|to vote|He always votes for the same candidate.
708|to be available|The document is already available.
709|to take place|The delivery will take place early tomorrow.
713|to take place|The concert takes place tomorrow.
716|to occur|An error occurred unexpectedly.
740|to function|The machine worked perfectly.
751|to be located|The key is in the lock.
753|to find out|He will find out the news later.
756|to perform|He does good work in the team.
760|to observe|He observes the birds in the garden.
777|to be busy|He is busy with the task.
794|to participate|He participates in the discussion.
796|to declare|He gave his address precisely.
803|to calculate|He calculates the price for the car.
808|take (time)|The conversation is taking longer than expected.
814|to feel|He felt the sun on his skin.
846|to deliver|He delivers the goods on time.
866|to fulfill|He fulfills all the requirements.
903|to earn|He earns well in his new job.
925|to calculate|He calculates the costs for the project.
946|to move|They move into the new house in the fall.
947|to request|He demanded his money back.
974|to share|Can you share the cake with me?
976|to come from|The book originates from Germany.
983|to confirm|The results confirm the theory.
992|to press|He presses the button on the machine.
1000|(it’s all) the same|It's all the same to him what others think.
1017|to look at|He looked closely at the picture.
1020|to direct|He directs his gaze forward.
1030|to mention|I will still discuss that.
1032|to drive|The wind drives the clouds ahead.
1049|to enable|The new law enables it.
1075|to report|She reported the accident to the police.
1099|the one (who, that)|The one who reads the book is smart.
1102|end|The ending of the movie was surprising.
1103|subsequent|Subsequently, they went home.
1119|to think about|He is thinking of a new strategy.
1121|to include|The book includes many topics.
1131|to lift|He carefully lifts the box.
1138|to fail|The plan failed in execution.
1148|today’s|Today's meeting is important.
1157|to adjust|He stopped the operation of the machine.
1161|to support|The club supports young talents.
1166|to conduct|He conducted the experiment precisely.
1167|to occur|An idea just occurred to me.
1176|to scream|The baby screamed all night.
1203|to find out|The police are investigating the case.
1217|to hold|He holds the cup firmly in his hand.
1220|to remove|He removes the stain from the shirt.
1223|to pursue|He pursues the goal with ambition.
1234|to stand out|He stands out with his loud laughter.
1247|to reflect|He reflects on his life.
1256|to take care of|He takes care of the children.
1257|average|The medium size fits best.
1262|to disturb|The loud radio disturbs the concentration.
1268|to improve|He improved his performance significantly.
1274|to submit|He submits the package at the post office.
1288|to address|He addresses the topic openly.
1293|to collect|He has been collecting stamps for years.
1294|to reject|He firmly rejected the offer.
1295|to push|He pushes the door open with force.
1299|to go on|The light automatically goes on.
1300|to proceed|The meeting proceeded without problems.
1302|to appear|A problem suddenly appeared.
1304|to provoke|The news set off great joy.
1305|to continue|The conversation continues without pause.
1310|to reduce|We need to reduce the costs.
1313|to turn off|He turns off the light before sleeping.
1314|to enter|He quietly entered the room.
1321|to establish|He is founding his own company.
1328|to lose weight|He lost five kilos after the diet.
1339|to represent|He represents the company at conferences.
1345|to shape|This experience shaped his life.
1353|to invite|He invites his friends to dinner.
1368|to estimate|He values the work of his colleagues.
1385|to implement|He successfully implements the plan.
1386|to operate|He runs a small business.
1396|to forbid|The city prohibits smoking in the park.
1403|to lock|He locks the door before he leaves.
1406|to produce|He generates energy with solar cells.
1410|to achieve|He achieves a good result.
1414|centimeter|The book is ten centimeters thick.
1415|to open|He opened the store over the weekend.
1422|to understand|He quickly grasps the connections.
1427|parliamentarian|The parliamentarian speaks in parliament.
1428|to strengthen|She reinforced the door with steel.
1429|to exclude|He was excluded from the club.
1430|meaningful|Such a plan would really make sense.
1433|stage|The state of affairs remains unchanged.
1434|to rescue|He rescued the dog from the water.
1456|to replace|We will replace the defective motor immediately.
1465|to secure|He secures the data from loss.
1471|to convey|He conveyed the knowledge clearly.
1475|to hold on to|He held the pen firmly in his hand.
1476|to present|He presented the results.
1484|to examine|He examined the documents very carefully.
1485|to invest|He invests his money wisely in the stock market.
