|part_of_speech|word_de|sentence_de
17|prep|von|Ein Brief von dir.
30|part|zu|Zu viel Zucker.
33|part|als|Größer als er.
36|part|wie|Er arbeitet wie ein Pferd.
41|pron|Ihr|Ist das Ihr Auto?
63|pron|kein|Ich habe kein Geld.
84|(Reflexive pronoun in the accusative case.)|mich|Ich freue mich auf das Wochenende.
105|conj|mal|Ein mal eins ist eins.
131|pron|wenig|Es gibt wenig Hoffnung.
175|das|das Deutschland|Deutschland ist schön.
212|adv|möglich|So schnell wie möglich.
224|part|etwa|Es ist etwa zu spät.
240|adv|eben, ebend|Ich habe es dir eben gesagt.
243|der, das|das Teil|Jedes Teil hat seine Funktion.
269|die (pl)||Viele Leute sind hier.
331|conj|sowie|Er kam sowie sie ging.
509|die|die Milliarde, Mrd.|Eine Milliarde Menschen.
534|part|halt|Das ist halt so.
537|prep|nahe, nah|Der Parkplatz ist nah der Schule.
557|der, die|das Deutsche|Das Deutsche ist schwer.
576|pron|darum|Er geht darum.
611|prep|innerhalb|Innerhalb einer Woche.
656|prep|trotz|Trotz des Regens.
663|adv|mindestens|Das ist mindestens.
668|adv|jeweils|Jeweils am Morgen.
684|das|das Bayern|Bayern ist schön.
770|das|das Österreich|Österreich ist schön.
774|die|die Mitte|Die Mitte des Raumes.
776|prep|aufgrund|Aufgrund des Wetters.
840|das|der Alter|Das Alter ist nur eine Zahl.
863|das|das Russland|Russland ist groß.
879|das|das Frankreich|Frankreich ist schön.
899|das|das Russisch|Ich spreche Russisch.
914|das|das China|China ist groß.
1024|das|das Tor|Das Tor ist offen.
1054|der|der Gewinn|Der Gewinn ist hoch.
1090|die|das Grüne|Das Grüne ist beruhigend.
1155|adv|her|Vor einem Jahr.
1164|der|der Beitrag|Sein Beitrag war wichtig.
1182|das|das Gebiet|Das Gebiet ist groß.
1192|pron|irgendetwas, irgendwas|Hast du irgendetwas gesagt?
1227|adj|chinesisch|Das Essen ist chinesisch.
1245|adv|erstmals|Erstmals hier.
1264|adj|berliner|Die Berliner Mauer.
1284|adj|geboren|Er ist geboren.
1316|part|äh|Äh, ich weiß nicht.
1348|adj|Schweizer|Der Käse ist Schweizer.
1390|verb|konzentrieren, konzentriert, konzentrierte, hat konzentriert|Ich kann mich nicht konzentrieren.
1393|die|die See|Die See ist ruhig.
1400|der, die|die Jugendliche|Die Jugendliche liest ein Buch.
1417|verb|ankündigen, kündigt an, kündigte an, hat angekündigt|Er kündigte seinen Besuch an.
1431|der|der Bezug|Er nimmt Bezug auf das Buch.
1436|der|der Club|Der Club ist voll.
1459|adj|bayrisch|Das Essen ist bayrisch.
1471|verb|vermitteln, vermittelt, vermittelte, hat vermittelt|Er vermittelt den Vertrag.
1488|adv|mitten|Mitten im Raum.
1489|prep|zufolge|Dem Bericht zufolge.
1492|das|das Syrien|Syrien ist weit weg.
1505|adj|zuständig|Er ist zuständig.
1548|adv|vorbei|Die Zeit ist vorbei.
1762|num||Er hat null Punkte.
1779|der|der Verlauf|Der Verlauf der Krankheit.
1910|verb|mitbringen, bringt mit, brachte mit, hat mitgebracht|Er bringt das Buch mit.
1921|adj|-jährig|Er ist zwanzigjährig.
1973|die|die Ansicht|Das ist meine Ansicht.
1993|pron|irgendwelche (r, s)|Irgendwelche Fragen?
2037|prep|mittels|Mittels eines Tricks gelang es.
2086|adj|Wiener|Der Kaffee ist Wiener Art.
2090|das|das Afghanistan|Afghanistan ist schön.
2092|verb|absehen, sieht ab, sah ab, hat abgesehen|Das ist nicht abzusehen.
2161|die|die Saga|Die Saga ist spannend.
2203|die|die Leber|Die Leber ist wichtig.
2241|verb|ansetzen, setzt an, setzte an, hat angesetzt|Er setzt den Termin an.
2245|verb|beruhen, beruht, beruhte, hat beruht|Das basiert auf Fakten.
2256|die, das|die E-Mail|Die E-Mail kam an.
2274|adv|daraufhin|Er geht daraufhin fort.
2451|adv|ebenda|Das Zitat stammt ebenda.
2453|der, die|die Erwachsene|Die Erwachsene sind verantwortlich.
2489|der|das Bord|Er ist an Bord.
2513|adv|plus|Morgen erwarten wir 10 Grad plus.
2514|conj|plus|10 plus 15 macht 25.
2515|das|das Plus|Ein Plus des Jobs ist das Gehalt.
2520|verb|ausziehen, zieht aus, zog aus, ist ausgezogen|Er zog aus dem Haus aus.
2529|das|das Geschlecht|Das Geschlecht ist weiblich.
2535|die|die Base|Die Base reagiert mit der Säure.
2540|die|die Ehre|Er bewahrt seine Ehre.
2545|der|der Dialog|Der Dialog war interessant.
2546|der|der Schuss|Ein Schuss fiel.
2555|adj|olympisch|Die Spiele sind olympisch.
2556|adj|verdammt|Das war verdammt schwer!
2561|verb|umbringen, bringt um, brachte um, hat umgebracht|Er brachte sie um.
2564|das|das Schweden|Schweden ist wunderschön.
2566|pron|worauf|Worauf basiert diese Annahme?
2574|adj|Frankfurter|Der Frankfurter Flughafen ist groß.
2582|adj|räumlich|Die räumliche Gestaltung ist schön.
2587|verb|vergeben|Der Preis wurde vergeben.
2603|prep|jenseits|Jenseits des Flusses liegt ein Dorf.
2604|verb|unterliegen, unterliegt, unterlag, hat unterlegen|Er unterliegt im Wettkampf.
2606|adj|willkommen|Du bist hier willkommen.
2617|verb|bedrohen, bedroht, bedrohte, hat bedroht|Die Situation bedroht uns alle.
2625|adj|scheinbar|Das ist nur scheinbar so.
