|part_of_speech|word_de|sentence_de|issue
17|prep|von|Ein Brief von dir.|Incomplete sentence; lacks a main clause
30|part|zu|Zu viel Zucker.|Incomplete sentence; lacks a main clause
30|part|zu|Zu viel Zucker.|Misclassified as particle; used as preposition
33|part|als|Größer als er.|Incomplete sentence; lacks a main clause
33|part|als|Größer als er.|Misclassified as particle; used as conjunction
36|part|wie|Er arbeitet wie ein Pferd.|Misclassified as particle; used as conjunction
41|pron|Ihr|Ist das Ihr Auto?|Potentially ambiguous; "Ihr" can be mistaken for lowercase "ihr"
41|pron|Ihr|Ist das Ihr Auto?|Potentially misleading use of possessive pronoun
63|pron|kein|Ich habe kein Geld.|Misclassified as pronoun; used as article
84|(Reflexive pronoun in the accusative case.)|mich|Ich freue mich auf das Wochenende.|Incorrect or unclear abbreviation for the part of speech
84|(Reflexive pronoun in the accusative case.)|mich|Ich freue mich auf das Wochenende.|Vague classification of reflexive pronoun
105|conj|mal|Ein mal eins ist eins.|Misclassified as a conjunction; "mal" functions as a noun in this context
105|conj|mal|Ein mal eins ist eins.|Misclassified as conjunction; used as noun
131|pron|wenig|Es gibt wenig Hoffnung.|Misclassified as pronoun; used as determiner/quantifier
175|das|das Deutschland|Deutschland ist schön.|Unnecessary article; "das" should be omitted as "Deutschland" is a proper noun
212|adv|möglich|So schnell wie möglich.|Incomplete sentence; lacks a main clause
224|part|etwa|Es ist etwa zu spät.|Incorrect usage; "etwa" should be an adverb here, not a particle
240|adv|eben, ebend|Ich habe es dir eben gesagt.|Spelling error; "ebend" is incorrect, should be "eben"
243|der, das|das Teil|Jedes Teil hat seine Funktion.|Ambiguity; "Teil" can refer to different meanings depending on the article ("der Teil" or "das Teil")
269|die (pl)||Viele Leute sind hier.|Missing the word for the plural form; "die Leute" or "die Menschen" should be explicitly stated
331|conj|sowie|Er kam sowie sie ging.|Incorrect conjunction usage; "sowie" should mean "as well as," not "as soon as"
509|die|die Milliarde, Mrd.|Eine Milliarde Menschen.|Incomplete sentence
534|part|halt|Das ist halt so.|Informal usage; "halt" is a colloquial filler and may not be appropriate in formal contexts.
537|prep|nahe, nah|Der Parkplatz ist nah der Schule.|Incorrect preposition usage; "nahe" should be followed by "bei" or "an," as in "Der Parkplatz ist nahe bei der Schule."
557|der, die|das Deutsche|Das Deutsche ist schwer.|Incorrect article usage; "Deutsch" should not take an article in this context, making the sentence awkward. It should be "Deutsch ist schwer."
576|pron|darum|Er geht darum.|Incorrect usage; "darum" as a pronoun does not fit logically in this sentence. It should likely be "Er geht darum, etwas zu tun" or "Er kümmert sich darum."
576|pron|darum|Er geht darum.|Misclassified as pronoun; should be adverb
611|prep|innerhalb|Innerhalb einer Woche.|Incomplete sentence
656|prep|trotz|Trotz des Regens.|Incomplete sentence
663|adv|min|mindestens|Das ist mindestens.|Incomplete sentence; lacks a predicate or a clear continuation.
668|adv|jeweils|Jeweils am Morgen.|Incomplete sentence
684|das|das Bayern|Bayern ist schön.|Unnecessary article; "das" should be omitted as "Bayern" is a proper noun.
770|das|das Österreich|Österreich ist schön.|Unnecessary article; "das" should be omitted as "Österreich" is a proper noun.
774|die|die Mitte|Die Mitte des Raumes.|Incomplete sentence
776|prep|aufgrund|Aufgrund des Wetters.|Incomplete sentence
840|das|der Alter|Das Alter ist nur eine Zahl.|Incorrect article; should be "das Alter."
863|das|das Russland|Russland ist groß.|Unnecessary article; "das" should be omitted as "Russland" is a proper noun.
879|das|das Frankreich|Frankreich ist schön.|Unnecessary article; "das" should be omitted as "Frankreich" is a proper noun.
899|das|das Russisch|Ich spreche Russisch.|Unnecessary article; "das" should be omitted as "Russisch" is a language and should not take an article.
914|das|das China|China ist groß.|Unnecessary article; "das" should be omitted as "China" is a proper noun.
1024|das|das Tor|Das Tor ist offen.|Misalignment of article usage. Should not use "das" for a goal in this context.
1054|der|der Gewinn|Der Gewinn ist hoch.|Misalignment of meaning. Contextually "Gewinn" can refer to a gain or profit, needs clarification.
1090|die|das Grüne|Das Grüne ist beruhigend.|Incorrect article. "Das Grüne" is an informal term not suitable for this sentence construction.
1155|adv|her|Vor einem Jahr.|Incomplete sentence
1164|der|der Beitrag|Sein Beitrag war wichtig.|Article usage could be contextually incorrect as it could refer to different meanings (fee/contribution).
1182|das|das Gebiet|Das Gebiet ist groß.|Vague sentence; "Gebiet" context needed.
1192|pron|irgendetwas, irgendwas|Hast du irgendetwas gesagt?|Informal usage of pronoun "irgendwas."
1227|adj|chinesisch|Das Essen ist chinesisch.|Ambiguity in context; "chinesisch" as an adjective is vague.
1245|adv|erstmals|Erstmals hier.|Incomplete sentence
1264|adj|berliner|Die Berliner Mauer.|Incorrect case usage or adjective use.
1264|adj|berliner|Die Berliner Mauer.|Should be capitalized as part of a proper noun
1284|adj|geboren|Er ist geboren.|Functioning more as past participle than adjective
1316|part|äh|Äh, ich weiß nicht.|Interjection usage not contextually necessary or formal.
1348|adj|Schweizer|Der Käse ist Schweizer.|Adjective "Schweizer" is redundant; "Schweizer Käse" should be preferred.
1390|verb|konzentrieren, konzentriert, konzentrierte, hat konzentriert|Ich kann mich nicht konzentrieren.|Reflexive verb usage not indicated
1393|die|die See|Die See ist ruhig.|Potential confusion with "der See"
1400|der, die|die Jugendliche|Die Jugendliche liest ein Buch.|Ambiguous gender; better to specify.
1417|verb|ankündigen, kündigt an, kündigte an, hat angekündigt|Er kündigte seinen Besuch an.|Verb "ankündigen" needs a clearer context or explanation of visit.
1431|der|der Bezug|Er nimmt Bezug auf das Buch.|Could be ambiguous; context on "Bezug" lacking.
1436|der|der Club|Der Club ist voll.|Club could contextually mean a team, context needed.
1459|adj|bayrisch|Das Essen ist bayrisch.|"Bayrisch" should use standard adjective "bayerisch."
1471|verb|vermitteln, vermittelt, vermittelte, hat vermittelt|Er vermittelt den Vertrag.|The sentence implies a translation role, needing clarification.
1492|das|das Syrien|Syrien ist weit weg.|Incorrect article usage; "Syrien" should not use an article.
1505|adj|zuständig|Er ist zuständig.|The sentence is contextually incomplete; "zuständig" typically requires specification (e.g., "Er ist zuständig für...").
1548|adv|vorbei|Die Zeit ist vorbei.|While correct, the sentence is overly simplistic; "vorbei" typically refers to events or periods, making this sentence feel slightly awkward.
1762|num||Er hat null Punkte.|The sentence is incomplete because the entry is missing the number word "null."
1910|verb|mitbringen, bringt mit, brachte mit, hat mitgebracht|Er bringt das Buch mit.|The sentence is correct but lacks context; "mitbringen" usually involves a specified event or location.
1921|adj|-jährig|Er ist zwanzigjährig.|The use of "-jährig" is incomplete; it typically modifies a noun (e.g., "zwanzigjähriger Mann").
1973|die|die Ansicht|Das ist meine Ansicht.|While correct, the sentence is very basic and lacks depth; "Ansicht" often requires more elaboration for clarity.
2086|adj|Wiener|Der Kaffee ist Wiener Art.|The sentence is missing an article or preposition to be grammatically correct. It should be "Der Kaffee ist von Wiener Art" or "Der Kaffee ist nach Wiener Art."
2090|das|das Afghanistan|Afghanistan ist schön.|This sentence may be considered inappropriate due to the sensitive geopolitical context; "schön" is an odd descriptor for a country known for conflict.
2092|verb|absehen, sieht ab, sah ab, hat abgesehen|Das ist nicht abzusehen.|The sentence is incomplete as it does not clearly connect with the context of "absehen".
2161|die|die Saga|Die Saga ist spannend.|Incorrect use of the word "Saga." In German, "Saga" usually refers to a myth or a legend, and describing it as "spannend" (exciting) may seem odd depending on the context.
2203|die|die Leber|Die Leber ist wichtig.|The sentence is technically correct but sounds unnatural as it lacks specific context, making it awkward.
2241|verb|ansetzen, setzt an, setzte an, hat angesetzt|Er setzt den Termin an.|While "ansetzen" can be used for setting a date, the sentence might be considered incomplete without additional context (e.g., "Er setzt den Termin für morgen an").
2245|verb|beruhen, beruht, beruhte, hat beruht|Das basiert auf Fakten.|Incorrect part of speech usage - "beruhen" should be used instead of "basiert" to match the part of speech in the sentence.
2256|die, das|die E-Mail|Die E-Mail kam an.|Ambiguous article usage.
2453|der, die|die Erwachsene|Die Erwachsene sind verantwortlich.|Incorrect article usage.
2489|der|das Bord|Er ist an Bord.|Incorrect article used.
2513|adv|plus|Morgen erwarten wir 10 Grad plus.|Incorrect part of speech; "plus" should be classified as a noun in this context.
2514|conj|plus|10 plus 15 macht 25.|Incorrect part of speech; "plus" should be classified as a noun in this context.
2515|das|das Plus|Ein Plus des Jobs ist das Gehalt.|Ambiguity: The usage of "Plus" in this context is informal and might not be universally understood. It's often used in spoken language but may be unclear in formal writing.
2515|das|das Plus|Ein Plus des Jobs ist das Gehalt.|Incorrect article; "Plus" is a masculine noun.
2529|das|das Geschlecht|Das Geschlecht ist weiblich.|Inaccurate sentence; "Geschlecht" refers to gender or sex, and saying "Das Geschlecht ist weiblich" is unusual. Typically, you would specify "Das Geschlecht ist weiblich" when referring to a specific person or group, which is missing here.
2535|die|die Base|Die Base reagiert mit der Säure.|Ambiguity: The word "Base" can refer to a base in chemistry, but it can also mean "cousin" (female). The sentence is clear but might cause confusion without context.
2535|die|die Base|Die Base reagiert mit der Säure.|Incorrect context; "Base" in this context is a chemistry term, but the sentence might be too simplistic and lacks clarity.
2540|die|die Ehre|Er bewahrt seine Ehre.|Ambiguity: The sentence is correct, but "Ehre" typically doesn't need to be "bewahrt" (preserved) in everyday speech; it's more commonly "verteidigt" (defended).
2540|die|die Ehre|Er bewahrt seine Ehre.|Incomplete sentence; missing contextual information.
2545|der|der Dialog|Der Dialog war interessant.|Incomplete sentence; more context is needed to determine the relevance.
2546|der|der Schuss|Ein Schuss fiel.|Incomplete sentence; lacks context to determine significance.
2555|adj|olympisch|Die Spiele sind olympisch.|Incomplete sentence; lacks context to determine proper adjective use.
2556|adj|verdammt|Das war verdammt schwer!|Improper usage; "verdammt" is colloquial and should be marked as such.
2561|verb|umbringen, bringt um, brachte um, hat umgebracht|Er brachte sie um.|Incomplete sentence; unclear context.
2564|das|das Schweden|Schweden ist wunderschön.|Incorrect article; "Schweden" is a proper noun and should not have the article "das".
2564|das|das Schweden|Schweden ist wunderschön.|Incorrect part of speech: "Schweden" should be classified as a proper noun, not "das."
2566|pron|worauf|Worauf basiert diese Annahme?|Ambiguity: The word "worauf" can be ambiguous without context. It might need further clarification in complex sentences.
2574|adj|Frankfurter|Der Frankfurter Flughafen ist groß.|Incorrect classification; "Frankfurter" is a proper noun, not an adjective.
2582|adj|räumlich|Die räumliche Gestaltung ist schön.|Incorrect form; the adjective should be "räumlich" instead of "räumliche" in the example.
2587|verb|vergeben|Der Preis wurde vergeben.|Ambiguity: "vergeben" can mean both "to forgive" and "to award." The sentence should clarify the context.
2603|prep|jenseits|Jenseits des Flusses liegt ein Dorf.|Incomplete sentence; the preposition "jenseits" could be used in a more complex structure for clarity.
2604|verb|unterliegen, unterliegt, unterlag, hat unterlegen|Er unterliegt im Wettkampf.|Incorrect form; "unterlegen" should be "unterlegen ist."
2606|adj|willkommen|Du bist hier willkommen.|Incorrect part of speech; "willkommen" is used as an interjection or a participle, not as an adjective.
2617|verb|bedrohen, bedroht, bedrohte, hat bedroht|Die Situation bedroht uns alle.|Incomplete sentence; context needed for clarity.
2625|adj|scheinbar|Das ist nur scheinbar so.|Ambiguity: The sentence is correct, but "scheinbar" can often be confused with "anscheinend," which has a slightly different meaning.
2641|der|der Kredit|Ich brauche einen Kredit.|Incomplete sentence; more context is needed to determine the relevance.
2642|das|das Wohnzimmer|Das Wohnzimmer ist gemütlich.|Incomplete sentence; lacks context to be meaningful.
2644|die|die Leitung|Die Leitung hat gewechselt.|Incorrect context; "Leitung" can mean leadership or a cable, but the sentence doesn't clarify which.
2645|verb|strahlen, strahlt, strahlte, hat gestrahlt|Die Sonne strahlt hell.|Incomplete sentence; more context needed for proper usage.
2645|verb|strahlen, strahlt, strahlte, hat gestrahlt|Die Sonne strahlt hell.|Unnecessary as this is a standard sentence with no issues.
2652|der|der Sportler|Der Sportler trainiert hart.|Incomplete sentence; lacks context to determine significance.
2660|der|der Kommentar|Der Kommentar war hilfreich.|Incomplete sentence; context is missing to clarify what the comment refers to.
2662|das|das Radio|Das Radio ist laut.|Incomplete sentence; lacks context to determine significance.
2666|verb|ansteigen, steigt an, stieg an, ist angestiegen|Die Preise steigen an.|Incomplete sentence; context missing.
2667|die|die Rückkehr|Die Rückkehr war erfreulich.|Incomplete sentence; more context is needed.
2691|verb|bereiten, bereitet, bereitete, hat bereitet|Der Unfall hat großen Schaden bereitet.|Incorrect usage; the verb "bereiten" is typically used with intangible subjects like "Freude bereiten" (to bring joy).
2692|die|die Entstehung|Die Entstehung des Lebens ist ein Rätsel.|Incomplete sentence; context missing.
2700|adj|erkennbar|Das Bild ist erkennbar.|Incorrect usage; "erkennbar" needs a clearer context or subject.
2712|der, die|die Erste|Die Erste ist die Beste.|Ambiguous context; "die Erste" should refer to something specific, which is missing here.
2712|der, die|die Erste|Die Erste ist die Beste.|Incorrect usage; "die Erste" is typically used in a specific context like a competition or ranking.
2721|verb|austauschen, tauscht aus, tauschte aus, hat ausgetauscht|Sie tauschten die Ideen aus.|Incomplete sentence; lacks context to understand the significance of the exchange.
2722|verb|beschleunigen, beschleunigt, beschleunigte, hat beschleunigt|Das Auto beschleunigt schnell.|Incomplete sentence; context needed.
2727|der|der Protest|Der Protest war friedlich.|Incomplete sentence; context missing.
2728|die|die Tour|Die Tour war aufregend.|Does not fit well with the word "die Tour." It seems like a standard sentence that doesn't need attention.
2735|der|der Außenminister|Der Außenminister reiste ab.|Incomplete sentence; lacks context.
2740|der, die, das|die Alte|Der Alte ging spazieren.|Ambiguous usage; "die Alte" needs clearer context or article.
2740|der, die, das|die Alte|Der Alte ging spazieren.|Inappropriate usage: "die Alte" can be considered pejorative or disrespectful when referring to a person, depending on the context.
2740|der, die, das|die Alte|Der Alte ging spazieren.|Incorrect or outdated use of "die Alte" can be considered disrespectful or inappropriate depending on context.
2750|verb|zögern, zögert, zögerte, hat gezögert|Er zögerte mit der Antwort.|Incomplete sentence; the situation requiring hesitation is not clear.
2753|verb|einziehen, zieht ein, zog ein, hat eingezogen|Wir ziehen nächste Woche ein.|Should not need to be corrected. A straightforward sentence.
2758|der|der Atem|Ich verlor den Atem.|Incorrect expression; the correct phrase should be "mir stockte der Atem."
2777|verb|abbilden, bildet ab, bildete ab, hat abgebildet|Das Buch bildet die Realität ab.|Incomplete sentence; lacks context.
2782|das|das Brasilien|Brasilien ist ein großes Land.|"das" should be omitted, as "Brasilien" is a proper noun and does not need an article
2786|verb|hinausgehen, geht hinaus, ging hinaus, ist hinausgegangen|Wir gehen hinaus.|Incomplete sentence; lacks context.
2790|adj|bürgerlich|Das ist ein bürgerliches Recht.|Incorrect classification; "bürgerlich" often needs context to be properly understood.
2805|die|die Dichte|Die Dichte des Materials ist hoch.|Incorrect context; lacks a specific context or field of study for the term "Dichte."
2821|die|die Opposition|Die Opposition protestiert.|Incomplete sentence; lacks context to clarify what the protest is about.
2828|die|die Adresse|Ich brauche deine Adresse.|Incomplete sentence; lacks context.
2833|das|das Niederländisch|Niederländisch ist leicht zu lernen.|Incorrect article; "Niederländisch" as a language does not typically require "das."
2844|der|der Bildschirm|Der Bildschirm ist groß.|Incomplete sentence; lacks context.
2851|die|die Beteiligung|Die Beteiligung war groß.|Incomplete sentence; lacks context to determine the significance of the involvement.
2854|die|die Hut|Er steht auf der Hut.|Incorrect article usage; "Hut" should be masculine (der Hut) when referring to "a hat" and not "auf der Hut" which is a fixed expression for "being on guard".
2854|die|die Hut|Er steht auf der Hut.|Incorrect article; should be "auf der Hut" (idiomatic expression), not "die Hut" (which would incorrectly refer to a hat)
2854|die|die Hut|Er steht auf der Hut.|Incorrect part of speech; "die Hut" should be "der Hut" when referring to a hat, or "auf der Hut sein" is an idiomatic expression meaning "to be on guard."
2854|die|die Hut|Er steht auf der Hut.|Incorrect part of speech: "die Hut" as a noun doesn't align with the phrase "auf der Hut sein," which is idiomatic. "Hut" in this case should be treated as part of a fixed phrase rather than a standard noun.
2915|die|die Aufklärung|Die Aufklärung war notwendig.|Incorrect context; "Aufklärung" can refer to education, enlightenment, or solving a mystery, but the sentence doesn’t specify.
2917|adj|denkbar|Das ist denkbar.|Ambiguity: The sentence is technically correct, but "denkbar" is contextually vague and could be considered too broad without more information.
2921|die|die Schönheit|Die Schönheit der Natur ist überwältigend.|Incomplete sentence; context missing.
2924|das|das Dänemark|Dänemark ist wunderschön.|"das" should be omitted, as "Dänemark" is a proper noun and does not need an article
2925|pron|dazwischen|Er steht dazwischen.|Incomplete sentence; lacks context to clarify the meaning of "dazwischen."
2927|das|das Tibet|Tibet liegt in Asien.|Improper context; unclear why "das" is used with a proper noun.
2927|das|das Tibet|Tibet liegt in Asien.|Incorrect article; "Tibet" does not usually take an article in German.
2935|die|die Truppe|Die Truppe marschiert.|Incomplete sentence; lacks context to determine the significance of the action.
2944|die|die Kasse|Die Kasse ist leer.|Ambiguity: "Kasse" could refer to both a cash register or a fund, leading to potential confusion without context.
2945|die (pl)||Er hat viele Schulden.|Incomplete entry; missing noun to clarify the sentence's subject.
2945|die (pl)||Er hat viele Schulden.|Incomplete entry; missing word in the third column.
2945|die (pl)||Er hat viele Schulden.|Incomplete: The entry for the word is missing in the "word in German" column.
2954|die|die Zunge|Die Zunge ist rosa.|Incorrect context; could be perceived as trivial or irrelevant without additional context.
2997|pron|wodurch|Wodurch ist das passiert?|While grammatically correct, this is a very simple phrase for this exercise.
3011|adj|konsequent|Das ist konsequent gehandelt.|Incorrect part of speech: "konsequent" is an adjective, but the sentence uses it incorrectly as if it were an adverb.
3014|der|der Gehalt|Der Gehalt des Buches ist tiefgründig.|"der Gehalt" is used correctly, but "Gehalt" can also mean "salary" and might be confusing without context
3014|der|der Gehalt|Der Gehalt des Buches ist tiefgründig.|Incorrect part of speech: "der Gehalt" is correct, but it might be confused with "das Gehalt" (salary).
3043|das|das Zitat|Das Zitat ist bekannt.|Too simple: The sentence is correct but lacks contextual richness.
3059|die|die Anerkennung|Die Anerkennung war groß.|Ambiguity: The sentence is correct but could be improved for clarity, as "groß" is vague.
3066|das, die (pl)|das Weihnachten|Das Weihnachten ist bald.|Incorrect article: "Weihnachten" does not typically use "das" as an article.
3066|das, die (pl)|das Weihnachten|Das Weihnachten ist bald.|Incorrect article: "Weihnachten" typically does not use an article in this context.
3066|das, die (pl)|das Weihnachten|Das Weihnachten ist bald.|Incorrect article: "Weihnachten" typically uses no article or "das" in a different context.
3066|das|das Weihnachten|Das Weihnachten ist bald.|"Weihnachten" usually doesn't take an article in this context
3115|adj|langweilig|Dieses Buch ist langweilig.|Inappropriate sentence: While grammatically correct, the sentence is too simplistic and may be flagged for lacking contextual richness.
3115|adj|langweilig|Dieses Buch ist langweilig.|Inappropriate tone: The sentence is overly simplistic and lacks depth.
3146|adj|cool|Diese Idee ist cool.|Inappropriate register: The word "cool" is informal and could be contextually inappropriate in formal or academic texts.
3146|adj|cool|Diese Idee ist cool.|Inappropriate register: The word "cool" is informal and could be inappropriate in more formal contexts.
3150|der|der Irak|Irak ist weit weg.|The article "der" is often omitted in contemporary usage
3150|verb|strecken, streckt, streckte, hat gestreckt|Er streckt die Arme.|Ambiguous context: Could be mistaken for a reflexive verb.
3175|verb|angucken, guckt an, guckte an, hat angeguckt (ankucken)|Er guckt den Film an.|Spelling variation: "angucken" and "ankucken" are used regionally and can be informal.
3179|verb|isolieren, isoliert, isolierte, hat isoliert|Der Ingenieur isoliert die Wand.|Ambiguity: The meaning of "isoliert" could be misunderstood without context, as it could mean "insulates" or "isolates."
3179|verb|isolieren, isoliert, isolierte, hat isoliert|Der Ingenieur isoliert die Wand.|Ambiguity: The meaning of "isoliert" could be misunderstood without context, as it could mean either "insulates" or "isolates."
3218|adj|intelligent|Der Schüler ist intelligent.|Too simple: The sentence is correct but lacks depth and context.
3218|adj|intelligent|Der Schüler ist intelligent.|Too simplistic: While correct, the sentence is very basic and could be flagged as lacking depth.
