179|adj|wichtig|Das ist wichtig.
290|das|das Recht|Das Recht ist wichtig.
440|die|die Rolle|Die Rolle ist wichtig.
632|die (pl)||Die Daten sind wichtig.
717|adv|insbesondere|Das ist insbesondere wichtig.
772|die|die Bewegung|Die Bewegung ist wichtig.
790|die|die Größe|Die Größe ist wichtig.
841|die|die Sicherheit|Die Sicherheit ist wichtig.
864|die|die Wahl|Die Wahl ist wichtig.
880|die|die Freiheit|Freiheit ist wichtig.
918|die|die Bildung|Die Bildung ist wichtig.
985|der|der Abschnitt|Der Abschnitt ist wichtig.
998|der|der Kontakt|Der Kontakt ist wichtig.
1014|das|das BGB (Bürgerliches Gesetzbuch)|Das BGB ist wichtig.
1053|das|das Protein|Protein ist wichtig.
1081|der|der Titel|Der Titel ist wichtig.
1105|adj|kulturell|Das Festival ist kulturell wichtig.
1139|das|das Ereignis|Das Ereignis ist wichtig.
1164|der|der Beitrag|Sein Beitrag war wichtig.
1183|die|die Behörde|Die Behörde ist wichtig.
1214|die|die Unterstützung|Die Unterstützung ist wichtig.
1224|adj|gesellschaftlich|Das ist gesellschaftlich wichtig.
1248|die|die Ausbildung|Die Ausbildung ist wichtig.
1270|die|die Vergangenheit|Die Vergangenheit ist wichtig.
1356|die|die Integration|Die Integration ist wichtig.
1370|der|der Aspekt|Der Aspekt ist wichtig.
1395|die|die Konzentration|Die Konzentration ist wichtig.
1398|die|die Fähigkeit|Die Fähigkeit ist wichtig.
1404|die|die Erkenntnis|Die Erkenntnis war wichtig.
1418|das|das Enzym|Das Enzym ist wichtig.
1477|die|die Demokratie|Die Demokratie ist wichtig.
1499|der|der Auftrag|Der Auftrag ist wichtig.
1600|die|die Kommunikation|Die Kommunikation ist wichtig.
1657|das|das Verständnis|Das Verständnis ist wichtig.
1708|das|das Kriterium|Das Kriterium ist wichtig.
1746|die|die Umwelt|Die Umwelt ist wichtig.
1835|die|die Aufmerksamkeit|Die Aufmerksamkeit ist wichtig.
1859|die|die DNA (DNS, Desoxyribonukleinsäure)|DNA ist wichtig.
1869|das|das Detail|Das Detail ist wichtig.
1933|die|die Gesundheit|Die Gesundheit ist wichtig.
2015|die|die Gegenwart|Die Gegenwart ist wichtig.
2017|die|die Aminosäure|Die Aminosäure ist wichtig.
2059|die|die Religion|Die Religion ist wichtig.
2120|die|die Lehre|Die Lehre war wichtig.
2191|adj|grundlegend|Das ist grundlegend wichtig.
2203|die|die Leber|Die Leber ist wichtig.
2222|die|die Koordination|Die Koordination ist wichtig.
2435|der|der Kontext|Der Kontext ist wichtig.
2569|die|die Landwirtschaft|Die Landwirtschaft ist wichtig.
2715|die|die Ernährung|Die Ernährung ist wichtig.
2734|das|das Subjekt|Das Subjekt ist wichtig.
2773|das|das Vitamin|Vitamine sind wichtig.
2813|adj|sexuell|Sexuelle Aufklärung ist wichtig.
2831|die|die Nahrung|Gesunde Nahrung ist wichtig.
2838|der|der Parameter|Der Parameter ist wichtig.
2842|adj|interkulturell|Interkulturelle Kompetenz ist wichtig.
2898|die|die Infrastruktur|Die Infrastruktur ist wichtig.
3036|die|die Stabilität|Die Stabilität ist wichtig.
3063|die|die Berücksichtigung|Die Berücksichtigung war wichtig.
3131|das|das Ministerium|Das Ministerium ist wichtig.
3192|das|das Stichwort|Das Stichwort ist wichtig.
3208|die|die Ausführung|Die Ausführung ist wichtig.
3247|die|die Motivation|Die Motivation ist wichtig.
3327|das|das Dokument|Das Dokument ist wichtig.
3353|die|die Veröffentlichung|Die Veröffentlichung ist wichtig.
3390|die|die Unterscheidung|Die Unterscheidung ist wichtig.
3411|die|die Reihenfolge|Die Reihenfolge ist wichtig.
3460|die|die Solidarität|Solidarität ist wichtig.
3513|die|die Erziehung|Die Erziehung ist wichtig.
3540|die|die Mitteilung|Die Mitteilung ist wichtig.
3564|die|die Unabhängigkeit|Die Unabhängigkeit ist wichtig.
3597|das|das Menschenrecht|Menschenrechte sind wichtig.
3700|die|die Qualifikation|Die Qualifikation ist wichtig.
3850|das|das Attribut|Das Attribut ist wichtig.
3910|die|die Vernunft|Vernunft ist wichtig.
3950|die|die Transparenz|Die Transparenz ist wichtig.
3997|das|das Substrat|Das Substrat ist wichtig.
4079|das|der Kohlenstoff|Kohlenstoff ist wichtig.
4160|die|die Differenzierung|Die Differenzierung ist wichtig.
4263|der|der Operator|Der Operator ist wichtig.
4359|die|die Prävention|Prävention ist wichtig.
4462|das|das Profil|Das Profil ist wichtig.
4498|das|das Substantiv|Das Substantiv ist wichtig.
4558|das|das Zeugnis|Das Zeugnis ist wichtig.
4588|die|die Finanzen|Finanzen sind wichtig.
4655|die|die Kreativität|Die Kreativität ist wichtig.
4727|die|die Pflege|Die Pflege ist wichtig.
4769|die|die Energiewirtschaft|Die Energiewirtschaft ist wichtig.
4786|die|die Instanz|Die Instanz ist wichtig.
4809|das|das Insulin|Insulin ist wichtig für Diabetiker.
4893|die|die Einzelheit|Die Einzelheit ist wichtig.
4897|der|der Import|Der Import von Waren ist wichtig.
4900|die|die Toleranz|Toleranz ist sehr wichtig.
4950|das|das Getreide|Getreide ist wichtig.
4988|das|das Trinken|Das Trinken ist wichtig.
5049|der|der Ausschnitt|Der Ausschnitt ist wichtig.
5073|die|die Beachtung|Die Beachtung der Regeln ist wichtig.
