of|i
do|v
they|p
she|p
about|i
there|e
him|p
could|v
no|a
man|n
very|r
work|v
call|v
in|r
as|r
help|v
every|a
yes|u
its|a
hand|n
about|r
without|i
story|n
begin|v
fact|n
maybe|r
issue|n
though|c
best|j
both|d
much|r
four|m
car|n
back|n
member|n
whether|c
stay|v
die|v
office|n
grow|v
second|m
low|j
whole|j
hard|j
police|n
break|v
listen|v
full|j
local|j
value|n
explain|v
movie|n
difference|n
effort|n
because|i
need|n
situation|n
share|v
simply|r
open|j
save|v
guess|v
election|n
certain|j
available|j
current|j
list|n
fire|n
author|n
note|v
nearly|r
top|n
worker|n
race|n
poor|j
enjoy|v
defense|n
century|n
animal|n
mile|n
compare|v
sister|n
thus|r
candidate|n
somebody|p
meeting|n
imagine|v
disease|n
apply|v
rise|v
set|n
method|n
shit|n
interview|n
blue|j
environment|n
river|n
bit|r
absolutely|r
trouble|n
seat|n
necessary|j
democratic|j
address|v
management|n
tomorrow|r
stick|v
discover|v
user|n
inside|i
nor|c
through|r
mouth|n
travel|v
photograph|n
touch|v
suffer|v
heat|n
judge|n
fall|n
internet|n
element|n
wind|n
just|j
interested|j
researcher|n
capital|n
hill|n
basic|j
engage|v
smile|v
contract|n
apple|n
sales|n
lake|n
gain|v
location|n
otherwise|r
highly|r
cry|v
associate|v
connection|n
smart|j
ride|v
presence|n
crowd|n
border|n
website|n
relation|n
volume|n
extra|j
hire|v
forest|n
focus|n
advice|n
enemy|n
female|j
glad|j
kick|v
actor|n
topic|n
session|n
wine|n
youth|n
extend|v
surprise|n
slightly|r
lift|v
excuse|v
desire|n
anywhere|r
grand|j
angry|j
struggle|v
neck|n
generate|v
literature|n
capture|v
studio|n
circle|n
colleague|n
works|n
comfortable|j
teaching|n
live|j
zone|n
minority|n
gender|n
domestic|j
percentage|n
request|n
fee|n
tooth|n
self|n
chapter|n
shift|v
convention|n
scream|v
extent|n
accuse|v
farmer|n
contribution|n
question|v
era|n
expose|v
guide|n
escape|v
eliminate|v
pretty|j
muscle|n
far|c
cycle|n
judgment|n
lie|n
hand|v
fast|j
basketball|n
quote|v
immigration|n
separate|v
flow|n
technical|j
mark|n
soil|n
selection|n
resolution|n
dude|n
slow|v
essentially|r
offense|n
fairly|r
pregnant|j
deficit|n
philosophy|n
prosecutor|n
knife|n
housing|n
pop|v
publication|n
beneath|i
pepper|n
accomplish|v
consist|v
engineering|n
jail|n
brief|j
shout|v
avenue|n
scholar|n
illness|n
awesome|j
designer|n
retire|v
incredible|j
rarely|r
giant|n
stream|n
twitter|n
accurate|j
pay|n
another|p
potentially|r
slide|v
rather|c
reputation|n
giant|j
fishing|n
stranger|n
rape|n
negotiation|n
sequence|n
weigh|v
electronic|j
impression|n
visible|j
restore|v
sauce|n
detect|v
apologize|v
airline|n
cent|n
grandmother|n
manufacturer|n
roll|n
terrorist|n
violate|v
unlikely|j
idiot|n
stadium|n
mix|n
incorporate|v
taste|v
possess|v
stake|n
developer|n
tiger|n
administrator|n
publisher|n
variation|n
tomato|n
contest|n
load|n
narrator|n
surprise|v
purchase|n
fate|n
surprising|j
adapt|v
random|j
smell|n
tourist|n
stable|j
update|n
friendship|n
humor|n
chemical|n
silly|j
lifestyle|n
crap|n
imagination|n
drawing|n
guide|v
segment|n
slight|j
can|n
sue|v
notice|n
canadian|j
pill|n
terrorist|j
decrease|v
dumb|j
furthermore|r
tactic|n
nerve|n
aircraft|n
duke|n
furniture|n
garage|n
allegation|n
fake|j
grant|n
patient|j
whoever|p
membership|n
makeup|n
mall|n
courage|n
mainstream|j
delay|n
communist|j
palestinian|n
till|c
function|v
soccer|n
uncomfortable|j
gospel|n
fabric|n
admire|v
hunter|n
virtual|j
athletic|j
sword|n
dose|n
grave|n
absorb|v
nominee|n
nail|n
resign|v
hardware|n
snake|n
depict|v
gradually|r
starting|n
rescue|v
praise|v
van|n
counsel|n
motive|n
chronic|j
cave|n
driving|j
tag|n
precious|j
agricultural|j
rape|v
powder|n
govern|v
butt|n
nonetheless|r
speed|v
civilian|n
compound|n
upstairs|r
tune|v
jeans|n
ranch|n
pitcher|n
behavioral|j
advertisement|n
blow|n
bitter|j
treasury|n
walking|n
greek|j
estimated|j
frame|v
republican|j
consent|n
banking|n
apology|n
inspector|n
convey|v
eating|n
custody|n
horn|n
liability|n
considering|c
retrieve|v
goodness|n
repair|n
slavery|n
seal|v
entrepreneur|n
unity|n
treasure|n
exploration|n
upcoming|j
cruise|n
electrical|j
attraction|n
needle|n
magnitude|n
senior|n
chase|n
credibility|n
pursuit|n
broadcast|n
repair|v
alright|r
frozen|j
theology|n
registration|n
beam|n
carbohydrate|n
cloth|n
thief|n
electoral|j
homework|n
continent|n
accusation|n
jaw|n
dot|n
sibling|n
thoroughly|r
feed|n
popularity|n
poorly|r
stem|v
presumably|r
sculpture|n
bad|r
practitioner|n
conscience|n
transport|n
puzzle|n
slice|v
blend|v
elder|n
conversion|n
lightning|n
instruct|v
curiosity|n
speculation|n
ipad|n
cafe|n
specialize|v
installation|n
banker|n
dying|j
halloween|n
unclear|j
guardian|n
emotionally|r
verdict|n
eighth|m
chunk|n
throne|n
collector|n
whip|v
courtroom|n
doorway|n
thou|p
plea|n
destiny|n
countless|j
emperor|n
discourage|v
dough|n
balloon|n
sudden|r
leak|v
usage|n
eyebrow|n
align|v
predator|n
broker|n
wallet|n
haul|v
rib|n
supporting|j
outbreak|n
weaken|v
editorial|j
authentic|j
scent|n
surrender|v
shh|u
reasonably|r
taxi|n
utterly|r
bow|v
plaintiff|n
lesser|j
frustrate|v
audio|j
subsequently|r
inclusion|n
miserable|j
patron|n
absurd|j
shrimp|n
developed|j
distress|n
metropolitan|j
isolated|j
swimming|n
flu|n
tweet|v
tenure|n
cooperative|j
integrated|j
egyptian|j
pumpkin|n
tighten|v
contemplate|v
stove|n
coup|n
worldwide|j
start-up|n
reason|v
supplement|n
circle|v
affection|n
endorsement|n
compensate|v
justification|n
managing|j
neglect|v
atheist|n
spider|n
fulfil|v
sovereignty|n
straighten|v
summarize|v
sketch|n
erase|v
immigrant|j
parenting|n
spike|n
polling|n
sofa|n
thy|a
great|r
grade|v
transparent|j
plunge|v
humanitarian|j
jerk|n
explorer|n
partisan|j
precedent|n
nursing|n
span|n
empower|v
kilometer|n
spark|n
hometown|n
manipulation|n
seminar|n
trim|v
prospective|j
tub|n
obsession|n
liberation|n
vinegar|n
ethnicity|n
middle-class|j
total|v
sympathetic|j
kidnap|v
kind|j
realization|n
bipartisan|j
cohort|n
fish|v
vow|v
comet|n
ground|v
genome|n
prey|n
misery|n
dioxide|n
handy|j
revision|n
glorious|j
cinema|n
sour|j
shaft|n
spokeswoman|n
handling|n
translator|n
bully|v
collision|n
collaborate|v
bureaucracy|n
thanks|i
timber|n
google|v
faction|n
premiere|n
puppet|n
secretly|r
consultation|n
deaf|j
median|j
renewable|j
paid|j
broadly|r
umbrella|n
scrape|v
assurance|n
slate|n
sleeping|j
maple|n
misleading|j
ruling|j
skiing|n
inning|n
email|v
amend|v
embarrassment|n
overturn|v
aloud|r
mug|n
peculiar|j
overweight|j
nazi|n
qualitative|j
stink|v
corresponding|j
whisper|n
exile|n
encouragement|n
distinguished|j
briefing|n
vine|n
opposing|j
dictator|n
satisfying|j
keen|j
oppression|n
feminine|j
scoring|n
dim|j
standpoint|n
mind-set|n
prohibition|n
charitable|j
reported|j
massacre|n
primitive|j
african-american|n
printing|n
terminate|v
referendum|n
validate|v
comprehend|v
referral|n
notorious|j
severity|n
implant|n
wrestling|n
magnet|n
livestock|n
whistle|n
inconsistent|j
