adashmoq yo'lda|блуждать в дороге
afsona qahramoni|герой легенды
chiroyli aft|красивое лицо
agar imkon bo'lsa|если будет возможность
ahamiyatli hodisa|значительное событие
ahil qo'shnilar|дружные соседи
shahar aholisi|городское население
yomon ahvol|плохое состояние
ajal soati|час смерти
ajdodlar xotirasi|память предков
yuzdagi ajin|морщина на лице
ajoyib manzara|удивительный вид
do'stdan ajralmoq|разделяться с другом
ishni ajratmoq|разделять работу
katta aka|старший брат
fikrim aksincha|моё мнение наоборот
katta aksirmoq|сильно чихать
baland alanga|высокое пламя
uy alangalanmoq|дом воспламеняется
albatta kelaman|обязательно приду
do'stni aldamoq|обманывать друга
katta aldamchi|большой обманщик
shirin alla|сладкая колыбельная
allakim kelgan|кто-то пришел
bolani allalamoq|баюкать ребёнка
allanarsa kerak|что-то нужно
fikr almashmoq|обмениваться мнениями
alohida xona|отдельная комната
amaki bolasi|сын дяди
amma bolasi|дочь тёти
ammo shunday|но всё же
ana u yerda|вон там
andava ishlatmoq|использовать шпатель
aniq javob|точный ответ
aniqlamoq savolni|уточнять вопрос
anjir daraxti|дерево инжира
anor mevasi|плод граната
anhor bo'yida|на берегу речки
ancha ishlar|довольно много дел
aql bovar qilmaydi|ум не верит
aqlli bola|умный ребенок
aralashmoq ishga|вмешиваться в дело
arang yurmoq|едва идти
ari chaqishi|укус осы
arava haydamoq|управлять телегой
aravacha itarmoq|толкать тележку
arazlamoq do'st bilan|быть в ссоре с другом
arqon tortmoq|тянуть веревку
arra qilmoq|работать пилой
arralamoq yog'ochni|пилить дерево
artmoq yuzni|вытирать лицо
arzimoq pulga|стоить денег
arzon narx|дешевая цена
arg'imchoq uchmoq|качаться на качелях
archa bezamoq|украшать елку
archmoq sabzavot|чистить овощ
asab tolalari|нервные волокна
asal tatli|сладкий мед
asalari inida|в улье пчела
asar yaratmoq|создавать произведение
asbob ishlatmoq|использовать инструмент
askar kiyimi|форма солдата
asr davomida|в течение века
asramoq bolani|беречь ребенка
assalomu alaykum hamma|здравствуйте все
atrof o'rab olmoq|окружать вокруг
avaylamoq tabiatni|беречь природу
avlodlar uchrashuvi|встреча потомков
avval aytmoq|сначала сказать
axborot tarqatmoq|распространять информацию
axir haqiqat|ведь правда
axloq qoidalari|правила поведения
axloqli bola|воспитанный ребенок
axloqsiz ishlar|невоспитанные поступки
axtarmoq kitobni|искать книгу
ayamoq kuchini|жалеть силы
ayb qilmoq|совершить проступок
aybdor odam|виновный человек
ayirmoq raqamni|вычитать число
ayiq ovi|охота на медведя
ayiqcha uyquda|медвежонок спит
aylanmoq bog'da|кружиться в саду
aynan shunday|точь-в-точь так
ayol kishi|женщина
aytmoq hikoya|рассказать историю
ayvon bo'yicha|по веранде
ayyor odam|хитрый человек
aziz do'st|уважаемый друг
azob chekish|терпеть мучения
azoblamoq hayvonni|мучить животное
ashula yozmoq|писать песню
ashula aytmoq|петь песню
achinmoq vaziyatga|жалеть о ситуации
achomlamoq bolani|обнимать ребенка
achchiq ta'm|горький вкус
achchiqlanmoq do'stga|сердиться на друга
a'lo baho|отличная оценка
a'lochi talaba|отличник студент
a'zo bo'lmoq|становиться членом
badan mashqlari|физические упражнения
badantarbiya darsi|урок физкультуры
baho qo'ymoq|ставить оценку
bahona topmoq|находить предлог
bahor kelishi|приход весны
bahorgi gullar|весенние цветы
bajarmoq vazifani|выполнять задачу
baland bino|высокое здание
baliq ovlash|ловить рыбу
balki keladi|может быть, придет
band odam|занятый человек
baqirmoq baland ovozda|кричать громким голосом
barg to'kilmoq|опадать листья
baravar natija|равный результат
baribir keladi|всё равно придет
barmoq uzuk|палец кольцо
barobar ishlamoq|работать наравне
barcha odamlar|все люди
battar bo'lmoq|становиться хуже
baxil odam|жадный человек
baxt topmoq|находить счастье
baxtli hayot|счастливая жизнь
baxtsiz hodisa|несчастный случай
bayram nishonlamoq|праздновать праздник
bayroq ko'tarmoq|поднимать флаг
bashara chiroyli|красивое лицо
bazm o'tkazmoq|устраивать вечеринку
ba'zan keladi|иногда приходит
begona odam|посторонний человек
behi daraxti|дерево айвы
bekatga yetmoq|добираться до остановки
bel og'rig'i|боль в пояснице
belgi qo'ymoq|ставить знак
belgilamoq yo'lni|обозначать путь
belkurak ishlatmoq|использовать лопату
bemaza ovqat|невкусная еда
bemor yotmoq|лежать больным
kitob bermoq|давать книгу
bekinmoq uyda|прятаться дома
eshikni bekitmoq|закрывать дверь
bet chiroyli|красивое лицо
betob odam|больной человек
uy bezatmoq|украшать дом
besh barmoq|пять пальцев
beshik tebratmoq|качать колыбель
bechora odam|бедный человек
bilak kuchli|сильная кисть
bilan birga|вместе с
fikr bildirmoq|выражать мнение
bilim olish|получать знание
