der Auftritt beginnt                             |выступление начинается
eine Handlung begründen                          |оправдать действие
der Zahnarzt hilft                               |зубной врач помогает
die Technologie anwenden                         |применять технологию
ein Problem ausdiskutieren                       |обсуждать проблему
etwas nehmen                                     |брать что-то
die Verladestation erreichen                     |добраться до станции отправления
ein langweiliges Buch                            |скучная книга
den Stoff rekapitulieren                         |повторять материал
die Breite ist groß                              |ширина большая
einen Brief stecken                              |засовывать письмо
die Voraussetzung prüfen                         |проверять предположение
die Mappe öffnen                                 |открыть папку
der Junge spielt                                 |юноша играет
zu einem Erfolg gratulieren                      |поздравлять с успехом
haben gebrochen                                  |сломали
der Keller aufräumen                             |убирать подвал
versagen bei der Aufgabe                         |отказывать в задаче
der Augenblick ist gekommen                      |наступил момент
einen Ball aufpumpen                             |накачать мяч
aufschlussreiche Informationen                   |показательная информация
zulässige Geschwindigkeit                        |допустимая скорость
der Höhepunkt ist erreicht                       |достигнута кульминация
erinnern sich an die Kindheit                    |вспоминать детство
sich für die Feier schmücken                     |наряжаться для праздника
die Tankstelle besuchen                          |посетить бензоколонку
mit jemandem rechnen                             |считаться с кем-то
der Grund ist klar                               |причина ясна
gesprächig sein                                  |быть разговорчивым
die Unkenntnis beseitigen                        |устранять незнание
das ist doch kein Pappenstiel                    |это не пустяки
der Gebrauchtwagen ist günstig                   |подержанная машина дешевая
der Koch kocht                                   |повар готовит
der Anzug passt                                  |костюм подходит
die formale Kleidung                             |формальная одежда
Kosten verkleinern                               |уменьшать расходы
erzählen von einem Erlebnis                      |рассказывать о событии
doppelt prüfen                                   |проверять дважды
der Zeitungskiosk ist offen                      |газетный киоск открыт
sich mit jemandem befreunden                     |подружиться с кем-то
die Gesundheit beeinträchtigen                   |повредить здоровью
sich für eine Feier umziehen                     |переодеваться для праздника
das Papier falten                                |складывать бумагу
der Witz ist lustig                              |шутка веселая
hart arbeiten                                    |усердно работать
die Buchhandlung ist groß                        |книжный магазин большой
das Geschäft besuchen                            |посещать магазин
eine gefahrvolle Reise                           |опасное путешествие
eindeutig erklären                               |ясно объяснять
die Zuckermelone probieren                       |пробовать дыню
die Karenz ist lang                              |время ожидания долгое
die Waffel backen                                |печь вафли
sich einer Gefahr aussetzen                      |подвергаться опасности
spät kommen                                      |прийти поздно
ein Ferienhaus mieten                            |снять дачу
stehenbleiben und warten                         |остановиться и ждать
den Geburtstag feiern                            |праздновать день рождения
den Ast abbrechen                                |ломать ветку
die Anbauwand ist groß                           |мебельная стенка большая
einen Antrag genehmigen                          |одобрять заявку
das Auto bremsen                                 |тормозить машину
ehren die Eltern                                 |почитать родителей
der Termin ist bald                              |встреча скоро
die Schaukel schwingen                           |раскачивать качели
ein Gespräch fortsetzen                          |продолжать разговор
ein schriller Ton                                |пронзительный звук
entschlüsseln den Code                           |расшифровывать код
dumpf klingen                                    |приглушённо звучать
der Kühlschrank ist leer                         |холодильник пуст
die Passkontrolle passieren                      |проходить паспортный контроль
die Zacke schärfen                               |затачивать зубец
die Bauernregel ist klar                         |примета понятна
vor kurzem                                       |недавно
laut schreien                                    |кричать громко
das Tier füttern                                 |кормить животное
