speech_part|word_de|word_en
art|der|the
pron|der|that, those
pron|der|who, that
conj|und|and
prep|in|in
aux|sein, ist, war, ist gewesen|(past tense)
verb|sein, ist, war, ist gewesen|to be
art|ein|a, an
pron|ein|one (of)
aux|haben, hat, hatte, hat gehabt|(past tense)
verb|haben, hat, hatte, hat gehabt|to have
pron|sie|she, her
pron|sie|they, them
pron|sie|you
aux|werden, wird, wurde, ist geworden|(future tense)
aux|werden, wird, wurde, ist geworden|(passive voice)
verb|werden, wird, wurde, ist geworden|to become, get
prep|von|from, of
pron|ich|I
part|nicht|not
pron|es|it
prep|mit|with
pron|sich|-self
pron|er|he
prep|auf|on, at, to
prep|für|for
adv|auch|also, too
prep|an|at, on
conj|dass|that
part|zu|to
part|zu|too
prep|zu|to
conj|als|as, when
part|als|than
verb|können, kann, konnte, hat können|to be able to, can
pron|dies|this, that
part|wie|as
pron|wie|how
pron|wir|we
pron|ihr|her, their, hers, theirs
pron|ihr|you, her
pron|ihr|your
adv|so|so, thus, the way, such
part|so|so
prep|bei|by, with, at
pron|sein|his, its
conj|aber|but
part|aber|
pron|man|one, you, they
adv|noch|still, yet
prep|nach|after, toward
conj|oder|or
pron|all|all
prep|aus|out, out of, from
pron|was|what
adv|nur|only
verb|sagen, sagt, sagte, hat gesagt|to say, tell
adv|dann|then
conj|wenn|if, when
verb|müssen, muss, musste, hat gemusst|to have to, must
conj|um|in order to
prep|um|around, at
part|ja|yes, of course
pron|kein|no
prep|über|above, over, about
adv|da|there
conj|da|because
verb|geben, gibt, gab, hat gegeben|to give
prep|vor|in front of, before, ago
pron|mein|my, mine
adv|mehr|more
das|das Jahr, -e|year
pron|du|you
prep|durch|through
pron|viel|much, a lot, many
verb|wollen, will, wollte, hat gewollt|to want to
verb|machen, macht, machte, hat gemacht|to do, make
pron|andere (r, s)|other
verb|sollen, soll, sollte, hat gesollt|should, ought to
adv|schon|already
part|schon|
verb|kommen, kommt, kam, ist gekommen|to come
pron|mir|me
adv|immer|always
(Reflexive pronoun in the acc.)|mich|
pron|mich|me
verb|gehen, geht, ging, ist gegangen|to go
adj|groß|big, large, great
adv|hier|here
adj|ganz|whole, all the
part|ganz|quite
num|zwei|two
adv|also|so
adv|jetzt|now
adv|doch|however, but
part|doch|
adv|wieder|again
pron|uns|us, we
adj|gut|good
conj|bis|until
prep|bis|until, till
verb|wissen, weiß, wusste, hat gewusst|to know
verb|sehen, sieht, sah, hat gesehen|to see
pron|einer|(some)one
adv|sehr|very
conj|Mal|times
das|Mal|time, mark
part|Mal|
verb|lassen, lässt, ließ, hat gelassen|to let, allow, have done
adj|neu|new
verb|stehen, steht, stand, hat gestanden|to stand
pron|unser|our
pron|jede (r, s)|every
conj|weil|because
prep|unter|under
der|der Mensch, -en|human being
pron|ihm|him
pron|ihn|him
conj|denn|because
part|denn|anyway
das|das Beispiel, -e|example
adj|erste (r, s)|first
die|die Zeit, -en|time
adj|lang|long
adv|lang|for a long time
verb|leben, lebt, lebte, hat gelebt|to live
die|die Frau, -en|woman, wife, Mrs.
pron|etwas|something, some, a little
part|selbst, selber|even
pron|selbst, selber|-self
adj|wenig|few
pron|wenig|little, few
verb|finden, findet, fand, hat gefunden|to find
prep|gegen|against
prep|zwischen|between
num|drei|three
verb|liegen, liegt, lag, hat gelegen|to lie
pron|wo|where
pron|nichts, nix|nothing
adj|klein|small, little
der|der Tag, -e|day
adj|deutsch|German
das|deutsch|German
verb|bleiben, bleibt, blieb, ist geblieben|to stay, remain
adv|nun, nu|now
conj|sondern|but (on the contrary)
adv|heute|today
pron|beide|both
adj|hoch|high, tall
pron|damit|with it
conj|ohne|without
prep|ohne|without
der|der Mann, -̈er|man
pron|welch, -e, -er, -es|which
verb|tun, tut, tat, hat getan|to do
adv|einmal|once
pron|ihnen|them
pron|ihnen|you
verb|heißen, heißt, hieß, hat geheißen|to be called
conj|ob|whether, if
verb|denken, denkt, dachte, hat gedacht|to think
pron|dabei|with it, there
prep|seit|since, for
adj|einfach|simple, easy
part|einfach|simply
adv|erst|first, only, not until
part|erst|
das|das Kind, -er|child
das|das Land, -̈er|land, country, state
verb|stellen, stellt, stellte, hat gestellt|to place, set, put
verb|zeigen, zeigt, zeigte, hat gezeigt|to show
adj|natürlich|natural
adv|natürlich|naturally, of course
adj|alt|old
adv|dort|there
das|Deutschland|Germany
adj|gleich|same, right away, just
verb|nehmen, nimmt, nahm, hat genommen|to take
verb|dürfen, darf, durfte, hat gedurft|to be allowed to may
adj|wichtig|important
adv|vielleicht|perhaps, maybe
part|vielleicht|
verb|hören, hört, hörte, hat gehört|to hear
das|das Haus, -̈er|house
part|nein, nee, nö|no
pron|wer|who, whoever
pron|dazu|in addition, furthermore, to that, for that
adj|eigentlich|actual, real
adv|eigentlich|actually
part|eigentlich|
adj|letzte (r, s)|last
verb|fragen, fragt, fragte, hat gefragt|to ask
der|der Herr, -en|Mr.
verb|halten, hält, hielt, hat gehalten|to stop, hold
verb|glauben, glaubt, glaubte, hat geglaubt|to believe
die|die Frage, -n|question
verb|gelten, gilt, galt, hat gegolten|to be valid
adj|gerade|straight
adv|gerade|just, just now, right now
verb|folgen, folgt, folgte, ist gefolgt|to follow
verb|sprechen, spricht, sprach, hat gesprochen|to speak
verb|führen, führt, führte, hat geführt|to lead
verb|bringen, bringt, brachte, hat gebracht|to bring, take
die|die Welt, -en|world
adv|gar|at all
adj|eigen|own
adj|genau|exact
verb|mögen, mag, mochte, hat gemocht|to like
adj|spät|late
adj|spät|later
adv|bereits|already
adj|möglich|possible
adv|möglich|as . . . as possible, if possible
das|das Prozent, -e|percent
conj|während|while, whereas
prep|während|during, while
pron|einige|a few, some
pron|dafür|for it, for that
adj|kurz|short
adj|richtig|correct, right
adj|stark|strong
verb|brauchen, braucht, brauchte, hat gebraucht|to need
die|die Hand, -̈e|hand
adv|etwa|about, approximately
part|etwa|after all
adj|weitere (r, s)|additional, further
das|das Ende, -n|end
verb|schreiben, schreibt, schrieb, hat geschrieben|to write
pron|solch|such
adv|nie|never
der|der Fall, -̈e|fall, case
adj|schön|beautiful, pleasant, good
adj|wirklich|real, actual
adv|wirklich|really, actually
pron|denen|whom, that
verb|nennen, nennt, nannte, hat genannt|to name, call
adv|warum|why
verb|ziehen, zieht, zog, hat gezogen|to pull, move
das|das Wort, -̈er|word
pron|darauf, drauf|on it, to it
adv|eben, ebend|just, now
part|eben, ebend|
die|die Seite, -n|side, page
der, das|das Teil, -e|part
adj|jung|young
num|vier|four
adj|besser|better
adv|fast|almost
adj|schnell|fast
die|die Stadt, -̈e|city, town
verb|spielen, spielt, spielte, hat gespielt|to play
adv|zwar|admittedly, to be precise
der|der Euro, -s|euro (unit of currency)
die|die Arbeit, -en|work
die|Million, Mio.|million
das|das Problem, -e|problem
verb|verstehen, versteht, verstand, hat verstanden|to understand
verb|bekommen, bekommt, bekam, hat bekommen|to get, receive
verb|meinen, meint, meinte, hat gemeint|to think, have an opinion
pron|davon|from it, about it, thereof
verb|fahren, fährt, fuhr, ist gefahren|to drive, ride, go
verb|kennen, kennt, kannte, hat gekannt|to know
pron|dich|you, yourself
die|die Mutter, -̈|mother
die|die Woche, -n|week
der|der Weg, -e|path, way
adv|weiter|further
das|das Auge, -n|eye
adv|oft|often
die (pl)|Leute|people
adv|allerdings|though, indeed, certainly
adv|sogar|even, in fact
adv|jedoch|however
verb|setzen, setzt, setzte, hat gesetzt|to set, place, put
verb|setzen, setzt, setzte, hat gesetzt|to sit down
adv|deshalb|therefore
adj|weit|widely, far
verb|sitzen, sitzt, saß, hat gesessen|to sit
der|der Vater, -̈|father
pron|dein|your
verb|arbeiten, arbeitet, arbeitete, hat gearbeitet|to work
das|das Geld, -er|money
das|das Unternehmen, -|enterprise, company
adj|nächste (r, s)|next
verb|erklären, erklärt, erklärte, hat erklärt|to explain
adj|klar|clear
der|der Doktor, -en (Dr.)|doctor
das|das Paar, -e|pair, couple
pron|das Paar, -e|a few
adj|das Recht, -e|all right
das|das Recht, -e|right, law
part|das Recht, -e|rather, quite
prep|wegen|because of
pron|dir|you
das|das Wasser, -|water
verb|bestehen, besteht, bestand, hat bestanden|to exist, insist, pass (an exam)
verb|versuchen, versucht, versuchte, hat versucht|to try, attempt
der|der Punkt, -e|dot, point, period
der|der Grund, -̈e|reason, basis
der|der Kopf, -̈e|head
verb|beginnen, beginnt, begann, hat begonnen|to begin
verb|laufen, läuft, lief, ist gelaufen|to run
das|das Bild, -er|picture
adj|verschieden|different, diverse
der|der Name, -n|name
die|die Aufgabe, -n|task, assignment, job
adj|schwer|difficult, heavy
verb|entsprechen, entspricht, entsprach, hat entsprochen|to correspond
verb|treffen, trifft, traf, hat getroffen|to meet
die|die Art, -en|type, kind
adv|wohl|well
part|wohl|probably
die|die Geschichte, -n|history, story
verb|erzählen, erzählt, erzählte, hat erzählt|to tell
verb|entstehen, entsteht, entstand, ist entstanden|to originate, develop
adj|sicher|safe, secure, certain
prep|neben|next to, beside
adv|allein, alleine|alone
die|die Abbildung, -en (Abb.)|illustration
prep|hinter|behind, in back of
adv|besonders|particularly
verb|tragen, trägt, trug, hat getragen|to carry, wear
adv|kaum|hardly
der|der Freund, -e|friend
num|fünf|five
verb|scheinen, scheint, schien, hat geschienen|to shine, seem, appear
die|die Stunde, -n|hour
verb|aussehen, sieht aus, sah aus, hat ausgesehen|to appear, look
adv|gern, gerne|(with a verb) love to
adv|überhaupt|at all, generally
adj|bestimmt|special, certain
conj|sowie|as well as, as soon as, plus
der|der Professor, -en|professor
pron|darüber, drüber|above it, about it
pron|deren|whose
verb|schaffen, schafft, schuf, hat geschaffen|to manage, create
pron|damals|then
verb|erhalten, erhält, erhielt, hat erhalten|to receive
verb|lernen, lernt, lernte, hat gelernt|to learn
adj|frei|free
adj|der Wert, -e|worth
der|der Wert, -e|value
conj|beziehungsweise, bzw.|or, respectively
pron|daran, dran|on it
verb|suchen, sucht, suchte, hat gesucht|to search, look for
das|Europa|Europe
adj|gemeinsam|common, mutual
adj|rund|round
adv|rund|approximately
die|die Zahl, -en|number
das|das Thema, -en|subject, topic, theme
verb|handeln, handelt, handelte, hat gehandelt|to deal, trade
das|das Buch, -̈er|book
pron|bisschen, bissel|a little
adj|deutlich|clear
adv|anders|different, differently
adj|politisch|political
verb|lesen, liest, las, hat gelesen|to read
der|der Blick, -e|look, view, glance
die|die Form, -en|form, shape
adj|einzeln|individual, single, separately
verb|erreichen, erreicht, erreichte, hat erreicht|to achieve, reach
verb|vergehen, vergeht, verging, hat vergangen|to pass (time)
adj|leicht|light, easy
adv|je|ever, each
conj|je|the more
verb|verlieren, verliert, verlor, hat verloren|to lose
adj|beste (r, s)|best
